"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
325,"Maine","AE","0-0",0.160513212334101,93.7779297049442,309,108.287709940472,331,70.08774113,42,"8.1-21.9","5.5-10.5",0,54,2014-11-13
324,"Maine","AE","0-0",0.159976321771982,93.7616834626513,309,108.306519114799,331,70.08774113,47,"8.3-21.7","5.7-10.3",0,134,2014-11-14
328,"Maine","AE","0-1",0.149451853928435,93.6067495597305,310,108.887122478559,338,70.4995220872194,34,"7.9-22.1","5.4-10.6",-0.178481167666615,231,2014-11-15
328,"Maine","AE","0-1",0.149361120879489,93.5778821309692,308,108.860300946642,336,70.4948404995533,36,"7.9-22.1","5.4-10.6",-0.175977440705143,210,2014-11-16
324,"Maine","AE","0-2",0.156488545179491,94.9400911126029,293,109.917734508024,340,70.6695354538191,32,"8-22","5.6-10.4",-0.889123681901919,306,2014-11-17
324,"Maine","AE","0-2",0.156273362291068,94.9766402598857,290,109.975646765196,340,70.6362438735516,31,"8-22","5.6-10.4",-0.902101488488131,302,2014-11-18
325,"Maine","AE","0-2",0.154070281226622,95.0226219758562,289,110.189799558656,341,70.540725553672,33,"7.8-22.2","5.4-10.6",-0.913428294912272,287,2014-11-19
326,"Maine","AE","0-2",0.153952468423567,95.0137977055325,288,110.188230331149,341,70.515098788296,33,"7.8-22.2","5.4-10.6",-0.924968557897981,274,2014-11-20
335,"Maine","AE","0-3",0.132081434059388,93.5119893768077,302,110.145354113581,341,69.9200544934744,50,"6.9-23.1","4.9-11.1",-1.42265570245992,303,2014-11-21
335,"Maine","AE","0-3",0.132668801661462,93.6427812971906,298,110.250370469288,343,69.8884803192862,48,"6.9-23.1","4.9-11.1",-1.41505674673739,283,2014-11-22
336,"Maine","AE","0-4",0.121304652203468,93.4368907824355,301,110.993509732623,344,70.8489997505818,24,"6.4-23.6","4.5-11.5",-1.97947978550395,315,2014-11-23
335,"Maine","AE","0-4",0.122050975865277,93.5123164483125,301,111.015673343761,344,70.9356315865693,20,"6.4-23.6","4.5-11.5",-1.97912311211867,300,2014-11-24
333,"Maine","AE","0-4",0.121810618376831,93.4959943348505,297,111.017966592198,345,70.8824598417376,19,"6.4-23.6","4.5-11.5",-1.98225795734971,291,2014-11-25
333,"Maine","AE","0-4",0.122495418658682,93.5430150231323,296,111.012134885507,344,70.8418896257833,20,"6.3-23.7","4.5-11.5",-2.00638075483143,284,2014-11-26
333,"Maine","AE","0-4",0.121639777464141,93.5761869364149,297,111.128629119449,346,70.8769230969152,18,"6.3-23.7","4.5-11.5",-1.99350982609125,282,2014-11-27
