"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
350,"Maryland Eastern Shore","MEAC","0-0",0.0727491318783204,89.3777299724299,342,111.518880581465,346,68.14339237,158,"6-27","4.4-11.6",0,106,2014-11-13
350,"Maryland Eastern Shore","MEAC","0-1",0.0663243667229153,88.8378718852545,343,111.807182643459,348,67.4816461676901,216,"5.7-27.3","4.2-11.8",-0.673739371763667,323,2014-11-14
350,"Maryland Eastern Shore","MEAC","0-1",0.0662211522455092,88.8506691064982,343,111.839508651921,347,67.4800029079754,219,"5.6-27.4","4.2-11.8",-0.67345402917319,310,2014-11-15
350,"Maryland Eastern Shore","MEAC","0-1",0.0661776395062761,88.8144359082497,343,111.80074355764,347,67.4760721716371,217,"5.8-27.2","4.3-11.7",-0.669666852399342,292,2014-11-16
350,"Maryland Eastern Shore","MEAC","0-2",0.0645468051683926,88.6086353513383,343,111.800920564829,347,66.8604588476841,259,"5.7-27.3","4.3-11.7",-0.737580389309238,275,2014-11-17
350,"Maryland Eastern Shore","MEAC","0-2",0.0643909899625982,88.5981201922144,343,111.812768945497,347,66.8240489593751,258,"5.7-27.3","4.3-11.7",-0.748301737304659,266,2014-11-18
346,"Maryland Eastern Shore","MEAC","1-2",0.0867868941241965,88.5098336993492,344,108.610384181515,334,65.6167071128998,315,"8.1-24.9","5.3-10.7",-0.5802614120364,221,2014-11-19
347,"Maryland Eastern Shore","MEAC","1-3",0.0856176038494748,88.6697108767555,343,108.947108565396,334,65.7110410744282,309,"8-25","5.2-10.8",-0.913387197951028,267,2014-11-20
347,"Maryland Eastern Shore","MEAC","1-3",0.0853289261261926,88.6853958537763,343,109.001379111394,334,65.6544421730136,308,"8-25","5.3-10.7",-0.902415820165039,252,2014-11-21
346,"Maryland Eastern Shore","MEAC","1-4",0.0882846614296897,88.6723644501696,343,108.63254190078,334,64.8399223332856,328,"8.1-24.9","5.4-10.6",-1.68015602190819,302,2014-11-22
344,"Maryland Eastern Shore","MEAC","1-4",0.0879006162445381,88.6107861875906,343,108.602240453102,334,64.8080575250708,330,"8.1-24.9","5.4-10.6",-1.67468483805081,289,2014-11-23
341,"Maryland Eastern Shore","MEAC","1-5",0.0991219203933682,89.1472825111511,339,108.007922954881,327,64.2014038450687,337,"8.8-24.2","5.9-10.1",-2.5284382403756,329,2014-11-24
342,"Maryland Eastern Shore","MEAC","1-6",0.103146374115188,88.566425121231,342,106.891841477104,312,63.6544337414083,338,"8.7-24.3","5.9-10.1",-3.40445730271334,346,2014-11-25
342,"Maryland Eastern Shore","MEAC","1-6",0.102173707862613,88.523312612218,341,106.937947796273,315,63.6356852814239,338,"8.8-24.2","5.9-10.1",-3.43438947655125,344,2014-11-26
342,"Maryland Eastern Shore","MEAC","1-6",0.102092517272364,88.5104302278525,340,106.930617793302,314,63.6048699773008,337,"8.7-24.3","5.9-10.1",-3.41842561361424,343,2014-11-27
343,"Maryland Eastern Shore","MEAC","1-6",0.101493063275459,88.4892703832401,343,106.966020296962,313,63.5005193845738,334,"8.6-24.4","5.8-10.2",-3.45226658853436,336,2014-11-28
332,"Maryland Eastern Shore","MEAC","2-6",0.127739200576166,89.8169869993353,337,106.147124878819,304,62.9597488649616,337,"10.6-22.4","6.6-9.4",-3.19919927684248,326,2014-11-29
332,"Maryland Eastern Shore","MEAC","2-6",0.128963624296684,89.836148761019,338,106.068778094414,297,62.9849805765744,335,"10.8-22.2","6.7-9.3",-3.21450353917309,323,2014-11-30
330,"Maryland Eastern Shore","MEAC","2-6",0.129838075021535,89.8576408154806,337,106.022567518775,297,63.0624103953074,334,"10.8-22.2","6.8-9.2",-3.21410618984264,322,2014-12-01
319,"Maryland Eastern Shore","MEAC","3-6",0.164905177543717,90.3501594948601,332,104.037503805228,254,62.8903885695675,333,"12.4-20.6","7.7-8.3",-3.20672432824429,318,2014-12-02
319,"Maryland Eastern Shore","MEAC","3-6",0.166153949677898,90.5253403870896,332,104.157308688775,251,62.8141084477875,332,"12.5-20.5","7.8-8.2",-3.19519385822303,306,2014-12-03
