"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
72,"Massachusetts","A10","0-0",0.744706804187699,104.612849343415,92,95.3136140203218,57,72.35077788,6,"18.2-13.8","10.4-7.6",0,294,2014-11-13
72,"Massachusetts","A10","1-0",0.743464833798844,105.560008713955,74,96.2311404511475,79,73.2012031292394,3,"18.5-13.5","10.5-7.5",0.0530581315687545,67,2014-11-14
71,"Massachusetts","A10","1-0",0.743199970716571,105.583575521105,75,96.2642445993251,80,73.1990811089206,4,"18.5-13.5","10.5-7.5",0.0531233753801523,83,2014-11-15
72,"Massachusetts","A10","2-0",0.746357121655985,104.733512598233,89,95.3513969157615,60,73.3105028234087,5,"19-13","10.5-7.5",0.458586185434499,6,2014-11-16
71,"Massachusetts","A10","2-0",0.744177853817497,104.600734687167,89,95.3256200731552,64,73.1856880043822,5,"19-13","10.5-7.5",0.462100121084109,9,2014-11-17
73,"Massachusetts","A10","3-0",0.74172233852169,104.496509681363,87,95.3371712417726,65,72.3977238691744,7,"19.2-12.8","10.5-7.5",0.570230277904453,15,2014-11-18
73,"Massachusetts","A10","3-0",0.743070218575288,104.481180321222,90,95.264782993613,66,72.315528910167,8,"19.4-12.6","10.7-7.3",0.556955905854817,17,2014-11-19
72,"Massachusetts","A10","3-0",0.744399890248012,104.535171596558,87,95.2562067079564,71,72.2602913895065,9,"19.4-12.6","10.8-7.2",0.544250598212707,19,2014-11-20
73,"Massachusetts","A10","3-0",0.744674473559195,104.591017660298,87,95.295132095015,71,72.2593787919467,8,"19.5-12.5","10.8-7.2",0.550705153274571,25,2014-11-21
76,"Massachusetts","A10","3-1",0.736626121382327,104.209970483278,96,95.2945402955925,75,72.366703162142,7,"18.8-13.2","10.6-7.4",0.33457606847726,39,2014-11-22
75,"Massachusetts","A10","4-1",0.737148124795724,104.092128058747,94,95.1644973787675,73,72.2936864949534,8,"19.3-12.7","10.7-7.3",0.695061759448457,15,2014-11-23
78,"Massachusetts","A10","4-1",0.736608204560607,104.11406767211,92,95.2076067620275,75,72.295227537093,8,"19.3-12.7","10.7-7.3",0.695406217500647,20,2014-11-24
78,"Massachusetts","A10","4-1",0.733926574659065,104.007390279944,93,95.2240637361426,75,72.3414800832712,8,"19.3-12.7","10.8-7.2",0.692599677377656,24,2014-11-25
