"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
31,"Memphis","Amer","0-0",0.836788713617137,107.038680421758,57,92.8567118297933,28,70.22838662,36,"23-9","12.3-5.7",0,71,2014-11-13
32,"Memphis","Amer","0-0",0.836243082759621,107.02013686527,52,92.8728406968754,31,70.22838662,42,"22.9-9.1","12.2-5.8",0,141,2014-11-14
32,"Memphis","Amer","0-0",0.836069751227736,107.014256836899,54,92.8779556288949,31,70.22838662,45,"23-9","12.3-5.7",0,148,2014-11-15
34,"Memphis","Amer","0-0",0.835925597822161,107.00937056384,52,92.8822063249208,32,70.22838662,48,"23-9","12.3-5.7",0,155,2014-11-16
34,"Memphis","Amer","0-0",0.835633853768817,106.999492395224,52,92.8908001942486,30,70.22838662,49,"23.1-8.9","12.4-5.6",0,154,2014-11-17
42,"Memphis","Amer","0-1",0.818165569344571,105.496575224871,72,92.563847439352,27,70.4062841641274,39,"22.1-9.9","12-6",-0.389347845593694,201,2014-11-18
43,"Memphis","Amer","0-1",0.817866624901209,105.47795790722,72,92.5636746049615,28,70.3801322799979,38,"22-10","12-6",-0.397113469903457,184,2014-11-19
46,"Memphis","Amer","0-1",0.817742884118464,105.471126054011,71,92.564363524216,30,70.366240449789,38,"22-10","12-6",-0.405075701718192,175,2014-11-20
47,"Memphis","Amer","0-1",0.817221452610658,105.468851368364,71,92.5905002287115,29,70.3507536083997,36,"22-10","12-6",-0.400989407254608,168,2014-11-21
44,"Memphis","Amer","0-1",0.816998929122491,105.489876956483,73,92.6209504009685,31,70.336749328904,34,"22-10","12-6",-0.397941666219524,159,2014-11-22
43,"Memphis","Amer","0-1",0.816604030338746,105.467669095343,71,92.6227045757081,32,70.329438226581,32,"22.1-9.9","12.1-5.9",-0.396335151374756,153,2014-11-23
41,"Memphis","Amer","1-1",0.822037805589218,105.500572889521,70,92.3563244264763,28,69.8860909633943,41,"22.3-9.7","12.2-5.8",-0.364474946153241,143,2014-11-24
41,"Memphis","Amer","1-1",0.821844513070795,105.493031127616,70,92.3603288221614,28,69.8571874037691,40,"22.4-9.6","12.2-5.8",-0.365503460980755,140,2014-11-25
44,"Memphis","Amer","1-1",0.821364917557107,105.479924760973,72,92.3751339989813,33,69.8566380725594,42,"22.4-9.6","12.3-5.7",-0.373215432938829,128,2014-11-26
57,"Memphis","Amer","1-2",0.794589739938555,104.816865647055,79,93.1842258996687,40,68.681252370364,105,"21.3-10.7","11.8-6.2",-0.617517198141798,147,2014-11-27
55,"Memphis","Amer","2-2",0.79530041055229,104.621829437638,82,92.9755804112081,38,68.6748511007629,99,"21.3-10.7","11.7-6.3",-0.453579783701915,124,2014-11-28
