"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
206,"Miami OH","MAC","0-0",0.428745049936249,97.7964132116594,243,100.267547570725,160,67.8460789,181,"14.6-16.4","8-10",0,224,2014-11-13
207,"Miami OH","MAC","0-0",0.427768139815884,97.7794708006951,240,100.28496367254,162,67.8460789,194,"14.6-16.4","8-10",0,188,2014-11-14
206,"Miami OH","MAC","0-0",0.427458468221805,97.7740984840524,241,100.290486824065,163,67.8460789,193,"14.4-16.6","7.8-10.2",0,180,2014-11-15
208,"Miami OH","MAC","1-0",0.423537132189389,97.8154640383577,240,100.472971170438,175,67.9769953241029,186,"14.4-16.6","7.7-10.3",0.0297055462863486,114,2014-11-16
206,"Miami OH","MAC","1-0",0.422898778742333,97.7882157757975,239,100.467826248012,177,67.97520664408,185,"14.2-16.8","7.7-10.3",0.0300520887232444,123,2014-11-17
207,"Miami OH","MAC","1-0",0.422370613911357,97.7809765698457,236,100.47929867426,176,67.9547774028389,179,"14.2-16.8","7.6-10.4",0.0289833679057609,117,2014-11-18
228,"Miami OH","MAC","1-1",0.382298137190234,96.8222180792181,249,100.947308283554,190,67.1454955775323,234,"12.8-18.2","7-11",-0.809466438662693,258,2014-11-19
228,"Miami OH","MAC","1-1",0.38207930523788,96.8119787284709,248,100.944767461896,189,67.1205178929082,230,"12.7-18.3","6.9-11.1",-0.814816780998336,247,2014-11-20
227,"Miami OH","MAC","1-1",0.381079447884348,96.8180370969325,248,100.988286133311,188,67.0918881772245,228,"12.6-18.4","6.8-11.2",-0.812091351797874,237,2014-11-21
229,"Miami OH","MAC","2-1",0.379583039604266,95.8958447243022,266,100.081613618867,170,66.8599454627639,243,"12.7-18.3","6.7-11.3",-0.797971381969705,213,2014-11-22
229,"Miami OH","MAC","2-1",0.378587802140547,95.8491417965208,262,100.069658161349,170,66.8350712686011,237,"12.5-18.5","6.5-11.5",-0.796795142991857,203,2014-11-23
229,"Miami OH","MAC","2-1",0.378648230852034,95.9449875527349,260,100.167487021081,174,66.910974012932,230,"12.5-18.5","6.4-11.6",-0.796722106642193,196,2014-11-24
236,"Miami OH","MAC","2-2",0.363734719064154,94.7056253355451,283,99.4245122120938,159,66.5694901811606,245,"11.9-19.1","6.2-11.8",-1.5182554549813,257,2014-11-25
254,"Miami OH","MAC","2-3",0.317445191525417,93.8086917739669,294,100.265934976995,176,67.2015274660515,193,"10.6-20.4","5.5-12.5",-2.33701058134642,303,2014-11-26
256,"Miami OH","MAC","2-3",0.31707129875996,93.7902103546421,294,100.261229457487,174,67.1829529905595,188,"10.6-20.4","5.5-12.5",-2.32897069020467,301,2014-11-27
257,"Miami OH","MAC","2-3",0.316509589551569,93.8642670842128,296,100.363042802406,172,67.1311750280958,181,"10.6-20.4","5.5-12.5",-2.34602763782521,294,2014-11-28
258,"Miami OH","MAC","2-3",0.315667884013017,93.8814752049061,295,100.415434655387,175,67.0547262186176,179,"10.6-20.4","5.5-12.5",-2.34354842498364,285,2014-11-29
261,"Miami OH","MAC","2-4",0.29566294383361,93.5110727274317,300,100.842644310618,181,66.7303235828764,198,"9.5-21.5","5.2-12.8",-3.31125357789908,325,2014-11-30
261,"Miami OH","MAC","2-4",0.296756665662933,93.6268678543724,299,100.92146605645,182,66.6581454180089,194,"9.5-21.5","5.2-12.8",-3.3110820406391,324,2014-12-01
262,"Miami OH","MAC","2-4",0.297152468671067,93.5456150890669,299,100.817260955684,179,66.6520577504072,194,"9.5-21.5","5.2-12.8",-3.31172781082755,321,2014-12-02
260,"Miami OH","MAC","2-5",0.296501536480575,93.961049081612,293,101.292453864412,186,66.0399977415276,220,"9.4-21.6","5.3-12.7",-3.98707585441079,329,2014-12-03
262,"Miami OH","MAC","2-5",0.295745309367585,93.9243189591656,293,101.284807119797,188,66.035554570061,218,"9.3-21.7","5.2-12.8",-3.97831453084982,326,2014-12-04
263,"Miami OH","MAC","2-5",0.295615442505763,93.9107083311268,294,101.275621510292,188,66.0180209323258,218,"9.3-21.7","5.2-12.8",-3.9685263509631,324,2014-12-05
272,"Miami OH","MAC","2-6",0.279209722676248,94.5239027134363,283,102.649575108034,203,65.9110877900707,219,"8.8-22.2","4.9-13.1",-4.75679506919009,337,2014-12-06
271,"Miami OH","MAC","2-6",0.276426639611256,94.3993312181339,285,102.638023570816,210,65.9510370642716,213,"8.7-22.3","4.8-13.2",-4.7398452362142,335,2014-12-07
273,"Miami OH","MAC","2-6",0.274410679653115,94.5042579737986,283,102.84240754681,216,65.9868455844898,213,"8.7-22.3","4.8-13.2",-4.75164190175096,333,2014-12-08
271,"Miami OH","MAC","2-6",0.274043478885159,94.6335190013135,284,102.999596574339,221,66.0139296823737,207,"8.6-22.4","4.7-13.3",-4.74093115991751,333,2014-12-09
269,"Miami OH","MAC","2-6",0.274522208524932,94.6380894807447,285,102.983031508101,220,65.9933007207115,206,"8.6-22.4","4.7-13.3",-4.75529710200187,329,2014-12-10
271,"Miami OH","MAC","2-6",0.273658787386773,94.6191552475796,284,103.001288291242,219,65.9537535695627,209,"8.5-22.5","4.7-13.3",-4.76798565589404,328,2014-12-11
270,"Miami OH","MAC","2-6",0.273509720033676,94.6208303556431,284,103.009830302449,219,65.956213823062,208,"8.5-22.5","4.7-13.3",-4.76686781789822,328,2014-12-12
276,"Miami OH","MAC","2-6",0.269941532762875,94.5564556316893,283,103.101277941172,223,65.9783304510513,201,"8.5-22.5","4.7-13.3",-4.7737791042363,322,2014-12-13
282,"Miami OH","MAC","2-7",0.249875541413872,93.5315725283967,299,102.913444086557,220,66.1661029761476,191,"8-23","4.3-13.7",-5.62973480017225,340,2014-12-14
281,"Miami OH","MAC","2-7",0.25065890079552,93.5904014343173,297,102.940795658708,221,66.1640653914582,191,"8-23","4.4-13.6",-5.61221124098645,338,2014-12-15
279,"Miami OH","MAC","2-7",0.250280125738318,93.654183470439,299,103.029024282349,222,66.0658810501103,194,"8.1-22.9","4.4-13.6",-5.59025616412412,337,2014-12-16
280,"Miami OH","MAC","3-7",0.253873856600242,93.214864945542,301,102.375897120204,213,66.1072112549364,188,"8.3-22.7","4.5-13.5",-5.59611575824132,336,2014-12-17
281,"Miami OH","MAC","3-7",0.254648812730304,93.2238044888117,301,102.349334219772,215,66.1592510603979,183,"8.3-22.7","4.5-13.5",-5.59609893379764,334,2014-12-18
282,"Miami OH","MAC","3-7",0.254036283961997,93.1926834611556,301,102.343905789959,212,66.1467357858654,180,"8.3-22.7","4.5-13.5",-5.56832098841442,332,2014-12-19
281,"Miami OH","MAC","3-7",0.255643834419517,93.3086710887552,297,102.395879265638,213,66.0865061001037,188,"8.3-22.7","4.5-13.5",-5.60531685500671,323,2014-12-20
281,"Miami OH","MAC","3-7",0.256416185138292,93.2957996807077,297,102.345661851496,214,66.1019908619788,186,"8.3-22.7","4.5-13.5",-5.62300860403663,321,2014-12-21
289,"Miami OH","MAC","3-8",0.236178671663671,92.8987463716004,305,102.881203625216,227,66.7923650236344,142,"8.1-22.9","4.3-13.7",-5.81197114512508,323,2014-12-22
288,"Miami OH","MAC","3-8",0.237037562693366,92.8277144385713,304,102.760040059136,223,66.8393378463565,139,"8.1-22.9","4.3-13.7",-5.81865339827264,319,2014-12-23
