"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
13,"Michigan St.","B10","0-0",0.904824860744652,110.829641605894,19,91.1189874485645,12,67.34225841,225,"26.2-12.8","11.7-6.3",0,185,2014-11-13
16,"Michigan St.","B10","1-0",0.894016034183164,109.875711922288,27,91.2789887765106,17,67.4578106737023,219,"25.4-13.6","11.3-6.7",0.162947758288674,23,2014-11-14
16,"Michigan St.","B10","1-0",0.893854980087279,109.894798771052,26,91.3083309130394,18,67.4559984215235,221,"25.3-13.7","11.3-6.7",0.163124851958333,27,2014-11-15
16,"Michigan St.","B10","1-0",0.893422487207147,109.832590702534,26,91.292758987188,17,67.3752057298682,230,"25.2-13.8","11.2-6.8",0.165482440732503,30,2014-11-16
18,"Michigan St.","B10","1-0",0.893222239515038,109.806201291316,26,91.2875027402166,17,67.3711306708836,227,"24.9-14.1","11-7",0.16714009647121,40,2014-11-17
18,"Michigan St.","B10","1-1",0.887646825804767,110.209337985811,24,92.0791813580499,22,67.0855109900582,245,"24.3-14.7","10.8-7.2",0.0681023946978254,91,2014-11-18
18,"Michigan St.","B10","1-1",0.887421674981018,110.176799594643,24,92.0700527710688,23,67.040368849204,244,"24.3-14.7","10.7-7.3",0.060729152440659,96,2014-11-19
19,"Michigan St.","B10","1-1",0.886101443572806,110.105580911262,25,92.1157931060273,27,66.9825463097473,240,"24.2-14.8","10.7-7.3",0.0534658565221218,100,2014-11-20
14,"Michigan St.","B10","2-1",0.9022657116011,110.62172034138,22,91.1805830242915,18,67.3474686251778,207,"25.3-13.7","11.4-6.6",0.191222361515541,60,2014-11-21
14,"Michigan St.","B10","2-1",0.901937926640063,110.747446023893,21,91.3136795376392,19,67.4279039273046,195,"25.5-13.5","11.5-6.5",0.195498533295084,66,2014-11-22
14,"Michigan St.","B10","2-1",0.901587084750395,110.649506929689,21,91.2643513097849,19,67.3884430457653,201,"25.4-13.6","11.5-6.5",0.197765522780098,69,2014-11-23
13,"Michigan St.","B10","3-1",0.917630120541288,111.029425981842,22,90.0333435755187,16,67.2909827851462,195,"26.7-12.3","12.2-5.8",0.312528119374333,48,2014-11-24
13,"Michigan St.","B10","3-1",0.917814918348906,111.013057151074,22,90.0009143694793,15,67.2945432304011,186,"26.6-12.4","12.2-5.8",0.310882530880001,49,2014-11-25
11,"Michigan St.","B10","3-1",0.917495850105943,111.007582533728,21,90.029526362371,15,67.2982161057455,185,"26.6-12.4","12.2-5.8",0.298407140361463,53,2014-11-26
10,"Michigan St.","B10","4-1",0.931742552589865,110.96533671986,21,88.405441493974,6,67.3329426573934,183,"27.7-11.3","12.8-5.2",0.484493992308821,44,2014-11-27
12,"Michigan St.","B10","5-1",0.928420063677059,111.784270203625,17,89.4544924335205,13,67.2590847203242,177,"27.5-11.5","12.6-5.4",0.826135993078472,25,2014-11-28
12,"Michigan St.","B10","5-1",0.929623938974705,111.757809380749,17,89.2914448624103,12,67.1590557628388,173,"27.6-11.4","12.7-5.3",0.829967253437902,27,2014-11-29
12,"Michigan St.","B10","5-2",0.928965563678134,110.555998862399,24,88.4082285619047,9,67.1184722061551,171,"27.1-11.9","12.6-5.4",0.561759031857081,35,2014-11-30
12,"Michigan St.","B10","5-2",0.929019330390397,110.55398881486,24,88.4003555070156,9,67.1069417177803,170,"27.1-11.9","12.6-5.4",0.562065322197614,35,2014-12-01
12,"Michigan St.","B10","5-2",0.928731669411098,110.588293191775,23,88.4612728446438,9,67.0987289993176,167,"27-12","12.6-5.4",0.560902284243184,38,2014-12-02
12,"Michigan St.","B10","5-3",0.925538827764989,111.720276187544,19,89.7348519801765,13,66.2163840964931,210,"26.3-12.7","12.5-5.5",0.435664402012893,48,2014-12-03
12,"Michigan St.","B10","5-3",0.925408573181639,111.693779189912,20,89.7283031470505,13,66.2139910403517,208,"26.3-12.7","12.5-5.5",0.448226664255949,47,2014-12-04
13,"Michigan St.","B10","5-3",0.924783140919548,111.61392039442,20,89.7345506519442,13,66.2066939729885,207,"26.2-12.8","12.5-5.5",0.462197792569231,46,2014-12-05
12,"Michigan St.","B10","6-3",0.928621164675414,111.943060070865,18,89.5579631310568,13,66.7798614343417,173,"26.5-12.5","12.7-5.3",0.45189941797586,42,2014-12-06
10,"Michigan St.","B10","6-3",0.930013616118535,112.003821358665,18,89.4415458227071,13,66.7689164767841,171,"26.6-12.4","12.8-5.2",0.471835328683178,44,2014-12-07
10,"Michigan St.","B10","6-3",0.929647416835667,111.997899929387,18,89.4804779297441,14,66.7720050468135,172,"26.5-12.5","12.7-5.3",0.457940424036873,43,2014-12-08
11,"Michigan St.","B10","6-3",0.930798486350732,112.021293105393,18,89.3612573325184,13,66.7860754194881,173,"26.7-12.3","12.9-5.1",0.470575863742493,44,2014-12-09
