"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
44,"Mississippi","SEC","0-0",0.811030220896788,109.795467230606,26,96.7323703927211,86,70.58516879,27,"21.6-12.4","9.9-8.1",0,99,2014-11-13
52,"Mississippi","SEC","0-1",0.785232856965992,107.340810338793,49,95.8971465658501,70,70.4704114953579,33,"19.6-14.4","9.3-8.7",-0.922367247751277,341,2014-11-14
51,"Mississippi","SEC","0-1",0.784926485222453,107.355059858698,49,95.9250215194247,72,70.4685693503546,35,"19.6-14.4","9.3-8.7",-0.922274265715669,335,2014-11-15
54,"Mississippi","SEC","0-1",0.784873762433537,107.314326972792,47,95.8912293110814,72,70.4641628511356,37,"19.6-14.4","9.3-8.7",-0.921034461357144,327,2014-11-16
56,"Mississippi","SEC","1-1",0.777566026895084,106.7346308811,56,95.7285187136226,74,70.4478344824579,40,"19.5-14.5","9.2-8.8",-0.789261669843424,282,2014-11-17
56,"Mississippi","SEC","1-1",0.777163551543028,106.72787736706,54,95.7418204954326,75,70.4014357029661,40,"19.5-14.5","9.2-8.8",-0.796146678093636,273,2014-11-18
56,"Mississippi","SEC","1-1",0.776744466868466,106.694470737676,54,95.7319817465392,75,70.3462597922713,40,"19.4-14.6","9.1-8.9",-0.801990112730174,257,2014-11-19
52,"Mississippi","SEC","2-1",0.797177145098537,105.775243560064,65,93.9060942490811,47,70.1651361965951,45,"20-14","9.5-8.5",-0.779950092249783,241,2014-11-20
53,"Mississippi","SEC","2-1",0.796098164696099,105.796842483459,64,93.9796813715245,47,70.0716853651481,43,"20-14","9.6-8.4",-0.776534808250904,230,2014-11-21
56,"Mississippi","SEC","2-1",0.793073892650726,105.768485969806,66,94.1059968242175,47,70.0313375532852,43,"19.9-14.1","9.5-8.5",-0.773948983279156,207,2014-11-22
62,"Mississippi","SEC","3-1",0.779357654909785,105.184973860393,73,94.253472755239,53,70.5462341271083,29,"19.5-14.5","9.2-8.8",-0.682514509501186,192,2014-11-23
63,"Mississippi","SEC","3-1",0.779398683384537,105.21278140375,75,94.2764342258993,54,70.5419236476927,29,"19.5-14.5","9.2-8.8",-0.68239495376982,180,2014-11-24
63,"Mississippi","SEC","3-1",0.77960425428337,105.206365021512,73,94.2608809763688,54,70.5509561422524,29,"19.5-14.5","9.2-8.8",-0.683489285828027,166,2014-11-25
64,"Mississippi","SEC","3-1",0.778441774973092,105.203529006893,76,94.3137053798432,58,70.5499456643735,26,"19.5-14.5","9.2-8.8",-0.69157780529123,155,2014-11-26
64,"Mississippi","SEC","3-1",0.778433733211573,105.204846129457,74,94.3152685617741,58,70.5281783857846,27,"19.5-14.5","9.3-8.7",-0.687261259092041,153,2014-11-27
64,"Mississippi","SEC","4-1",0.780913314396545,105.719408662617,70,94.657682927944,62,70.1271930533204,35,"20.1-13.9","9.4-8.6",-0.310444161910376,110,2014-11-28
50,"Mississippi","SEC","5-1",0.811305932748826,107.543325136024,52,94.7333517413967,63,69.2696438183781,60,"21.7-12.3","10.1-7.9",0.219830797703393,63,2014-11-29
50,"Mississippi","SEC","5-1",0.810536965851456,107.549485169732,50,94.7801029172301,65,69.2292196494104,60,"21.6-12.4","10.1-7.9",0.210441208231107,61,2014-11-30
