"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
142,"Missouri St.","MVC","0-0",0.561741115613102,102.854124566083,130,100.657774059493,171,65.99563404,304,"14.1-14.9","8.2-9.8",0,67,2014-11-13
151,"Missouri St.","MVC","1-0",0.545455161754774,102.46219621647,133,100.850542995966,178,65.3134817518978,333,"14-15","8.1-9.9",0.0510869353409573,69,2014-11-14
150,"Missouri St.","MVC","1-0",0.545071970648717,102.481407723271,131,100.883008590395,178,65.311900473658,331,"14-15","8.2-9.8",0.0511498861680467,86,2014-11-15
150,"Missouri St.","MVC","1-0",0.544865588299455,102.432507469348,129,100.842168771704,181,65.3081180007404,331,"14-15","8.2-9.8",0.0519896751724772,97,2014-11-16
151,"Missouri St.","MVC","1-0",0.544323564885669,102.405949190946,127,100.83518389145,182,65.3042056893777,329,"14.1-14.9","8.2-9.8",0.0525820944221662,108,2014-11-17
149,"Missouri St.","MVC","1-0",0.543786686369988,102.398416139639,127,100.846744105131,183,65.2846349157165,329,"14.1-14.9","8.2-9.8",0.0507540802531815,103,2014-11-18
151,"Missouri St.","MVC","1-0",0.543183643588675,102.375966283261,127,100.845946245991,186,65.26136021019,328,"14-15","8.2-9.8",0.0492087403928528,102,2014-11-19
149,"Missouri St.","MVC","1-0",0.542470195018029,102.359006555653,125,100.854449450212,186,65.3314631390495,321,"14-15","8.2-9.8",0.0476808654703667,102,2014-11-20
149,"Missouri St.","MVC","1-0",0.541615759859119,102.357972924343,128,100.883622089232,183,65.3186275539288,319,"14.3-14.7","8.3-9.7",0.0484580195572443,99,2014-11-21
157,"Missouri St.","MVC","1-1",0.522746035077504,102.558324508333,123,101.74956278651,209,65.6201579472301,302,"13.6-15.4","8-10",-0.574217183569118,179,2014-11-22
156,"Missouri St.","MVC","1-1",0.523834960289637,102.669364490697,121,101.821070507499,211,65.6066166940824,300,"13.4-15.6","7.9-10.1",-0.572326410253883,176,2014-11-23
155,"Missouri St.","MVC","1-1",0.523211819526194,102.672945574751,125,101.846743304996,212,65.6062543033869,299,"13.4-15.6","8-10",-0.572209166517692,172,2014-11-24
151,"Missouri St.","MVC","1-1",0.522844103351711,102.676250325762,119,101.863076738458,213,65.6914993994176,292,"13.3-15.7","7.8-10.2",-0.573283175309606,159,2014-11-25
152,"Missouri St.","MVC","1-1",0.521811122284043,102.673400732221,117,101.896927613809,211,65.6871016186163,283,"13.2-15.8","7.7-10.3",-0.581280452953354,146,2014-11-26
163,"Missouri St.","MVC","1-2",0.498476064379588,102.072890606405,131,102.127010338413,219,65.4661373547188,295,"12.7-16.3","7.5-10.5",-1.13255825193109,200,2014-11-27
163,"Missouri St.","MVC","1-2",0.493729009491437,102.057698402682,133,102.28056274759,217,65.5795341436717,275,"12.8-16.2","7.6-10.4",-1.14961937494364,195,2014-11-28
165,"Missouri St.","MVC","1-3",0.482493315200039,103.490918181999,103,104.12328540781,255,65.186674965629,293,"11.9-17.1","7.3-10.7",-1.96818036732469,255,2014-11-29
166,"Missouri St.","MVC","1-3",0.482858498998516,103.456526094822,108,104.075446730669,254,65.1821871112973,285,"11.8-17.2","7.3-10.7",-1.97644038985713,244,2014-11-30
168,"Missouri St.","MVC","1-3",0.483057125891148,103.458085233598,106,104.069816649834,255,65.1791025344916,283,"11.8-17.2","7.3-10.7",-1.97623283866693,238,2014-12-01
167,"Missouri St.","MVC","1-3",0.482869888576855,103.496176003824,106,104.114920895446,256,65.1637826264038,281,"11.7-17.3","7.2-10.8",-1.9770050961979,230,2014-12-02
168,"Missouri St.","MVC","1-3",0.479238742217862,103.776708772808,104,104.529258871892,259,65.2255538030526,267,"11.7-17.3","7.3-10.7",-1.97080162420488,223,2014-12-03
176,"Missouri St.","MVC","2-3",0.467343377392887,104.313626514814,97,105.506970210069,288,64.6839784141326,286,"11.8-17.2","7.1-10.9",-1.90165990744363,221,2014-12-04
175,"Missouri St.","MVC","2-3",0.466798225117201,104.297703788455,96,105.510957367196,287,64.6769481530395,286,"11.7-17.3","7.1-10.9",-1.89249894605931,219,2014-12-05
172,"Missouri St.","MVC","2-3",0.469751923130342,104.32749351079,96,105.432281044924,283,64.6397066672427,282,"11.7-17.3","7.2-10.8",-1.90771547661682,209,2014-12-06
173,"Missouri St.","MVC","2-3",0.469012202006917,104.33650199839,97,105.468620032309,285,64.6236766988602,281,"11.8-17.2","7.2-10.8",-1.89479953841681,207,2014-12-07
173,"Missouri St.","MVC","2-3",0.469339623283748,104.352604560949,95,105.472838959151,287,64.6123667994999,285,"11.8-17.2","7.2-10.8",-1.90380264718601,204,2014-12-08
173,"Missouri St.","MVC","2-3",0.46899549107247,104.315243372313,99,105.447746014154,288,64.5619720977091,284,"11.7-17.3","7.1-10.9",-1.89561878663518,203,2014-12-09
171,"Missouri St.","MVC","2-3",0.47306442693196,104.417237420928,97,105.401065500339,287,64.5888883804055,276,"11.7-17.3","7.1-10.9",-1.90658476781479,197,2014-12-10
171,"Missouri St.","MVC","2-3",0.47234007861126,104.417676404221,99,105.428146999641,289,64.5956676780184,275,"11.7-17.3","7.1-10.9",-1.91627678979359,194,2014-12-11
171,"Missouri St.","MVC","2-3",0.472151566521049,104.416729951237,99,105.434125781239,289,64.5969611471798,275,"11.7-17.3","7.1-10.9",-1.91542202348035,194,2014-12-12
165,"Missouri St.","MVC","3-3",0.485813100467566,104.482301677742,96,104.999290579218,274,64.8175627882586,260,"12.6-16.4","7.4-10.6",-1.712287658695,172,2014-12-13
167,"Missouri St.","MVC","3-3",0.484867210240299,104.459168998963,94,105.010616529874,273,65.001315204819,245,"12.5-16.5","7.3-10.7",-1.71789001669937,169,2014-12-14
182,"Missouri St.","MVC","3-4",0.44700462811526,103.684598664839,107,105.620898505779,285,65.2809088096508,233,"11.5-17.5","6.8-11.2",-2.48202014352784,216,2014-12-15
182,"Missouri St.","MVC","3-4",0.44370039258434,103.672159465656,107,105.73114182268,288,65.3144461108367,231,"11.5-17.5","6.8-11.2",-2.46036310151789,213,2014-12-16
177,"Missouri St.","MVC","3-5",0.458374898717918,105.050293671452,88,106.585886530948,297,65.0732447403016,233,"11.6-17.4","7-11",-2.98510441508797,235,2014-12-17
177,"Missouri St.","MVC","3-5",0.458390437361251,105.054191233317,87,106.58926095778,299,65.0704234327116,232,"11.6-17.4","7-11",-2.98506040775368,230,2014-12-18
178,"Missouri St.","MVC","3-5",0.458197369710867,104.807553605384,91,106.346210781807,296,65.0728316568678,235,"11.7-17.3","7-11",-2.95198219807738,227,2014-12-19
195,"Missouri St.","MVC","3-6",0.412547125180506,105.031920851534,90,108.310132695189,318,65.0751494203413,234,"10.5-18.5","6.5-11.5",-3.87298589712741,266,2014-12-20
198,"Missouri St.","MVC","3-6",0.410985278627026,104.95234657241,89,108.288776631921,317,65.0753621666732,232,"10.5-18.5","6.5-11.5",-3.89588553355852,260,2014-12-21
198,"Missouri St.","MVC","4-6",0.405061056235737,103.639526827573,111,107.162535023375,306,64.5406149758357,252,"10.8-18.2","6.4-11.6",-3.81305823225826,250,2014-12-22
199,"Missouri St.","MVC","4-6",0.401921844214323,103.33531608659,114,106.969234503717,301,64.4853395979582,258,"10.7-18.3","6.3-11.7",-3.82097564359317,248,2014-12-23
199,"Missouri St.","MVC","4-6",0.401921844212094,103.335316086549,114,106.96923450376,301,64.4851901890964,258,"10.7-18.3","6.3-11.7",-3.82097564358954,248,2014-12-24
200,"Missouri St.","MVC","4-6",0.401699174185219,103.328594538612,114,106.9708935026,301,64.4771403998589,258,"10.7-18.3","6.3-11.7",-3.81521365068271,246,2014-12-25
200,"Missouri St.","MVC","4-6",0.401820500797739,103.327607690467,114,106.965176517065,301,64.4774040517214,258,"10.7-18.3","6.3-11.7",-3.81478266720367,246,2014-12-26
203,"Missouri St.","MVC","4-6",0.401018747049014,103.43928066374,112,107.111854820684,302,64.5592277951607,253,"10.7-18.3","6.3-11.7",-3.88077885625964,247,2014-12-27
202,"Missouri St.","MVC","4-6",0.402041333101887,103.449924083833,113,107.083244341863,299,64.4462012359101,256,"10.9-18.1","6.4-11.6",-3.88801724042476,239,2014-12-28
198,"Missouri St.","MVC","4-6",0.404438679069746,103.563282722014,110,107.107756178151,299,64.4421908874536,257,"10.9-18.1","6.4-11.6",-3.93096329468713,234,2014-12-29
195,"Missouri St.","MVC","4-6",0.405936633164324,103.554670257344,110,107.040981769882,298,64.5026649908413,253,"10.9-18.1","6.5-11.5",-3.94825867051464,228,2014-12-30
187,"Missouri St.","MVC","5-6",0.427481893194558,102.941728652736,117,105.590236215369,275,64.17564561087,269,"12-17","7.5-10.5",-3.74701768501677,216,2014-12-31
183,"Missouri St.","MVC","5-6",0.431108904123045,103.038402686851,116,105.553429273937,273,64.1424057764892,267,"12-17","7.4-10.6",-3.76556334613655,214,2015-01-01
180,"Missouri St.","MVC","5-6",0.431670376803879,103.01339735741,117,105.50681114277,268,64.1473566041928,266,"12-17","7.4-10.6",-3.74968950870146,210,2015-01-02
163,"Missouri St.","MVC","6-6",0.479157956299801,102.542104146459,132,103.288608696285,227,63.6886139743972,279,"12.8-16.2","8.2-9.8",-3.72409817723418,200,2015-01-03
160,"Missouri St.","MVC","6-6",0.485553558063983,102.73032420443,131,103.247972147209,223,63.7723950533503,277,"12.8-16.2","8.2-9.8",-3.75164401051173,194,2015-01-04
163,"Missouri St.","MVC","6-6",0.485155935681872,102.57062606286,133,103.101739884622,220,63.7742149448436,272,"12.8-16.2","8.2-9.8",-3.71438428555407,189,2015-01-05
161,"Missouri St.","MVC","6-6",0.484608661846798,102.566221678202,134,103.116957728772,219,63.7783004727205,272,"12.8-16.2","8.2-9.8",-3.71650083198384,186,2015-01-06
193,"Missouri St.","MVC","6-7",0.409209401743826,102.02536142415,144,105.335960876397,266,63.3826634633727,289,"11.3-17.7","6.8-11.2",-4.51110249329319,221,2015-01-07
196,"Missouri St.","MVC","6-7",0.407931871577441,102.111270801708,145,105.473136010497,265,63.1316854196906,290,"11.3-17.7","6.8-11.2",-4.55277877964573,211,2015-01-08
195,"Missouri St.","MVC","6-7",0.408397289631597,102.111688739294,146,105.455898527384,266,63.2920030299135,290,"11.3-17.7","6.8-11.2",-4.54477750078911,210,2015-01-09
188,"Missouri St.","MVC","6-7",0.417805379405089,102.288027265793,144,105.282146282507,257,63.0024635365412,293,"11.4-17.6","6.8-11.2",-4.54635773771997,195,2015-01-10
210,"Missouri St.","MVC","6-8",0.380387587812755,101.481452455268,161,105.8795824195,272,62.8609305249997,300,"10.7-18.3","6.2-11.8",-5.25565276736287,232,2015-01-11
213,"Missouri St.","MVC","6-8",0.381512206600549,101.47879275982,160,105.83291146287,268,62.9963896835157,303,"10.7-18.3","6.2-11.8",-5.26715033547242,233,2015-01-12
212,"Missouri St.","MVC","6-8",0.381517107386949,101.488156036839,160,105.842485331172,267,62.8472998635903,302,"10.8-18.2","6.2-11.8",-5.31027185285462,232,2015-01-13
200,"Missouri St.","MVC","6-9",0.393593248644174,100.767377908774,171,104.626843193578,242,62.6590709493659,305,"10.5-18.5","6-12",-6.16281431130767,260,2015-01-14
202,"Missouri St.","MVC","6-9",0.399477739775102,100.783627951205,172,104.420187414389,239,62.673012389786,307,"10.5-18.5","6-12",-6.10337257573589,252,2015-01-15
202,"Missouri St.","MVC","6-9",0.399459462674578,100.748051603593,174,104.384018921268,236,62.634407243743,306,"10.5-18.5","6-12",-6.10491865314246,251,2015-01-16
205,"Missouri St.","MVC","6-9",0.39008180070815,100.617208957073,173,104.604871417117,243,62.7464237588296,302,"10.5-18.5","5.9-12.1",-6.20391499057797,238,2015-01-17
205,"Missouri St.","MVC","6-10",0.388359430697776,100.608877419494,175,104.662127333614,246,62.41242034297,309,"10.4-18.6","5.9-12.1",-6.39889548736528,245,2015-01-18
206,"Missouri St.","MVC","6-10",0.387562373481853,100.613414955019,174,104.697403721334,245,62.3320213653014,309,"10.4-18.6","5.9-12.1",-6.32103994406065,241,2015-01-19
205,"Missouri St.","MVC","6-10",0.38756197020859,100.613093691527,175,104.697084885419,244,62.4096272916261,309,"10.4-18.6","5.9-12.1",-6.29351976186817,238,2015-01-20
207,"Missouri St.","MVC","6-11",0.385085006301446,100.988357616422,171,105.183098251495,257,62.2173684903672,314,"10.3-18.7","5.8-12.2",-6.72892281709081,250,2015-01-21
210,"Missouri St.","MVC","6-11",0.385292760014041,101.022275839765,171,105.210399117734,249,62.2166830545051,312,"10.2-18.8","5.7-12.3",-6.76586426872175,245,2015-01-22
210,"Missouri St.","MVC","6-11",0.385428325773451,100.992238775193,170,105.17388219742,248,62.0374436427073,312,"10.2-18.8","5.7-12.3",-6.76548829303172,244,2015-01-23
214,"Missouri St.","MVC","6-12",0.376403157059411,101.095787190344,173,105.632688232047,257,61.9052317946267,317,"9.8-19.2","5.3-12.7",-7.66359290286625,264,2015-01-24
216,"Missouri St.","MVC","6-12",0.376598218734327,101.131139378622,171,105.661991967931,259,61.9532845851841,316,"9.8-19.2","5.3-12.7",-7.62910093612151,261,2015-01-25
214,"Missouri St.","MVC","6-12",0.376139604171628,101.115155755789,172,105.663243537537,258,61.956477799951,316,"9.8-19.2","5.3-12.7",-7.64732758628072,258,2015-01-26
211,"Missouri St.","MVC","6-12",0.381792807153378,101.144159690109,169,105.473014691126,252,61.8590848631418,318,"9.8-19.2","5.3-12.7",-7.62827286688674,258,2015-01-27
206,"Missouri St.","MVC","6-13",0.386953305663416,100.924992889005,173,105.04507209528,243,62.0079029390128,314,"9.8-19.2","5.3-12.7",-7.94911973248243,264,2015-01-28
209,"Missouri St.","MVC","6-13",0.382391766123308,100.782510636914,181,105.072705772313,247,62.0072885954157,311,"9.7-19.3","5.3-12.7",-7.96651577865158,259,2015-01-29
209,"Missouri St.","MVC","6-13",0.381495694804639,100.734906411336,180,105.05774669069,246,61.9435631327386,312,"9.7-19.3","5.3-12.7",-7.96010461216239,258,2015-01-30
201,"Missouri St.","MVC","7-13",0.395826913202106,99.5914135705582,208,103.321805932849,208,62.1654725062231,309,"10.3-18.7","5.7-12.3",-7.84818565661231,244,2015-01-31
201,"Missouri St.","MVC","7-13",0.396708264663088,99.6003746751563,208,103.298006359538,207,62.1304738455652,309,"10.3-18.7","5.7-12.3",-7.83092194323038,243,2015-02-01
201,"Missouri St.","MVC","7-13",0.396844862265703,99.5759293294028,209,103.267528468031,206,62.1682958925625,309,"10.3-18.7","5.7-12.3",-7.83323547998189,241,2015-02-02
199,"Missouri St.","MVC","7-13",0.400229729618173,99.7130584412882,206,103.282840990594,207,62.1085535267139,309,"10.3-18.7","5.8-12.2",-7.77822290602999,241,2015-02-03
205,"Missouri St.","MVC","7-14",0.383957202733072,99.1290018681799,220,103.289303200886,203,61.9129312652772,314,"9.7-19.3","5.2-12.8",-8.65014340529562,265,2015-02-04
206,"Missouri St.","MVC","7-14",0.385330377777638,99.1783266679431,216,103.288578026091,200,61.8932193428035,317,"9.7-19.3","5.2-12.8",-8.64670145412794,258,2015-02-05
206,"Missouri St.","MVC","7-14",0.385664746719433,99.1748428410336,217,103.272273496999,200,61.8958928263554,317,"9.7-19.3","5.2-12.8",-8.65210123096038,258,2015-02-06
229,"Missouri St.","MVC","7-15",0.351966753509524,97.8037112926559,241,103.135251081287,194,62.0796283744995,308,"9.4-19.6","5-13",-8.88229398158491,252,2015-02-07
231,"Missouri St.","MVC","7-15",0.351363054247368,97.7694749388338,241,103.122889434509,191,62.0754246045907,308,"9.4-19.6","5-13",-8.86551467861024,250,2015-02-08
233,"Missouri St.","MVC","7-15",0.351423208024643,97.7663128234431,241,103.117187568152,190,62.1663289536472,308,"9.4-19.6","5-13",-8.85958709751844,249,2015-02-09
230,"Missouri St.","MVC","7-16",0.356445554282814,98.2389373329906,235,103.417970745119,207,62.0753208964139,308,"9.3-19.7","4.8-13.2",-9.41303219197555,268,2015-02-10
232,"Missouri St.","MVC","7-16",0.353114951385572,97.9795150899514,240,103.275453911524,196,62.0920670775032,308,"9.3-19.7","4.8-13.2",-9.40923509502051,265,2015-02-11
232,"Missouri St.","MVC","7-16",0.351782723833343,97.9050800045731,244,103.249390284613,192,62.0554602327969,309,"9.3-19.7","4.8-13.2",-9.41881558955121,262,2015-02-12
230,"Missouri St.","MVC","7-16",0.352284400825458,97.9287500341665,247,103.254603579185,191,62.0955288786018,309,"9.3-19.7","4.8-13.2",-9.4224324470181,262,2015-02-13
231,"Missouri St.","MVC","7-16",0.348869047317809,97.7621773172207,254,103.213521541341,193,62.0817609859341,307,"9.3-19.7","4.8-13.2",-9.48441950743139,250,2015-02-14
239,"Missouri St.","MVC","7-17",0.336681999244132,97.9928983641183,245,103.944966290645,210,61.9597329331832,307,"9.1-19.9","4.7-13.3",-9.87524083341739,263,2015-02-15
241,"Missouri St.","MVC","7-17",0.335917302878195,97.9849499829093,244,103.967504027292,210,62.1168793533667,307,"9.1-19.9","4.7-13.3",-9.86426319164764,263,2015-02-16
241,"Missouri St.","MVC","7-17",0.33626753605155,97.9827648273831,244,103.950996467333,209,62.1139834747804,306,"9.1-19.9","4.7-13.3",-9.8357277783475,262,2015-02-17
231,"Missouri St.","MVC","8-17",0.345598350037164,98.1741328935738,240,103.778585240765,206,61.6913609033107,316,"9.7-19.3","5.3-12.7",-9.74632313184529,255,2015-02-18
231,"Missouri St.","MVC","8-17",0.345570311199693,98.1644809649659,245,103.769501034994,203,61.6866782739277,313,"9.7-19.3","5.3-12.7",-9.73305895374148,246,2015-02-19
230,"Missouri St.","MVC","8-17",0.344644533608063,98.1480601937397,245,103.789104973851,203,61.8508464166511,313,"9.7-19.3","5.3-12.7",-9.73808664563471,244,2015-02-20
