"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
98,"Missouri","SEC","0-0",0.66771529916872,104.422624783043,97,98.2742498772799,115,67.93728058,175,"14.2-16.8","6.9-11.1",0,275,2014-11-13
119,"Missouri","SEC","0-1",0.60993436250342,102.769744160564,127,98.8514549708352,126,67.9337508275233,188,"11.7-19.3","6-12",-0.964441747098227,350,2014-11-14
119,"Missouri","SEC","0-1",0.609439530704473,102.785413671307,123,98.8844054408142,128,67.9319517447105,189,"11.7-19.3","6-12",-0.964397213238467,345,2014-11-15
111,"Missouri","SEC","1-1",0.633668138619611,101.619487241581,146,96.8907821914237,94,67.1837686426305,243,"12.5-18.5","6.4-11.6",-0.667471110667815,291,2014-11-16
112,"Missouri","SEC","1-1",0.637037446983538,101.597524709678,142,96.7474162802977,95,67.1613043500254,242,"12.6-18.4","6.4-11.6",-0.664552666074237,266,2014-11-17
111,"Missouri","SEC","1-1",0.636499962024174,101.590742286135,140,96.7605081372505,94,67.1229839953129,243,"12.6-18.4","6.4-11.6",-0.673605056238401,254,2014-11-18
113,"Missouri","SEC","2-1",0.639740304223077,102.166473251687,132,97.1902022556974,106,66.6057493957313,266,"12.9-18.1","6.4-11.6",-0.605239632785915,229,2014-11-19
111,"Missouri","SEC","2-1",0.639499907412184,102.152758909765,132,97.1859690735946,106,66.5701037938492,266,"12.8-18.2","6.3-11.7",-0.615314915313796,215,2014-11-20
112,"Missouri","SEC","2-1",0.638401832679089,102.358332596061,127,97.4218625603538,110,66.6737466172228,257,"12.7-18.3","6.3-11.7",-0.610176841423398,206,2014-11-21
114,"Missouri","SEC","2-1",0.639229932333008,102.464233174726,130,97.4922246898199,108,66.6264086914326,254,"12.7-18.3","6.4-11.6",-0.60629986767524,187,2014-11-22
115,"Missouri","SEC","2-1",0.636513995466609,102.448257960505,125,97.5767377122487,118,66.5637072382635,251,"12.7-18.3","6.3-11.7",-0.604240618125045,183,2014-11-23
120,"Missouri","SEC","2-2",0.628635127402236,101.844956101077,138,97.2884879518303,111,66.2264895427377,269,"12.4-18.6","6.3-11.7",-0.724611575072532,185,2014-11-24
140,"Missouri","SEC","2-3",0.558030807892025,100.654679348205,162,98.6343563746613,137,66.0177064899663,277,"10.7-20.3","5.2-12.8",-1.1344747500305,220,2014-11-25
141,"Missouri","SEC","2-3",0.556523701205361,100.617514142592,160,98.6503245049213,140,66.1592501772532,265,"10.7-20.3","5.2-12.8",-1.1532445155119,209,2014-11-26
142,"Missouri","SEC","2-3",0.556186812595488,100.605225024666,160,98.6499833704981,142,66.1380916950494,265,"10.7-20.3","5.3-12.7",-1.14327711932892,201,2014-11-27
139,"Missouri","SEC","2-3",0.559568547944817,100.761659058305,160,98.6856504212755,140,66.2138041561013,249,"10.7-20.3","5.3-12.7",-1.16449487508778,198,2014-11-28
139,"Missouri","SEC","2-3",0.563062550508677,100.858210863835,161,98.6584065779781,134,66.1243265975687,241,"10.7-20.3","5.3-12.7",-1.16139647958766,185,2014-11-29
139,"Missouri","SEC","2-3",0.567538766649144,100.954211236937,158,98.5960158789144,131,66.1685644780193,230,"10.8-20.2","5.4-12.6",-1.16945810559414,183,2014-11-30
138,"Missouri","SEC","2-3",0.568402916661417,100.949337553371,158,98.561068743371,131,66.2201087922503,224,"10.7-20.3","5.3-12.7",-1.16925452323681,181,2014-12-01
141,"Missouri","SEC","3-3",0.538398624221392,100.833601169622,160,99.4931951468995,147,65.1533424469174,282,"10.4-20.6","4.9-13.1",-1.10193512834878,165,2014-12-02
144,"Missouri","SEC","3-3",0.53802511721856,100.945415108419,161,99.6165396272889,149,65.1570355617652,273,"10.4-20.6","4.9-13.1",-1.09527991730132,157,2014-12-03
146,"Missouri","SEC","3-3",0.537224545281756,100.898076429737,160,99.5977121276544,150,65.1489975928041,271,"10.4-20.6","4.9-13.1",-1.08719948378049,157,2014-12-04
153,"Missouri","SEC","3-4",0.519700404469922,101.132306787955,158,100.441328798483,166,64.750635272521,285,"10.1-20.9","4.7-13.3",-1.22039871537327,164,2014-12-05
153,"Missouri","SEC","3-4",0.512467305989275,101.162332397398,156,100.724505811738,175,64.9459949919804,267,"9.9-21.1","4.6-13.4",-1.23790386133679,162,2014-12-06
153,"Missouri","SEC","3-4",0.510751571876598,101.110303094141,155,100.732831266628,175,64.915745128828,268,"9.9-21.1","4.6-13.4",-1.22302234048967,156,2014-12-07
153,"Missouri","SEC","3-4",0.512394844120617,101.281407560061,154,100.845608887463,176,65.0108781144514,263,"9.9-21.1","4.6-13.4",-1.23337123524009,154,2014-12-08
152,"Missouri","SEC","3-4",0.510996612718331,101.258843423265,153,100.87221511962,177,64.9471902994759,266,"9.9-21.1","4.6-13.4",-1.22396936854649,152,2014-12-09
152,"Missouri","SEC","3-4",0.514229415371771,101.391515910392,153,100.890797541061,176,65.0656842897469,258,"9.9-21.1","4.6-13.4",-1.23658742817437,149,2014-12-10
153,"Missouri","SEC","4-4",0.513232234720763,102.043658544414,138,101.574970890388,189,64.8901716796224,265,"10.1-20.9","4.6-13.4",-1.20913047499803,147,2014-12-11
153,"Missouri","SEC","4-4",0.513521829201046,102.04958237873,138,101.570628613137,187,64.8911946945778,264,"10.1-20.9","4.6-13.4",-1.20809467446399,147,2014-12-12
159,"Missouri","SEC","4-5",0.498131282833015,101.240781044391,153,101.30660809348,185,64.1641825913443,292,"9.7-21.3","4.4-13.6",-1.69978173780639,170,2014-12-13
159,"Missouri","SEC","4-5",0.498185085160431,101.242299890324,155,101.306232053568,186,64.1039145454181,289,"9.7-21.3","4.4-13.6",-1.70688401656257,167,2014-12-14
156,"Missouri","SEC","4-5",0.502517522791989,101.399550839185,155,101.310797412766,186,64.0528648811329,291,"9.7-21.3","4.5-13.5",-1.68847446422679,167,2014-12-15
154,"Missouri","SEC","4-5",0.505435444798078,101.596223675222,152,101.40432082424,187,63.9735134888174,291,"9.7-21.3","4.5-13.5",-1.66562318120892,167,2014-12-16
153,"Missouri","SEC","4-5",0.505630852130879,101.663766600411,150,101.46483875132,185,63.9385838486918,289,"9.8-21.2","4.6-13.4",-1.69724448106061,163,2014-12-17
155,"Missouri","SEC","4-5",0.504817643092025,101.641774548349,152,101.471590590973,183,63.9271374723149,289,"9.8-21.2","4.6-13.4",-1.69722438606749,161,2014-12-18
155,"Missouri","SEC","4-5",0.504735940948927,101.723099466241,148,101.555665587663,188,63.9347792419323,286,"9.9-21.1","4.6-13.4",-1.6688680449548,160,2014-12-19
154,"Missouri","SEC","4-6",0.507931559617223,101.55696644853,152,101.277153429648,183,63.0371216542308,309,"9.8-21.2","4.7-13.3",-2.23276982130506,179,2014-12-20
152,"Missouri","SEC","4-6",0.50703909224799,101.490259771684,151,101.242060627089,184,63.0150700624334,309,"9.8-21.2","4.7-13.3",-2.25537256602126,178,2014-12-21
159,"Missouri","SEC","4-6",0.496684785417603,101.402480639846,152,101.51947883518,191,63.1092740164733,304,"9.5-21.5","4.4-13.6",-2.24366935487159,171,2014-12-22
160,"Missouri","SEC","4-6",0.491153479117901,101.295746776359,152,101.607951598417,195,63.0439028770282,303,"9.5-21.5","4.4-13.6",-2.25111980217285,170,2014-12-23
160,"Missouri","SEC","4-6",0.491153479116163,101.295746776326,152,101.607951598445,195,63.0437500860568,303,"9.5-21.5","4.4-13.6",-2.25111980216947,170,2014-12-24
160,"Missouri","SEC","4-6",0.491804855177755,101.309397412293,152,101.598616257492,195,63.0382024711766,303,"9.5-21.5","4.4-13.6",-2.24575149684394,170,2014-12-25
158,"Missouri","SEC","4-6",0.492473219858091,101.32343866103,152,101.589072115837,195,63.0384720484441,303,"9.5-21.5","4.4-13.6",-2.245350252162,170,2014-12-26
156,"Missouri","SEC","4-6",0.494993817812672,101.362252447688,152,101.538912253659,190,63.0517364444758,303,"9.5-21.5","4.5-13.5",-2.30747616723392,169,2014-12-27
156,"Missouri","SEC","4-6",0.497069324145504,101.493540654759,150,101.597053605282,196,63.0902330772328,302,"9.6-21.4","4.5-13.5",-2.31388515262514,168,2014-12-28
155,"Missouri","SEC","4-6",0.501264602152613,101.607549021738,145,101.56286549352,190,63.0505329663402,305,"9.6-21.4","4.5-13.5",-2.35506603049149,166,2014-12-29
146,"Missouri","SEC","4-7",0.523699770275797,102.490013230677,133,101.647991582852,196,62.6568968056916,314,"10-21","5-13",-2.8588205300233,182,2014-12-30
147,"Missouri","SEC","4-7",0.531303852454565,102.750329381391,124,101.636172730917,198,62.7237429901037,312,"10-21","5-13",-2.87242038954031,178,2014-12-31
147,"Missouri","SEC","4-7",0.533995109486788,102.765713715496,123,101.555872654598,195,62.7312306888607,312,"10.1-20.9","5-13",-2.89145663229635,177,2015-01-01
145,"Missouri","SEC","4-7",0.531517524357745,102.729542556441,127,101.608029524999,195,62.7268425578092,312,"10-21","5-13",-2.87513025091584,177,2015-01-02
152,"Missouri","SEC","5-7",0.515925066534736,101.584455665659,154,101.02312997488,182,63.1666413572176,294,"9.9-21.1","4.8-13.2",-2.87076523969517,165,2015-01-03
150,"Missouri","SEC","5-7",0.519777682889441,101.841121652912,151,101.142577808185,185,63.2084114556429,294,"10-21","4.8-13.2",-2.89921113424173,159,2015-01-04
148,"Missouri","SEC","5-7",0.526983892987399,102.13696707642,143,101.181901011983,185,63.2728247175013,291,"10-21","4.9-13.1",-2.86104190950575,159,2015-01-05
147,"Missouri","SEC","5-7",0.529472411968083,102.316350784884,140,101.271630800737,186,63.3287919328299,291,"10.1-20.9","4.9-13.1",-2.86350342679073,158,2015-01-06
148,"Missouri","SEC","5-7",0.534102328179713,102.425456246553,135,101.215828626536,187,63.4475293385882,283,"10.1-20.9","5-13",-2.91735930523449,156,2015-01-07
145,"Missouri","SEC","6-7",0.545981850432627,101.990862433645,147,100.36807916217,165,63.2019643794249,287,"10.9-20.1","5.8-12.2",-2.61468630680295,138,2015-01-08
145,"Missouri","SEC","6-7",0.546435691498444,102.023579472875,148,100.384291414863,165,63.3610190176178,286,"10.9-20.1","5.8-12.2",-2.6063338188658,138,2015-01-09
142,"Missouri","SEC","6-8",0.540686291352996,103.918588340832,116,102.4551021397,207,63.3718213735686,280,"10.4-20.6","5.3-12.7",-3.27043718244777,159,2015-01-10
147,"Missouri","SEC","6-8",0.536867765239972,103.923437195887,116,102.596883836612,209,63.4559775691532,278,"10.4-20.6","5.3-12.7",-3.24159706468466,157,2015-01-11
147,"Missouri","SEC","6-8",0.537826660629679,103.939613919213,116,102.578443465741,209,63.6138320062822,278,"10.4-20.6","5.3-12.7",-3.25381471920482,155,2015-01-12
159,"Missouri","SEC","6-9",0.49431529877662,103.1264168166,131,103.330537911279,218,63.447054247841,280,"10-21","4.9-13.1",-3.34573160312365,160,2015-01-13
158,"Missouri","SEC","6-9",0.49473070353078,103.018451826944,132,103.207444055213,212,63.4902812081696,281,"10-21","4.9-13.1",-3.32864016953351,153,2015-01-14
158,"Missouri","SEC","6-9",0.492608225215783,102.995375123905,137,103.260541650489,212,63.5423196770397,280,"10-21","4.9-13.1",-3.26772003609576,149,2015-01-15
158,"Missouri","SEC","6-9",0.49335245370841,103.00522380467,138,103.243681078133,211,63.5048498838235,280,"10-21","4.9-13.1",-3.26931762476084,149,2015-01-16
162,"Missouri","SEC","6-10",0.491938626636881,101.975996408165,153,102.262358710642,193,63.5804007252427,276,"9.5-21.5","4.4-13.6",-4.21316659491561,170,2015-01-17
158,"Missouri","SEC","6-10",0.49218872885667,101.994845443457,152,102.272361162073,193,63.5962662310455,276,"9.5-21.5","4.4-13.6",-4.20568795651767,169,2015-01-18
160,"Missouri","SEC","6-10",0.491239344863029,101.89408989544,153,102.205085393237,192,63.5161462558599,273,"9.5-21.5","4.4-13.6",-4.12722370509754,170,2015-01-19
156,"Missouri","SEC","6-10",0.497842226264076,101.936867106103,155,102.013402975249,187,63.5824579416623,273,"9.6-21.4","4.5-13.5",-4.09955137974003,170,2015-01-20
159,"Missouri","SEC","6-11",0.49479362832173,101.79738398426,158,101.981903770262,187,63.203702946305,293,"9.4-21.6","4.3-13.7",-4.49644213301287,182,2015-01-21
