"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
304,"Montana St.","BSky","0-0",0.20875572506745,94.2187985032425,304,105.792987707568,291,67.78049058,187,"8.8-20.2","6.6-11.4",0,119,2014-11-13
305,"Montana St.","BSky","0-1",0.203167255412621,94.5567553136946,297,106.488430728276,305,68.8109877811234,107,"8.7-20.3","6.6-11.4",-0.295263231802775,271,2014-11-14
305,"Montana St.","BSky","0-1",0.202938398548723,94.5659452580901,297,106.511878125387,306,68.8089440087686,109,"8.7-20.3","6.5-11.5",-0.294993250936521,254,2014-11-15
305,"Montana St.","BSky","0-1",0.202630866079487,94.5118401372369,297,106.468548585232,306,68.798643533316,111,"8.7-20.3","6.5-11.5",-0.291434912137104,228,2014-11-16
313,"Montana St.","BSky","0-2",0.180162333486704,92.4494576033451,319,105.469603340196,290,68.4656575380879,139,"7.7-21.3","5.9-12.1",-1.13522198852881,333,2014-11-17
312,"Montana St.","BSky","0-2",0.17996016506146,92.4438978130844,319,105.475819125959,290,68.4153671204661,145,"7.7-21.3","5.9-12.1",-1.1477403092323,326,2014-11-18
314,"Montana St.","BSky","0-3",0.174554563741643,91.8482156396004,323,105.134501413488,282,68.2153019535056,154,"7.4-21.6","5.8-12.2",-2.01212625364542,350,2014-11-19
315,"Montana St.","BSky","0-3",0.174398584939785,91.8657196273201,321,105.164440047758,285,68.1132255612818,158,"7.4-21.6","5.7-12.3",-2.02733408683544,349,2014-11-20
314,"Montana St.","BSky","0-3",0.174292761443979,91.9481825505197,321,105.265569468146,291,68.1373270899149,151,"7.4-21.6","5.7-12.3",-2.01955453782784,344,2014-11-21
314,"Montana St.","BSky","0-3",0.173808913482995,91.9748669794429,322,105.326940542535,287,68.0994763622298,154,"7.3-21.7","5.7-12.3",-2.01371759710921,330,2014-11-22
317,"Montana St.","BSky","0-4",0.162306697270435,91.0697116159703,328,105.039368162703,281,68.4421916743789,123,"6.9-22.1","5.4-12.6",-2.04666608612038,318,2014-11-23
318,"Montana St.","BSky","0-4",0.161965227365036,91.0772444904299,328,105.071020003198,283,68.4251972759115,127,"6.8-22.2","5.4-12.6",-2.04646021832257,306,2014-11-24
320,"Montana St.","BSky","0-4",0.161434699714347,91.0906605095072,326,105.122267603741,287,68.3940504441919,124,"6.9-22.1","5.4-12.6",-2.04834680137494,297,2014-11-25
321,"Montana St.","BSky","0-4",0.158653074841935,91.164599523584,326,105.397071291584,292,68.4218711222822,118,"6.6-22.4","5.2-12.8",-2.06244787858595,289,2014-11-26
322,"Montana St.","BSky","0-4",0.15772702886894,91.1868402425436,325,105.486553009224,297,68.4256763510275,122,"6.6-22.4","5.2-12.8",-2.05488792045715,286,2014-11-27
303,"Montana St.","BSky","1-4",0.20220603392993,94.1134952293553,291,106.044071253226,303,68.416508253674,117,"8.4-20.6","6.1-11.9",-1.99190126572574,274,2014-11-28
306,"Montana St.","BSky","1-4",0.201808923818086,94.087421982554,292,106.037404970853,300,68.4611312149948,106,"8.6-20.4","6.3-11.7",-1.98924372918232,257,2014-11-29
315,"Montana St.","BSky","1-5",0.176278110818351,94.2282410064692,289,107.7471086497,319,67.3687929434263,158,"7.6-21.4","5.7-12.3",-2.89428434463176,306,2014-11-30
314,"Montana St.","BSky","1-5",0.176415567454612,94.2302708111641,286,107.740563154256,320,67.3500545832471,157,"7.7-21.3","5.7-12.3",-2.89406624591685,303,2014-12-01
312,"Montana St.","BSky","1-5",0.176588212383171,94.3120479076916,285,107.822927825207,321,67.5217058044517,147,"7.7-21.3","5.7-12.3",-2.89475582673072,299,2014-12-02
311,"Montana St.","BSky","1-5",0.17488446767012,94.2241049864843,285,107.832618998863,321,67.5026423587436,142,"7.5-21.5","5.6-12.4",-2.8885735387811,286,2014-12-03
313,"Montana St.","BSky","1-5",0.173312785856998,94.249550176145,282,107.964308971452,322,67.5287403855532,138,"7.6-21.4","5.6-12.4",-2.88117673189467,284,2014-12-04
314,"Montana St.","BSky","1-5",0.173137100691432,94.258275456692,282,107.985822073382,322,67.4975674499542,139,"7.6-21.4","5.6-12.4",-2.87294515610782,282,2014-12-05
310,"Montana St.","BSky","2-5",0.179544564828483,94.8480883552,278,108.245459779433,325,67.2583417915902,150,"8.2-20.8","5.8-12.2",-2.86810233465312,266,2014-12-06
310,"Montana St.","BSky","2-5",0.177340411237541,94.7987467224186,278,108.330688860466,326,67.2629432445376,144,"8-21","5.6-12.4",-2.85605394735408,262,2014-12-07
310,"Montana St.","BSky","2-5",0.177013821829012,94.7927294358029,277,108.344916245806,324,67.2532865226314,144,"8-21","5.6-12.4",-2.86439814599621,262,2014-12-08
313,"Montana St.","BSky","2-5",0.174492828341858,94.7491723776884,281,108.459136918236,324,67.2468196403033,142,"7.8-21.2","5.5-12.5",-2.85683863735158,259,2014-12-09
313,"Montana St.","BSky","2-5",0.172627557184521,94.7266703594858,281,108.556064866299,326,67.3657343885845,133,"7.8-21.2","5.4-12.6",-2.86701093066338,258,2014-12-10
312,"Montana St.","BSky","2-5",0.173058247133984,94.7469298819485,281,108.550842913572,323,67.3477425668381,132,"7.7-21.3","5.4-12.6",-2.87605803384692,257,2014-12-11
312,"Montana St.","BSky","2-5",0.172791668074934,94.7435339027256,280,108.564546729308,323,67.3530715285846,131,"7.7-21.3","5.4-12.6",-2.87525995993868,255,2014-12-12
309,"Montana St.","BSky","2-5",0.17934985076854,95.1002192695188,271,108.545685236808,324,67.5609404302897,123,"8.1-20.9","5.7-12.3",-2.8801076970445,245,2014-12-13
298,"Montana St.","BSky","2-6",0.20802790388995,97.0884656406938,237,109.05700727598,326,67.1098738684224,141,"8.8-20.2","6.4-11.6",-3.49651880109926,273,2014-12-14
298,"Montana St.","BSky","2-6",0.207778144653594,97.1340060811623,236,109.122552016726,327,67.1454612825429,140,"8.8-20.2","6.4-11.6",-3.48179638890973,271,2014-12-15
301,"Montana St.","BSky","2-6",0.209365420490571,97.2920317449258,234,109.208727530259,328,67.2468711520818,134,"8.8-20.2","6.4-11.6",-3.46324949840598,268,2014-12-16
299,"Montana St.","BSky","2-6",0.209275726980836,97.2827942698632,234,109.203504701904,326,67.3186815318483,130,"8.9-20.1","6.4-11.6",-3.4888087317698,263,2014-12-17
299,"Montana St.","BSky","2-7",0.213852304618384,95.946944602213,255,107.447302159826,309,66.843351978234,152,"8.8-20.2","6.6-11.4",-4.30568687437035,297,2014-12-18
301,"Montana St.","BSky","2-7",0.213898304469749,95.96802792717,257,107.468355792926,310,66.7996164134913,152,"8.9-20.1","6.6-11.4",-4.27925276008552,293,2014-12-19
306,"Montana St.","BSky","2-8",0.191785101354725,95.9681161029032,260,108.755129745819,322,67.1424745009508,132,"8.3-20.7","6.2-11.8",-4.90621715799035,304,2014-12-20
306,"Montana St.","BSky","2-8",0.190685414083917,95.9314951703383,261,108.780865131479,322,67.1713808174048,127,"8.3-20.7","6.2-11.8",-4.92685168864486,303,2014-12-21
308,"Montana St.","BSky","2-8",0.189607291340617,95.9749910755545,259,108.89646333307,323,67.1477748921071,126,"8.4-20.6","6.3-11.7",-4.91639845747337,293,2014-12-22
304,"Montana St.","BSky","2-9",0.196855019271503,95.9421645725356,261,108.419972133748,318,67.1980530555881,121,"8.5-20.5","6.5-11.5",-5.77619744671371,315,2014-12-23
304,"Montana St.","BSky","2-9",0.1968550192704,95.9421645725119,261,108.419972133787,318,67.1978928646282,121,"8.5-20.5","6.5-11.5",-5.7761974467102,315,2014-12-24
304,"Montana St.","BSky","2-9",0.196644782162601,95.9326640563876,261,108.421777181747,318,67.1938019477064,121,"8.5-20.5","6.5-11.5",-5.77063369008031,315,2014-12-25
304,"Montana St.","BSky","2-9",0.196734066691921,95.9271314584329,261,108.410197168544,318,67.1940846134545,121,"8.5-20.5","6.5-11.5",-5.77021762130762,315,2014-12-26
304,"Montana St.","BSky","2-9",0.195251985171711,95.9491362991589,263,108.523785785634,319,67.2211220486449,122,"8.5-20.5","6.5-11.5",-5.83377133179293,314,2014-12-27
303,"Montana St.","BSky","2-9",0.194914050612221,96.0714872916232,259,108.682508365382,319,67.1574238354075,124,"8.5-20.5","6.5-11.5",-5.84145297112246,311,2014-12-28
303,"Montana St.","BSky","2-9",0.195262871689956,95.9827382024219,261,108.56113736174,319,67.1709796341734,124,"8.5-20.5","6.5-11.5",-5.88277887280015,310,2014-12-29
