"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
163,"Morehead St.","OVC","0-0",0.512820736563873,101.090543204346,172,100.640646647142,170,69.73083699,61,"17.9-14.1","10.1-5.9",0,95,2014-11-13
156,"Morehead St.","OVC","0-1",0.534081465796624,101.09313349529,165,99.8999686911007,152,69.0636122358299,95,"18.3-13.7","10.4-5.6",-0.501403516229816,300,2014-11-14
158,"Morehead St.","OVC","0-1",0.533806312713351,101.113184642499,163,99.929390785928,151,69.0619282429947,96,"18.4-13.6","10.4-5.6",-0.501079064984254,285,2014-11-15
159,"Morehead St.","OVC","0-1",0.53216437933352,101.128337796454,158,100.001711484967,165,69.0413694058949,100,"18.3-13.7","10.4-5.6",-0.496786528616829,261,2014-11-16
159,"Morehead St.","OVC","0-1",0.531556083580516,101.102367710888,154,99.9972722590976,168,69.0376451384184,103,"18.3-13.7","10.4-5.6",-0.493797899887692,236,2014-11-17
158,"Morehead St.","OVC","0-1",0.531023137399317,101.094794794092,151,100.00839208836,164,69.019007894968,99,"18.2-13.8","10.4-5.6",-0.503125353182543,221,2014-11-18
156,"Morehead St.","OVC","0-2",0.537021191209472,101.357498764146,146,100.058329760388,171,68.7546845769614,108,"18.3-13.7","10.5-5.5",-0.821992133098623,261,2014-11-19
154,"Morehead St.","OVC","0-2",0.536764682495747,101.346504635328,148,100.056452095649,173,68.7306820152656,112,"18.3-13.7","10.5-5.5",-0.837414218352298,252,2014-11-20
157,"Morehead St.","OVC","0-3",0.521308169308735,100.883071662004,165,100.137687202259,173,68.1380882233607,150,"17.8-14.2","10.3-5.7",-1.3313833669829,296,2014-11-21
146,"Morehead St.","OVC","1-3",0.545834924215445,99.8185753025741,189,98.2354182841719,124,68.5195309836675,120,"18.5-13.5","10.7-5.3",-1.28841375367674,272,2014-11-22
148,"Morehead St.","OVC","1-4",0.540437446957805,98.5547770470538,211,97.1752957548949,109,68.4778812979623,121,"17.9-14.1","10.6-5.4",-2.15780000819159,324,2014-11-23
146,"Morehead St.","OVC","1-4",0.539793292528047,98.5757952152828,213,97.2179404205362,110,68.4799336752286,123,"17.9-14.1","10.7-5.3",-2.15744044631961,315,2014-11-24
145,"Morehead St.","OVC","1-4",0.539194852542375,98.4868181113513,215,97.150535963648,108,68.5385707090614,115,"17.9-14.1","10.6-5.4",-2.16065792445521,304,2014-11-25
135,"Morehead St.","OVC","2-4",0.575068370376496,99.1144293283489,200,96.5407705964639,95,68.656284819225,106,"19.1-12.9","11-5",-2.03294484499701,286,2014-11-26
