"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
303,"Morgan St.","MEAC","0-0",0.210699848244071,92.2060361046471,324,103.427421339261,237,69.90340553,51,"11.3-19.7","8.6-7.4",0,51,2014-11-13
298,"Morgan St.","MEAC","0-1",0.216642463278141,91.4574965759404,327,102.272734871783,212,69.4352759368385,81,"11.7-19.3","8.9-7.1",-0.412208938777543,290,2014-11-14
299,"Morgan St.","MEAC","0-1",0.216432731277672,91.4729565967005,326,102.301020050306,210,69.4335383488021,80,"11.7-19.3","8.8-7.2",-0.411894523984302,274,2014-11-15
298,"Morgan St.","MEAC","0-1",0.21784853122283,91.5351938328167,326,102.296510881099,211,69.4202501999948,83,"11.8-19.2","9-7",-0.407741612216632,247,2014-11-16
301,"Morgan St.","MEAC","0-2",0.212840408244791,90.6665695960119,332,101.587259816788,197,67.9721255798856,186,"11.3-19.7","9-7",-1.35691246831888,342,2014-11-17
301,"Morgan St.","MEAC","0-2",0.212456267765892,90.6606346046945,332,101.600878187634,197,67.9357819543094,180,"11.3-19.7","9-7",-1.36760820007649,337,2014-11-18
302,"Morgan St.","MEAC","0-2",0.212002491263158,90.6323567404313,331,101.593162611573,202,67.8925371498206,180,"11.2-19.8","8.9-7.1",-1.37694041944434,323,2014-11-19
298,"Morgan St.","MEAC","0-3",0.220649715424994,91.1387532967733,329,101.708630721851,207,66.8304288945665,251,"11.4-19.6","9.1-6.9",-1.554123132263,326,2014-11-20
300,"Morgan St.","MEAC","0-3",0.219222866585589,91.2055846144454,328,101.856848402697,211,66.8527361133061,248,"11.4-19.6","9.1-6.9",-1.54689714174392,311,2014-11-21
301,"Morgan St.","MEAC","0-4",0.213763632028595,90.1222630335437,337,100.929094361886,185,67.3010834917741,203,"11.1-19.9","8.9-7.1",-2.27510351368014,337,2014-11-22
300,"Morgan St.","MEAC","0-4",0.212832098157947,89.990073558148,335,100.82971545825,186,67.4085298494914,199,"11.2-19.8","8.9-7.1",-2.27095014390757,329,2014-11-23
