"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
270,"NJIT","Ind","0-0",0.298334583830613,96.5701007458538,266,104.02569797475,251,69.89167971,55,"12.3-16.7","0-0",0,177,2014-11-13
276,"NJIT","Ind","0-1",0.284287794408772,95.667540166265,280,103.665071530801,249,70.3258676622783,37,"12-17","0-0",-0.272387086884833,266,2014-11-14
276,"NJIT","Ind","0-1",0.283978983996147,95.6793297505215,282,103.69153514395,248,70.3239107889424,42,"12-17","0-0",-0.272129946251141,248,2014-11-15
277,"NJIT","Ind","0-1",0.283819235276446,95.6448682052395,282,103.66127055001,249,70.319229832242,44,"12-17","0-0",-0.268742267082753,223,2014-11-16
284,"NJIT","Ind","1-1",0.271442358156142,96.4909991917725,261,105.141112682075,282,70.4959077865507,38,"11.9-17.1","0-0",-0.254561306513276,196,2014-11-17
284,"NJIT","Ind","1-1",0.271000289554188,96.4817239143674,258,105.151453652481,281,70.4489033326511,37,"11.9-17.1","0-0",-0.262344926057899,179,2014-11-18
293,"NJIT","Ind","1-2",0.237781796030025,94.1955914139515,296,104.237009595923,264,70.8212900177382,30,"10.8-18.2","0-0",-0.902128445406724,284,2014-11-19
293,"NJIT","Ind","1-2",0.237748324063525,94.1865995509252,295,104.228733087961,264,70.7836144756685,29,"10.7-18.3","0-0",-0.916886311877097,269,2014-11-20
293,"NJIT","Ind","1-2",0.234143562460929,94.2172018340564,295,104.444047317377,272,70.794641465228,29,"10.6-18.4","0-0",-0.909322579686588,253,2014-11-21
299,"NJIT","Ind","1-3",0.217938815559992,93.3237889107356,302,104.290577165258,262,70.7699435085715,26,"9.5-19.5","0-0",-1.88465650861934,324,2014-11-22
298,"NJIT","Ind","1-3",0.217907739513525,93.3265559025485,304,104.295322937804,269,70.6604874665367,27,"9.5-19.5","0-0",-1.88154510258575,311,2014-11-23
291,"NJIT","Ind","1-4",0.235956842757566,93.4567285455279,303,103.510214958051,249,69.760548517331,46,"9.8-19.2","0-0",-2.35130981472965,325,2014-11-24
291,"NJIT","Ind","1-4",0.235814689616329,93.4420237895029,299,103.501026232336,250,69.6801959522685,44,"9.8-19.2","0-0",-2.35402493270961,316,2014-11-25
289,"NJIT","Ind","1-4",0.237162740421718,93.4899045473322,298,103.486855092339,247,69.6606617435213,50,"9.9-19.1","0-0",-2.37436409485993,306,2014-11-26
288,"NJIT","Ind","1-4",0.237022270930154,93.4278462593724,299,103.425144889424,247,69.6473832193174,49,"9.9-19.1","0-0",-2.36344994242675,304,2014-11-27
287,"NJIT","Ind","1-4",0.238341157680389,93.4668758711989,303,103.402879955068,244,69.6171143066173,48,"9.9-19.1","0-0",-2.38660624347319,297,2014-11-28
277,"NJIT","Ind","2-4",0.264243988416635,94.6646987607602,282,103.480881216223,242,69.3893995772728,53,"11.3-17.7","0-0",-2.18246666834318,272,2014-11-29
274,"NJIT","Ind","2-4",0.270959862165649,94.8653244006893,275,103.391646306056,237,69.4581366276263,50,"11.4-17.6","0-0",-2.19346561861113,263,2014-11-30
273,"NJIT","Ind","2-4",0.271326054578435,94.8700277072604,275,103.38011356992,240,69.4400123852869,51,"11.4-17.6","0-0",-2.19317552119998,257,2014-12-01
276,"NJIT","Ind","2-4",0.270431719258284,94.8215102888159,279,103.367937825302,236,69.4986736994674,51,"11.4-17.6","0-0",-2.19409280716264,248,2014-12-02
284,"NJIT","Ind","2-5",0.253924872217866,94.5579042851268,280,103.848496635772,244,69.6798295265155,38,"10.7-18.3","0-0",-3.12272761006608,301,2014-12-03
