"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
248,"Nebraska Omaha","Sum","0-0",0.359997541930553,100.373012057039,194,105.522685622694,287,73.80700316,3,"12.4-15.6","7-9",0,114,2014-11-13
246,"Nebraska Omaha","Sum","0-0",0.359078812519667,100.355623271867,186,105.541014522533,290,73.80700316,2,"12.4-15.6","7.1-8.9",0,151,2014-11-14
243,"Nebraska Omaha","Sum","0-0",0.358787688813519,100.350109413174,184,105.546827148814,291,73.80700316,2,"12.3-15.7","7.1-8.9",0,155,2014-11-15
233,"Nebraska Omaha","Sum","1-0",0.373240641030049,100.89111678933,168,105.542621543728,291,74.1993285861551,2,"12.7-15.3","7.2-8.8",0.00583768864367984,140,2014-11-16
234,"Nebraska Omaha","Sum","1-0",0.372672684223317,100.863753687061,164,105.536282138786,292,74.1946545862635,2,"12.7-15.3","7.3-8.7",0.00590748587582957,144,2014-11-17
235,"Nebraska Omaha","Sum","1-0",0.37284317001808,100.881945160596,160,105.548623738612,292,74.1366892112165,2,"12.7-15.3","7.3-8.7",0.00569236309416621,132,2014-11-18
234,"Nebraska Omaha","Sum","1-0",0.372238167914,100.856410223127,162,105.545659102236,291,74.1110497224348,2,"12.7-15.3","7.3-8.7",0.0055110787048972,123,2014-11-19
255,"Nebraska Omaha","Sum","1-1",0.333030982068456,100.250840150875,177,106.491743125006,311,74.7240679204343,2,"11.6-16.4","6.8-9.2",-0.807020524978997,245,2014-11-20
253,"Nebraska Omaha","Sum","1-1",0.33083001723064,100.340753829592,178,106.679286505384,311,74.7525150657411,2,"11.6-16.4","6.8-9.2",-0.804326958489181,235,2014-11-21
227,"Nebraska Omaha","Sum","2-1",0.384693859154662,102.490009342164,127,106.762460899998,311,75.1784826241123,2,"13.7-14.3","7.6-8.4",-0.274025829616372,135,2014-11-22
227,"Nebraska Omaha","Sum","2-1",0.383141235429303,102.397902678301,128,106.727418387857,310,75.2519304243487,2,"13.8-14.2","7.6-8.4",-0.271273220406555,129,2014-11-23
227,"Nebraska Omaha","Sum","2-1",0.379308087588233,102.347216425305,132,106.825428312065,310,75.3661989010737,2,"13.7-14.3","7.6-8.4",-0.271102622549302,127,2014-11-24
223,"Nebraska Omaha","Sum","2-2",0.395604256025473,102.160626068904,132,105.995835282043,304,75.5822758998985,1,"14.3-13.7","8.1-7.9",-0.82463404764889,185,2014-11-25
220,"Nebraska Omaha","Sum","2-2",0.394113888214345,102.159117849022,132,106.051774374255,302,75.5839369272759,1,"14.3-13.7","8.1-7.9",-0.843344062369247,177,2014-11-26
218,"Nebraska Omaha","Sum","2-2",0.394328306301264,102.101599337629,130,105.983789224306,302,75.589792687371,1,"14.3-13.7","8.1-7.9",-0.833316679602234,171,2014-11-27
217,"Nebraska Omaha","Sum","2-2",0.392947381002003,102.066118875044,132,106.000273723811,302,75.5562451751392,1,"14.3-13.7","8.1-7.9",-0.854556904196948,161,2014-11-28
191,"Nebraska Omaha","Sum","3-2",0.444569971414171,102.053918073612,134,104.048887746762,254,75.7876057077315,1,"15.7-12.3","8.8-7.2",-0.812157368913044,146,2014-11-29
189,"Nebraska Omaha","Sum","3-2",0.445041960784192,102.052515945187,133,104.030167436461,252,75.856568255584,1,"15.6-12.4","8.8-7.2",-0.820844159214724,143,2014-11-30
190,"Nebraska Omaha","Sum","3-2",0.444842788040871,102.129452063053,133,104.115895644042,257,75.8606705330693,1,"15.6-12.4","8.8-7.2",-0.82061521444984,145,2014-12-01
184,"Nebraska Omaha","Sum","3-3",0.451447030790813,102.049668529868,137,103.793257804618,249,75.7436157894996,2,"15.7-12.3","8.9-7.1",-1.30523407353984,180,2014-12-02
181,"Nebraska Omaha","Sum","3-3",0.451980259881745,102.175016096452,139,103.901293106964,246,75.6861544319508,2,"15.8-12.2","9-7",-1.29639514229044,171,2014-12-03
183,"Nebraska Omaha","Sum","3-3",0.44473109230958,101.983526039361,142,103.971220459202,247,75.7870835379038,2,"15.8-12.2","9-7",-1.28583485986475,169,2014-12-04
184,"Nebraska Omaha","Sum","3-3",0.443511815302611,101.952353323211,141,103.984087634193,248,75.7608170344605,2,"15.8-12.2","9-7",-1.2741026906291,167,2014-12-05
186,"Nebraska Omaha","Sum","3-3",0.442493367016295,101.962252490267,143,104.031515008052,252,75.8686231885449,2,"15.7-12.3","8.9-7.1",-1.29370743491225,165,2014-12-06
184,"Nebraska Omaha","Sum","3-3",0.442140347339301,101.97260741404,144,104.055028479555,250,76.012819515404,2,"15.8-12.2","9.1-6.9",-1.27698742870061,158,2014-12-07
200,"Nebraska Omaha","Sum","3-4",0.417953457036257,101.937148959401,145,104.915443607618,279,75.1575563944055,2,"15.1-12.9","8.8-7.2",-2.09587407953449,218,2014-12-08
202,"Nebraska Omaha","Sum","3-4",0.414464950068583,101.94120701683,146,105.050690045579,278,75.2470244326676,2,"14.9-13.1","8.6-7.4",-2.08364858713725,215,2014-12-09
202,"Nebraska Omaha","Sum","3-4",0.411435242498427,101.868112486096,147,105.089510495375,277,75.2487604020958,2,"15-13","8.7-7.3",-2.10010258675834,209,2014-12-10
204,"Nebraska Omaha","Sum","3-4",0.410746369409635,101.873391054864,147,105.120963031761,277,75.230586482114,2,"15-13","8.7-7.3",-2.11475587689522,205,2014-12-11
203,"Nebraska Omaha","Sum","3-4",0.410254640471524,101.865511103951,147,105.131406713753,277,75.2322269316165,2,"15-13","8.7-7.3",-2.11346255959002,205,2014-12-12
205,"Nebraska Omaha","Sum","3-5",0.403453495083203,101.093094946416,156,104.590232741133,259,76.4697298696206,2,"14.2-13.8","8.5-7.5",-3.01335651152469,254,2014-12-13
204,"Nebraska Omaha","Sum","3-5",0.40204408877904,101.029904282862,157,104.57812548899,260,76.4834175292731,2,"14.2-13.8","8.4-7.6",-3.02078860987532,247,2014-12-14
204,"Nebraska Omaha","Sum","3-5",0.402490977835122,101.042156809415,158,104.573906314345,262,76.5019391659899,2,"14.2-13.8","8.4-7.6",-3.00159393011804,243,2014-12-15
203,"Nebraska Omaha","Sum","3-5",0.405052717252849,101.16454735493,157,104.603738571377,263,76.4021900801452,2,"14.3-13.7","8.5-7.5",-2.97742111253396,241,2014-12-16
184,"Nebraska Omaha","Sum","4-5",0.446531036870078,102.629577091516,132,104.563595016752,263,76.1409344629445,2,"15.3-12.7","9.1-6.9",-2.9649264903526,233,2014-12-17
183,"Nebraska Omaha","Sum","4-5",0.443730156796255,102.580319714359,133,104.616520595749,262,76.16572852005,2,"15.4-12.6","9.1-6.9",-2.96453809622138,228,2014-12-18
185,"Nebraska Omaha","Sum","4-5",0.442296419439932,102.526618690979,135,104.614597298462,260,76.1760030306506,2,"15.3-12.7","9-7",-2.93385684910804,224,2014-12-19
187,"Nebraska Omaha","Sum","4-5",0.442806701458887,102.350843447381,137,104.41645991531,249,76.2957671074506,2,"15.3-12.7","9-7",-2.97537872389945,217,2014-12-20
187,"Nebraska Omaha","Sum","5-5",0.442220271525121,102.34417049944,134,104.431236845969,252,76.2244278386735,2,"15.5-12.5","9.1-6.9",-2.98346376711832,211,2014-12-21
191,"Nebraska Omaha","Sum","5-5",0.43040358866929,102.172661456267,137,104.692739400291,258,76.3572085585492,2,"15.5-12.5","9.1-6.9",-2.9734864460459,208,2014-12-22
191,"Nebraska Omaha","Sum","5-5",0.42865934653905,102.312282607365,133,104.900716561146,266,76.5252225337367,2,"15.4-12.6","9-7",-2.98003590020094,201,2014-12-23
191,"Nebraska Omaha","Sum","5-5",0.428659346537467,102.312282607337,133,104.900716561177,266,76.5250454835262,2,"15.4-12.6","9-7",-2.98003590019789,201,2014-12-24
191,"Nebraska Omaha","Sum","5-5",0.428612835590124,102.37482109757,133,104.966570652089,267,76.4823952263638,2,"15.4-12.6","9-7",-2.97519517318257,201,2014-12-25
191,"Nebraska Omaha","Sum","5-5",0.428540784016864,102.375155171011,133,104.969598633087,267,76.482707864592,2,"15.4-12.6","9-7",-2.97483320385786,201,2014-12-26
190,"Nebraska Omaha","Sum","5-5",0.426516978658391,102.360898366319,133,105.030474400246,267,76.4478152129059,2,"15.3-12.7","8.9-7.1",-3.03016952543241,199,2014-12-27
189,"Nebraska Omaha","Sum","5-5",0.424640317908395,102.320687766822,134,105.059323133863,265,76.602834632949,2,"15.2-12.8","8.8-7.2",-3.03686390405243,201,2014-12-28
208,"Nebraska Omaha","Sum","5-6",0.385271048222122,101.554192921167,147,105.765211221046,280,75.857117392356,3,"13.8-14.2","8.3-7.7",-4.03250914488953,239,2014-12-29
207,"Nebraska Omaha","Sum","5-6",0.386367323085872,101.543384212605,147,105.711418871158,278,75.667889063528,2,"13.9-14.1","8.4-7.6",-4.0473361290733,232,2014-12-30
206,"Nebraska Omaha","Sum","5-6",0.386174083798719,101.93861060483,142,106.130390402932,283,75.7916525867825,2,"13.9-14.1","8.4-7.6",-4.05791285521765,230,2014-12-31
