"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
188,"Nevada","MWC","0-0",0.468241731136355,100.553763956946,190,101.672187994465,193,67.44013634,214,"11.1-17.9","6.4-11.6",0,83,2014-11-13
166,"Nevada","MWC","1-0",0.515794085045624,101.309100072451,160,100.753890657703,175,66.8100515785712,267,"12.6-16.4","7.2-10.8",0.127428405602288,28,2014-11-14
168,"Nevada","MWC","1-0",0.515591892936606,101.331292767868,160,100.783056308259,175,66.8084191506758,268,"12.5-16.5","7.1-10.9",0.127572779749692,36,2014-11-15
167,"Nevada","MWC","1-0",0.515065038442322,101.27722232876,154,100.747756486493,180,66.8045143235269,265,"12.4-16.6","7.1-10.9",0.12949605395975,44,2014-11-16
166,"Nevada","MWC","1-0",0.51439992345615,101.248735388978,151,100.742742291529,181,66.800475454303,263,"12.5-16.5","7.1-10.9",0.130849752193961,56,2014-11-17
166,"Nevada","MWC","1-0",0.513873790274807,101.241439893825,149,100.75393457591,181,66.7802715373062,261,"12.5-16.5","7.1-10.9",0.126664545281685,66,2014-11-18
164,"Nevada","MWC","1-0",0.513183988854271,101.217656084468,150,100.754454213083,184,66.7562437393926,259,"12.5-16.5","7.2-10.8",0.123107665341033,69,2014-11-19
162,"Nevada","MWC","1-0",0.512937288936294,101.209926318059,151,100.755411039799,182,66.7438886604161,257,"12.7-16.3","7.3-10.7",0.119573872707095,76,2014-11-20
169,"Nevada","MWC","1-1",0.495483973776789,101.140800849638,155,101.299801152381,196,66.1996827990301,280,"12.2-16.8","7.2-10.8",-0.497486697354764,187,2014-11-21
181,"Nevada","MWC","1-2",0.465931841549709,100.150534333366,178,101.346220506895,198,65.4829574977272,309,"11.2-17.8","6.7-11.3",-1.02896636275367,242,2014-11-22
180,"Nevada","MWC","1-2",0.466782126858542,100.158968116902,179,101.324647303795,196,65.4005517109762,310,"11.2-17.8","6.7-11.3",-1.02498061308508,232,2014-11-23
181,"Nevada","MWC","1-3",0.464785624788612,99.1649553923102,199,100.389083384028,177,65.0585731713144,319,"10.6-18.4","6.7-11.3",-1.93304377757537,298,2014-11-24
180,"Nevada","MWC","1-3",0.464125348519487,99.1465990316631,197,100.393671408658,177,65.005766722287,315,"10.7-18.3","6.8-11.2",-1.93544256730941,289,2014-11-25
180,"Nevada","MWC","1-3",0.461907518622248,99.1488113701428,199,100.473815294062,178,65.0163090730978,312,"10.8-18.2","6.8-11.2",-1.95483475650735,282,2014-11-26
176,"Nevada","MWC","1-3",0.461691602880967,99.1402378028492,198,100.472716782229,177,65.0011181482314,310,"10.8-18.2","6.9-11.1",-1.94461233900164,281,2014-11-27
175,"Nevada","MWC","1-3",0.461009846073138,99.2416962595172,195,100.599534861367,176,64.9374581210516,305,"10.9-18.1","6.9-11.1",-1.96637619724375,273,2014-11-28
206,"Nevada","MWC","1-4",0.414359340098216,97.4636935938539,229,100.44040119899,177,64.5564999654319,313,"9.5-19.5","6.3-11.7",-2.81357578133786,305,2014-11-29
205,"Nevada","MWC","1-4",0.413595536348186,97.4785337390432,227,100.483200562673,175,64.5219187374774,308,"9.7-19.3","6.4-11.6",-2.82331504047164,301,2014-11-30
208,"Nevada","MWC","1-4",0.410929458108211,97.3158954919422,231,100.411576546972,172,64.6236140149226,304,"9.7-19.3","6.4-11.6",-2.82307295199583,298,2014-12-01
206,"Nevada","MWC","1-4",0.413290850958716,97.3972786628468,230,100.410410290195,173,64.6691249015349,303,"9.7-19.3","6.4-11.6",-2.82400458706808,293,2014-12-02
207,"Nevada","MWC","1-5",0.409630231734771,96.6986593714716,245,99.8213054338784,154,64.3780374202328,302,"9.6-19.4","6.3-11.7",-3.44724199603402,316,2014-12-03
