"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
316,"New Hampshire","AE","0-0",0.187763197731401,89.7716389690331,340,101.964684426403,202,65.44316281,329,"9.6-20.4","6.2-9.8",0,253,2014-11-13
311,"New Hampshire","AE","0-1",0.19225783833721,88.5402765223112,344,100.311006212829,163,65.7420825042005,318,"9.8-20.2","6.4-9.6",-0.440519680020891,293,2014-11-14
310,"New Hampshire","AE","0-1",0.192063916350828,88.5542564601252,344,100.337743509108,164,65.7402761643766,315,"9.8-20.2","6.5-9.5",-0.440199843042457,278,2014-11-15
309,"New Hampshire","AE","0-1",0.191791947707317,88.5721626845271,344,100.373336888817,172,65.7305290652597,316,"9.8-20.2","6.4-9.6",-0.435973106667304,253,2014-11-16
309,"New Hampshire","AE","0-1",0.191423697547564,88.5513093293652,344,100.370452818551,175,65.7253831592819,319,"9.8-20.2","6.4-9.6",-0.433035499077781,228,2014-11-17
308,"New Hampshire","AE","0-1",0.191087967633417,88.5441537970578,344,100.381286505957,174,65.6980530457174,316,"9.8-20.2","6.4-9.6",-0.442217875649555,213,2014-11-18
308,"New Hampshire","AE","0-1",0.190704000886103,88.5265302609651,343,100.383004361007,176,65.6737000246514,313,"9.7-20.3","6.3-9.7",-0.450260472112002,198,2014-11-19
314,"New Hampshire","AE","0-2",0.175902461530607,88.4731073288408,344,101.18906953543,193,65.5187701343672,313,"9-21","5.9-10.1",-1.29092248404141,308,2014-11-20
313,"New Hampshire","AE","0-2",0.176115024828815,88.509075956536,344,101.217307037512,193,65.5310063983353,311,"9.1-20.9","6-10",-1.28432647815229,294,2014-11-21
313,"New Hampshire","AE","0-2",0.175869112997408,88.5411880351832,345,101.26896123697,196,65.5085843978694,308,"9.1-20.9","6-10",-1.27937913816679,271,2014-11-22
314,"New Hampshire","AE","0-2",0.17490147627516,88.5676091624335,345,101.358133059143,199,65.5111521359814,305,"9.1-20.9","5.9-10.1",-1.27676164568356,260,2014-11-23
315,"New Hampshire","AE","0-2",0.174571195531288,88.570462892142,345,101.381588404473,200,65.511499452258,304,"9.1-20.9","5.9-10.1",-1.27659944181719,251,2014-11-24
306,"New Hampshire","AE","1-2",0.202605274400401,89.9243884047234,335,101.302132893234,195,65.5195347264716,297,"10.7-19.3","6.5-9.5",-1.21654893575103,229,2014-11-25
305,"New Hampshire","AE","1-2",0.198469035682695,89.9133891347206,333,101.517241121502,202,65.5446554106782,290,"10.5-19.5","6.4-9.6",-1.22927509833329,218,2014-11-26
305,"New Hampshire","AE","1-2",0.198366393849066,89.9052410295546,333,101.51373798883,202,65.5356470668632,289,"10.6-19.4","6.4-9.6",-1.22245891685133,211,2014-11-27
307,"New Hampshire","AE","1-2",0.198253546889656,89.9527449331542,335,101.573644710243,202,65.5017624530818,280,"10.6-19.4","6.3-9.7",-1.23688580976877,204,2014-11-28
307,"New Hampshire","AE","1-2",0.19829498535334,89.975336368289,335,101.596851683134,199,65.4464874078977,278,"10.7-19.3","6.4-9.6",-1.23480578684519,192,2014-11-29
296,"New Hampshire","AE","2-2",0.218403793273841,91.5990821031523,323,102.338932840335,210,64.7235766065787,299,"12-18","6.7-9.3",-1.02289591077208,160,2014-11-30
297,"New Hampshire","AE","2-2",0.219233332374025,91.5809835430092,323,102.275543768263,210,64.7627991927508,296,"12-18","6.7-9.3",-1.02269256723615,159,2014-12-01
296,"New Hampshire","AE","2-2",0.21851614491131,91.6062642469031,321,102.341100810733,208,64.75751216092,295,"12.1-17.9","6.9-9.1",-1.02333548066556,151,2014-12-02
283,"New Hampshire","AE","3-2",0.258623887030059,92.1035664803788,321,100.936385299116,178,64.9833438375126,277,"14.1-15.9","7.6-8.4",-0.897193729683174,143,2014-12-03
283,"New Hampshire","AE","3-2",0.258349556618424,92.0770569515468,320,100.919892876819,177,64.9805357120011,276,"14.1-15.9","7.6-8.4",-0.889097224087984,141,2014-12-04
281,"New Hampshire","AE","3-2",0.259686730989034,92.1150374673774,320,100.900373606846,176,64.9679880177306,275,"14.2-15.8","7.6-8.4",-0.880074523182421,141,2014-12-05
283,"New Hampshire","AE","3-2",0.25538592756157,91.9907438965264,319,100.961502971211,179,65.1222428643459,259,"14.3-15.7","7.8-8.2",-0.895135312084544,136,2014-12-06
283,"New Hampshire","AE","3-2",0.25472848543389,91.9564433917381,318,100.954228508599,178,65.1205794112896,258,"14.3-15.7","7.8-8.2",-0.882295767305029,134,2014-12-07
284,"New Hampshire","AE","3-2",0.254495797946346,91.8941520251218,320,100.896598440747,178,65.2028330656353,254,"14.3-15.7","7.9-8.1",-0.891190290990338,133,2014-12-08
275,"New Hampshire","AE","3-3",0.270831206621728,91.5451902734642,321,99.7787561085961,157,65.6312647075486,228,"14.3-15.7","8-8",-1.62523162179017,184,2014-12-09
270,"New Hampshire","AE","3-3",0.273600758035237,91.6502110836252,319,99.7718639224898,157,65.59373883842579,234,"14.4-15.6","8.1-7.9",-1.63893178836765,179,2014-12-10
272,"New Hampshire","AE","3-3",0.272494807175548,91.5986081711004,319,99.7640121512528,156,65.6270059782217,230,"14.4-15.6","8.1-7.9",-1.65109641619292,176,2014-12-11
271,"New Hampshire","AE","3-3",0.272354795534453,91.5983854098019,319,99.7698976623087,156,65.629115092513,230,"14.4-15.6","8.1-7.9",-1.65002411882945,176,2014-12-12
274,"New Hampshire","AE","3-3",0.272019041900014,91.5864500665123,318,99.7716007268466,156,65.601384905569,223,"14.3-15.7","8.1-7.9",-1.65653518826149,167,2014-12-13
265,"New Hampshire","AE","4-3",0.289230494592203,92.5650493833862,306,100.092659560296,160,65.3328431312893,233,"15.3-14.7","8.4-7.6",-1.57712532692859,162,2014-12-14
266,"New Hampshire","AE","4-3",0.289333912180013,92.5643505834901,306,100.087526019476,160,65.3414188430392,231,"15.3-14.7","8.4-7.6",-1.56125151594218,161,2014-12-15
