"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
86,"New Mexico St.","WAC","0-0",0.715370644884558,106.426411829082,63,98.2301819088076,113,68.24644915,147,"22.2-9.8","11.9-2.1",0,264,2014-11-13
92,"New Mexico St.","WAC","0-1",0.688647758654544,104.960931333178,86,97.9602392594148,111,68.2373682674875,150,"21.4-10.6","11.7-2.3",-0.148674937046265,250,2014-11-14
91,"New Mexico St.","WAC","0-1",0.688278681343088,104.977576932645,86,97.9904362060646,112,68.2355623441129,152,"21.3-10.7","11.6-2.4",-0.148510746829124,228,2014-11-15
91,"New Mexico St.","WAC","0-1",0.688170879203445,104.932906294683,84,97.9530180082308,116,68.2312424848683,158,"21.3-10.7","11.6-2.4",-0.146352545788848,208,2014-11-16
92,"New Mexico St.","WAC","0-1",0.68773107898913,104.907808089464,84,97.9470366453326,118,68.2267743001557,158,"21.3-10.7","11.6-2.4",-0.144865196131838,183,2014-11-17
100,"New Mexico St.","WAC","0-2",0.665743094216911,104.308290214331,95,98.2424421948932,123,68.9629017027639,104,"20.6-11.4","11.5-2.5",-0.515216367124417,224,2014-11-18
94,"New Mexico St.","WAC","1-2",0.682972819650796,104.8541868509,82,98.0849931277626,122,68.8589878189819,103,"21.1-10.9","11.6-2.4",-0.478583548528761,204,2014-11-19
94,"New Mexico St.","WAC","1-2",0.684611974803457,104.873269253643,81,98.0381941554782,122,68.7628278474055,107,"21.1-10.9","11.6-2.4",-0.492235855849138,198,2014-11-20
94,"New Mexico St.","WAC","1-2",0.683743537273311,104.898677528067,79,98.0962236827116,123,68.7170791137732,108,"21.1-10.9","11.6-2.4",-0.485225827103713,186,2014-11-21
89,"New Mexico St.","WAC","1-3",0.694437085193891,106.04960972262,62,98.7429889683864,136,68.7280648525213,106,"21-11","11.6-2.4",-0.998146065063134,238,2014-11-22
91,"New Mexico St.","WAC","1-3",0.69393545632633,105.978275080914,63,98.6968464642024,139,68.6611954969948,111,"21-11","11.7-2.3",-0.993718736695458,229,2014-11-23
90,"New Mexico St.","WAC","2-3",0.693710596288101,106.077429883659,62,98.7982819804682,142,69.5683453935479,57,"21-11","11.7-2.3",-0.981242673567496,221,2014-11-24
91,"New Mexico St.","WAC","2-3",0.69332167764706,106.063498061159,65,98.8010251300337,142,69.4872426980127,54,"21.1-10.9","11.7-2.3",-0.983800972045877,201,2014-11-25
83,"New Mexico St.","WAC","3-3",0.713341076246327,105.576484661783,71,97.5300278206046,118,69.7183052027415,46,"21.5-10.5","11.9-2.1",-1.00034827186927,191,2014-11-26
83,"New Mexico St.","WAC","3-3",0.713508075129596,105.541130076311,70,97.4904429830682,118,69.7480567626342,44,"21.4-10.6","11.9-2.1",-0.989997144505424,183,2014-11-27
84,"New Mexico St.","WAC","3-3",0.716432790700197,105.591798628629,72,97.41559706368,118,69.7574511943422,43,"21.5-10.5","12-2",-1.01197974744018,173,2014-11-28
81,"New Mexico St.","WAC","3-4",0.723759383362054,106.879007704111,59,98.2919429190177,127,70.3384931865564,29,"21.3-10.7","12-2",-1.61501553180537,223,2014-11-29
