"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
70,"New Mexico","MWC","0-0",0.746674579966893,102.962492575755,125,93.7253525926278,36,67.58805702,198,"20.2-10.8","10.6-7.4",0,225,2014-11-13
65,"New Mexico","MWC","1-0",0.758060344529337,102.898851593509,124,93.1709187839599,34,68.1130762245853,169,"20.7-10.3","10.9-7.1",0.0257259265733001,90,2014-11-14
66,"New Mexico","MWC","1-0",0.757853311852994,102.910842964666,120,93.1909209233394,34,68.1111585275149,172,"20.7-10.3","10.8-7.2",0.0257584751227119,108,2014-11-15
67,"New Mexico","MWC","2-0",0.756755749221029,103.061442264038,119,93.375771515161,39,67.4398681159138,220,"20.8-10.2","10.8-7.2",0.0655676797233714,85,2014-11-16
66,"New Mexico","MWC","2-0",0.756293892830232,103.023449200799,118,93.3617031642473,38,67.4319046470167,222,"20.8-10.2","10.8-7.2",0.0663290756479299,99,2014-11-17
65,"New Mexico","MWC","2-0",0.755878327829008,103.016557264757,120,93.3737518627164,39,67.3920551655663,226,"20.8-10.2","10.9-7.1",0.0639807093136567,96,2014-11-18
66,"New Mexico","MWC","2-0",0.755368355701965,102.981885124957,120,93.3647440937361,40,67.3385863705807,223,"20.8-10.2","10.9-7.1",0.0619979143307575,94,2014-11-19
75,"New Mexico","MWC","2-1",0.734274118611041,102.253653418901,130,93.6039350350378,39,67.3877028095136,213,"19.8-11.2","10.6-7.4",-0.557070067271258,203,2014-11-20
72,"New Mexico","MWC","3-1",0.746126239141774,102.030519165765,134,92.9003888012844,33,67.3826918715863,206,"20.5-10.5","11-7",-0.41007697238645,171,2014-11-21
74,"New Mexico","MWC","3-1",0.745721712659661,102.111103779506,136,92.9910204036546,35,67.3421544270908,200,"20.3-10.7","10.9-7.1",-0.404756334351124,160,2014-11-22
76,"New Mexico","MWC","3-2",0.732990338808148,101.690547496092,143,93.141655532849,37,66.9385376309635,231,"19.5-11.5","10.6-7.4",-0.918557884240807,217,2014-11-23
79,"New Mexico","MWC","3-2",0.732199887455366,101.700241601952,142,93.1832239861183,37,66.940028124014,225,"19.5-11.5","10.6-7.4",-0.918263294035633,212,2014-11-24
79,"New Mexico","MWC","3-2",0.730964030738341,101.805885244936,140,93.3310830522709,39,66.9180086192038,215,"19.5-11.5","10.6-7.4",-0.920627651276042,194,2014-11-25
81,"New Mexico","MWC","3-2",0.729260226521222,101.774749577193,138,93.3727181983235,42,67.0369591523945,207,"19.5-11.5","10.6-7.4",-0.939883773903304,186,2014-11-26
81,"New Mexico","MWC","3-2",0.729120779143348,101.783283941597,138,93.3862822668106,45,67.0219761088972,202,"19.5-11.5","10.6-7.4",-0.929744664966418,177,2014-11-27
83,"New Mexico","MWC","3-2",0.725873467432838,101.793222855738,139,93.5285271247175,45,66.9104095967243,199,"19.4-11.6","10.5-7.5",-0.951346766499841,169,2014-11-28
80,"New Mexico","MWC","3-2",0.725705795742891,101.839509533895,139,93.5779110126145,44,66.9103904269189,188,"19.3-11.7","10.5-7.5",-0.948180598654257,158,2014-11-29
102,"New Mexico","MWC","3-3",0.677821411148341,100.650972863827,164,94.347283966003,55,66.5284118066923,204,"17.4-13.6","9.8-8.2",-1.84172806286019,232,2014-11-30
100,"New Mexico","MWC","3-3",0.679169048426692,100.623498539246,165,94.2708737843157,54,66.5605256001077,197,"17.4-13.6","9.9-8.1",-1.84149728016521,227,2014-12-01
100,"New Mexico","MWC","3-3",0.67785578085315,100.644093732976,164,94.3395445248767,55,66.5321003971673,198,"17.3-13.7","9.8-8.2",-1.84240561708203,222,2014-12-02
96,"New Mexico","MWC","4-3",0.696093167918446,100.223079850492,178,93.2544902509923,39,65.5813768089214,246,"18-13","10-8",-1.65448832720061,199,2014-12-03
95,"New Mexico","MWC","4-3",0.69581709771964,100.187545516464,178,93.2320031763582,40,65.5886395069614,245,"18-13","10-8",-1.64417264512656,199,2014-12-04
94,"New Mexico","MWC","4-3",0.696924999303933,100.25886642002,176,93.2558720212961,42,65.5866797403319,242,"18.1-12.9","10-8",-1.63266063110228,198,2014-12-05
84,"New Mexico","MWC","5-3",0.744450514769826,100.320313356387,174,91.413361204888,24,65.4106439596525,247,"19.7-11.3","10.8-7.2",-1.07165926597016,150,2014-12-06
82,"New Mexico","MWC","5-3",0.744556597154373,100.158846777454,178,91.2618046409955,24,65.3873763857325,247,"19.8-11.2","10.9-7.1",-1.05114619774855,147,2014-12-07
81,"New Mexico","MWC","5-3",0.74418305994236,100.152895286856,179,91.2719606721733,25,65.3985861292396,245,"19.7-11.3","10.8-7.2",-1.06543887779941,145,2014-12-08
78,"New Mexico","MWC","5-3",0.746663098463853,100.148245107082,181,91.1640626871134,24,65.4044315772389,243,"19.8-11.2","10.9-7.1",-1.05244755045294,143,2014-12-09
78,"New Mexico","MWC","5-3",0.745952677382465,100.134478857148,182,91.1812773553478,24,65.3760124943565,247,"19.8-11.2","10.9-7.1",-1.06986031206219,140,2014-12-10
80,"New Mexico","MWC","5-3",0.742863063865133,99.9993618334796,185,91.1869115616345,24,65.4673859599136,241,"19.8-11.2","10.8-7.2",-1.08527098648691,138,2014-12-11
80,"New Mexico","MWC","5-3",0.742656478731558,99.9982819096194,184,91.194500386336,24,65.4702373970301,240,"19.7-11.3","10.8-7.2",-1.08391118961184,138,2014-12-12
82,"New Mexico","MWC","6-3",0.735915058964933,98.4718266560689,205,90.0759877231497,18,64.9572865438495,253,"19.6-11.4","10.7-7.3",-0.992956602763158,129,2014-12-13
80,"New Mexico","MWC","6-3",0.735861266205087,98.5455074117374,205,90.1455558882712,18,64.9177887497779,248,"19.7-11.3","10.8-7.2",-1.00078959035001,128,2014-12-14
80,"New Mexico","MWC","6-3",0.736352097359309,98.5587483232984,204,90.1378610860377,18,64.9264605818204,248,"19.7-11.3","10.8-7.2",-0.980403010919615,125,2014-12-15
82,"New Mexico","MWC","6-3",0.735634116565796,98.5844560631398,204,90.190346883792,18,64.8808167188828,248,"19.8-11.2","10.8-7.2",-0.955100364553042,123,2014-12-16
91,"New Mexico","MWC","7-3",0.716211904941505,98.269332445554,209,90.6686951374615,25,64.0990538704168,283,"19.4-11.6","10.5-7.5",-0.984930470702789,121,2014-12-17
91,"New Mexico","MWC","7-3",0.716506051302996,98.2853523085494,210,90.6720611859092,25,64.0941912739056,284,"19.4-11.6","10.5-7.5",-0.985106171961659,121,2014-12-18
92,"New Mexico","MWC","7-3",0.716710991045378,98.2747976094291,210,90.6543685668724,24,64.0417068281864,282,"19.5-11.5","10.6-7.4",-0.953415153478424,122,2014-12-19
84,"New Mexico","MWC","8-3",0.733516429513507,98.7282287200518,205,90.4072243939027,24,64.0107548009315,281,"20.5-10.5","10.9-7.1",-0.555925697664359,87,2014-12-20
85,"New Mexico","MWC","8-3",0.731697571166252,98.6140676364543,204,90.37562359165,24,64.027897323067,280,"20.5-10.5","10.9-7.1",-0.580268974285318,85,2014-12-21
86,"New Mexico","MWC","8-3",0.730242524133336,98.4967673281328,208,90.32621984678,22,63.9654821048851,282,"20.4-10.6","10.8-7.2",-0.567699373148344,87,2014-12-22
99,"New Mexico","MWC","8-4",0.696254088587291,98.0743682118518,213,91.2491433212783,27,64.3103541001867,266,"19-12","10.2-7.8",-1.44040957490989,125,2014-12-23
99,"New Mexico","MWC","8-4",0.696254088586104,98.074368211831,213,91.2491433213035,27,64.3102039007533,266,"19-12","10.2-7.8",-1.44040957490595,125,2014-12-24
99,"New Mexico","MWC","8-4",0.696009502025601,98.06239945256,213,91.2471814310882,27,64.3075355556342,266,"19-12","10.2-7.8",-1.43415666656898,127,2014-12-25
99,"New Mexico","MWC","8-4",0.695920421641772,98.0606762061301,213,91.2489183061282,27,64.3078006015257,266,"19-12","10.2-7.8",-1.43368902507311,127,2014-12-26
99,"New Mexico","MWC","8-4",0.695580042408173,98.302519101475,210,91.4867527981355,29,64.4278537626127,258,"19-12","10.2-7.8",-1.50554246746839,126,2014-12-27
98,"New Mexico","MWC","8-4",0.693785375190134,98.2270734174546,212,91.4838255028152,32,64.3615207636279,261,"18.9-12.1","10.2-7.8",-1.51310888874516,124,2014-12-28
94,"New Mexico","MWC","8-4",0.697906377053678,98.3410535126439,211,91.4350337719097,34,64.2861701612945,268,"19-12","10.3-7.7",-1.56009533084841,124,2014-12-29
99,"New Mexico","MWC","8-4",0.694108204345192,98.3198355220247,208,91.5581169634501,37,64.4669555314063,255,"19-12","10.2-7.8",-1.57914460182547,117,2014-12-30
103,"New Mexico","MWC","9-4",0.686195978302162,99.2032870595337,192,92.6785297049099,43,64.367703990894,259,"18.8-12.2","10.1-7.9",-1.52745631681784,112,2014-12-31
104,"New Mexico","MWC","9-4",0.682282397729426,99.1516874936077,192,92.776343036688,45,64.4046606531761,255,"18.7-12.3","10-8",-1.54632074992834,113,2015-01-01
104,"New Mexico","MWC","9-4",0.678936324003764,99.0950346787896,193,92.8475268358632,48,64.4261277377249,253,"18.7-12.3","9.9-8.1",-1.53016184646855,112,2015-01-02
89,"New Mexico","MWC","10-4",0.722645634304213,99.2591036140151,193,91.3284250305066,35,64.6299593575633,240,"20.2-10.8","11.4-6.6",-1.2890872528788,101,2015-01-03
87,"New Mexico","MWC","10-4",0.722550694044022,99.2047016764524,197,91.2821291803904,36,64.6676259521608,241,"20.2-10.8","11.4-6.6",-1.31980107625802,100,2015-01-04
86,"New Mexico","MWC","10-4",0.72363579773744,99.2080527708853,197,91.2422051654165,35,64.6544902501405,242,"20.2-10.8","11.4-6.6",-1.27835373897008,97,2015-01-05
97,"New Mexico","MWC","10-5",0.691615886524117,98.4337472764127,212,91.757594945408,42,64.4856507969369,245,"19.5-11.5","10.8-7.2",-1.5779139248475,108,2015-01-06
94,"New Mexico","MWC","10-5",0.696267411136536,98.6313057928835,210,91.7668196183661,41,64.423574738204,244,"19.6-11.4","10.8-7.2",-1.64396306170823,106,2015-01-07
96,"New Mexico","MWC","10-5",0.69394027220289,98.6141155822694,208,91.8384737510082,41,64.2296393033782,244,"19.6-11.4","10.8-7.2",-1.69023022844807,106,2015-01-08
96,"New Mexico","MWC","10-5",0.693884418475192,98.6093858222464,207,91.8361689344259,41,64.3921064799867,244,"19.6-11.4","10.8-7.2",-1.68133095483091,105,2015-01-09
95,"New Mexico","MWC","11-5",0.707561152868501,99.727125122602,190,92.3518431865833,44,63.9010664113216,254,"20.2-10.8","11.4-6.6",-1.33372550790931,90,2015-01-10
95,"New Mexico","MWC","11-5",0.707577828044711,99.7226118953169,191,92.3470165829508,48,63.9300055748081,254,"20.3-10.7","11.5-6.5",-1.30290506238119,90,2015-01-11
95,"New Mexico","MWC","11-5",0.707630516706331,99.7354510926481,192,92.3568609979918,48,64.0877363839819,253,"20.3-10.7","11.5-6.5",-1.31578298582297,90,2015-01-12
94,"New Mexico","MWC","11-5",0.70501141447551,99.6761490672479,192,92.4033446190462,46,63.862574365596,259,"20.2-10.8","11.4-6.6",-1.36413332875648,87,2015-01-13
93,"New Mexico","MWC","12-5",0.70981395056922,99.0983654588144,202,91.6825460138779,39,63.7361648735042,266,"20.5-10.5","11.7-6.3",-1.29584210650808,84,2015-01-14
89,"New Mexico","MWC","12-5",0.71641758251188,99.2832945142338,200,91.5961703146491,39,63.7536387506306,267,"20.5-10.5","11.7-6.3",-1.23154237184378,84,2015-01-15
89,"New Mexico","MWC","12-5",0.716570797656133,99.2978369862816,199,91.6035784594695,38,63.7138451080246,267,"20.5-10.5","11.7-6.3",-1.23321878365461,84,2015-01-16
88,"New Mexico","MWC","12-5",0.719659870320051,99.4776597937251,196,91.6477709123255,37,63.8478214192463,259,"20.5-10.5","11.7-6.3",-1.34026987227436,81,2015-01-17
97,"New Mexico","MWC","12-6",0.704632194956151,99.8243989194806,187,92.5554463949322,46,63.7494702971717,268,"19.7-11.3","10.9-7.1",-2.03800485139438,100,2015-01-18
96,"New Mexico","MWC","12-6",0.705958633624167,99.9222547595388,184,92.5947794891751,47,63.6764002690787,268,"19.7-11.3","10.9-7.1",-1.95256886334602,98,2015-01-19
95,"New Mexico","MWC","12-6",0.706755305292265,99.8433952892993,189,92.4908064507153,45,63.761147108427,266,"19.7-11.3","10.8-7.2",-1.92238662668975,96,2015-01-20
91,"New Mexico","MWC","13-6",0.713051298308416,101.361055927789,165,93.647411458093,57,63.6050727018029,274,"20.4-10.6","11.5-6.5",-1.4716750605282,86,2015-01-21
94,"New Mexico","MWC","13-6",0.712578068369517,101.473473895437,162,93.7701219581795,58,63.6141504450952,273,"20.4-10.6","11.5-6.5",-1.51185737413985,85,2015-01-22
94,"New Mexico","MWC","13-6",0.71302335365557,101.538969205934,161,93.8128995136742,59,63.4452041348703,271,"20.4-10.6","11.5-6.5",-1.5114491215005,85,2015-01-23
89,"New Mexico","MWC","13-7",0.718314117024208,101.740359647169,161,93.7866781534713,57,63.394103139625,277,"20.1-10.9","11.3-6.7",-2.20310097725825,94,2015-01-24
89,"New Mexico","MWC","13-7",0.718905544333455,101.765418778445,161,93.7859224291243,56,63.4404851507129,275,"20.1-10.9","11.3-6.7",-2.16436442242023,93,2015-01-25
89,"New Mexico","MWC","13-7",0.720126136050389,101.84711726851,160,93.8118638371148,55,63.4408221997501,276,"20.1-10.9","11.3-6.7",-2.18484457562944,94,2015-01-26
89,"New Mexico","MWC","13-7",0.720651954065175,101.856077958017,160,93.7988232830724,57,63.4082829006091,276,"20.1-10.9","11.3-6.7",-2.16341305411197,96,2015-01-27
91,"New Mexico","MWC","13-7",0.721198775967898,101.860432367236,157,93.7806664841842,56,63.4425330169808,276,"20.1-10.9","11.3-6.7",-2.048919977282,94,2015-01-28
92,"New Mexico","MWC","13-7",0.725655240859211,101.96246631775,155,93.6929621094523,53,63.4698110879572,276,"20.2-10.8","11.3-6.7",-2.06675582604402,95,2015-01-29
