"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
342,"New Orleans","Slnd","0-0",0.109432173140916,90.2217084097438,339,108.264698468144,330,71.66566162,10,"6.5-19.5","5.7-12.3",0,154,2014-11-13
341,"New Orleans","Slnd","0-0",0.109043947011751,90.2060782530578,337,108.283503645463,330,71.66566162,11,"6.5-19.5","5.8-12.2",0,162,2014-11-14
341,"New Orleans","Slnd","0-0",0.108921088947739,90.2011220428073,338,108.28946731316,331,71.66566162,11,"6.5-19.5","5.8-12.2",0,163,2014-11-15
342,"New Orleans","Slnd","0-0",0.108819084427513,90.1970034578115,338,108.294423339649,330,71.66566162,11,"6.6-19.4","5.8-12.2",0,163,2014-11-16
341,"New Orleans","Slnd","0-0",0.10861311947752,90.1886772597963,338,108.304443214929,330,71.66566162,12,"6.6-19.4","5.9-12.1",0,156,2014-11-17
340,"New Orleans","Slnd","0-0",0.10842085749732,90.1808928339354,338,108.31381195088,330,71.66566162,14,"6.5-19.5","5.8-12.2",0,140,2014-11-18
339,"New Orleans","Slnd","0-0",0.108196764307748,90.1718047121043,337,108.324750739306,332,71.66566162,12,"6.6-19.4","5.8-12.2",0,131,2014-11-19
339,"New Orleans","Slnd","0-1",0.109852924992305,91.6138002061345,323,109.89399314971,339,70.8254395988522,27,"6.6-19.4","5.9-12.1",-0.344389925713034,161,2014-11-20
339,"New Orleans","Slnd","0-1",0.109518277460799,91.613448695979,323,109.926323217294,339,70.8135219071604,28,"6.6-19.4","5.9-12.1",-0.340565368573433,153,2014-11-21
339,"New Orleans","Slnd","0-1",0.109399291604549,91.6296300831571,326,109.95740977947,339,70.8018899385053,25,"6.6-19.4","5.9-12.1",-0.337717958270021,147,2014-11-22
339,"New Orleans","Slnd","0-1",0.109123159195518,91.611348797406,324,109.962598427993,339,70.7962960063505,25,"6.5-19.5","5.9-12.1",-0.336218796335058,140,2014-11-23
339,"New Orleans","Slnd","0-1",0.110084151583725,91.5085260207904,324,109.745165651537,339,70.7782948552608,24,"6.7-19.3","6-12",-0.336126060767777,136,2014-11-24
340,"New Orleans","Slnd","0-1",0.109952291294877,91.5028229345916,321,109.751177516003,337,70.7655416527727,24,"6.8-19.2","6.1-11.9",-0.336976544057438,133,2014-11-25
340,"New Orleans","Slnd","0-1",0.110355810670872,91.424876432905,322,109.618438595527,336,70.8140101630005,21,"6.8-19.2","6.1-11.9",-0.343379327310532,121,2014-11-26
340,"New Orleans","Slnd","0-1",0.11023399586489,91.421782905952,321,109.626562408525,337,70.8227505461423,20,"6.8-19.2","6-12",-0.339936584159589,118,2014-11-27
334,"New Orleans","Slnd","0-2",0.114515588518631,91.9959478108931,316,109.90402422878,337,70.9464904257951,19,"7-19","6.2-11.8",-0.718140069385354,145,2014-11-28
337,"New Orleans","Slnd","0-2",0.114927201352163,91.9539266737946,317,109.815114744256,338,70.9635833773509,20,"7.2-18.8","6.3-11.7",-0.715979694453506,142,2014-11-29
