"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
349,"North Alabama","ASun","0-0",0.0617239057127283,81.7601509964845,353,103.588995042706,212,71.9364611297344,135,"6.4-25.6","2.6-13.4",0,142,2018-11-05
352,"North Alabama","ASun","0-1",0.0533994541937278,82.2090163438294,353,105.559170215505,264,72.2166482820853,118,"5.9-26.1","2.4-13.6",-0.672264960438485,324,2018-11-06
352,"North Alabama","ASun","0-1",0.0535533764802567,82.0673605576412,353,105.349418175076,258,72.3460722497956,116,"5.9-26.1","2.4-13.6",-0.672324350104715,319,2018-11-07
352,"North Alabama","ASun","0-1",0.0535376029811151,82.0833246209254,353,105.372763027279,259,72.3175209415788,114,"5.9-26.1","2.4-13.6",-0.675263856346153,316,2018-11-08
351,"North Alabama","ASun","0-1",0.05511017285241,82.1844097769119,353,105.222055073853,256,72.2677248247618,124,"6-26","2.4-13.6",-0.671434088597422,289,2018-11-09
351,"North Alabama","ASun","0-1",0.055130363206061,82.20464878995,353,105.244419571026,256,72.242854013352,126,"6-26","2.5-13.5",-0.674055202639706,263,2018-11-10
351,"North Alabama","ASun","0-1",0.0551159527047465,82.2150050355467,353,105.26021078828,258,72.2449304472505,128,"6-26","2.4-13.6",-0.670921775509201,248,2018-11-11
351,"North Alabama","ASun","0-1",0.0559006219091119,82.1959733202996,353,105.098970477573,251,72.3373929373661,121,"6.1-25.9","2.5-13.5",-0.66826690941124,241,2018-11-12
348,"North Alabama","ASun","0-2",0.0675090548593524,82.8266557146464,353,104.069899351184,232,72.5377520145914,115,"6.6-25.4","2.9-13.1",-1.23592834027693,299,2018-11-13
349,"North Alabama","ASun","0-2",0.0674880152418573,82.8388591424159,353,104.088258154941,227,72.5174980172898,115,"6.6-25.4","2.9-13.1",-1.22096572038994,289,2018-11-14
349,"North Alabama","ASun","0-2",0.0674072288733196,82.8401711200364,353,104.101532753863,224,72.4888189631501,111,"6.6-25.4","2.9-13.1",-1.22194127692398,282,2018-11-15
349,"North Alabama","ASun","0-2",0.0675235553947983,82.8321718408323,353,104.074745820627,224,72.4556636152797,105,"6.6-25.4","2.9-13.1",-1.23462430008267,260,2018-11-16
347,"North Alabama","ASun","0-3",0.0813125564594611,83.8527248366884,353,103.534068646506,211,72.6459238057369,95,"7.1-24.9","3.2-12.8",-1.82753907865556,304,2018-11-17
347,"North Alabama","ASun","0-3",0.0832288358832138,84.0191356600866,353,103.510828691611,212,72.6345016565074,94,"7.1-24.9","3.3-12.7",-1.82592896113733,291,2018-11-18
347,"North Alabama","ASun","0-3",0.0832004726332757,84.0175162510998,353,103.512179973036,210,72.6352193465836,93,"7.2-24.8","3.4-12.6",-1.82172940357909,284,2018-11-19
346,"North Alabama","ASun","0-3",0.0843032866685918,84.1312549816915,353,103.522857185751,211,72.6495022872351,91,"7.1-24.9","3.3-12.7",-1.81397848003784,269,2018-11-20
347,"North Alabama","ASun","0-3",0.0842084578525447,84.1083333261284,353,103.505713646581,208,72.5339022813662,98,"7.1-24.9","3.4-12.6",-1.7863942729621,259,2018-11-21
347,"North Alabama","ASun","0-3",0.0841970085467189,84.1229833836509,353,103.525078946553,208,72.5177768688398,99,"7.1-24.9","3.4-12.6",-1.78802772732026,259,2018-11-22
346,"North Alabama","ASun","0-3",0.0854788392927296,84.1860487421504,353,103.454057896372,200,72.5962387903757,86,"7.2-24.8","3.4-12.6",-1.80135633090347,250,2018-11-23
346,"North Alabama","ASun","0-4",0.0828835671152098,84.3981261503092,353,104.018740416913,216,72.3371564887328,94,"7-25","3.4-12.6",-2.66425174129952,293,2018-11-24
345,"North Alabama","ASun","0-4",0.084173057006463,84.4749356926135,353,103.961013804718,214,72.4082390165414,91,"7.1-24.9","3.4-12.6",-2.67352638371565,286,2018-11-25
345,"North Alabama","ASun","0-4",0.084161255693559,84.4833038320352,353,103.972696419016,211,72.4119270221224,91,"7.1-24.9","3.4-12.6",-2.66167798224409,284,2018-11-26
345,"North Alabama","ASun","0-4",0.0855394882154202,84.5821664042643,353,103.93382685922,211,72.4462578211728,94,"7.2-24.8","3.5-12.5",-2.67593240702939,277,2018-11-27
344,"North Alabama","ASun","0-5",0.0880645366777747,84.9934098453952,353,104.150246192131,214,72.0639283463879,107,"7.3-24.7","3.5-12.5",-3.12191592329525,291,2018-11-28
344,"North Alabama","ASun","0-5",0.0888876244073083,85.0131051352949,353,104.081969269118,213,72.0889730316569,106,"7.3-24.7","3.5-12.5",-3.13559844559296,290,2018-11-29
344,"North Alabama","ASun","0-5",0.0900242302778878,85.1153030510894,353,104.080721528937,213,72.0535596150345,108,"7.3-24.7","3.6-12.4",-3.13379351678169,290,2018-11-30
342,"North Alabama","ASun","0-6",0.0881765252256603,85.2894387849282,352,104.50033269009,220,72.2270721608251,101,"7.2-24.8","3.6-12.4",-4.02362538174273,314,2018-12-01
342,"North Alabama","ASun","0-6",0.0882406268399436,85.2908290912779,352,104.494793886933,219,72.2099421981248,100,"7.3-24.7","3.7-12.3",-4.0433109044207,313,2018-12-02
342,"North Alabama","ASun","0-6",0.0878770462291218,85.3287638173706,352,104.582435779387,222,72.1149002388942,107,"7.3-24.7","3.7-12.3",-4.04318303766208,313,2018-12-03
341,"North Alabama","ASun","0-7",0.0980262591669704,87.01475014122,350,105.537316774631,252,71.4638800130685,137,"7.5-24.5","3.9-12.1",-4.74687059093785,329,2018-12-04
342,"North Alabama","ASun","0-7",0.0983487799322384,87.0591924575884,349,105.557780899641,252,71.3710459958464,139,"7.4-24.6","3.9-12.1",-4.72533278245338,324,2018-12-05
342,"North Alabama","ASun","0-7",0.0983499374132682,87.0747992118332,349,105.576583989717,253,71.3717700401161,139,"7.4-24.6","3.9-12.1",-4.71235251281765,322,2018-12-06
342,"North Alabama","ASun","0-7",0.0986926078278047,87.0976062972159,349,105.568812786897,251,71.3735964756977,138,"7.5-24.5","3.9-12.1",-4.77560220788589,320,2018-12-07
341,"North Alabama","ASun","0-7",0.0998837588426848,87.312494614393,348,105.7067710998,252,71.2977861633824,140,"7.4-24.6","3.9-12.1",-4.80301080985956,312,2018-12-08
341,"North Alabama","ASun","0-7",0.100826845448134,87.4302379858114,347,105.753216858266,247,71.2833087737451,140,"7.5-24.5","3.9-12.1",-4.80451727901666,312,2018-12-09
341,"North Alabama","ASun","0-7",0.100784720425222,87.425365717007,347,105.751596974103,247,71.2792227041784,140,"7.5-24.5","3.9-12.1",-4.81054995714342,311,2018-12-10
340,"North Alabama","ASun","0-7",0.100841365456654,87.4371331825261,346,105.760084289543,244,71.2996766773613,139,"7.4-24.6","3.9-12.1",-4.80547637683608,307,2018-12-11
340,"North Alabama","ASun","0-7",0.100585636761026,87.4693525984796,345,105.825034991303,247,71.2716089133017,141,"7.5-24.5","3.8-12.2",-4.80389169230314,305,2018-12-12
340,"North Alabama","ASun","0-7",0.101317976723358,87.5259499412715,345,105.819235489642,247,71.3415084846879,136,"7.4-24.6","3.8-12.2",-4.80238899703488,304,2018-12-13
340,"North Alabama","ASun","0-7",0.101298842446968,87.5212617983409,345,105.815501268926,246,71.3451478215648,136,"7.4-24.6","3.8-12.2",-4.80096281968107,304,2018-12-14
334,"North Alabama","ASun","0-8",0.124792843640941,87.8363117075812,345,104.047692852955,207,70.4819630768637,180,"7.9-24.1","4.2-11.8",-5.34603018349497,313,2018-12-15
333,"North Alabama","ASun","0-8",0.127238607759626,87.94119939922,343,103.970968724709,207,70.3626467677079,187,"7.9-24.1","4.2-11.8",-5.30667829448812,312,2018-12-16
332,"North Alabama","ASun","0-8",0.129316465123332,87.9819023087858,343,103.851148792109,205,70.3868662415802,184,"7.9-24.1","4.2-11.8",-5.29761286151789,310,2018-12-17
332,"North Alabama","ASun","0-9",0.136269114798347,88.1359994029481,343,103.488195188232,190,69.7081680546548,212,"8.1-23.9","4.4-11.6",-5.85293420371895,325,2018-12-18
331,"North Alabama","ASun","0-9",0.135557890667021,87.925680231885,343,103.295623291393,184,69.6943703028676,210,"8-24","4.4-11.6",-5.89082581057568,322,2018-12-19
331,"North Alabama","ASun","0-9",0.137255664814772,87.9449389946853,344,103.18884490615,185,69.686389369723,211,"8.1-23.9","4.4-11.6",-5.88347827854314,320,2018-12-20
334,"North Alabama","ASun","0-10",0.12070426550972,87.756282787088,344,104.296707144331,214,70.1474107923104,193,"7.4-24.6","4-12",-6.79123420743241,337,2018-12-21
333,"North Alabama","ASun","0-10",0.121416769643989,87.6066443871529,345,104.058256388165,204,70.2345991008612,186,"7.4-24.6","4.1-11.9",-6.81797530653417,332,2018-12-22
333,"North Alabama","ASun","0-10",0.121043895622526,87.5855600551114,345,104.064880325304,205,70.2497920236301,188,"7.4-24.6","4.1-11.9",-6.81056601783434,332,2018-12-23
333,"North Alabama","ASun","0-10",0.120778771475994,87.5673915909069,346,104.065862484851,205,70.2508540766942,188,"7.4-24.6","4.1-11.9",-6.80883885364311,332,2018-12-24
333,"North Alabama","ASun","0-10",0.120433850371641,87.5470014695936,346,104.071057100364,205,70.2484997480894,188,"7.4-24.6","4.1-11.9",-6.80388659883819,332,2018-12-25
333,"North Alabama","ASun","0-10",0.120209361745132,87.5322747787516,346,104.072743076527,205,70.2493342985382,188,"7.4-24.6","4.1-11.9",-6.80224654443921,332,2018-12-26
333,"North Alabama","ASun","0-10",0.119969407088596,87.517693205877,346,104.075955350765,205,70.2498892185152,188,"7.4-24.6","4.1-11.9",-6.8096427370972,332,2018-12-27
334,"North Alabama","ASun","0-11",0.116085677073347,87.2723715043319,347,104.121493516314,209,70.3929281281806,178,"7.3-24.7","4-12",-6.90711713049132,330,2018-12-28
337,"North Alabama","ASun","0-11",0.116732540893468,87.1837064080485,346,103.958843715576,207,70.3563583282237,178,"7.3-24.7","4-12",-6.8840676641674,325,2018-12-29
337,"North Alabama","ASun","0-12",0.119207602722344,88.4581991246488,343,105.260610634278,230,70.3402515190657,179,"7.2-24.8","4.1-11.9",-7.78428560059032,339,2018-12-30
337,"North Alabama","ASun","0-12",0.118589951926221,88.4461005804179,344,105.300185024898,231,70.3381397531409,174,"7.1-24.9","4-12",-7.77175834366999,338,2018-12-31
337,"North Alabama","ASun","0-12",0.117743449353009,88.4034846772,343,105.323822773877,233,70.3135005552344,176,"7.1-24.9","4-12",-7.76811397382007,338,2019-01-01
337,"North Alabama","ASun","0-12",0.116991589464572,88.3348874201754,343,105.3085375207,231,70.3231547594319,175,"7.1-24.9","4-12",-7.6910713484188,332,2019-01-02
337,"North Alabama","ASun","0-12",0.12060940243306,88.3524023793556,344,105.013348431151,218,70.3859149911209,162,"7.2-24.8","4.1-11.9",-7.70661979265494,331,2019-01-03
337,"North Alabama","ASun","0-12",0.119915322246149,88.3690096715383,344,105.093022349967,218,70.3627974922919,164,"7.2-24.8","4.1-11.9",-7.69676795344651,330,2019-01-04
337,"North Alabama","ASun","0-13",0.115741537724715,89.4782885427311,341,106.78447122857,257,70.3174225889695,163,"6.9-25.1","3.9-12.1",-8.44271736798149,335,2019-01-05
337,"North Alabama","ASun","0-13",0.115023831589139,89.4994853722963,341,106.875095536344,259,70.3505624477727,160,"6.9-25.1","3.9-12.1",-8.47418079213139,335,2019-01-06
339,"North Alabama","ASun","0-13",0.114316251416012,89.4066637722425,342,106.828979754441,260,70.2321741667696,161,"6.9-25.1","3.8-12.2",-8.46092585038464,332,2019-01-07
334,"North Alabama","ASun","1-13",0.127808388397425,89.5101498303758,342,105.778789435247,235,69.8975594606872,187,"7.8-24.2","4.7-11.3",-8.45511028938402,332,2019-01-08
334,"North Alabama","ASun","1-13",0.128261833963091,89.5136518273321,342,105.745573805179,234,69.9484799031024,186,"7.8-24.2","4.7-11.3",-8.44550780367473,329,2019-01-09
335,"North Alabama","ASun","1-13",0.121167140433391,89.5767569599432,342,106.420007565397,246,70.0158367700957,177,"7.7-24.3","4.6-11.4",-8.50288616781294,326,2019-01-10
