"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
340,"North Carolina A&T","MEAC","0-0",0.112966122569955,88.1708062190813,346,105.475162187883,284,68.65623586,113,"8.2-21.8","5.9-10.1",0,192,2014-11-13
339,"North Carolina A&T","MEAC","0-0",0.112566943943446,88.1555313640535,346,105.493482833077,287,68.65623586,119,"8.3-21.7","6-10",0,174,2014-11-14
339,"North Carolina A&T","MEAC","0-0",0.112440617510288,88.1506878174029,346,105.49929284157,290,68.65623586,122,"8.3-21.7","6-10",0,170,2014-11-15
340,"North Carolina A&T","MEAC","0-0",0.112335732475818,88.1466628552739,346,105.504121171627,290,68.65623586,126,"8.5-21.5","6.1-9.9",0,168,2014-11-16
342,"North Carolina A&T","MEAC","0-1",0.10144114926921,87.188998264555,348,105.399467177581,286,67.9399674919104,189,"7.8-22.2","5.8-10.2",-0.899706875574689,312,2014-11-17
342,"North Carolina A&T","MEAC","0-1",0.101242658216959,87.1823154591847,347,105.411364469463,288,67.9214089066903,183,"7.8-22.2","5.8-10.2",-0.903023782516465,303,2014-11-18
344,"North Carolina A&T","MEAC","0-2",0.0896350985967832,87.1689388267875,347,106.636072696781,315,66.9612652398883,248,"7.1-22.9","5.4-10.6",-1.72828459081135,343,2014-11-19
343,"North Carolina A&T","MEAC","0-2",0.0895599471147471,87.1600409735956,346,106.633730266702,314,66.9397484407718,244,"7.1-22.9","5.4-10.6",-1.73586282405483,337,2014-11-20
344,"North Carolina A&T","MEAC","0-2",0.0891939630394165,87.1636899703711,346,106.679900525985,312,66.9093316774199,241,"7.2-22.8","5.5-10.5",-1.73200210257918,325,2014-11-21
345,"North Carolina A&T","MEAC","0-2",0.0890431001501534,87.1949499047984,346,106.735407234629,310,66.8785254820457,238,"7.2-22.8","5.5-10.5",-1.72908353963958,310,2014-11-22
347,"North Carolina A&T","MEAC","0-3",0.0840892255382303,86.6527569943064,346,106.651288840953,309,65.8264322621725,290,"6.8-23.2","5.3-10.7",-2.55782757070628,338,2014-11-23
347,"North Carolina A&T","MEAC","0-3",0.0838745017713222,86.6604241145689,346,106.686616529922,309,65.8201051862488,292,"6.9-23.1","5.3-10.7",-2.55767264606403,332,2014-11-24
343,"North Carolina A&T","MEAC","0-4",0.10065217281794,87.1701125728803,346,105.456256111373,296,65.3722322483467,304,"7.7-22.3","6-10",-3.42561100646399,347,2014-11-25
343,"North Carolina A&T","MEAC","0-4",0.0988374281417173,87.1313545068492,346,105.59477769062,298,65.3708348460711,300,"7.8-22.2","6-10",-3.43938071603355,345,2014-11-26
343,"North Carolina A&T","MEAC","0-4",0.0993408333266534,87.1758208794639,346,105.596873716374,298,65.3928814013026,298,"7.8-22.2","6-10",-3.43202678482552,344,2014-11-27
342,"North Carolina A&T","MEAC","0-5",0.102269905299232,87.7006490096221,345,105.934497275518,299,64.5146075516326,318,"7.6-22.4","6-10",-4.29513308672315,351,2014-11-28
344,"North Carolina A&T","MEAC","0-6",0.0933742671547705,87.0130666327307,346,106.029820409528,299,64.2833503135046,318,"6.6-23.4","5.7-10.3",-5.28246606955807,351,2014-11-29
344,"North Carolina A&T","MEAC","0-6",0.0929413882085899,87.0356810100719,346,106.104643940096,300,64.2468900261033,317,"6.7-23.3","5.7-10.3",-5.29009386534168,350,2014-11-30
344,"North Carolina A&T","MEAC","0-6",0.0930834661984955,87.0370193571598,346,106.090737479054,300,64.2437295114208,317,"6.8-23.2","5.8-10.2",-5.2898969499018,349,2014-12-01
343,"North Carolina A&T","MEAC","0-6",0.0938894082444967,87.0896443666306,346,106.067133142571,298,64.1716061736825,318,"6.8-23.2","5.8-10.2",-5.29056038792009,349,2014-12-02
345,"North Carolina A&T","MEAC","0-6",0.0913849305275113,87.08631367108,346,106.338248564035,300,64.2028988613547,312,"6.7-23.3","5.7-10.3",-5.28485704050654,347,2014-12-03
345,"North Carolina A&T","MEAC","0-7",0.0910250402117697,86.8623856883163,346,106.10487103941,296,63.6947595646405,321,"6.6-23.4","5.7-10.3",-6.01088524081846,351,2014-12-04
345,"North Carolina A&T","MEAC","0-7",0.0909386493755864,86.8561677511829,346,106.106913200026,295,63.6936901643004,321,"6.6-23.4","5.7-10.3",-6.00071601261072,351,2014-12-05
345,"North Carolina A&T","MEAC","0-8",0.0885138120658025,86.1821570509987,346,105.555684113169,286,63.0666773251551,325,"6.4-23.6","5.5-10.5",-6.90650388179528,351,2014-12-06
345,"North Carolina A&T","MEAC","0-8",0.0875121234596198,86.2024273157577,345,105.695147674283,289,63.254334876575,321,"6.3-23.7","5.4-10.6",-6.89032913575314,351,2014-12-07
345,"North Carolina A&T","MEAC","0-9",0.0892154289601127,86.5448296366565,345,105.920042043137,292,63.1860298491514,321,"6.2-23.8","5.4-10.6",-7.729074465635,351,2014-12-08
345,"North Carolina A&T","MEAC","0-9",0.0887728752355219,86.6613449857106,345,106.112998324317,294,63.3253338983973,319,"6.2-23.8","5.4-10.6",-7.71729473141303,351,2014-12-09
345,"North Carolina A&T","MEAC","0-9",0.0884045013401014,86.6270486476103,344,106.113094240674,294,63.2751630213135,321,"6.3-23.7","5.5-10.5",-7.73311923992949,351,2014-12-10
345,"North Carolina A&T","MEAC","0-9",0.0883021031162316,86.6517776261802,344,106.155120236573,296,63.2530812441626,322,"6.2-23.8","5.5-10.5",-7.74710518245291,351,2014-12-11
345,"North Carolina A&T","MEAC","0-9",0.0882090774458865,86.6514789557408,344,106.165426468381,296,63.2573252382169,321,"6.2-23.8","5.4-10.6",-7.74587403991468,351,2014-12-12
345,"North Carolina A&T","MEAC","0-9",0.0885950414770999,86.8505493715474,344,106.365020536668,299,63.4539875496855,313,"6.3-23.7","5.5-10.5",-7.75339418680988,351,2014-12-13
345,"North Carolina A&T","MEAC","0-10",0.0800102478261324,86.7125303662877,344,107.228738437127,307,62.9600579822483,320,"6-24","5.3-10.7",-8.20232962794507,351,2014-12-14
