"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
228,"North Florida","ASun","0-0",0.39234665470312,101.074279265795,173,104.993199323924,271,69.44893462,79,"16-16","8.4-5.6",0,65,2014-11-13
248,"North Florida","ASun","0-1",0.353060480483524,99.8532542167983,203,105.252653996281,280,69.4568094281749,77,"15.2-16.8","8.1-5.9",-0.347791167327341,277,2014-11-14
248,"North Florida","ASun","0-1",0.352656459398092,99.8689611071936,200,105.285407456979,284,69.4549675210967,76,"15.2-16.8","8.1-5.9",-0.347496839373761,260,2014-11-15
248,"North Florida","ASun","0-1",0.352572126755056,99.8270591799841,199,105.244613820843,284,69.4505615863757,79,"15.3-16.7","8.1-5.9",-0.343613854213929,235,2014-11-16
247,"North Florida","ASun","0-1",0.352121824111692,99.80360000438,198,105.237937832434,283,69.4460043697535,80,"15.3-16.7","8.1-5.9",-0.340922409737998,210,2014-11-17
246,"North Florida","ASun","0-1",0.351232464240691,99.7678709834661,197,105.235952395303,283,69.4711924163879,77,"15.3-16.7","8.1-5.9",-0.349355108395649,194,2014-11-18
245,"North Florida","ASun","0-1",0.350707989611893,99.7483982117346,193,105.236479938871,286,69.4462555050266,73,"15.2-16.8","8-6",-0.356789124479597,177,2014-11-19
230,"North Florida","ASun","0-2",0.372299471742551,100.606096075132,172,105.281305088869,289,69.3377803209098,73,"15.7-16.3","8.3-5.7",-0.948141312120481,280,2014-11-20
230,"North Florida","ASun","0-2",0.371581302542824,100.686247191235,171,105.393352364057,292,69.3063058850585,72,"15.8-16.2","8.3-5.7",-0.940083791146136,265,2014-11-21
245,"North Florida","ASun","0-3",0.346209933690398,99.6328385485107,195,105.29581108276,285,68.4547133863494,124,"15.2-16.8","8-6",-1.09763819259934,255,2014-11-22
247,"North Florida","ASun","0-3",0.343008909863687,99.5831079207733,193,105.373039886104,291,68.4167973934508,125,"15.1-16.9","8-6",-1.09354315952502,242,2014-11-23
245,"North Florida","ASun","0-3",0.342505192691815,99.5897330439382,185,105.400541871043,293,68.4148615837239,128,"15-17","8-6",-1.0932897319321,235,2014-11-24
227,"North Florida","ASun","1-3",0.381004760914071,99.9498238697718,175,104.257839427153,270,68.4466022997022,120,"16.2-15.8","8.3-5.7",-1.07281790027316,209,2014-11-25
223,"North Florida","ASun","2-3",0.390254758399306,100.089327160469,173,104.049491512999,263,68.3588286321596,122,"17-15","8.5-5.5",-1.01805974988767,198,2014-11-26
222,"North Florida","ASun","2-3",0.390151551049138,100.071396333408,172,104.034775032338,263,68.3407281993247,126,"16.8-15.2","8.5-5.5",-1.00731563917357,189,2014-11-27
219,"North Florida","ASun","2-3",0.389788130910794,100.142918830282,171,104.122960988977,259,68.2790859391873,126,"16.8-15.2","8.4-5.6",-1.03014193346014,178,2014-11-28
219,"North Florida","ASun","2-3",0.389256239966021,100.168008583408,172,104.169307005154,259,68.2102376434976,121,"16.7-15.3","8.3-5.7",-1.02682817416742,167,2014-11-29
