"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
43,"Notre Dame","ACC","0-0",0.812152069373195,111.423470757231,16,98.104072299565,110,65.83573932,314,"22.8-15.2","9.1-8.9",0,75,2014-11-13
36,"Notre Dame","ACC","1-0",0.830822159272779,111.466532036446,17,97.0606556086023,94,65.8276632649088,315,"23.3-14.7","9.3-8.7",0.0157541537150461,99,2014-11-14
36,"Notre Dame","ACC","1-0",0.83069188404362,111.475655934629,17,97.0764215788357,95,65.8259209667961,313,"23.2-14.8","9.3-8.7",0.015774290204547,116,2014-11-15
30,"Notre Dame","ACC","2-0",0.840151628767785,111.719319653318,16,96.7081581402857,91,66.5514363414705,284,"23.7-14.3","9.5-8.5",0.0678971995088111,83,2014-11-16
31,"Notre Dame","ACC","2-0",0.839369246705039,111.716449002007,16,96.7545787776249,96,66.5355950902359,283,"23.6-14.4","9.5-8.5",0.0686779833090695,95,2014-11-17
33,"Notre Dame","ACC","2-0",0.839025226729052,111.709534318885,15,96.7700398570664,96,66.4912785746527,277,"23.5-14.5","9.5-8.5",0.0662692706345328,93,2014-11-18
27,"Notre Dame","ACC","3-0",0.847404358624489,112.62120714813,10,97.0234748558835,103,66.3779031746785,276,"23.9-14.1","9.7-8.3",0.0795598748881037,83,2014-11-19
30,"Notre Dame","ACC","3-0",0.845684337053063,112.548330115188,10,97.0723910657152,105,66.3064109853614,281,"23.7-14.3","9.6-8.4",0.0770567081089668,88,2014-11-20
34,"Notre Dame","ACC","3-0",0.84546738822736,112.56806139561,10,97.1034371751122,104,66.2734271658836,277,"23.6-14.4","9.6-8.4",0.0783296718343712,88,2014-11-21
29,"Notre Dame","ACC","4-0",0.852064425792728,112.661581397802,10,96.7507009745121,94,66.5318353609961,258,"24.1-13.9","9.8-8.2",0.334906174852301,38,2014-11-22
28,"Notre Dame","ACC","4-1",0.851218844188069,113.533915740059,7,97.5565950538297,117,66.2288828017267,268,"23.4-14.6","9.8-8.2",-0.0349404737990726,102,2014-11-23
29,"Notre Dame","ACC","4-1",0.85108385014524,113.555212036109,7,97.583935521962,118,66.2237411578937,270,"23.4-14.6","9.8-8.2",-0.0347214088163378,96,2014-11-24
31,"Notre Dame","ACC","4-1",0.849149624249002,113.51510516393,5,97.6783225434111,121,66.1769035239645,268,"23.2-14.8","9.8-8.2",-0.0364964261038807,94,2014-11-25
32,"Notre Dame","ACC","5-1",0.84681494122881,113.814269082225,6,98.090111077577,130,65.2392971675034,303,"23.1-14.9","9.6-8.4",-0.0499868267772227,91,2014-11-26
33,"Notre Dame","ACC","5-1",0.847018139532082,113.812570457079,7,98.0752798631685,132,65.2348452439555,301,"23-15","9.6-8.4",-0.0423839363290459,89,2014-11-27
32,"Notre Dame","ACC","5-1",0.847672349041648,113.897373203933,8,98.1052010938842,127,65.1428471146087,300,"22.9-15.1","9.5-8.5",-0.0585884447199537,88,2014-11-28
