"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
215,"Oakland","Horz","0-0",0.420982253102596,104.421168699979,98,107.355864757899,316,70.36454647,32,"12.2-18.8","6.9-9.1",0,350,2014-11-13
197,"Oakland","Horz","0-1",0.446234937102991,105.476377294699,77,107.47523934665,320,70.3360934263859,36,"12.6-18.4","7.2-8.8",-0.180828450621422,253,2014-11-14
197,"Oakland","Horz","0-1",0.445968952320679,105.499683399469,77,107.509049940771,319,70.3342361002709,41,"12.6-18.4","7.2-8.8",-0.180636285824511,233,2014-11-15
196,"Oakland","Horz","0-1",0.445552211346045,105.442788188574,74,107.466833114728,320,70.3297932838207,43,"12.7-18.3","7.3-8.7",-0.178108881359869,211,2014-11-16
200,"Oakland","Horz","0-2",0.434119634598516,106.227834902161,61,108.704706306918,334,70.7094184947724,31,"12.1-18.9","7.1-8.9",-0.807920804263483,286,2014-11-17
201,"Oakland","Horz","0-2",0.43353969501132,106.221313768528,61,108.720352644263,333,70.664079651503,30,"12.1-18.9","7.1-8.9",-0.822044932499628,278,2014-11-18
209,"Oakland","Horz","0-3",0.414742928254069,106.143679506731,61,109.370456237534,337,70.3307678636168,41,"11.3-19.7","7-9",-1.72357948054243,342,2014-11-19
213,"Oakland","Horz","0-3",0.414480848272801,106.12759863847,59,109.36415496168,336,70.2887704310305,42,"11.3-19.7","6.9-9.1",-1.7394166894431,338,2014-11-20
213,"Oakland","Horz","0-3",0.413897298140001,106.129490230551,60,109.38897878502,336,70.267563450901,38,"11.3-19.7","6.9-9.1",-1.73130864202555,324,2014-11-21
214,"Oakland","Horz","0-3",0.413987493427208,106.009851762096,63,109.262133432632,335,70.3345822450199,35,"11.3-19.7","6.9-9.1",-1.72523422725652,308,2014-11-22
216,"Oakland","Horz","0-3",0.416065685419587,106.074623120026,62,109.247543363153,335,70.2841717198731,35,"11.3-19.7","6.9-9.1",-1.72202278249721,294,2014-11-23
225,"Oakland","Horz","0-4",0.386071090015887,105.385912534422,72,109.723593259017,338,69.4491858774416,62,"9.9-21.1","6.5-9.5",-2.65247528694838,342,2014-11-24
