"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
20,"Oklahoma","B12","0-0",0.878496915074496,112.771528279056,12,94.9490262231941,52,70.98771421,19,"22.3-12.7","10.4-7.6",0,142,2014-11-13
20,"Oklahoma","B12","0-0",0.878070401517693,112.751991554605,11,94.9655185175413,54,70.98771421,23,"22.4-12.6","10.4-7.6",0,161,2014-11-14
20,"Oklahoma","B12","0-0",0.877934880436517,112.745796599818,11,94.9707487028977,53,70.98771421,24,"22.4-12.6","10.4-7.6",0,162,2014-11-15
20,"Oklahoma","B12","1-0",0.884514858881328,111.942578071934,14,93.7799878495105,42,71.7448221815209,10,"22.7-12.3","10.5-7.5",0.0285537506345491,118,2014-11-16
21,"Oklahoma","B12","1-0",0.884272571626126,111.923046197426,14,93.7829484664071,42,71.7402588171265,10,"22.7-12.3","10.5-7.5",0.028887256353136,126,2014-11-17
21,"Oklahoma","B12","1-0",0.884058623472227,111.914593555965,12,93.7929018990535,44,71.7171912297698,12,"22.8-12.2","10.6-7.4",0.0278587698517536,118,2014-11-18
21,"Oklahoma","B12","1-1",0.883442588872548,110.695809689712,19,92.8198542702358,33,71.3862868763626,18,"22.2-12.8","10.6-7.4",-0.416874020113538,191,2014-11-19
21,"Oklahoma","B12","1-1",0.883340397896997,110.686700008946,20,92.8202224157189,33,71.3605664309264,17,"22.1-12.9","10.5-7.5",-0.425927748606923,182,2014-11-20
20,"Oklahoma","B12","1-1",0.883011168962087,110.693607445525,21,92.8517751553278,31,71.3273003091067,20,"22-13","10.5-7.5",-0.421288531616423,175,2014-11-21
20,"Oklahoma","B12","1-1",0.883117261389486,110.761739253335,20,92.900625202822,34,71.278362667765,18,"22-13","10.5-7.5",-0.417818463300958,164,2014-11-22
20,"Oklahoma","B12","2-1",0.886160675203807,110.255097257025,24,92.2361721598637,26,71.3454506604489,16,"22.1-12.9","10.5-7.5",-0.358858428550924,145,2014-11-23
19,"Oklahoma","B12","2-1",0.885000868912484,110.279266746855,25,92.3482621998339,27,71.3263441979515,16,"21.8-13.2","10.3-7.7",-0.358722552582452,142,2014-11-24
18,"Oklahoma","B12","2-1",0.884723471147628,110.314106412928,27,92.3993111016507,32,71.3825045474843,16,"21.8-13.2","10.2-7.8",-0.359967699338749,139,2014-11-25
18,"Oklahoma","B12","3-1",0.8898631017193,109.528234437974,33,91.3319179181268,24,71.2112112081485,17,"22.5-12.5","10.5-7.5",0.170093520881987,72,2014-11-26
16,"Oklahoma","B12","4-1",0.906619538267819,108.694936909138,41,89.200754370932,10,70.6762118055447,24,"23.6-11.4","11-7",0.874873532015064,19,2014-11-27
16,"Oklahoma","B12","4-2",0.904608552998553,107.163941755203,52,88.124445391853,7,71.0820749451474,17,"23.3-11.7","10.9-7.1",0.746085117321609,27,2014-11-28
16,"Oklahoma","B12","4-2",0.905419341099014,107.300992524268,55,88.1648081488858,7,71.0951064736726,18,"23.2-11.8","10.8-7.2",0.750271353000051,28,2014-11-29
16,"Oklahoma","B12","4-2",0.905323771120471,107.337381499352,52,88.2032628402214,8,71.0418140299485,19,"23.2-11.8","10.7-7.3",0.739422553192138,27,2014-11-30
