"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
219,"Oregon St.","P12","0-0",0.411291292706377,99.7433668213004,210,102.902892852273,222,68.48491424,124,"9.5-20.5","3.7-14.3",0,246,2014-11-13
205,"Oregon St.","P12","1-0",0.42896364881742,99.5658021321026,209,102.07372386806,204,68.2512254143023,147,"10-20","3.9-14.1",0.0772435364773817,49,2014-11-14
204,"Oregon St.","P12","1-0",0.428684417561922,99.585044008262,207,102.103571726138,202,68.2494679552832,149,"10-20","4-14",0.0773360914289467,65,2014-11-15
204,"Oregon St.","P12","1-0",0.428311811767906,99.5365006741784,205,102.067304119947,205,68.2452640335827,155,"10-20","4-14",0.078570210072446,74,2014-11-16
204,"Oregon St.","P12","1-0",0.427715565796804,99.5102941580703,203,102.062043662939,207,68.2409157796452,155,"10.1-19.9","4-14",0.0794401322873243,88,2014-11-17
204,"Oregon St.","P12","1-0",0.427195740473669,99.503001762161,202,102.073415162809,208,68.2191638535909,157,"10.1-19.9","4-14",0.076754043829367,86,2014-11-18
203,"Oregon St.","P12","1-0",0.42641779320637,99.4697830436758,199,102.067557719112,213,68.2010196139493,156,"10.1-19.9","4-14",0.074479180434035,87,2014-11-19
205,"Oregon St.","P12","1-0",0.426187221913714,99.4622470536672,199,102.068192098934,217,68.1895729262609,150,"10.1-19.9","4.1-13.9",0.0722262903964561,93,2014-11-20
187,"Oregon St.","P12","2-0",0.464166988003942,98.259815065923,221,99.4942849525204,154,67.5460498388076,193,"11.2-18.8","4.5-13.5",0.148371727841081,73,2014-11-21
187,"Oregon St.","P12","2-0",0.463130780629331,98.2586278457856,224,99.5291392001683,156,67.5518223779467,186,"11.2-18.8","4.5-13.5",0.15012634810448,77,2014-11-22
184,"Oregon St.","P12","2-0",0.462313212683241,98.2281944697371,223,99.5267690242586,158,67.5401057939661,188,"11.2-18.8","4.5-13.5",0.151060739637637,76,2014-11-23
176,"Oregon St.","P12","2-1",0.469923586855195,97.9572015743805,228,98.9885979100605,146,66.6295848265865,250,"11.2-18.8","4.6-13.4",-0.293159958188181,130,2014-11-24
178,"Oregon St.","P12","2-1",0.466664210225848,97.9602049043788,224,99.1043769606391,150,66.5695104463435,244,"11.2-18.8","4.5-13.5",-0.294553829408537,125,2014-11-25
171,"Oregon St.","P12","2-2",0.472747594513246,98.1703301300796,218,99.1062526426768,150,66.2597768314717,258,"10.9-19.1","4.6-13.4",-1.05719288790488,201,2014-11-26
169,"Oregon St.","P12","2-2",0.475377007842129,98.118149160745,216,98.9627789028124,153,66.3523969789557,250,"11-19","4.8-13.2",-1.04848819437569,192,2014-11-27
168,"Oregon St.","P12","2-2",0.47421842994222,98.0985295249214,222,98.9829724323912,148,66.3073250204352,241,"10.9-19.1","4.7-13.3",-1.06701087362122,182,2014-11-28
167,"Oregon St.","P12","2-2",0.473234298795038,98.130339120257,217,99.049062010291,145,66.2165743832121,233,"10.9-19.1","4.7-13.3",-1.06430401231259,170,2014-11-29
170,"Oregon St.","P12","2-2",0.472832110186183,98.1551727619806,215,99.0880292074369,142,66.1960521562628,226,"10.7-19.3","4.6-13.4",-1.07125581486966,165,2014-11-30
172,"Oregon St.","P12","2-2",0.473432300214997,98.1498734915849,215,99.0619371685244,141,66.2778353307173,220,"10.7-19.3","4.6-13.4",-1.07108376530809,164,2014-12-01
172,"Oregon St.","P12","2-2",0.472674300420606,98.1760214317442,218,99.1145325060707,137,66.2449297941808,216,"10.7-19.3","4.6-13.4",-1.07175598305309,159,2014-12-02
163,"Oregon St.","P12","3-2",0.497757096227512,98.3859334481124,213,98.4627187565859,128,65.3590886428997,260,"11.1-18.9","4.9-13.1",-1.061361431054,154,2014-12-03
163,"Oregon St.","P12","3-2",0.497825419071041,98.3732782805672,211,98.4477140813713,132,65.3536653302429,260,"11-19","4.9-13.1",-1.05488470025952,154,2014-12-04
164,"Oregon St.","P12","3-2",0.496539094129383,98.4498135249098,209,98.5684000117757,136,65.3742951145264,256,"11-19","4.9-13.1",-1.04766275443717,153,2014-12-05
150,"Oregon St.","P12","4-2",0.519089932287634,98.2744075622434,213,97.6237142014276,109,64.4249653141126,291,"12.1-17.9","5.1-12.9",-0.644998993163543,115,2014-12-06
151,"Oregon St.","P12","4-2",0.517233441442151,98.2432284538527,214,97.6558644116818,110,64.402468234135,293,"12.1-17.9","5-13",-0.630534847892336,111,2014-12-07
150,"Oregon St.","P12","4-2",0.517168197795812,98.2483157260017,213,97.663140182376,110,64.4059921981577,292,"12.1-17.9","5-13",-0.640613571297221,112,2014-12-08
150,"Oregon St.","P12","4-2",0.516964900260517,98.2494964128293,212,97.6712281943307,111,64.4097585984183,291,"12-18","5-13",-0.631451997497772,109,2014-12-09
150,"Oregon St.","P12","4-2",0.516317146885232,98.254437501393,211,97.6981740667837,111,64.4239805723617,289,"12-18","5-13",-0.643731096170835,105,2014-12-10
151,"Oregon St.","P12","4-2",0.516225710091025,98.2665422027972,211,97.7133211675166,110,64.4186547113543,288,"12.1-17.9","5-13",-0.654599235643387,103,2014-12-11
151,"Oregon St.","P12","4-2",0.516075604162786,98.2669002774239,212,97.7187843934271,110,64.4216036323683,288,"12.1-17.9","5-13",-0.653640192935279,104,2014-12-12
134,"Oregon St.","P12","5-2",0.574692737557082,98.6122876339182,203,96.0645061886362,86,63.4753419258507,312,"13.5-16.5","5.8-12.2",-0.528570500231326,92,2014-12-13
135,"Oregon St.","P12","5-2",0.570413390668446,98.5966901398033,203,96.1954651402399,92,63.1934169004199,314,"13.5-16.5","5.8-12.2",-0.534414098822077,91,2014-12-14
122,"Oregon St.","P12","6-2",0.610524543227365,98.5917486576076,203,94.8122938070642,67,62.8173537846964,322,"14.2-15.8","6.3-11.7",-0.518331761299849,90,2014-12-15
121,"Oregon St.","P12","6-2",0.611447232726346,98.683510022306,203,94.8685075708485,70,62.8970356178479,317,"14.2-15.8","6.3-11.7",-0.499428699614657,92,2014-12-16
124,"Oregon St.","P12","6-2",0.607780958901425,98.6436087876632,204,94.9572700067948,71,62.9837388620729,315,"14.1-15.9","6.3-11.7",-0.525595684349519,92,2014-12-17
104,"Oregon St.","P12","7-2",0.684339190707181,100.562964432649,171,94.0191375740934,54,62.3431500172237,327,"15.8-14.2","7.4-10.6",-0.383654721748946,83,2014-12-18
