"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
61,"Oregon","P12","0-0",0.763448823348692,107.998931713524,47,97.5374089757563,98,69.85630891,56,"19.1-15.9","9.4-8.6",0,209,2014-11-13
56,"Oregon","P12","1-0",0.776524712262307,108.652893821139,39,97.4999232050843,102,70.433847570719,35,"19.5-15.5","9.6-8.4",0.0159322350932536,98,2014-11-14
55,"Oregon","P12","1-0",0.776333509280238,108.666880229354,38,97.5218142389472,102,70.4318571228792,37,"19.6-15.4","9.7-8.3",0.0159525955118386,115,2014-11-15
58,"Oregon","P12","1-0",0.774124684995088,108.551567594202,37,97.5257707447221,105,70.305789706798,46,"19.5-15.5","9.6-8.4",0.0162243895024079,129,2014-11-16
57,"Oregon","P12","2-0",0.776407608491773,108.135325469789,43,97.0411751818824,102,70.6391489937727,35,"19.8-15.2","9.7-8.3",0.103887918242024,74,2014-11-17
57,"Oregon","P12","2-0",0.776021971676898,108.128419911339,41,97.0537124082789,103,70.5928682017969,34,"19.7-15.3","9.7-8.3",0.100363489754435,78,2014-11-18
57,"Oregon","P12","2-0",0.774740153142327,108.039150265961,42,97.0356671799879,104,70.5340146200668,34,"19.7-15.3","9.7-8.3",0.0973794109051432,81,2014-11-19
58,"Oregon","P12","2-0",0.775909148594651,108.097157284862,41,97.0311274824366,103,70.5245486300697,32,"19.7-15.3","9.7-8.3",0.0944248474742208,84,2014-11-20
57,"Oregon","P12","3-0",0.783271564540301,108.051885795808,40,96.6297640738132,94,70.246031032212,39,"20-15","9.7-8.3",0.307038569313338,41,2014-11-21
59,"Oregon","P12","3-0",0.784330884306668,108.28662554012,41,96.7870628758176,96,70.1644273093435,39,"20.2-14.8","9.8-8.2",0.310301217745929,44,2014-11-22
60,"Oregon","P12","3-0",0.783378946657719,108.242212791027,42,96.7946463426086,95,70.1178173590246,38,"20.2-14.8","9.8-8.2",0.312035710973333,42,2014-11-23
59,"Oregon","P12","3-1",0.7841990326969,108.178650723438,44,96.6971069463037,95,69.6309775653863,52,"19.9-15.1","9.8-8.2",-0.175973725592435,115,2014-11-24
