"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
26,"Pittsburgh","ACC","0-0",0.853653233476093,106.508344973521,61,91.3658247720433,14,65.46378026,328,"21.5-11.5","9.8-8.2",0,291,2014-11-13
25,"Pittsburgh","ACC","1-0",0.866420612701546,106.864876635204,56,90.8295622290223,15,64.9022632687817,340,"21.8-11.2","10-8",0.0345792599904247,81,2014-11-14
25,"Pittsburgh","ACC","1-0",0.866302777285319,106.874965867452,56,90.846177164543,15,64.9006663280419,340,"21.8-11.2","10-8",0.0346226117563614,99,2014-11-15
28,"Pittsburgh","ACC","2-0",0.840567963950005,106.028468964392,65,91.7571934512396,22,64.3381672068927,341,"20.6-12.4","9.2-8.8",0.074403835752194,76,2014-11-16
29,"Pittsburgh","ACC","2-0",0.840263607342779,105.990572333446,66,91.7424997356611,21,64.3305706904485,342,"20.5-12.5","9.1-8.9",0.0752649438076524,91,2014-11-17
31,"Pittsburgh","ACC","2-0",0.839955760088175,105.983497867568,64,91.7546599815835,20,64.292544748709,342,"20.6-12.4","9.2-8.8",0.0726088206897656,89,2014-11-18
32,"Pittsburgh","ACC","2-0",0.840772741000392,106.024451344565,63,91.7415195145496,20,64.2639325732124,341,"20.6-12.4","9.2-8.8",0.0703656810163386,89,2014-11-19
33,"Pittsburgh","ACC","2-0",0.842358321112678,106.059673118279,61,91.6771455369005,22,64.3047962169935,341,"20.6-12.4","9.3-8.7",0.0681499205493804,94,2014-11-20
44,"Pittsburgh","ACC","2-1",0.820008929019299,107.237982243487,51,93.9900507817652,48,63.2753488176038,345,"19-14","8.7-9.3",-0.470875359884409,183,2014-11-21
41,"Pittsburgh","ACC","2-1",0.819836168821718,107.294100009699,49,94.0488044122535,46,63.2863900247004,344,"19.2-13.8","8.8-9.2",-0.466863512596801,168,2014-11-22
40,"Pittsburgh","ACC","2-1",0.821959336603631,107.391181553369,48,94.0157676331303,50,63.2976991394331,344,"19.3-13.7","8.9-9.1",-0.464739321679012,158,2014-11-23
42,"Pittsburgh","ACC","2-1",0.820942158255256,107.418871215161,49,94.0967374794786,52,63.2368432313325,344,"19.2-13.8","8.8-9.2",-0.464607649969857,156,2014-11-24
58,"Pittsburgh","ACC","2-2",0.79124825820858,107.609171064351,49,95.8360829421961,85,62.9578724933749,343,"17.9-15.1","8.2-9.8",-0.86655155987074,189,2014-11-25
47,"Pittsburgh","ACC","3-2",0.818820598965431,108.51127277702,43,95.1724796085007,74,62.085172835902,347,"19.3-13.7","8.7-9.3",-0.5175223289392,140,2014-11-26
45,"Pittsburgh","ACC","3-2",0.818871438884918,108.489004417047,44,95.1501128150198,74,62.0782482635626,347,"19.3-13.7","8.7-9.3",-0.505508362842787,135,2014-11-27
48,"Pittsburgh","ACC","3-2",0.820043363108188,108.654523022091,40,95.2296632968242,72,62.0036722774036,347,"19.2-13.8","8.6-9.4",-0.531085081229527,131,2014-11-28
47,"Pittsburgh","ACC","3-2",0.818764590724808,108.696525703958,38,95.3380896605384,70,61.9525439504896,347,"19.1-13.9","8.5-9.5",-0.52734832194966,130,2014-11-29
48,"Pittsburgh","ACC","3-2",0.818749691663838,108.72952356174,39,95.3678648098904,78,61.9447765347015,345,"19.1-13.9","8.5-9.5",-0.537037784185575,127,2014-11-30
47,"Pittsburgh","ACC","3-2",0.818772807336301,108.706000847455,39,95.3459412446553,77,62.0138379287279,345,"19.2-13.8","8.5-9.5",-0.536794346456003,127,2014-12-01
62,"Pittsburgh","ACC","3-3",0.792445757145359,108.973571006298,38,96.9899153361335,105,61.5760077552797,346,"17.9-15.1","7.9-10.1",-0.844970983663384,143,2014-12-02
62,"Pittsburgh","ACC","3-3",0.792853514945759,109.106906495596,40,97.0876407680153,105,61.5219729652358,345,"17.8-15.2","7.9-10.1",-0.835688947901876,139,2014-12-03
60,"Pittsburgh","ACC","3-3",0.791764719244036,109.197969329892,40,97.2245948251319,109,61.5465975672393,345,"17.8-15.2","7.9-10.1",-0.824442041894396,135,2014-12-04
58,"Pittsburgh","ACC","4-3",0.79822049853579,108.953887572771,40,96.6736933288527,96,61.5379779752893,345,"18.2-14.8","8-10",-0.6933291449881,129,2014-12-05
59,"Pittsburgh","ACC","4-3",0.79688670437119,109.022534639281,42,96.8041152431637,93,61.3994811905841,343,"18.3-14.7","8-10",-0.71627466170413,121,2014-12-06
60,"Pittsburgh","ACC","4-3",0.792792345384717,109.052759599632,40,97.0426012165617,99,61.5328178607089,342,"18.1-14.9","8-10",-0.696786975962134,115,2014-12-07
59,"Pittsburgh","ACC","4-3",0.792786470069617,109.047707572994,43,97.038407369023,99,61.4996002870395,342,"18.1-14.9","8-10",-0.710357759766735,116,2014-12-08
60,"Pittsburgh","ACC","4-3",0.791327529274004,108.981202797813,43,97.0539552315447,104,61.542281067326,342,"18.1-14.9","7.9-10.1",-0.698021062302216,113,2014-12-09
60,"Pittsburgh","ACC","4-3",0.789839208238213,108.988096010853,44,97.1359957940189,104,61.6414960224857,342,"18-15","7.9-10.1",-0.714562818074776,113,2014-12-10
61,"Pittsburgh","ACC","4-3",0.790061497590132,109.013267635323,45,97.1471124876554,104,61.6463902983868,341,"18.1-14.9","8-10",-0.729245584245437,113,2014-12-11
62,"Pittsburgh","ACC","4-3",0.79001014695134,109.016153771224,45,97.1522996561422,104,61.645276929664,341,"18-15","7.9-10.1",-0.727948379047732,113,2014-12-12
64,"Pittsburgh","ACC","5-3",0.777957624559203,107.586723445343,57,96.4737387175406,94,61.5345833280889,342,"17.9-15.1","7.8-10.2",-0.588632105373718,95,2014-12-13
63,"Pittsburgh","ACC","5-3",0.777279721573179,107.43374001716,59,96.3694025130552,98,61.593348289095,339,"18.1-14.9","7.8-10.2",-0.596370371380817,96,2014-12-14
64,"Pittsburgh","ACC","5-3",0.777186088437355,107.416818888033,59,96.3587552208534,95,61.6056822916955,338,"18.1-14.9","7.8-10.2",-0.576253341950918,96,2014-12-15
64,"Pittsburgh","ACC","5-3",0.778838927320897,107.40909130814,60,96.271674098789,92,61.6020117221206,338,"18.1-14.9","7.8-10.2",-0.551353973413725,98,2014-12-16
66,"Pittsburgh","ACC","6-3",0.774900820589642,107.102641374063,64,96.1868365552093,90,61.5808929372653,339,"18.1-14.9","7.7-10.3",-0.476436997454219,88,2014-12-17
65,"Pittsburgh","ACC","6-3",0.77517640922542,107.076144415063,64,96.1498238229364,89,61.5435749103457,339,"18.1-14.9","7.7-10.3",-0.476562318774829,89,2014-12-18
67,"Pittsburgh","ACC","6-3",0.774379846563593,107.014350621415,64,96.1324877320287,86,61.5337661461321,337,"18.2-14.8","7.8-10.2",-0.443051652973088,87,2014-12-19
81,"Pittsburgh","ACC","7-3",0.742806271877836,107.397926931323,61,97.9360093821325,115,60.462718713816,342,"17.6-15.4","7.2-10.8",-0.389611229208292,78,2014-12-20
76,"Pittsburgh","ACC","7-3",0.745876725836343,107.442033874076,58,97.8388602747976,116,60.4873394816503,343,"17.6-15.4","7.2-10.8",-0.412660154603735,77,2014-12-21
76,"Pittsburgh","ACC","7-3",0.74310921084805,107.415565072621,61,97.9385830441939,118,60.5511699085698,343,"17.5-15.5","7.1-10.9",-0.400753836939702,76,2014-12-22
69,"Pittsburgh","ACC","8-3",0.767297738675082,106.559692837333,70,96.0583849374676,86,60.4138498765266,343,"18.2-14.8","7.6-10.4",-0.356899170277625,75,2014-12-23
69,"Pittsburgh","ACC","8-3",0.767297738675367,106.559692837341,70,96.0583849374615,86,60.4137072550429,343,"18.2-14.8","7.6-10.4",-0.356899170274051,75,2014-12-24
69,"Pittsburgh","ACC","8-3",0.769957503620921,106.608956234416,70,95.9778897883789,83,60.42558230083,343,"18.2-14.8","7.7-10.3",-0.351222320776405,75,2014-12-25
