"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
322,"Presbyterian","BSth","0-0",0.175670669334159,96.5244109766209,267,110.412920887317,343,66.7754251,269,"8.6-19.4","5.8-12.2",0,131,2014-11-13
323,"Presbyterian","BSth","0-1",0.163019768416773,96.1694082266981,270,110.870848759781,343,66.8792131882234,261,"8.2-19.8","5.5-12.5",-0.0513914350238074,240,2014-11-14
322,"Presbyterian","BSth","0-1",0.163303188290775,96.1737344912746,272,110.855825281018,343,66.8067438354458,269,"8.2-19.8","5.5-12.5",-0.0513282030006786,218,2014-11-15
322,"Presbyterian","BSth","0-1",0.163216388660538,96.157900107168,270,110.843697782913,342,66.802917863488,266,"8.2-19.8","5.5-12.5",-0.0504985295987615,197,2014-11-16
322,"Presbyterian","BSth","0-1",0.162945364265986,96.1447803610541,269,110.847713052261,342,66.7990569293231,264,"8-20","5.4-12.6",-0.0499283478568847,172,2014-11-17
322,"Presbyterian","BSth","0-1",0.163076039175247,96.1332087815451,264,110.825141612692,342,66.7977905288662,259,"8.1-19.9","5.4-12.6",-0.0517282422281962,149,2014-11-18
320,"Presbyterian","BSth","0-1",0.16277441993021,96.1209668274897,260,110.832341188597,344,66.7765897930227,256,"8.1-19.9","5.5-12.5",-0.053348264464941,135,2014-11-19
320,"Presbyterian","BSth","0-1",0.162658942165878,96.1165640555129,258,110.835433376787,343,66.7652681540876,255,"8.2-19.8","5.5-12.5",-0.0550472468741619,122,2014-11-20
326,"Presbyterian","BSth","0-2",0.149350270739605,95.115440236901,284,110.649782903968,343,66.1302701776722,286,"7.6-20.4","5.1-12.9",-0.930683859580141,263,2014-11-21
331,"Presbyterian","BSth","0-3",0.137377920223458,93.2374263801275,303,109.388886574519,337,66.6347800848228,253,"7.1-20.9","4.9-13.1",-1.71954136355119,305,2014-11-22
333,"Presbyterian","BSth","0-4",0.131949479177452,92.9010360920152,306,109.436686057875,336,65.9773124979456,286,"7-21","4.9-13.1",-2.2143810569938,325,2014-11-23
332,"Presbyterian","BSth","0-4",0.131726381476828,92.9067325394438,306,109.461948077317,335,65.9772494713711,287,"7-21","4.9-13.1",-2.21413463014672,316,2014-11-24
330,"Presbyterian","BSth","0-4",0.131452482148956,92.8946223988582,306,109.470493879722,336,65.9142093069084,282,"7-21","5-13",-2.21624172149798,305,2014-11-25
