"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
152,"Quinnipiac","MAAC","0-0",0.537447357156594,104.414370404141,99,103.060656180601,228,70.24391454,35,"17.6-12.4","11.3-8.7",0,300,2014-11-13
149,"Quinnipiac","MAAC","1-0",0.546613353362521,105.058963126071,85,103.364459882774,238,69.6961539358112,63,"18.2-11.8","11.4-8.6",0.214373916015639,12,2014-11-14
148,"Quinnipiac","MAAC","1-0",0.546301304198731,105.081592652729,85,103.398044231502,239,69.6944269036182,62,"18.3-11.7","11.4-8.6",0.214592571775344,15,2014-11-15
149,"Quinnipiac","MAAC","1-0",0.545967082127728,105.026209370613,83,103.355665938983,238,69.6902957755087,63,"18.3-11.7","11.4-8.6",0.217500683561865,21,2014-11-16
149,"Quinnipiac","MAAC","1-0",0.545374938835645,104.99693634124,82,103.348321307858,239,69.6860228310539,66,"18.3-11.7","11.5-8.5",0.219542329593317,28,2014-11-17
145,"Quinnipiac","MAAC","1-1",0.55108417504248,103.563577694505,111,101.73334018674,203,69.901657514918,59,"17.8-12.2","11.5-8.5",-0.58552506489431,235,2014-11-18
146,"Quinnipiac","MAAC","1-1",0.550398466417257,103.528921392883,111,101.723807744559,207,69.8498973308881,57,"17.7-12.3","11.4-8.6",-0.596115366594587,225,2014-11-19
145,"Quinnipiac","MAAC","1-1",0.550143877596908,103.51823075428,111,101.722402873499,208,69.8235116450973,56,"17.8-12.2","11.4-8.6",-0.606691639248591,213,2014-11-20
145,"Quinnipiac","MAAC","1-1",0.550786941696817,103.562514012503,108,101.742923797475,207,69.8225802776163,52,"17.7-12.3","11.4-8.6",-0.601298787370237,203,2014-11-21
141,"Quinnipiac","MAAC","2-1",0.556018763540783,104.163989402979,97,102.145630452757,219,69.1761491812121,75,"18.5-11.5","11.6-8.4",-0.230935566631764,127,2014-11-22
