"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
296,"Rice","CUSA","0-0",0.222020709694855,92.725078076789,321,103.407375636644,236,67.41010805,219,"8.3-20.7","4.6-13.4",0,32,2014-11-13
302,"Rice","CUSA","0-1",0.20982377680493,91.9784090762916,322,103.219435838174,234,67.1800867501973,239,"7.7-21.3","4.3-13.7",-0.487184332525467,299,2014-11-14
302,"Rice","CUSA","0-1",0.209565255741921,91.9945347470877,321,103.251537288593,233,67.1783568728414,241,"7.8-21.2","4.4-13.6",-0.486860097861679,284,2014-11-15
302,"Rice","CUSA","0-1",0.209433919188288,91.9526401309928,322,103.211633511282,235,67.1742189277303,244,"7.8-21.2","4.3-13.7",-0.482571553079299,259,2014-11-16
303,"Rice","CUSA","0-1",0.209075946544576,91.9295779454327,323,103.205160862062,237,67.1699389155406,240,"7.8-21.2","4.3-13.7",-0.479586939446698,234,2014-11-17
303,"Rice","CUSA","0-1",0.208719424003404,91.9227611241731,323,103.216869154609,240,67.1485283654671,240,"7.8-21.2","4.4-13.6",-0.488905220381416,219,2014-11-18
304,"Rice","CUSA","1-1",0.207184444609319,91.985063499482,322,103.370562420691,244,67.0440733803249,243,"8.1-20.9","4.4-13.6",-0.465392088421675,202,2014-11-19
304,"Rice","CUSA","1-1",0.207038662452746,91.982596056073,319,103.375769370295,246,67.0118527137661,237,"8.1-20.9","4.4-13.6",-0.474678753872351,194,2014-11-20
304,"Rice","CUSA","1-1",0.208336518690973,92.2280196457391,315,103.580527636019,254,67.0831759549773,229,"8.1-20.9","4.3-13.7",-0.46992431951306,182,2014-11-21
306,"Rice","CUSA","1-2",0.200951966487795,92.3992353575877,314,104.183064387135,259,66.7355755597912,251,"7.4-21.6","4.1-13.9",-1.31037136989564,273,2014-11-22
306,"Rice","CUSA","1-2",0.200452170437675,92.3581786231513,315,104.164987756234,263,66.7183040468022,245,"7.6-21.4","4.2-13.8",-1.30760282537552,261,2014-11-23
305,"Rice","CUSA","1-2",0.200125219174491,92.4043834432324,313,104.235599329112,266,66.851273514085,234,"7.6-21.4","4.2-13.8",-1.30743119411234,252,2014-11-24
305,"Rice","CUSA","1-2",0.203897073254681,92.5541965965824,311,104.192380682467,267,66.7675447131594,228,"7.7-21.3","4.3-13.7",-1.30900360000797,239,2014-11-25
304,"Rice","CUSA","1-2",0.203462749762601,92.546391764366,308,104.20785660549,266,66.7941774565194,225,"7.7-21.3","4.4-13.6",-1.32072507736296,228,2014-11-26
302,"Rice","CUSA","1-3",0.208813977564034,93.370655019863,300,104.837440367556,281,66.2003038632176,258,"7.6-21.4","4.5-13.5",-2.11893326019467,291,2014-11-27
305,"Rice","CUSA","1-4",0.201463348910264,94.1184019696212,290,106.092122105329,304,66.2005116341021,252,"7.1-21.9","4.3-13.7",-2.95902343494404,317,2014-11-28
305,"Rice","CUSA","1-4",0.202349836216446,94.1186550182999,290,106.041667231053,301,66.2637841494025,228,"7.2-21.8","4.4-13.6",-2.95566616386034,311,2014-11-29
306,"Rice","CUSA","1-4",0.201943738947145,94.142669923731,291,106.091950519331,299,66.2376070649997,223,"7.3-21.7","4.5-13.5",-2.96444614336032,309,2014-11-30
306,"Rice","CUSA","1-4",0.202199750855856,94.1458835586596,289,106.080924663418,299,66.2153995054998,225,"7.3-21.7","4.5-13.5",-2.96422267224073,306,2014-12-01
306,"Rice","CUSA","1-4",0.201359901500821,94.1488822325238,288,106.132415462317,299,66.1874328392873,221,"7.2-21.8","4.4-13.6",-2.96501788331144,300,2014-12-02
308,"Rice","CUSA","1-5",0.179876990900761,93.3206124115055,306,106.481344576404,303,65.3889355786536,258,"5.9-23.1","4-14",-3.94069990660283,327,2014-12-03
308,"Rice","CUSA","1-5",0.180343261077243,93.3251537073317,306,106.457292779377,301,65.3495874435923,261,"5.9-23.1","4-14",-3.93250685147109,323,2014-12-04
309,"Rice","CUSA","1-5",0.180295625376728,93.3130010278612,307,106.446413181946,299,65.3329230960521,259,"5.9-23.1","4-14",-3.92336460857422,321,2014-12-05
306,"Rice","CUSA","1-5",0.182239889882764,93.2725822179702,305,106.279163794508,294,65.4448029554521,245,"6.1-22.9","4.2-13.8",-3.93856327848523,310,2014-12-06
306,"Rice","CUSA","1-5",0.181019813934209,93.1988026114313,303,106.270920915187,294,65.4956044279569,242,"6.1-22.9","4.2-13.8",-3.92565091443304,309,2014-12-07
305,"Rice","CUSA","1-5",0.181441364251414,93.2292353859349,303,106.279364233825,294,65.4898701071566,241,"6.1-22.9","4.1-13.9",-3.93464012226137,308,2014-12-08
308,"Rice","CUSA","1-5",0.181431497004627,93.2439748372161,304,106.296780999184,295,65.4704097243155,239,"6.1-22.9","4.1-13.9",-3.9264755323594,308,2014-12-09
307,"Rice","CUSA","1-5",0.181964988272546,93.2148128713278,303,106.230386894401,295,65.4810980403849,240,"6.2-22.8","4.2-13.8",-3.9374245439825,308,2014-12-10
308,"Rice","CUSA","1-5",0.181511881459855,93.2164583790405,304,106.260412136101,297,65.4981715836832,240,"6.1-22.9","4.2-13.8",-3.94710400451197,305,2014-12-11
308,"Rice","CUSA","1-5",0.181436107249637,93.2173391453475,304,106.266129849645,297,65.4948807129495,239,"6.1-22.9","4.2-13.8",-3.94625073644144,305,2014-12-12
306,"Rice","CUSA","1-5",0.183302140637871,93.2509895240844,302,106.188871097604,297,65.5674065322426,225,"6.1-22.9","4.2-13.8",-3.95153954166151,301,2014-12-13
309,"Rice","CUSA","1-5",0.183177173731364,93.1722222770455,303,106.10687938446,295,65.6473045159531,218,"6-23","4.1-13.9",-3.95608361547215,295,2014-12-14
308,"Rice","CUSA","1-5",0.185435557511995,93.2767628981071,301,106.08726243814,296,65.7065710061563,216,"6-23","4-14",-3.94426234343546,295,2014-12-15
309,"Rice","CUSA","1-5",0.183361485564465,93.1187833361075,304,106.034667534054,294,65.8329453036872,208,"6-23","4-14",-3.92952461753301,295,2014-12-16
309,"Rice","CUSA","1-5",0.183359755706071,93.1398828194442,302,106.058800128217,290,65.8026421583899,206,"6-23","4-14",-3.94990622856232,290,2014-12-17
309,"Rice","CUSA","1-5",0.187160081304263,93.2099544734927,302,105.906460140261,289,65.8663357634062,199,"6.2-22.8","4.2-13.8",-3.94996056408268,286,2014-12-18
309,"Rice","CUSA","1-5",0.188551425479877,93.2746998850554,299,105.896014489544,288,65.8798057920465,201,"6.3-22.7","4.3-13.7",-3.93164156272726,282,2014-12-19
308,"Rice","CUSA","1-5",0.186240653507735,93.2285776280598,298,105.983408996868,285,66.0147719925048,191,"6.3-22.7","4.3-13.7",-3.95594428063303,273,2014-12-20
309,"Rice","CUSA","1-5",0.187058797091637,93.245159063634,298,105.952595098843,285,66.1146770268325,184,"6.2-22.8","4.2-13.8",-3.9676855247,267,2014-12-21
312,"Rice","CUSA","1-6",0.178226597798388,93.324731429103,297,106.590061024894,298,66.1037986417622,186,"5.5-23.5","4-14",-4.84910939986802,290,2014-12-22
