"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
130,"Rutgers","B10","0-0",0.58259978648565,102.763052705871,132,99.8261122047303,147,69.18970733,87,"12.1-19.9","4.3-13.7",0,327,2014-11-13
128,"Rutgers","B10","0-0",0.581629242779363,102.745249866139,128,99.8434516308567,147,69.18970733,90,"12-20","4.3-13.7",0,226,2014-11-14
129,"Rutgers","B10","0-0",0.581321340433605,102.739604713723,124,99.8489504662951,147,69.18970733,90,"12-20","4.3-13.7",0,208,2014-11-15
154,"Rutgers","B10","0-1",0.542261558344547,101.034656715942,162,99.5568427442198,151,69.257281177678,87,"10.7-21.3","3.7-14.3",-0.697767516316939,297,2014-11-16
155,"Rutgers","B10","0-1",0.5417660870315,101.011439968418,158,99.5512425294423,150,69.2531679004919,89,"10.6-21.4","3.6-14.4",-0.695240276048783,270,2014-11-17
152,"Rutgers","B10","0-1",0.541228898847634,101.003815986955,154,99.5624590807056,150,69.2325835263173,87,"10.6-21.4","3.6-14.4",-0.703087752884644,260,2014-11-18
135,"Rutgers","B10","1-1",0.567113637328482,99.9059259244698,189,97.5869131709164,112,68.7646361622575,107,"11.2-20.8","3.9-14.1",-0.691303218309588,240,2014-11-19
135,"Rutgers","B10","1-1",0.566840099362061,99.8942725401118,188,97.584984060458,112,68.7383795250148,110,"11.2-20.8","3.9-14.1",-0.698676050732447,229,2014-11-20
136,"Rutgers","B10","1-1",0.565547415415593,99.9565740763251,190,97.6905432451699,112,68.7726652573965,105,"11.2-20.8","4-14",-0.69491262177258,218,2014-11-21
137,"Rutgers","B10","1-1",0.565269139406232,99.9887677875477,185,97.731630953264,114,68.7486622231377,105,"11.3-20.7","4.1-13.9",-0.692077744482171,197,2014-11-22
139,"Rutgers","B10","2-1",0.562479253113287,100.141388822076,180,97.9774135255547,123,68.7779281265939,101,"11.5-20.5","4-14",-0.605389534317399,184,2014-11-23
138,"Rutgers","B10","2-1",0.561779908039801,100.148451660035,173,98.008535255894,123,68.7747111596254,103,"11.5-20.5","4.1-13.9",-0.605263845657382,175,2014-11-24
171,"Rutgers","B10","2-2",0.480371639909878,98.581134019354,212,99.2568237967556,155,68.3747649585187,125,"9.3-22.7","3.2-14.8",-1.52549172056858,258,2014-11-25
169,"Rutgers","B10","2-2",0.478711941153258,98.5689523747877,214,99.3019639300204,155,68.3219442174929,124,"9.3-22.7","3.2-14.8",-1.53613037883075,247,2014-11-26
168,"Rutgers","B10","2-2",0.478355206272377,98.553636769583,212,99.2988775890891,159,68.300557002282,128,"9.3-22.7","3.2-14.8",-1.53044537357686,243,2014-11-27
165,"Rutgers","B10","3-2",0.493544004110199,99.7098083674646,178,99.9339771592013,165,67.6357730336024,158,"10.2-21.8","3.3-14.7",-1.02564496955068,177,2014-11-28
168,"Rutgers","B10","3-3",0.471242507476185,96.6830612360886,244,97.656075883508,120,66.7989629382854,195,"9.8-22.2","3.1-14.9",-1.16729307206127,186,2014-11-29
171,"Rutgers","B10","3-3",0.469563473089381,96.6953921001751,246,97.725787832029,120,66.8085849845698,193,"9.8-22.2","3.1-14.9",-1.17644338901669,184,2014-11-30
159,"Rutgers","B10","4-3",0.49994294748579,98.0591597188933,219,98.0611056587673,126,66.0421395629689,238,"11-21","3.4-14.6",-0.565441838355321,128,2014-12-01
158,"Rutgers","B10","4-3",0.499269666495318,98.113443125115,220,98.1383699730494,124,65.9916188650688,235,"10.9-21.1","3.3-14.7",-0.566535311585082,122,2014-12-02
161,"Rutgers","B10","4-3",0.501025430486631,98.0337005467343,219,97.9987409082065,118,66.0081439873131,222,"11-21","3.5-14.5",-0.557429709194283,121,2014-12-03
161,"Rutgers","B10","4-3",0.501084964990811,97.9670366376724,217,97.9300728399935,121,65.9897072170466,221,"11-21","3.5-14.5",-0.546422808494272,119,2014-12-04
161,"Rutgers","B10","4-3",0.500644369726581,97.9576721356354,217,97.9357194677154,121,65.9898552849422,219,"11-21","3.4-14.6",-0.534196032701592,119,2014-12-05
177,"Rutgers","B10","4-4",0.460305207537095,96.4233364657251,251,97.7667219987909,112,66.5716950946467,183,"10.4-21.6","3.1-14.9",-1.02127563936258,146,2014-12-06
178,"Rutgers","B10","4-4",0.462242020495779,96.396088520273,251,97.672875114426,112,66.6769142651615,175,"10.3-21.7","3.2-14.8",-0.999541011581635,143,2014-12-07
177,"Rutgers","B10","4-4",0.463103692425658,96.4340130248128,251,97.681856990566,113,66.7035119417559,175,"10.3-21.7","3.1-14.9",-1.01463616025324,142,2014-12-08
182,"Rutgers","B10","5-4",0.450444864908538,95.1580122375652,273,96.8179235392391,98,66.7996390822765,169,"10.3-21.7","3.1-14.9",-0.922428345267548,135,2014-12-09
182,"Rutgers","B10","5-4",0.451396733536658,95.2465132099973,273,96.8755768077676,99,66.8991561612932,164,"10.3-21.7","3-15",-0.941913308685611,131,2014-12-10
179,"Rutgers","B10","5-4",0.453357924361299,95.3016512557569,273,96.8649532043375,99,66.8789444425376,161,"10.3-21.7","3-15",-0.959247957013162,130,2014-12-11
179,"Rutgers","B10","5-4",0.453247872694695,95.3038478940265,273,96.8709265386746,99,66.8842319389895,162,"10.3-21.7","3-15",-0.957716628807165,129,2014-12-12
176,"Rutgers","B10","5-4",0.457058795576568,95.2165382020952,270,96.6529380023715,98,66.7937573855388,164,"10.5-21.5","3.2-14.8",-0.967160303884146,128,2014-12-13
165,"Rutgers","B10","6-4",0.485353800610821,95.3221087829091,269,95.8090897657093,84,66.1459741455887,194,"11.3-20.7","3.3-14.7",-0.787085252097361,115,2014-12-14
166,"Rutgers","B10","6-4",0.485552039038097,95.321865911509,267,95.8022340257543,83,66.1573092494702,192,"11.4-20.6","3.3-14.7",-0.763372984938227,113,2014-12-15
166,"Rutgers","B10","6-4",0.482993730319263,95.1999836237642,272,95.7650002738308,81,66.0525503094435,196,"11.3-20.7","3.3-14.7",-0.733928335014869,112,2014-12-16
170,"Rutgers","B10","6-4",0.475770354299271,95.0334136167833,277,95.8383445480911,81,66.1496819645667,186,"11.2-20.8","3.3-14.7",-0.774676797688699,108,2014-12-17
164,"Rutgers","B10","6-4",0.478946989172693,94.9907507252298,277,95.6893153243032,79,66.1407008118035,186,"11.2-20.8","3.3-14.7",-0.774719031009261,110,2014-12-18
166,"Rutgers","B10","6-4",0.477931578892998,95.0239282180441,273,95.7566137400148,78,66.1346673849828,182,"11.2-20.8","3.3-14.7",-0.73812992086203,110,2014-12-19
180,"Rutgers","B10","6-5",0.455229660428987,95.0579604936827,273,96.5538541255865,88,66.605900290878,164,"10.3-21.7","3.2-14.8",-1.72095063818675,152,2014-12-20
177,"Rutgers","B10","6-5",0.457339288213864,95.1638853258707,273,96.5899972189986,92,66.5897847463998,160,"10.3-21.7","3.1-14.9",-1.74555352165335,150,2014-12-21
169,"Rutgers","B10","6-5",0.468728717983834,95.4586211058562,265,96.5039605808948,91,66.5448316166362,160,"10.4-21.6","3.2-14.8",-1.73287387603145,146,2014-12-22
148,"Rutgers","B10","7-5",0.525737018396416,95.8347410847482,263,94.9799043159545,70,66.5088414165677,163,"11.4-20.6","3.8-14.2",-1.69951051669868,142,2014-12-23
148,"Rutgers","B10","7-5",0.525737018399457,95.8347410847987,263,94.9799043159038,70,66.5086785458271,163,"11.4-20.6","3.8-14.2",-1.69951051669488,142,2014-12-24
146,"Rutgers","B10","7-5",0.528029794921665,95.9056433712704,262,94.9741833268639,70,66.5138325592663,163,"11.4-20.6","3.8-14.2",-1.69347211873118,141,2014-12-25
147,"Rutgers","B10","7-5",0.527930386766665,95.9002806941142,262,94.9721668208567,70,66.5141204157275,163,"11.4-20.6","3.8-14.2",-1.693020652319,141,2014-12-26
147,"Rutgers","B10","7-5",0.529467990035323,95.9601026501783,262,94.9804309058745,70,66.5306174660542,162,"11.3-20.7","3.7-14.3",-1.76257040870503,139,2014-12-27
