"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
93,"Saint Louis","A10","0-0",0.683992581909953,98.3002983556112,236,91.9165274609747,17,68.28417553,144,"18.1-12.9","8.7-9.3",0,237,2014-11-13
93,"Saint Louis","A10","0-0",0.683129570456165,98.2832686507591,234,91.9324930215116,23,68.28417553,145,"18.2-12.8","8.8-9.2",0,192,2014-11-14
96,"Saint Louis","A10","1-0",0.669638647025873,97.9524540143415,239,92.1154761642941,24,68.1227105994222,170,"18.1-12.9","8.5-9.5",0.0849562196600724,58,2014-11-15
97,"Saint Louis","A10","1-0",0.669452499336104,97.9056724920524,239,92.0782184579464,24,68.118476157547,173,"18-13","8.5-9.5",0.0863005654160893,68,2014-11-16
98,"Saint Louis","A10","1-0",0.668967952479146,97.8802714415242,236,92.0718523239721,23,68.1140963314685,172,"18-13","8.5-9.5",0.0872479731300914,81,2014-11-17
94,"Saint Louis","A10","2-0",0.683381656354168,98.2088766586656,226,91.8536038692422,21,67.824834329493,190,"18.9-12.1","8.8-9.2",0.393996599678365,25,2014-11-18
95,"Saint Louis","A10","2-0",0.682963924715049,98.1824813865404,224,91.8443288049031,21,67.7723868443,190,"19-12","8.9-9.1",0.384602899261084,28,2014-11-19
95,"Saint Louis","A10","2-0",0.68275086394873,98.1723798006752,225,91.842736153855,23,67.748133539427,187,"19.1-11.9","9-9",0.375195298158213,33,2014-11-20
95,"Saint Louis","A10","2-0",0.67782538407538,98.1221529202636,224,91.9766964612127,26,67.7530174704184,182,"19.1-11.9","8.9-9.1",0.379995575256525,37,2014-11-21
95,"Saint Louis","A10","2-0",0.676909176952197,98.2627067375513,223,92.1420320425667,27,67.7355112980493,178,"19-12","8.9-9.1",0.383613942623185,35,2014-11-22
110,"Saint Louis","A10","2-1",0.645727088120293,97.3497166101402,236,92.3983391269934,30,67.416716994177,198,"17.4-13.6","8.4-9.6",-0.542254641974071,168,2014-11-23
111,"Saint Louis","A10","2-1",0.644291886071663,97.4395762909357,234,92.5340499168926,31,67.4404376871989,184,"17.5-13.5","8.4-9.6",-0.542107637268938,165,2014-11-24
131,"Saint Louis","A10","3-1",0.586884546482231,96.1632173233333,253,93.2716688525378,38,67.2160885632992,191,"16.2-14.8","7.6-10.4",-0.531846395298062,154,2014-11-25
130,"Saint Louis","A10","3-1",0.585632670505109,96.157847880955,253,93.3083275406125,40,67.2216475971613,191,"16.1-14.9","7.5-10.5",-0.542156953257554,142,2014-11-26
131,"Saint Louis","A10","3-1",0.581658237539872,96.1077130850191,252,93.3924088037067,46,67.1147015886731,195,"16.1-14.9","7.5-10.5",-0.536646365418252,138,2014-11-27
164,"Saint Louis","A10","3-2",0.493572739746134,94.8095112153081,276,95.0217131951891,68,66.6775873552789,216,"13.8-17.2","6.2-11.8",-1.32273478493864,212,2014-11-28
173,"Saint Louis","A10","4-2",0.461104084980366,94.8272485646321,274,96.1215180577736,85,66.0741882046421,243,"13.8-17.2","6-12",-1.22711547510263,191,2014-11-29
175,"Saint Louis","A10","4-2",0.460509204041869,94.8543345278819,276,96.1689934693119,92,66.0525782055651,239,"13.9-17.1","6-12",-1.23472468209041,186,2014-11-30
176,"Saint Louis","A10","4-2",0.460781498775317,94.8560174795642,276,96.1615349593321,92,66.0387355690737,239,"13.8-17.2","6-12",-1.23453118323856,183,2014-12-01
177,"Saint Louis","A10","4-2",0.462566247149486,94.8904429118208,277,96.1363829156444,89,65.9880112081668,236,"13.9-17.1","6-12",-1.23521923949749,177,2014-12-02
178,"Saint Louis","A10","4-2",0.459033570655831,94.8261438503315,276,96.1900918481031,89,65.9445239786896,224,"13.8-17.2","6-12",-1.22951760067506,167,2014-12-03
179,"Saint Louis","A10","4-2",0.459181644816882,94.8254387386425,274,96.1843892203758,91,65.9858541415299,222,"13.8-17.2","6-12",-1.22257865912519,165,2014-12-04
179,"Saint Louis","A10","4-2",0.459233535253074,94.8198756122571,275,96.1769988369497,91,65.9708690479495,222,"13.9-17.1","6-12",-1.21482083746637,163,2014-12-05
202,"Saint Louis","A10","4-3",0.412346132900287,94.4457105127983,285,97.4005344885396,105,66.0288414281171,210,"12.9-18.1","5.3-12.7",-1.38701192718054,177,2014-12-06
202,"Saint Louis","A10","4-3",0.411593607005634,94.4320336666639,284,97.412739441737,107,66.0013079620762,210,"12.9-18.1","5.3-12.7",-1.37370167226427,172,2014-12-07
203,"Saint Louis","A10","4-3",0.411874474856822,94.4323079456367,285,97.4032001768224,105,65.998474471248,212,"13-18","5.3-12.7",-1.3829588129252,171,2014-12-08
212,"Saint Louis","A10","4-4",0.387364958943682,93.6421967040672,300,97.4502657909303,109,65.5250806301426,237,"11.9-19.1","5-13",-2.18292159664747,219,2014-12-09
214,"Saint Louis","A10","4-4",0.386905773812523,93.6854608031801,298,97.5116983003496,108,65.5992498199702,232,"11.9-19.1","5-13",-2.19651215385067,214,2014-12-10
214,"Saint Louis","A10","4-4",0.38691794729136,93.6938802088962,299,97.5200263778996,109,65.6064029497208,233,"11.9-19.1","5-13",-2.20854665798357,212,2014-12-11
214,"Saint Louis","A10","4-4",0.386702748574304,93.6942404367211,299,97.5280954823169,109,65.6094915280673,233,"11.9-19.1","5-13",-2.20748565031244,212,2014-12-12
235,"Saint Louis","A10","5-4",0.35340369373908,92.8584079287347,305,97.8667873433971,113,65.3093109378094,237,"11.6-19.4","4.6-13.4",-2.17100397090532,200,2014-12-13
239,"Saint Louis","A10","5-4",0.35065480911967,92.8286404855768,304,97.9379913368074,118,65.3792689991464,231,"11.6-19.4","4.6-13.4",-2.17689494959947,198,2014-12-14
242,"Saint Louis","A10","5-4",0.349030848643329,92.8083712809373,304,97.9774169272886,119,65.4261661287573,228,"11.5-19.5","4.6-13.4",-2.16160304467282,197,2014-12-15
242,"Saint Louis","A10","5-4",0.346280256006965,92.8584210311182,306,98.1336953499683,121,65.6335517672112,219,"11.5-19.5","4.6-13.4",-2.14245485977804,193,2014-12-16
253,"Saint Louis","A10","6-4",0.320292751174776,94.0106448827323,290,100.367297647448,159,64.7219201849367,255,"11.5-19.5","4.4-13.6",-2.15719195167654,187,2014-12-17
252,"Saint Louis","A10","6-4",0.318424120964516,93.9579553746669,290,100.386059186807,161,64.7355413925284,253,"11.5-19.5","4.4-13.6",-2.15713518531267,182,2014-12-18
254,"Saint Louis","A10","6-4",0.316883902412796,94.0219837323759,289,100.516559160225,164,64.8451405178286,251,"11.4-19.6","4.4-13.6",-2.13317361931699,179,2014-12-19
255,"Saint Louis","A10","6-4",0.312832525940077,94.2027665933789,286,100.874433584416,172,64.9474216485129,240,"11.2-19.8","4.1-13.9",-2.1651731556827,173,2014-12-20
256,"Saint Louis","A10","7-4",0.309620301399714,94.2847026883612,284,101.093816173897,182,64.4249345526546,257,"11.7-19.3","4.1-13.9",-2.04594390779313,169,2014-12-21
255,"Saint Louis","A10","7-4",0.308172801156429,94.168198733475,283,101.02844834806,179,64.6188389033686,247,"11.7-19.3","4.1-13.9",-2.0371567898412,161,2014-12-22
257,"Saint Louis","A10","7-4",0.306912341250887,94.1965453272626,284,101.110885907209,182,64.6015417990647,251,"11.6-19.4","4-14",-2.04283100984485,158,2014-12-23
257,"Saint Louis","A10","7-4",0.306912341250167,94.1965453272507,284,101.110885907227,182,64.6013868095138,251,"11.6-19.4","4-14",-2.04283100984224,158,2014-12-24
258,"Saint Louis","A10","7-4",0.306208353393243,94.1923098827329,284,101.135459055333,183,64.6068867260419,251,"11.5-19.5","3.9-14.1",-2.03869608346999,157,2014-12-25
258,"Saint Louis","A10","7-4",0.306439441082485,94.195202337812,284,101.129000763253,183,64.6071603591955,251,"11.5-19.5","3.9-14.1",-2.03838675868104,157,2014-12-26
256,"Saint Louis","A10","7-4",0.30681257843886,94.1807693725719,283,101.098075214056,178,64.5843166756869,251,"11.5-19.5","4-14",-2.0856662252702,155,2014-12-27
259,"Saint Louis","A10","7-4",0.303079290811606,93.9897140811096,285,101.047637446297,178,64.631113493638,245,"11.6-19.4","4-14",-2.09089570098589,155,2014-12-28
257,"Saint Louis","A10","7-4",0.303345805740819,93.9907497153409,287,101.03766718466,178,64.5918673648583,249,"11.6-19.4","4-14",-2.12157465550074,152,2014-12-29
263,"Saint Louis","A10","7-4",0.292681796538383,93.7818752589524,291,101.261023944401,185,64.6013642782979,248,"11.5-19.5","3.9-14.1",-2.13389924246496,146,2014-12-30
281,"Saint Louis","A10","7-5",0.2541779761351,93.326294726813,296,102.483974943518,213,64.3988110108898,256,"10.8-20.2","3.4-14.6",-2.81217589772744,172,2014-12-31
279,"Saint Louis","A10","7-5",0.256980830920907,93.4435825166412,292,102.481404981233,212,64.3588946161543,260,"10.8-20.2","3.4-14.6",-2.82659793182107,172,2015-01-01
281,"Saint Louis","A10","7-5",0.25684524234029,93.3946246383772,293,102.43403793574,210,64.4161287716712,256,"10.8-20.2","3.4-14.6",-2.81425671609637,170,2015-01-02
282,"Saint Louis","A10","7-6",0.254698888673779,93.1460784774366,297,102.261653784949,209,64.4006586989313,247,"10.8-20.2","3.3-14.7",-3.56013296926913,192,2015-01-03
283,"Saint Louis","A10","7-6",0.255561115644651,93.1077240685207,297,102.17922497794,207,64.4475844545667,249,"10.8-20.2","3.3-14.7",-3.58428089630678,189,2015-01-04
280,"Saint Louis","A10","7-6",0.256239597496432,93.0839456350683,296,102.121483503288,204,64.4437090607416,247,"10.8-20.2","3.3-14.7",-3.55156867913047,184,2015-01-05
258,"Saint Louis","A10","7-7",0.298111360743668,96.287274174951,249,103.730656350703,231,64.152391197095,258,"11.3-19.7","3.8-14.2",-4.0014695235271,203,2015-01-06
258,"Saint Louis","A10","7-7",0.301345163845615,96.5513675748581,245,103.875903918474,233,64.1977103330704,259,"11.3-19.7","3.8-14.2",-4.05671663771188,201,2015-01-07
260,"Saint Louis","A10","7-7",0.301353705810438,96.6696614045718,246,104.002804778039,231,63.9804157997163,256,"11.4-19.6","3.9-14.1",-4.09536311672054,196,2015-01-08
261,"Saint Louis","A10","7-7",0.301485760743901,96.6935278160182,245,104.022808688416,232,64.1469471312129,256,"11.4-19.6","3.9-14.1",-4.08793811227783,195,2015-01-09
270,"Saint Louis","A10","7-8",0.279350937091605,96.3674940757753,256,104.645265128874,241,63.8518826717879,258,"11-20","3.5-14.5",-4.44370550187401,193,2015-01-10
269,"Saint Louis","A10","7-8",0.281402750794015,96.3990726666781,255,104.587030177694,242,63.8877976180115,257,"11-20","3.6-14.4",-4.41729213798596,190,2015-01-11
270,"Saint Louis","A10","7-8",0.276062620325568,96.40549175364,255,104.835868068478,249,64.1377546013448,250,"11-20","3.5-14.5",-4.42819020244542,190,2015-01-12
269,"Saint Louis","A10","7-8",0.278281994189303,96.4332740304262,255,104.765113705976,248,63.9449550818551,252,"11-20","3.5-14.5",-4.46920969286704,189,2015-01-13
258,"Saint Louis","A10","8-8",0.298881842732627,96.974312587382,245,104.437384384493,235,64.1252382918546,245,"11.7-19.3","4.2-13.8",-4.40090004189034,187,2015-01-14
263,"Saint Louis","A10","8-8",0.292448668629238,96.8098869241283,249,104.540759827447,242,64.1756311321969,244,"11.6-19.4","4.1-13.9",-4.34618364398322,186,2015-01-15
262,"Saint Louis","A10","8-8",0.293068849116539,96.8340189901981,249,104.5395869451,242,64.137215615998,244,"11.6-19.4","4.1-13.9",-4.34759855765771,186,2015-01-16
261,"Saint Louis","A10","8-9",0.289297068737408,95.9824741461155,266,103.785074995785,222,64.1476302908151,248,"11.5-19.5","4-14",-4.86147566929162,193,2015-01-17
259,"Saint Louis","A10","8-9",0.291173646863749,96.0674780929913,267,103.794735910736,220,64.1518408814712,247,"11.5-19.5","4.1-13.9",-4.85419491678693,193,2015-01-18
259,"Saint Louis","A10","8-9",0.292751840771341,96.0438923259209,268,103.700387090838,214,64.1124023158885,246,"11.6-19.4","4.1-13.9",-4.77883073904492,191,2015-01-19
255,"Saint Louis","A10","8-9",0.298421767640537,96.0946729031016,263,103.509816707067,213,64.2243736079187,242,"11.7-19.3","4.2-13.8",-4.75232009039618,189,2015-01-20
253,"Saint Louis","A10","8-9",0.304740655461406,96.1686622280592,263,103.319627128613,208,64.184771059143,246,"11.7-19.3","4.2-13.8",-4.74038501122087,186,2015-01-21
251,"Saint Louis","A10","8-9",0.303283830248589,95.9937056524188,269,103.193425624682,207,64.2082456620424,245,"11.8-19.2","4.3-13.7",-4.77239900508608,182,2015-01-22
237,"Saint Louis","A10","8-10",0.334368550229586,96.1987697661445,265,102.133978474699,188,63.9585016028408,248,"12-19","4.5-13.5",-5.44436745648088,203,2015-01-23
235,"Saint Louis","A10","8-10",0.340100272567247,96.2970641036271,263,102.010600654596,187,64.0740245033064,241,"12.1-18.9","4.6-13.4",-5.47936112151974,191,2015-01-24
234,"Saint Louis","A10","8-10",0.340716239301721,96.3584667762232,263,102.051298985642,189,64.1295009750942,238,"12.1-18.9","4.6-13.4",-5.44783794401314,188,2015-01-25
233,"Saint Louis","A10","8-10",0.341813800557132,96.4026571125406,259,102.054763540368,190,64.1098081962816,241,"12.1-18.9","4.6-13.4",-5.46447987165877,188,2015-01-26
233,"Saint Louis","A10","8-10",0.342014490799846,96.3379776175893,259,101.978382287933,187,64.0735748292014,240,"12.1-18.9","4.6-13.4",-5.44709631481802,187,2015-01-27
234,"Saint Louis","A10","8-10",0.340759172582434,96.3716647485963,259,102.063580431477,189,64.1255617067201,235,"12.1-18.9","4.6-13.4",-5.35427432889582,186,2015-01-28
234,"Saint Louis","A10","8-11",0.33615025955541,96.6477147719224,258,102.539312599115,194,63.9737303078362,247,"11.8-19.2","4.3-13.7",-6.15948198451791,203,2015-01-29
234,"Saint Louis","A10","8-11",0.336659750811969,96.6665668104094,257,102.538961927214,196,63.9079171627552,248,"11.8-19.2","4.2-13.8",-6.15370959697454,203,2015-01-30
231,"Saint Louis","A10","8-12",0.340207147360262,97.0527792929074,254,102.806897371598,196,63.565188555248,272,"11.5-19.5","3.9-14.1",-6.9842539083633,224,2015-01-31
