"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
339,"Samford","SC","0-0",0.113820931421755,92.3457785238013,323,110.387866202842,342,67.73467146,193,"7.7-23.3","4.5-13.5",0,145,2014-11-13
343,"Samford","SC","0-1",0.103017770265576,91.2340567822578,330,110.124756168894,340,67.84187403223,195,"7.3-23.7","4.3-13.7",-0.258414403425334,263,2014-11-14
343,"Samford","SC","0-1",0.102863973147719,91.2373107584296,330,110.144634372831,340,67.8400534095688,194,"7.3-23.7","4.3-13.7",-0.258165773198342,245,2014-11-15
336,"Samford","SC","0-2",0.124267830268131,92.1154386614265,320,109.162293002282,338,67.3382319195,232,"8.4-22.6","5-13",-0.644786646219575,287,2014-11-16
336,"Samford","SC","0-2",0.12398249494383,92.0829968164254,320,109.148754697231,337,67.3303104647722,230,"8.3-22.7","5-13",-0.639682486446723,260,2014-11-17
337,"Samford","SC","0-2",0.123735982403676,92.0761664736318,321,109.162219464714,337,67.2909159309595,232,"8.4-22.6","5-13",-0.655680168406982,249,2014-11-18
332,"Samford","SC","1-2",0.137655947034982,92.1482427542338,319,108.088989620406,327,67.0583126766438,241,"9.5-21.5","5.3-12.7",-0.646757432503864,233,2014-11-19
333,"Samford","SC","1-2",0.138472004573644,92.2190311985099,316,108.107539458069,328,67.0300913845996,236,"9.5-21.5","5.3-12.7",-0.66201864784893,222,2014-11-20
333,"Samford","SC","1-2",0.135631791895185,91.9865611224846,319,108.060446055358,327,67.0574392306951,236,"9.4-21.6","5.2-12.8",-0.654183273281187,215,2014-11-21
329,"Samford","SC","1-3",0.142093571857547,92.3584059595659,315,107.988566388459,325,66.9152841001814,235,"9.5-21.5","5.4-12.6",-1.56590247523308,293,2014-11-22
313,"Samford","SC","2-3",0.176210334958935,92.5652350075715,309,105.849809005011,297,66.4682458778859,257,"11.6-19.4","6.3-11.7",-1.49890236987047,276,2014-11-23
314,"Samford","SC","2-3",0.175532806275849,92.5800289444975,309,105.909767616391,299,66.5039053578875,254,"11.5-19.5","6.2-11.8",-1.4986522759308,267,2014-11-24
317,"Samford","SC","2-3",0.175843678515997,92.582647710369,310,105.892995659837,300,66.4470426208729,251,"11.4-19.6","6.1-11.9",-1.50087061573787,254,2014-11-25
320,"Samford","SC","2-4",0.163096044125193,92.3234429551605,310,106.431776966253,306,67.1938524774245,194,"10.6-20.4","5.7-12.3",-2.48370153054239,311,2014-11-26
320,"Samford","SC","2-4",0.164850526816711,92.4305620701944,309,106.43674455474,305,67.1678153322064,190,"10.6-20.4","5.7-12.3",-2.47412152985441,309,2014-11-27
310,"Samford","SC","2-5",0.182110766214528,92.5278635857709,311,105.438542251739,288,67.3668431377535,171,"11.1-19.9","6.1-11.9",-3.0037676356113,321,2014-11-28
313,"Samford","SC","2-5",0.181274408778789,92.5548712519528,315,105.520921188854,291,67.2833697261087,169,"11.2-19.8","6.2-11.8",-2.99963867400378,313,2014-11-29
313,"Samford","SC","2-5",0.180893239475908,92.5815347174832,315,105.574914587638,291,67.2270379099167,168,"11.1-19.9","6.1-11.9",-3.01061720720625,311,2014-11-30
313,"Samford","SC","3-5",0.178929380627149,92.7951475894512,312,105.941055994942,295,66.3526734107822,216,"11.3-19.7","6.1-11.9",-2.99711713312324,309,2014-12-01
316,"Samford","SC","3-5",0.172288334873448,92.6864917364565,314,106.239991395109,303,66.6521873714994,193,"11.1-19.9","6-12",-2.99807467886287,304,2014-12-02
315,"Samford","SC","3-5",0.171077661117845,92.7859150885388,315,106.432716207683,301,66.5754702052441,188,"11.1-19.9","5.9-12.1",-2.98973632490158,290,2014-12-03
322,"Samford","SC","3-6",0.156530461045746,91.9337225792016,322,106.434145969739,300,66.7130365014772,184,"10.1-20.9","5.1-12.9",-3.94430800645292,325,2014-12-04
322,"Samford","SC","3-6",0.156897155129827,91.9914474130476,321,106.475281951542,300,66.6881815760472,184,"10.1-20.9","5.1-12.9",-3.9327809648531,323,2014-12-05
323,"Samford","SC","3-7",0.147580240239127,91.2662881079555,324,106.301324120604,295,67.7137214720447,118,"9.5-21.5","4.5-13.5",-4.85351380251371,339,2014-12-06
324,"Samford","SC","3-7",0.146524334742764,91.1926725941927,324,106.293363811625,295,67.6564410457835,120,"9.4-21.6","4.5-13.5",-4.83553213277045,338,2014-12-07
323,"Samford","SC","3-7",0.146707036175407,91.2746481714762,323,106.375405910449,295,67.7516739199899,112,"9.4-21.6","4.5-13.5",-4.84799857806536,336,2014-12-08
323,"Samford","SC","3-7",0.145554237481266,91.1629384042922,324,106.330604868903,296,67.8298522635823,107,"9.4-21.6","4.5-13.5",-4.83669412635796,336,2014-12-09
323,"Samford","SC","3-7",0.146276370649539,91.1600293917498,323,106.273650267473,296,67.7767451838913,110,"9.3-21.7","4.5-13.5",-4.85189556888335,333,2014-12-10
322,"Samford","SC","3-7",0.146040932072319,91.167380203637,322,106.299656892071,298,67.7288757159713,111,"9.3-21.7","4.5-13.5",-4.86543006681272,332,2014-12-11
322,"Samford","SC","3-7",0.14632666360279,91.1777992173255,322,106.290644343569,298,67.7280775665694,110,"9.3-21.7","4.5-13.5",-4.86423489015722,332,2014-12-12
320,"Samford","SC","3-7",0.147058100409215,91.3388860768612,320,106.424341459907,301,67.5548555304479,124,"9.3-21.7","4.5-13.5",-4.87154480655066,326,2014-12-13
318,"Samford","SC","3-8",0.154033962937281,92.3179548300411,312,107.056017242159,305,67.5540242415118,119,"9.4-21.6","4.6-13.4",-5.41456678766777,335,2014-12-14
318,"Samford","SC","3-8",0.154159134629237,92.3221835294249,311,107.051981649758,305,67.5703843608656,120,"9.4-21.6","4.6-13.4",-5.39415636707701,333,2014-12-15
313,"Samford","SC","4-8",0.169311161349247,93.7801367794329,295,107.690234219817,311,67.6140589975368,116,"10.4-20.6","4.9-13.1",-5.30751746752545,330,2014-12-16
314,"Samford","SC","4-8",0.171878001325079,93.8541564640145,291,107.605349120256,310,67.7179796026219,113,"10.4-20.6","5-13",-5.34437517039773,327,2014-12-17
313,"Samford","SC","4-8",0.171935676204436,93.8297654314209,293,107.573594478101,311,67.7191712827193,110,"10.4-20.6","5-13",-5.34408203008268,325,2014-12-18
312,"Samford","SC","4-8",0.172251197534935,93.7495807180507,294,107.460969016074,309,67.6307211360371,110,"10.4-20.6","4.9-13.1",-5.31125164886615,323,2014-12-19
317,"Samford","SC","4-8",0.16286402171806,93.3537231988364,296,107.635416543673,308,67.8372673142228,98,"10.1-20.9","4.7-13.3",-5.35550358232704,315,2014-12-20
308,"Samford","SC","5-8",0.188669332943101,93.6853828140449,294,106.355142711859,292,67.3978106620494,120,"11.2-19.8","5.2-12.8",-5.2790620596323,311,2014-12-21
309,"Samford","SC","5-8",0.186086546570612,93.4817382148134,296,106.280605095202,289,67.4772814111822,112,"11.1-19.9","5.1-12.9",-5.26764532042823,306,2014-12-22
311,"Samford","SC","5-8",0.186096920723128,93.6629748001696,294,106.486021099316,291,67.4552577359839,113,"11.1-19.9","5.1-12.9",-5.27509122844956,302,2014-12-23
311,"Samford","SC","5-8",0.186096920722881,93.6629748001605,294,106.48602109932,291,67.4551010092449,113,"11.1-19.9","5.1-12.9",-5.27509122844611,302,2014-12-24
311,"Samford","SC","5-8",0.186439693316851,93.6793771707778,294,106.48372725249,292,67.449081877294,113,"11.1-19.9","5.1-12.9",-5.26961669315094,302,2014-12-25
311,"Samford","SC","5-8",0.186624460812364,93.6916222902633,294,106.48637017826,292,67.4493584940762,113,"11.1-19.9","5.1-12.9",-5.26920740549252,302,2014-12-26
310,"Samford","SC","5-8",0.186136773637796,93.7042757628656,293,106.530539208157,291,67.4100473863691,112,"11.1-19.9","5.1-12.9",-5.33200225532026,301,2014-12-27
293,"Samford","SC","6-8",0.214586551616204,94.4721350742398,278,105.755598688391,279,67.1991246200174,122,"12.3-18.7","5.8-12.2",-5.31260196799553,299,2014-12-28
293,"Samford","SC","6-8",0.214357886398975,94.4707541584202,279,105.76653507522,281,67.234089454925,121,"12.2-18.8","5.7-12.3",-5.35449339977724,297,2014-12-29
295,"Samford","SC","6-8",0.211073521348749,94.5299122776682,277,106.013409159307,282,67.1995945701812,120,"12.2-18.8","5.7-12.3",-5.37129263000418,296,2014-12-30
296,"Samford","SC","6-8",0.210931377927078,94.5197247674151,275,106.009854453613,281,67.2906089006637,113,"12.2-18.8","5.6-12.4",-5.38318875184538,296,2014-12-31
296,"Samford","SC","6-8",0.211209736154171,94.5375056356681,275,106.01438561011,282,67.3061871718547,110,"12.2-18.8","5.6-12.4",-5.3995576197722,292,2015-01-01
294,"Samford","SC","6-8",0.212949360357298,94.5450734310867,276,105.926936184436,279,67.3219647349041,110,"12.2-18.8","5.7-12.3",-5.38555641017947,285,2015-01-02
290,"Samford","SC","6-9",0.219330794565164,95.1995443055843,265,106.311406526087,284,67.2760965782079,100,"12.1-18.9","5.5-12.5",-6.24621136026947,301,2015-01-03
292,"Samford","SC","6-9",0.220254149626509,95.0910861877707,270,106.140580375105,282,67.3338211413339,102,"12.1-18.9","5.5-12.5",-6.2720530593329,299,2015-01-04
288,"Samford","SC","6-10",0.223977572229841,95.9101211918126,254,106.8543589627,287,66.9436854307129,122,"11.7-19.3","5.1-12.9",-7.1737468530898,312,2015-01-05
288,"Samford","SC","6-10",0.224915275581993,96.0086411957242,253,106.914027669586,288,66.9432684057995,120,"11.7-19.3","5.1-12.9",-7.17565536040378,312,2015-01-06
290,"Samford","SC","6-10",0.226613603824069,96.1026906874312,253,106.92837982726,288,66.9466504809667,120,"11.8-19.2","5.2-12.8",-7.22823835958621,311,2015-01-07
294,"Samford","SC","6-11",0.212767457534276,96.7195073624123,244,108.373371163273,309,66.8596530912218,110,"11.1-19.9","4.5-13.5",-8.21880818346573,326,2015-01-08
294,"Samford","SC","6-11",0.212828545650734,96.7458348009516,243,108.39943335922,309,67.0296077163331,111,"11.1-19.9","4.5-13.5",-8.21151907864079,325,2015-01-09
290,"Samford","SC","6-12",0.222658282692922,97.61575048352,231,108.826572557911,308,66.4926978254115,130,"11.2-19.8","4.5-13.5",-8.82233954854705,323,2015-01-10
290,"Samford","SC","6-12",0.22260222054592,97.6409083320059,230,108.857685984693,307,66.5134333817868,131,"11.2-19.8","4.5-13.5",-8.79615279233837,323,2015-01-11
290,"Samford","SC","6-12",0.224293533097903,97.6966285497868,230,108.827528054718,307,66.6754860463418,128,"11.2-19.8","4.6-13.4",-8.80689647634976,321,2015-01-12
289,"Samford","SC","6-12",0.223662538035155,97.6619154730773,232,108.823208036305,307,66.4975816162846,127,"11.2-19.8","4.6-13.4",-8.8473722335427,321,2015-01-13
288,"Samford","SC","6-12",0.2234014549145,97.7597520432469,229,108.946475454233,308,66.4773020560424,126,"11.1-19.9","4.5-13.5",-8.83282581254548,318,2015-01-14
284,"Samford","SC","6-13",0.233333930230132,97.5852544589561,237,108.220217636297,302,67.1017169541177,103,"10.9-20.1","4.3-13.7",-9.70103776214605,330,2015-01-15
284,"Samford","SC","6-13",0.23426200822633,97.627481158922,237,108.218282008448,302,67.0609931485704,103,"10.9-20.1","4.3-13.7",-9.70244357828287,330,2015-01-16
294,"Samford","SC","6-14",0.214611886101279,97.8957122606624,236,109.58664511981,312,66.790332393508,111,"10.5-20.5","3.9-14.1",-10.5289824785754,332,2015-01-17
296,"Samford","SC","6-14",0.215489483997787,97.9813783706364,235,109.632967543921,312,66.7901248514103,111,"10.5-20.5","3.9-14.1",-10.5218532342021,332,2015-01-18
293,"Samford","SC","6-14",0.217904711430023,98.1459280097442,234,109.681290316254,311,66.7045244891155,110,"10.5-20.5","4-14",-10.4481576013341,330,2015-01-19
292,"Samford","SC","6-14",0.218897103021761,98.2108355803076,231,109.698356770176,314,66.7576145413755,109,"10.6-20.4","4-14",-10.4222121823518,329,2015-01-20
292,"Samford","SC","6-14",0.218123022579717,98.1914069954594,234,109.719896449595,313,66.7831718775776,109,"10.6-20.4","4-14",-10.4105468402668,329,2015-01-21
293,"Samford","SC","7-14",0.218951256288116,98.884155529392,211,110.447391986159,320,67.0188721580525,97,"10.9-20.1","4.3-13.7",-10.4025152815705,324,2015-01-22
293,"Samford","SC","7-14",0.21919230297661,98.9119633948924,211,110.464916671611,320,66.8262163124806,97,"10.9-20.1","4.3-13.7",-10.4021899273983,323,2015-01-23
291,"Samford","SC","8-14",0.237477726742461,99.93275473652,196,110.601906084509,319,66.8161026934963,99,"11.6-19.4","5-13",-10.3785041589989,317,2015-01-24
290,"Samford","SC","8-14",0.238278361041022,99.9664882530261,194,110.59676118752,319,66.8395329880053,101,"11.6-19.4","5-13",-10.3493065652654,315,2015-01-25
288,"Samford","SC","8-14",0.240916713823423,100.046276148494,194,110.545740983179,317,66.8652074341331,100,"11.6-19.4","5-13",-10.3647158950541,314,2015-01-26
288,"Samford","SC","8-14",0.241634520512472,100.057283872361,194,110.520213746103,317,66.8254707427839,100,"11.6-19.4","5-13",-10.3486331726468,314,2015-01-27
289,"Samford","SC","8-14",0.242894548180111,100.131031894746,199,110.535679069085,318,66.8844396325978,101,"11.6-19.4","5-13",-10.2625488824723,313,2015-01-28
287,"Samford","SC","8-14",0.241461784729555,100.299343277851,195,110.796668834114,319,66.9999108897792,87,"11.6-19.4","5-13",-10.2760152729393,311,2015-01-29
287,"Samford","SC","8-14",0.242105501438173,100.339641765541,192,110.807346395212,319,66.9362154794553,87,"11.6-19.4","5-13",-10.2709329055417,311,2015-01-30
288,"Samford","SC","9-14",0.243745473833723,99.8158255945792,199,110.143445458776,315,67.0298269155826,89,"12-19","5.3-12.7",-10.2126565340059,306,2015-01-31
287,"Samford","SC","9-14",0.244532713466058,99.8713123555466,196,110.163799018655,315,66.990164124857,89,"12-19","5.3-12.7",-10.1995015644167,306,2015-02-01
288,"Samford","SC","9-14",0.244117631219815,99.8851146223394,198,110.200565145954,316,67.0180404811442,90,"12-19","5.3-12.7",-10.201225282039,302,2015-02-02
287,"Samford","SC","9-14",0.244684078794486,99.9811690629303,199,110.27712156318,315,66.9751620559533,90,"11.9-19.1","5.4-12.6",-10.1591958883556,301,2015-02-03
286,"Samford","SC","9-14",0.244183667798381,100.020782824334,199,110.346810548124,316,66.9906873329905,92,"11.9-19.1","5.4-12.6",-10.1525520274698,297,2015-02-04
283,"Samford","SC","10-14",0.252151267537846,100.122526210992,196,110.049619983332,312,67.0758412470329,84,"12.8-18.2","6.2-11.8",-9.96142917615956,288,2015-02-05
283,"Samford","SC","10-14",0.252553641008993,100.142019927213,196,110.050635694403,312,67.1033359640483,84,"12.8-18.2","6.2-11.8",-9.96580943244361,288,2015-02-06
279,"Samford","SC","11-14",0.261416541824971,100.084744632004,202,109.544621799373,310,66.8962165547594,91,"13.7-17.3","7.1-10.9",-9.80834185114693,280,2015-02-07
279,"Samford","SC","11-14",0.261257492585158,100.103229043455,201,109.572703399095,310,66.8957865330235,92,"13.7-17.3","7.1-10.9",-9.79490217900695,280,2015-02-08
278,"Samford","SC","11-14",0.261807294032456,100.168517245631,200,109.617029352336,309,66.9986326642872,93,"13.7-17.3","7.1-10.9",-9.790143715277,279,2015-02-09
