"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
120,"San Diego","WCC","0-0",0.615424571663434,103.383318025737,117,99.2417759337197,138,65.974566,306,"14.9-15.1","8.6-9.4",0,38,2014-11-13
118,"San Diego","WCC","0-1",0.615021703173885,103.359197404904,115,99.2333057497461,137,66.7641724790249,273,"14.3-15.7","8.4-9.6",-0.481989027955606,298,2014-11-14
115,"San Diego","WCC","1-1",0.626785007592626,102.307558687416,135,97.797698129662,110,66.9795770148855,255,"14.8-15.2","8.6-9.4",-0.348997351396728,261,2014-11-15
116,"San Diego","WCC","1-1",0.626445229266132,102.222079465244,134,97.728327466895,113,66.971328513504,257,"14.8-15.2","8.6-9.4",-0.342649465310137,234,2014-11-16
118,"San Diego","WCC","1-1",0.62584455023077,102.181176669388,134,97.7110230446263,116,66.9627961102543,254,"14.8-15.2","8.6-9.4",-0.33824280746105,209,2014-11-17
117,"San Diego","WCC","1-1",0.622995230759618,102.212098430656,131,97.8439086305047,118,66.9816304986612,252,"14.6-15.4","8.5-9.5",-0.351159861086392,195,2014-11-18
105,"San Diego","WCC","2-1",0.657101007372438,102.342032201809,128,96.7145426088578,93,66.3718790873024,277,"15.3-14.7","8.9-9.1",-0.361060024989661,179,2014-11-19
106,"San Diego","WCC","2-1",0.65655306182887,102.311948453756,127,96.7065532972958,93,66.3247384200521,278,"15.2-14.8","8.9-9.1",-0.37297661157416,168,2014-11-20
107,"San Diego","WCC","2-1",0.654840136742274,102.3483707517,129,96.8048286187898,98,66.3374629474158,271,"15.2-14.8","8.9-9.1",-0.366930039484536,161,2014-11-21
107,"San Diego","WCC","2-1",0.653516148657594,102.34244818147,133,96.8485011472412,97,66.4330439175959,263,"15.2-14.8","8.8-9.2",-0.362319640515468,154,2014-11-22
107,"San Diego","WCC","2-1",0.65290186487914,102.311606017936,131,96.842147734172,96,66.4050540030284,260,"15.1-14.9","8.8-9.2",-0.359872567453158,146,2014-11-23
105,"San Diego","WCC","3-1",0.658195743166842,102.464539270739,127,96.7893811667957,96,66.763037050925,241,"15.5-14.5","8.9-9.1",-0.248529436813235,124,2014-11-24
107,"San Diego","WCC","3-1",0.658253526594336,102.45131609691,121,96.7747288683723,99,66.8040497048049,222,"15.6-14.4","9-9",-0.25017930672765,119,2014-11-25
109,"San Diego","WCC","3-1",0.655892035101449,102.464302283307,123,96.8752403594478,103,66.8208183395704,222,"15.6-14.4","9-9",-0.263435132772298,112,2014-11-26
