"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
268,"San Jose St.","MWC","0-0",0.299274838712664,94.6742651758916,300,101.943706989523,201,67.87180152,179,"6.9-21.1","4-14",0,273,2014-11-13
269,"San Jose St.","MWC","0-0",0.298438813808896,94.657863650973,295,101.961414234023,201,67.87180152,192,"6.9-21.1","4-14",0,207,2014-11-14
270,"San Jose St.","MWC","0-0",0.298173981657495,94.6526628454042,296,101.967029715347,198,67.87180152,192,"6.8-21.2","3.9-14.1",0,193,2014-11-15
263,"San Jose St.","MWC","0-1",0.313221478957888,94.5793671693929,296,101.261778055433,188,67.685380297431,200,"6.8-21.2","4.1-13.9",-0.822419785037216,308,2014-11-16
261,"San Jose St.","MWC","0-1",0.312699004704718,94.5542662229716,295,101.256296654108,191,67.6810400569856,207,"6.9-21.1","4.1-13.9",-0.820666986468608,290,2014-11-17
261,"San Jose St.","MWC","0-1",0.312241897775171,94.5473507866582,295,101.267625896999,191,67.6593281741741,207,"6.9-21.1","4.1-13.9",-0.826092638489531,282,2014-11-18
276,"San Jose St.","MWC","0-2",0.281743712198644,92.2029164175584,318,100.019799652919,169,67.7698848429772,191,"5.8-22.2","3.7-14.3",-1.67713732076879,339,2014-11-19
275,"San Jose St.","MWC","0-2",0.2811560997736,92.1889100649973,317,100.02987612845,171,67.7346259055658,190,"5.9-22.1","3.8-14.2",-1.68600720666316,334,2014-11-20
276,"San Jose St.","MWC","0-2",0.280425570318874,92.1985867167308,316,100.071849348284,171,67.7042465034005,188,"6-22","4-14",-1.68148737500242,318,2014-11-21
274,"San Jose St.","MWC","0-3",0.279300864044899,91.9660426618288,323,99.8678981388895,161,67.7563522145483,177,"5.8-22.2","3.9-14.1",-2.55543987604472,343,2014-11-22
275,"San Jose St.","MWC","0-3",0.278596671785438,91.9254540993261,321,99.8542172301532,164,67.7331671836761,176,"5.8-22.2","3.9-14.1",-2.55290034545164,337,2014-11-23
275,"San Jose St.","MWC","0-3",0.278152138602405,91.9777328566922,321,99.9302325283056,168,67.7214632120212,169,"5.8-22.2","3.9-14.1",-2.55274267990205,331,2014-11-24
271,"San Jose St.","MWC","0-3",0.276913433797456,92.0637675183438,317,100.077453273543,170,67.7202234844023,162,"5.9-22.1","4-14",-2.55418612729553,323,2014-11-25
272,"San Jose St.","MWC","0-3",0.275718078370241,92.0583261559276,313,100.123570016899,170,67.7105328986911,159,"6-22","4.1-13.9",-2.56487485724139,313,2014-11-26
279,"San Jose St.","MWC","0-4",0.254483592876889,91.0503206486814,326,99.9706600239469,167,68.0005916731864,142,"5.5-22.5","3.8-14.2",-3.2798520967755,340,2014-11-27
295,"San Jose St.","MWC","0-5",0.224427729157256,91.2301533465998,326,101.61749172166,204,67.2743777417665,175,"4.8-23.2","3.4-14.6",-4.11360924998651,350,2014-11-28
294,"San Jose St.","MWC","0-5",0.225496955898425,91.2786819222015,325,101.61734265579,201,67.2897079449882,168,"4.8-23.2","3.4-14.6",-4.11020988770903,347,2014-11-29
309,"San Jose St.","MWC","0-6",0.193927350255786,90.6707343550611,331,102.629021274982,220,66.8581012911641,187,"4.1-23.9","3.1-14.9",-4.9275698688491,349,2014-11-30
309,"San Jose St.","MWC","0-6",0.194159852934755,90.6726293722406,330,102.617899288871,220,66.8484134506332,183,"4.1-23.9","3.1-14.9",-4.92730023694198,348,2014-12-01
307,"San Jose St.","MWC","0-6",0.193675774185355,90.6989045616641,331,102.675281762972,218,66.8219814292044,188,"4-24","3-15",-4.9283015564715,348,2014-12-02
313,"San Jose St.","MWC","0-7",0.171959833236149,90.6212424975079,331,103.893566451486,245,65.8249176783718,231,"3.5-24.5","2.7-15.3",-5.50848257328041,351,2014-12-03
315,"San Jose St.","MWC","0-7",0.171756880275958,90.6399387992674,330,103.927887278252,246,65.8196762145879,229,"3.6-24.4","2.7-15.3",-5.4958965972807,350,2014-12-04
316,"San Jose St.","MWC","0-7",0.171012332870464,90.6135596329324,331,103.945018695355,246,65.796007822182,231,"3.6-24.4","2.7-15.3",-5.48183957688006,350,2014-12-05
318,"San Jose St.","MWC","0-8",0.161353063892266,89.4709253313515,340,103.258444055623,233,65.5298394961573,241,"3.1-24.9","2.5-15.5",-6.39514461964221,349,2014-12-06
314,"San Jose St.","MWC","0-8",0.164408632618195,89.696217841623,336,103.316923039704,234,65.6825509065235,231,"3.2-24.8","2.6-15.4",-6.37356015590275,349,2014-12-07
315,"San Jose St.","MWC","0-8",0.164263247741517,89.7014503437488,336,103.332462162436,235,65.7026361158143,230,"3.1-24.9","2.5-15.5",-6.38859067112205,349,2014-12-08
317,"San Jose St.","MWC","0-8",0.165081323600954,89.6801833032966,335,103.254551172086,232,65.6804941403517,226,"3.1-24.9","2.6-15.4",-6.3749396177427,349,2014-12-09
317,"San Jose St.","MWC","0-8",0.162774610788751,89.6884052365178,335,103.415259410689,235,65.6415560255255,229,"3.2-24.8","2.6-15.4",-6.39324274705528,349,2014-12-10
317,"San Jose St.","MWC","0-8",0.161999252845701,89.676176206582,335,103.452426396838,236,65.7220771610754,225,"3.2-24.8","2.6-15.4",-6.40940194715616,348,2014-12-11
317,"San Jose St.","MWC","0-8",0.161769901709839,89.6733216300071,335,103.464340610446,237,65.7272409000223,225,"3.2-24.8","2.6-15.4",-6.40797829198305,348,2014-12-12
327,"San Jose St.","MWC","0-9",0.131371114198368,87.8083916218479,342,103.48310400052,237,64.3545036243092,282,"2.3-25.7","2.2-15.8",-7.35840261415133,350,2014-12-13
326,"San Jose St.","MWC","0-9",0.131658183592849,87.7686829058433,342,103.413703238541,237,64.2512724651313,284,"2.3-25.7","2.2-15.8",-7.36632169931482,350,2014-12-14
326,"San Jose St.","MWC","0-9",0.131838802549625,87.7518516514694,342,103.37967663606,237,64.2762138563018,282,"2.3-25.7","2.2-15.8",-7.3457144158069,350,2014-12-15
328,"San Jose St.","MWC","0-9",0.131173002152178,87.7526855683398,342,103.433077528521,236,64.2797013672078,281,"2.3-25.7","2.2-15.8",-7.31996001080871,350,2014-12-16
328,"San Jose St.","MWC","0-9",0.131808713850259,87.784382948963,341,103.420365782236,236,64.4510991292519,269,"2.3-25.7","2.2-15.8",-7.35555680830228,350,2014-12-17
328,"San Jose St.","MWC","0-9",0.131544811744612,87.755079179806,341,103.406594448194,233,64.4283386788148,269,"2.4-25.6","2.3-15.7",-7.35563337405051,350,2014-12-18
328,"San Jose St.","MWC","0-9",0.13179070509606,87.7558483804071,340,103.388163571061,228,64.461702658532,266,"2.4-25.6","2.3-15.7",-7.32365798197894,348,2014-12-19
325,"San Jose St.","MWC","0-9",0.134984225696041,87.6561181589076,341,103.022865679591,227,64.6687956581237,252,"2.5-25.5","2.4-15.6",-7.36608862619612,346,2014-12-20
335,"San Jose St.","MWC","0-10",0.109406417781302,86.6320356038392,343,103.959534130209,246,64.5086228824367,251,"2-26","2-16",-8.1016324840391,350,2014-12-21
335,"San Jose St.","MWC","0-10",0.109661907695345,86.6062068174382,344,103.904869460318,245,64.5993625824613,250,"2-26","2-16",-8.08945248618889,348,2014-12-22
336,"San Jose St.","MWC","0-10",0.108144122647047,86.5267276746343,344,103.950797053464,243,64.6753377265208,246,"1.9-26.1","1.9-16.1",-8.09726403228746,348,2014-12-23
336,"San Jose St.","MWC","0-10",0.108144122646498,86.5267276746154,344,103.950797053493,243,64.6751856320934,246,"1.9-26.1","1.9-16.1",-8.0972640322839,348,2014-12-24
336,"San Jose St.","MWC","0-10",0.108103024569302,86.5243135852893,344,103.951749153829,243,64.6724462041693,247,"1.9-26.1","1.9-16.1",-8.0916055615761,348,2014-12-25
336,"San Jose St.","MWC","0-10",0.108125524261199,86.5251175871725,344,103.950605894336,243,64.6727145327615,247,"1.9-26.1","1.9-16.1",-8.09118219505775,348,2014-12-26
335,"San Jose St.","MWC","0-10",0.106972878738636,86.667358663291,343,104.230280305541,251,64.6127018646242,249,"1.9-26.1","1.9-16.1",-8.15589658636313,348,2014-12-27
337,"San Jose St.","MWC","0-10",0.106060119754478,86.6037861670838,343,104.240723760724,249,64.4598755361759,255,"1.9-26.1","1.9-16.1",-8.16276424863785,347,2014-12-28
334,"San Jose St.","MWC","0-10",0.109400226725385,86.6949595137506,342,104.035618440505,245,64.455071544895,256,"2-26","2-16",-8.20468701241069,345,2014-12-29
335,"San Jose St.","MWC","0-10",0.109822592831353,86.6392692630714,342,103.929670980726,243,64.3690698069704,263,"2-26","2-16",-8.22158081180193,341,2014-12-30
341,"San Jose St.","MWC","0-11",0.0822278789770361,83.9397140911102,348,103.531666575364,232,63.9588425846382,275,"1.5-26.5","1.5-16.5",-8.86938987902207,347,2014-12-31
341,"San Jose St.","MWC","0-11",0.0807200760454489,83.9603757825475,348,103.738747678511,238,63.9680691246322,273,"1.4-26.6","1.4-16.6",-8.88817567000452,347,2015-01-01
341,"San Jose St.","MWC","0-11",0.0810216217386546,84.0216448108842,347,103.777833934339,236,63.9386356861563,273,"1.4-26.6","1.4-16.6",-8.87209242965641,346,2015-01-02
338,"San Jose St.","MWC","0-12",0.0950687382936892,85.4538558126578,344,103.95021469088,237,63.8643729738657,267,"1.6-26.4","1.6-16.4",-9.75772344531404,348,2015-01-03
338,"San Jose St.","MWC","0-12",0.0966238363204873,85.6313566945783,343,104.00371565984,235,63.9512932066367,267,"1.6-26.4","1.6-16.4",-9.78687613819035,347,2015-01-04
338,"San Jose St.","MWC","0-12",0.0968552376462847,85.6574036447258,343,104.011396804541,238,63.9252882353746,266,"1.6-26.4","1.6-16.4",-9.74747059703035,346,2015-01-05
338,"San Jose St.","MWC","0-12",0.0952162507500844,85.6362642807708,343,104.156585070421,241,63.9369860110318,266,"1.6-26.4","1.6-16.4",-9.74975445119905,346,2015-01-06
342,"San Jose St.","MWC","0-13",0.0809978926787274,85.1279620024329,347,105.147196099848,263,64.2501084038588,253,"1.2-26.8","1.2-16.8",-10.6400040547908,347,2015-01-07
