"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
204,"Seattle","WAC","0-0",0.43004771427679,97.6522507122066,246,100.073465757468,156,69.45245269,78,"18-14","8.7-5.3",0,23,2014-11-13
219,"Seattle","WAC","0-1",0.401339954467462,97.0962031429711,252,100.53187952204,170,68.6517110026015,121,"16.3-15.7","8.3-5.7",-0.936946292117036,347,2014-11-14
216,"Seattle","WAC","0-1",0.400932552761923,97.1138858327715,254,100.565017178478,171,68.6500673858666,124,"16.3-15.7","8.3-5.7",-0.936869576507069,340,2014-11-15
218,"Seattle","WAC","0-1",0.400795030338239,97.068480956641,251,100.52300379586,177,68.6461358000835,129,"16.2-15.8","8.3-5.7",-0.93584638785163,329,2014-11-16
218,"Seattle","WAC","0-1",0.400293386590345,97.0436770327807,252,100.515576428208,178,68.6420692618058,125,"16.1-15.9","8.3-5.7",-0.935124846575595,319,2014-11-17
219,"Seattle","WAC","0-1",0.399770875188685,97.0365131117905,250,100.527185274344,177,68.6217270582048,124,"16.1-15.9","8.3-5.7",-0.937351968697085,311,2014-11-18
218,"Seattle","WAC","0-1",0.399897663286064,97.0689597086802,244,100.556178999213,179,68.6043208914918,121,"16.1-15.9","8.3-5.7",-0.939236269125345,296,2014-11-19
196,"Seattle","WAC","1-1",0.44220840649267,97.924330791471,229,99.9216829570526,169,69.0429170320323,95,"17.5-14.5","8.8-5.2",-0.894468760633342,264,2014-11-20
203,"Seattle","WAC","1-2",0.428884195729227,96.4728162594875,252,98.9056197304524,142,68.4989647942433,124,"16.9-15.1","8.6-5.4",-1.72401823278748,322,2014-11-21
205,"Seattle","WAC","1-2",0.4323120032039,96.4912487911566,251,98.8043267874526,139,68.4186539042072,126,"16.9-15.1","8.6-5.4",-1.72093294329787,306,2014-11-22
215,"Seattle","WAC","1-3",0.416137128915708,96.5689511902575,249,99.4549932482272,156,67.6328463663795,181,"15.9-16.1","8.5-5.5",-2.61077948982839,340,2014-11-23
215,"Seattle","WAC","1-3",0.415254347565318,96.5806838234899,250,99.4985169738406,159,67.6210034456516,173,"15.9-16.1","8.5-5.5",-2.61063734979971,336,2014-11-24
210,"Seattle","WAC","1-3",0.416538568794439,96.641100780151,246,99.5150024132185,161,67.5246281808923,170,"16-16","8.6-5.4",-2.61193851587475,326,2014-11-25
209,"Seattle","WAC","1-3",0.415194747399668,96.639546091479,247,99.5612825720601,160,67.5283023674796,171,"16-16","8.6-5.4",-2.62156367189508,317,2014-11-26
208,"Seattle","WAC","1-3",0.41695885759788,96.6977386238602,245,99.5583542501747,162,67.4868869892769,173,"16-16","8.6-5.4",-2.61642535193812,316,2014-11-27
205,"Seattle","WAC","1-3",0.416789385178099,96.7328090403137,243,99.6005000067919,160,67.4564403264175,166,"16.1-15.9","8.6-5.4",-2.62725492725928,304,2014-11-28
185,"Seattle","WAC","2-3",0.448400525532845,97.5901051159752,224,99.3638011797869,153,66.3091474914144,225,"17-15","9-5",-2.58223691585794,298,2014-11-29
188,"Seattle","WAC","2-3",0.445306239434446,97.5734874080048,224,99.4550869672387,151,66.3539370863698,216,"17-15","8.9-5.1",-2.58690184156833,293,2014-11-30
189,"Seattle","WAC","2-3",0.445491286754511,97.5692022732587,225,99.4442410794989,151,66.336214171201,217,"17.1-14.9","9-5",-2.58677931668343,287,2014-12-01
192,"Seattle","WAC","2-3",0.442342192268071,97.5925672989001,224,99.5784560106952,148,66.402296051081,208,"17-15","8.9-5.1",-2.58716664488094,281,2014-12-02
184,"Seattle","WAC","2-3",0.445387510102802,97.7075451639782,220,99.5888806153525,147,66.3987240772292,203,"17.2-14.8","9-5",-2.58368694784338,273,2014-12-03
228,"Seattle","WAC","2-4",0.362199107499495,97.0150148843646,233,101.907806637706,201,65.6106300129034,244,"15.4-16.6","8.2-5.8",-3.1127968407966,299,2014-12-04
229,"Seattle","WAC","2-4",0.361166156173615,97.0065480093772,233,101.938565376505,201,65.5961759424054,241,"15.4-16.6","8.1-5.9",-3.10501224040427,298,2014-12-05
242,"Seattle","WAC","2-5",0.338215173724893,97.0611637086675,232,102.895263202371,213,65.505682327054,242,"14.6-17.4","7.9-6.1",-3.98971265350362,313,2014-12-06
238,"Seattle","WAC","2-5",0.344483998834777,97.2658073208051,230,102.862502664945,215,65.6068817143974,235,"14.8-17.2","8-6",-3.97664074372462,311,2014-12-07
239,"Seattle","WAC","2-5",0.343338454649581,97.181083655755,232,102.818285586249,215,65.7187571290876,229,"14.7-17.3","8-6",-3.98569927037302,310,2014-12-08
243,"Seattle","WAC","2-5",0.343149006041028,97.1793573298425,233,102.823973018389,215,65.7211256862059,225,"14.8-17.2","8.1-5.9",-3.97749365322202,309,2014-12-09
244,"Seattle","WAC","2-5",0.343632870035014,96.9669201067055,239,102.580052457361,208,65.6843042677648,226,"14.9-17.1","8.2-5.8",-3.98853065751822,309,2014-12-10
244,"Seattle","WAC","2-5",0.340839865380059,96.8859813206092,242,102.605068871218,209,65.6981201662064,226,"14.8-17.2","8.1-5.9",-3.99831576470236,307,2014-12-11
244,"Seattle","WAC","2-5",0.34060145880453,96.8854190447822,242,102.613943161086,209,65.6970996222208,227,"14.8-17.2","8.1-5.9",-3.99745377916859,307,2014-12-12
222,"Seattle","WAC","3-5",0.37814553954242,97.0614042220395,238,101.351870369122,188,64.0551033590103,295,"16-16","8.6-5.4",-3.97067047110968,303,2014-12-13
223,"Seattle","WAC","3-5",0.375531965901178,96.9974397851982,238,101.383148854748,190,64.0471952926133,291,"15.9-16.1","8.6-5.4",-3.9754024075311,297,2014-12-14
222,"Seattle","WAC","3-5",0.375372547541974,96.9959085743213,237,101.387542067765,192,64.0643699376729,290,"15.9-16.1","8.6-5.4",-3.96316413036141,297,2014-12-15
226,"Seattle","WAC","3-5",0.371947053433697,96.9970796442744,239,101.517890248598,190,64.1336742834789,288,"15.9-16.1","8.6-5.4",-3.94767147333849,296,2014-12-16
220,"Seattle","WAC","3-5",0.377068141758098,97.08113493659,238,101.412891772689,184,64.2090748049922,277,"16-16","8.6-5.4",-3.96899988834404,293,2014-12-17
