"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
343,"South Carolina St.","MEAC","0-0",0.105223885089551,90.285803383716,338,108.756257367125,336,68.15694556,155,"8.3-22.7","5.9-10.1",0,159,2014-11-13
342,"South Carolina St.","MEAC","0-1",0.106269927097602,90.0328099679657,339,108.34723867549,332,68.4257533149877,134,"8.4-22.6","6.1-9.9",-0.562397252847553,307,2014-11-14
342,"South Carolina St.","MEAC","0-1",0.106150340080395,90.0395599248105,339,108.367231932747,332,68.4238823476037,138,"8.4-22.6","6-10",-0.562077826696159,292,2014-11-15
344,"South Carolina St.","MEAC","0-2",0.0961137483108688,89.0070123280193,342,108.158701321946,327,69.4282362636772,82,"8-23","5.8-10.2",-1.12663215042358,339,2014-11-16
343,"South Carolina St.","MEAC","0-2",0.0959221411785005,88.9815316051752,342,108.148495660502,326,69.4184117778377,82,"8.1-22.9","5.8-10.2",-1.12074653456942,331,2014-11-17
343,"South Carolina St.","MEAC","0-3",0.0980554774832881,89.1458843051964,341,108.118992519666,327,69.2583997288092,84,"8.2-22.8","5.9-10.1",-1.21524701281222,330,2014-11-18
342,"South Carolina St.","MEAC","0-3",0.0978321750078881,89.122145016477,340,108.113959261217,328,69.1714018056399,85,"8.2-22.8","5.9-10.1",-1.23348846097615,315,2014-11-19
341,"South Carolina St.","MEAC","0-3",0.0977486910696229,89.1142689694378,340,108.113300179101,329,69.1301087239341,86,"8.1-22.9","5.8-10.2",-1.25204985236808,306,2014-11-20
341,"South Carolina St.","MEAC","0-3",0.0976599097158828,89.1938245594888,339,108.21929338429,329,69.1949986536696,78,"8.2-22.8","5.9-10.1",-1.24254159969007,292,2014-11-21
341,"South Carolina St.","MEAC","0-3",0.0975312528199861,89.2189373847428,339,108.263514660541,332,69.1516605069483,78,"8.2-22.8","5.9-10.1",-1.23542574363793,268,2014-11-22
342,"South Carolina St.","MEAC","0-3",0.0971644401087449,89.1822647866188,338,108.258304023755,333,69.1258033556447,79,"8.2-22.8","5.9-10.1",-1.23166643336377,256,2014-11-23
342,"South Carolina St.","MEAC","0-3",0.0974998482632288,89.2418849997472,338,108.29472097728,333,69.0212873534693,86,"8.2-22.8","5.9-10.1",-1.23143359674985,247,2014-11-24
344,"South Carolina St.","MEAC","0-3",0.0959753675511919,89.2033348662243,339,108.412291417997,331,69.0512166983449,80,"8.1-22.9","5.8-10.2",-1.23356767800576,232,2014-11-25
344,"South Carolina St.","MEAC","0-3",0.0947095168713835,89.1169141868198,338,108.445571338399,332,69.0211655160585,81,"8.1-22.9","5.9-10.1",-1.24954287356103,220,2014-11-26
344,"South Carolina St.","MEAC","0-3",0.0949443793688281,89.1587128474571,338,108.470624061902,332,68.9827015293907,81,"8.1-22.9","5.9-10.1",-1.24097295556777,213,2014-11-27
344,"South Carolina St.","MEAC","0-3",0.0948835808990426,89.1535912519397,339,108.471068490967,332,69.0230177187772,77,"8-23","5.8-10.2",-1.25914867472214,206,2014-11-28
342,"South Carolina St.","MEAC","0-4",0.0967539446724237,89.3896127318974,339,108.554249483446,330,68.4578904014041,107,"8-23","5.7-10.3",-1.94779626551522,253,2014-11-29
342,"South Carolina St.","MEAC","0-4",0.0983686419791215,89.522116786205,339,108.541920612317,328,68.4957644577821,103,"8.1-22.9","5.8-10.2",-1.95752524162098,243,2014-11-30
342,"South Carolina St.","MEAC","0-4",0.0984647462732027,89.5252749406326,338,108.535527114081,327,68.4827589340481,101,"8.2-22.8","5.9-10.1",-1.95726868456078,237,2014-12-01
341,"South Carolina St.","MEAC","0-5",0.099626976018676,89.3055548905053,339,108.146599143331,324,67.9304843277082,120,"8.1-22.9","5.8-10.2",-2.63364524665338,286,2014-12-02
341,"South Carolina St.","MEAC","0-5",0.0994864347339533,89.2685353004391,339,108.116507531806,323,68.0009782899065,112,"8.1-22.9","5.9-10.1",-2.62431033430283,277,2014-12-03
341,"South Carolina St.","MEAC","0-5",0.099222554247623,89.2478646546,339,108.119193942961,323,67.999785562476,112,"8-23","5.9-10.1",-2.61315459362082,275,2014-12-04
341,"South Carolina St.","MEAC","0-5",0.0992560154767515,89.3104066207356,339,108.19143862693,324,68.0342329068852,104,"8-23","5.8-10.2",-2.60075717927335,274,2014-12-05
340,"South Carolina St.","MEAC","1-5",0.105075676598987,89.8220894138381,335,108.212498449271,324,68.0178225488185,103,"8.4-22.6","6.2-9.8",-2.61885467759495,254,2014-12-06
339,"South Carolina St.","MEAC","1-5",0.106282044625426,89.9488754033782,333,108.245029336332,324,68.1484916738254,94,"8.4-22.6","6.2-9.8",-2.60114238371554,250,2014-12-07
332,"South Carolina St.","MEAC","2-5",0.121865218141685,90.7120917038593,328,107.707556504733,313,68.8044787039023,67,"9.4-21.6","7-9",-2.60087931059277,250,2014-12-08
332,"South Carolina St.","MEAC","2-5",0.121687305881487,90.7051682712204,327,107.714916544534,312,68.7820462840988,69,"9.4-21.6","7-9",-2.58963077225455,248,2014-12-09
331,"South Carolina St.","MEAC","2-5",0.121137429731273,90.6934387267566,328,107.749275104248,311,68.728568737424,68,"9.6-21.4","7.2-8.8",-2.60477073664367,247,2014-12-10
329,"South Carolina St.","MEAC","2-6",0.13243006021857,90.1211692443894,329,106.123358225779,295,67.9615035791273,97,"9.9-21.1","7.5-8.5",-3.49463478501843,288,2014-12-11
329,"South Carolina St.","MEAC","2-6",0.132350769738552,90.1215919309928,329,106.130226390642,295,67.9659202285379,98,"9.9-21.1","7.5-8.5",-3.49331573275557,288,2014-12-12
