"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
83,"South Carolina","SEC","0-0",0.718710894141439,105.950990281904,71,97.6514775479988,101,68.04943704,169,"16.4-15.6","7.4-10.6",0,169,2014-11-13
69,"South Carolina","SEC","1-0",0.751436093706747,106.217005739802,66,96.4751465558802,84,68.0571531592758,176,"17.6-14.4","8.1-9.9",0.112057174627383,32,2014-11-14
69,"South Carolina","SEC","1-0",0.751263144863343,106.237528704479,65,96.5015551576325,85,68.0553483693184,180,"17.7-14.3","8.1-9.9",0.112186372526305,45,2014-11-15
70,"South Carolina","SEC","1-0",0.750902249574805,106.185652701227,61,96.4706252031261,86,68.0510312206243,180,"17.6-14.4","8.1-9.9",0.113907969067841,54,2014-11-16
69,"South Carolina","SEC","1-0",0.750414175347054,106.157610247539,63,96.4670199757045,91,68.0465658385805,182,"17.7-14.3","8.2-9.8",0.115120265500114,68,2014-11-17
71,"South Carolina","SEC","1-1",0.74650154540596,106.350734884856,58,96.8173228547254,97,67.555718152698,213,"17-15","8.1-9.9",-0.264068928650598,181,2014-11-18
72,"South Carolina","SEC","1-1",0.745951137572091,106.313766533534,57,96.8081323515487,96,67.5063326937528,208,"16.9-15.1","8-10",-0.274911897007103,163,2014-11-19
60,"South Carolina","SEC","2-1",0.769994694904908,105.627399719106,67,95.0924779112482,69,67.2623778018058,222,"17.6-14.4","8.5-9.5",-0.17045568505999,133,2014-11-20
59,"South Carolina","SEC","2-2",0.772461884802994,104.746994890128,81,94.1852855766821,50,67.2625442736267,214,"17.1-14.9","8.5-9.5",-0.984347409913105,269,2014-11-21
63,"South Carolina","SEC","2-2",0.769639805471585,104.819784128805,82,94.3818467843782,56,67.2918310474653,205,"17-15","8.5-9.5",-0.976933606665378,235,2014-11-22
70,"South Carolina","SEC","2-3",0.751870143895911,103.727642507407,107,94.1950516730921,52,67.4840557835,192,"15.7-16.3","8.1-9.9",-1.65579373251227,287,2014-11-23
72,"South Carolina","SEC","2-3",0.752982907380166,103.859805218273,101,94.2660900821658,53,67.4857905970859,181,"15.8-16.2","8.2-9.8",-1.65544809241296,279,2014-11-24
69,"South Carolina","SEC","2-3",0.758764148067775,103.89528157246,98,94.0417303328822,51,67.3875501354169,180,"16-16","8.2-9.8",-1.65835735484499,267,2014-11-25
71,"South Carolina","SEC","3-3",0.76382065369687,103.804079168874,96,93.7321067325259,48,67.8818178047609,147,"16.3-15.7","8.4-9.6",-1.63149315014384,253,2014-11-26
71,"South Carolina","SEC","3-3",0.766438897783338,103.842186215434,95,93.6477958715181,49,68.0039739914781,141,"16.4-15.6","8.5-9.5",-1.61862358131751,251,2014-11-27
70,"South Carolina","SEC","3-3",0.765708623979575,104.062199218715,93,93.8794705399431,49,68.0169729105903,139,"16.6-15.4","8.6-9.4",-1.64595204167532,244,2014-11-28
69,"South Carolina","SEC","3-3",0.767754948143049,104.228386016499,91,93.9358921777113,51,67.954995953013,135,"16.5-15.5","8.5-9.5",-1.64197714755735,226,2014-11-29
70,"South Carolina","SEC","3-3",0.769075560983939,104.347172253396,93,93.9822804649332,51,68.2628860431042,115,"16.6-15.4","8.6-9.4",-1.65230548627808,214,2014-11-30
55,"South Carolina","SEC","4-3",0.803205978900348,104.517553852658,93,92.4857635074088,34,68.6620170359557,87,"17.9-14.1","9.3-8.7",-1.50303368646832,197,2014-12-01
58,"South Carolina","SEC","4-3",0.802981599855133,104.52916887318,92,92.5074546716043,34,68.5885934989204,85,"17.8-14.2","9.2-8.8",-1.50412512560582,191,2014-12-02
56,"South Carolina","SEC","4-3",0.802348764685678,104.584834492406,92,92.5888799364538,34,68.4623183068599,88,"17.7-14.3","9.2-8.8",-1.4951752164031,183,2014-12-03
53,"South Carolina","SEC","4-3",0.80497655684051,104.621634009713,91,92.4874232969253,34,68.5348081279275,83,"17.9-14.1","9.3-8.7",-1.48428560626975,182,2014-12-04
54,"South Carolina","SEC","4-3",0.805018121254402,104.619687037559,90,92.4835727323801,34,68.5292297557192,84,"17.9-14.1","9.3-8.7",-1.47213685617856,180,2014-12-05
35,"South Carolina","SEC","5-3",0.848402743837727,104.860432771752,89,90.2767530696745,18,68.51569326721,80,"19.8-12.2","10.5-7.5",-1.10677437580965,153,2014-12-06
36,"South Carolina","SEC","5-3",0.847330517877731,104.77541267031,88,90.2687829938008,17,68.5446472653452,77,"19.6-12.4","10.3-7.7",-1.08541453803759,150,2014-12-07
35,"South Carolina","SEC","5-3",0.847452904995702,104.772981774994,88,90.2592604394575,17,68.5130293974185,76,"19.5-12.5","10.3-7.7",-1.10027620914414,148,2014-12-08
33,"South Carolina","SEC","5-3",0.84845893504148,104.783970101504,88,90.2074969708442,18,68.4918349860297,74,"19.5-12.5","10.3-7.7",-1.08678019296199,146,2014-12-09
36,"South Carolina","SEC","5-3",0.848543266228678,104.786556830242,90,90.204577864156,19,68.4475979160487,75,"19.6-12.4","10.4-7.6",-1.10488570708643,143,2014-12-10
36,"South Carolina","SEC","5-3",0.848355880414644,104.788126622728,91,90.2173611035403,19,68.4533225543749,73,"19.6-12.4","10.3-7.7",-1.12091212423983,141,2014-12-11
37,"South Carolina","SEC","5-3",0.848270618441765,104.789377255157,91,90.2236361372914,18,68.4528392868505,73,"19.5-12.5","10.3-7.7",-1.11949880574492,141,2014-12-12
34,"South Carolina","SEC","5-3",0.84861894767557,104.856447331889,89,90.2601194686383,20,68.4287483767609,74,"19.5-12.5","10.2-7.8",-1.12824637590926,137,2014-12-13
35,"South Carolina","SEC","5-3",0.850185087355349,104.858872955128,89,90.1661616462692,19,68.404403997102,79,"19.5-12.5","10.2-7.8",-1.13577155537893,138,2014-12-14
37,"South Carolina","SEC","5-3",0.84982085809108,104.820414566909,91,90.1554850063759,19,68.3595266360727,82,"19.5-12.5","10.2-7.8",-1.11621143348419,136,2014-12-15
38,"South Carolina","SEC","5-3",0.847660409472434,104.839489883825,91,90.3039433229929,19,68.5516093961043,74,"19.4-12.6","10.1-7.9",-1.09182913918057,133,2014-12-16
39,"South Carolina","SEC","5-3",0.846468761708565,104.866411701402,90,90.399412733708,21,68.5561583815167,75,"19.3-12.7","10.1-7.9",-1.12554622652983,129,2014-12-17
39,"South Carolina","SEC","5-3",0.84516513099495,104.778960667569,92,90.4025746496858,22,68.5721878261444,73,"19.4-12.6","10.1-7.9",-1.12559884139009,128,2014-12-18
28,"South Carolina","SEC","6-3",0.868482480524557,104.539463958908,96,88.7146355906338,12,68.325513870693,84,"20.4-11.6","10.8-7.2",-0.788869388690867,112,2014-12-19
30,"South Carolina","SEC","6-3",0.86923402075889,104.589459809806,96,88.7061718961901,12,68.25012016168,79,"20.3-11.7","10.7-7.3",-0.836212759465134,107,2014-12-20
30,"South Carolina","SEC","6-3",0.869274620190519,104.613900423582,92,88.7241447710783,12,68.2238270095866,78,"20.2-11.8","10.7-7.3",-0.858967133184453,105,2014-12-21
32,"South Carolina","SEC","6-3",0.867449826693482,104.458413784154,94,88.7153408452171,14,68.0731597001068,89,"19.9-12.1","10.5-7.5",-0.847265879321195,102,2014-12-22
32,"South Carolina","SEC","6-3",0.869849337578887,104.625979858962,88,88.6953009979524,12,68.0956542415741,88,"20-12","10.5-7.5",-0.854778774348508,97,2014-12-23
32,"South Carolina","SEC","6-3",0.869849337578913,104.625979858962,88,88.6953009979508,12,68.0955100334748,88,"20-12","10.5-7.5",-0.854778774345079,97,2014-12-24
32,"South Carolina","SEC","6-3",0.869647313522979,104.616726615314,88,88.7012105319817,14,68.0929465076749,88,"20-12","10.5-7.5",-0.849329836002951,97,2014-12-25
32,"South Carolina","SEC","6-3",0.869366561659402,104.608204226046,88,88.7130702481582,14,68.0932010452382,88,"20-12","10.5-7.5",-0.848922280810175,97,2014-12-26
32,"South Carolina","SEC","6-3",0.868673085849049,104.559499017178,87,88.7187551151528,15,68.0765972508608,87,"20-12","10.5-7.5",-0.911414922522976,97,2014-12-27
33,"South Carolina","SEC","6-3",0.868810226996864,104.708562570615,89,88.8359445394739,14,68.0893039739132,84,"20-12","10.5-7.5",-0.918129494951517,95,2014-12-28
33,"South Carolina","SEC","6-3",0.868196197642071,104.565343753005,93,88.7559220214359,13,68.0934052983494,81,"20-12","10.5-7.5",-0.958868426375344,94,2014-12-29
31,"South Carolina","SEC","7-3",0.8768242924441,104.893919513912,88,88.4361160481053,15,68.5876568118489,68,"20.4-11.6","10.8-7.2",-0.965483865405888,90,2014-12-30
34,"South Carolina","SEC","7-3",0.876150528231921,105.060573006213,86,88.624571929439,17,68.7132380437625,63,"20.2-11.8","10.7-7.3",-0.976925095915754,89,2014-12-31
34,"South Carolina","SEC","7-3",0.875136140794097,105.019882394013,88,88.6620386849242,17,68.741607463283,64,"20.2-11.8","10.7-7.3",-0.992761085655347,89,2015-01-01
35,"South Carolina","SEC","7-3",0.874751116515981,105.01606848067,87,88.6859515281832,17,68.794202441088,59,"20.2-11.8","10.7-7.3",-0.979200336136147,88,2015-01-02
28,"South Carolina","SEC","8-3",0.894402320710024,104.117852150678,100,86.4649529947664,6,68.7811035157547,51,"21.4-10.6","11.3-6.7",-0.341189199634869,65,2015-01-03
29,"South Carolina","SEC","8-3",0.892226896413705,104.173894036533,103,86.6833849136034,7,68.8311511389711,52,"21.4-10.6","11.2-6.8",-0.368193928519468,64,2015-01-04
30,"South Carolina","SEC","8-3",0.891149855983133,104.128230323502,106,86.7294510790847,7,68.8041113389004,51,"21.3-10.7","11.2-6.8",-0.331834890410847,64,2015-01-05
30,"South Carolina","SEC","8-3",0.892502580387987,104.379095248876,101,86.8324587029749,8,68.9270488660098,49,"21.1-10.9","11.1-6.9",-0.334074317875541,62,2015-01-06
27,"South Carolina","SEC","8-4",0.896608274864392,105.277940518966,88,87.2493083037753,10,69.0336833865603,46,"20.6-11.4","10.5-7.5",-0.986963987907038,82,2015-01-07
29,"South Carolina","SEC","8-4",0.895738929991576,105.275908589955,87,87.3185374668077,11,68.8781666550792,45,"20.6-11.4","10.5-7.5",-1.0287147708515,82,2015-01-08
29,"South Carolina","SEC","8-4",0.895030668734322,105.221369809484,89,87.330702254174,11,69.0519705437773,45,"20.6-11.4","10.5-7.5",-1.02068140294335,81,2015-01-09
30,"South Carolina","SEC","8-5",0.890568580830231,103.768705642031,118,86.4749427713476,7,68.1978685151988,60,"19.8-12.2","9.8-8.2",-1.4419570285458,93,2015-01-10
30,"South Carolina","SEC","8-5",0.890083772643143,103.796204149849,119,86.5352109690652,6,68.2163805277186,58,"19.8-12.2","9.8-8.2",-1.41367180428937,93,2015-01-11
30,"South Carolina","SEC","8-5",0.889006159551766,103.823164130064,119,86.6402775788497,7,68.4270082480392,56,"19.7-12.3","9.7-8.3",-1.42554785645598,94,2015-01-12
28,"South Carolina","SEC","9-5",0.896717967631038,104.532143735353,104,86.6223101024354,6,68.0842781512496,59,"20.2-11.8","10.2-7.8",-1.21528422262275,82,2015-01-13
28,"South Carolina","SEC","9-5",0.896174469259288,104.504417536423,104,86.6434340820721,7,68.1032972974448,60,"20.1-11.9","10.1-7.9",-1.19758556363208,81,2015-01-14
27,"South Carolina","SEC","9-5",0.896355048255755,104.603198844792,103,86.7106866479368,7,68.1580442734748,60,"20.2-11.8","10.1-7.9",-1.13410487601439,82,2015-01-15
29,"South Carolina","SEC","9-5",0.895477671190316,104.606985605414,101,86.7848009111739,7,68.113013309409,59,"20.1-11.9","10.1-7.9",-1.13576196990488,82,2015-01-16
31,"South Carolina","SEC","9-6",0.887995480200222,104.720222943259,101,87.4664317800097,8,67.8648164373607,66,"19-13","9.1-8.9",-1.90929305590493,100,2015-01-17
30,"South Carolina","SEC","9-6",0.887805979938457,104.750924464346,102,87.5065609280751,8,67.8709736684383,67,"19-13","9.1-8.9",-1.90116712715104,98,2015-01-18
31,"South Carolina","SEC","9-6",0.886397413057696,104.636114777368,103,87.5176194772232,8,67.8546443393287,64,"19-13","9.1-8.9",-1.81628436402569,96,2015-01-19
42,"South Carolina","SEC","9-7",0.860741414548727,104.04492775649,115,88.8042792555869,11,67.8175043957846,68,"17.3-14.7","7.6-10.4",-2.62207986853078,118,2015-01-20
42,"South Carolina","SEC","9-7",0.858113801758796,103.958323623889,115,88.8983373595428,12,67.829326248204,66,"17.3-14.7","7.5-10.5",-2.60775876829125,110,2015-01-21
43,"South Carolina","SEC","9-7",0.858748951680316,103.989339850228,117,88.8844557880693,12,67.8193650814215,65,"17.3-14.7","7.5-10.5",-2.64608978429471,108,2015-01-22
43,"South Carolina","SEC","9-7",0.858397080137745,103.982790149555,116,88.901256537839,12,67.6235825598676,65,"17.3-14.7","7.5-10.5",-2.64570075240049,108,2015-01-23
45,"South Carolina","SEC","9-8",0.850302923527578,103.553369077542,131,89.0364181905809,11,67.227615934667,76,"17.1-14.9","7.4-10.6",-2.83059139521878,109,2015-01-24
44,"South Carolina","SEC","9-8",0.849697282619242,103.547824090284,130,89.0684331127761,12,67.2767938411209,76,"17.1-14.9","7.4-10.6",-2.79490223583262,108,2015-01-25
45,"South Carolina","SEC","9-8",0.848065104058411,103.47380491935,129,89.1032926788955,12,67.2742112179544,76,"17.1-14.9","7.3-10.7",-2.81377788480885,108,2015-01-26
45,"South Carolina","SEC","9-8",0.846812719905224,103.558902081002,129,89.251720508768,13,67.2748782123484,76,"17-15","7.3-10.7",-2.79401057726744,108,2015-01-27
44,"South Carolina","SEC","9-9",0.844136588786202,103.688368725902,127,89.5226185648905,12,66.7700116876371,105,"16.6-15.4","6.9-11.1",-3.02377138963245,115,2015-01-28
45,"South Carolina","SEC","9-9",0.844271895288948,103.751201527778,127,89.5688542617055,12,66.7695268681055,109,"16.6-15.4","6.9-11.1",-3.04150525129778,114,2015-01-29
45,"South Carolina","SEC","9-9",0.84370824560585,103.781147396689,127,89.6280635388776,12,66.7274678623748,106,"16.6-15.4","6.9-11.1",-3.03515109097471,114,2015-01-30
33,"South Carolina","SEC","10-9",0.867804079428865,104.139842758929,120,88.421063069992,7,66.6402947385433,111,"17.5-14.5","7.7-10.3",-2.63478110696796,106,2015-01-31
33,"South Carolina","SEC","10-9",0.867312863715085,104.134592569708,121,88.4494803934521,8,66.5886583573768,113,"17.5-14.5","7.7-10.3",-2.61616927927878,105,2015-02-01
34,"South Carolina","SEC","10-9",0.866606840550854,104.127248662495,120,88.4903317668455,8,66.6286264924119,112,"17.5-14.5","7.7-10.3",-2.61871946788893,105,2015-02-02
41,"South Carolina","SEC","10-10",0.847091555354639,102.583548155038,148,88.3945806217119,9,66.7409314129169,101,"16.7-15.3","7-11",-2.8487009861064,111,2015-02-03
40,"South Carolina","SEC","10-10",0.847970160475202,102.647319753645,147,88.3972526557754,8,66.7380680863149,103,"16.7-15.3","7-11",-2.83895689333867,109,2015-02-04
39,"South Carolina","SEC","10-10",0.84894004102388,102.618392189362,148,88.3143947140536,8,66.7562696621132,103,"16.7-15.3","7-11",-2.83516518334982,106,2015-02-05
39,"South Carolina","SEC","10-10",0.848205969062425,102.550443104848,150,88.2997702073076,8,66.8102413357119,102,"16.7-15.3","7-11",-2.84094578616579,106,2015-02-06
45,"South Carolina","SEC","10-11",0.840945887730803,102.48875065089,153,88.6721481239393,8,66.3640215054739,112,"16.2-15.8","6.5-11.5",-3.2566486141073,115,2015-02-07
45,"South Carolina","SEC","10-11",0.840244691107601,102.48958707689,154,88.7132311304992,9,66.3732477688993,112,"16.2-15.8","6.5-11.5",-3.23774427202992,114,2015-02-08
45,"South Carolina","SEC","10-11",0.840060188513733,102.392653341635,156,88.639915681749,8,66.4631635409461,110,"16.2-15.8","6.5-11.5",-3.23108139007915,113,2015-02-09
47,"South Carolina","SEC","11-11",0.8326205434059,102.366354995309,156,89.0370413972834,9,66.2869470005768,115,"16.2-15.8","6.5-11.5",-3.08210412098496,107,2015-02-10
47,"South Carolina","SEC","11-11",0.832200061908154,102.375686570528,154,89.0684995487192,9,66.2854173387052,118,"16.2-15.8","6.5-11.5",-3.07798002830674,107,2015-02-11
