"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
132,"Southern Miss","CUSA","0-0",0.573421853620429,101.726605080549,152,99.1431598565563,136,67.43280294,217,"14.9-12.1","10.3-7.7",0,230,2014-11-13
132,"Southern Miss","CUSA","0-0",0.572445630599671,101.708981796702,153,99.1603806563869,135,67.43280294,222,"15-12","10.2-7.8",0,189,2014-11-14
132,"Southern Miss","CUSA","0-0",0.572135941449604,101.703393580166,153,99.1658418719833,136,67.43280294,224,"15.1-11.9","10.3-7.7",0,181,2014-11-15
132,"Southern Miss","CUSA","0-0",0.571878541894398,101.698749801227,145,99.1703803423565,139,67.43280294,223,"15-12","10.3-7.7",0,175,2014-11-16
139,"Southern Miss","CUSA","1-0",0.555987826373796,100.460051233723,178,98.5145360980899,126,67.8686734498682,192,"14.9-12.1","10.1-7.9",0.0402438180126337,114,2014-11-17
140,"Southern Miss","CUSA","1-0",0.555457660724489,100.452545926655,178,98.5255715695972,131,67.8452207746211,188,"15.1-11.9","10.2-7.8",0.0388271646311691,109,2014-11-18
142,"Southern Miss","CUSA","1-0",0.554863068059813,100.431692279078,176,98.5257434374113,134,67.8173271807217,187,"15.1-11.9","10.2-7.8",0.0376305746610733,107,2014-11-19
153,"Southern Miss","CUSA","1-1",0.538127293431748,101.047338490363,158,99.7135567497077,159,67.7229184734936,191,"14.6-12.4","10-8",-0.356697366283305,164,2014-11-20
152,"Southern Miss","CUSA","1-1",0.537535440706041,101.052952808681,159,99.7397456544117,160,67.688213415133,190,"14.6-12.4","9.9-8.1",-0.352051509329252,156,2014-11-21
149,"Southern Miss","CUSA","1-1",0.535878214469058,101.187279456994,157,99.9302245370573,164,67.605959769151,183,"14.4-12.6","9.8-8.2",-0.348579948732316,148,2014-11-22
149,"Southern Miss","CUSA","1-1",0.53515865302246,101.162111449578,156,99.9305037173578,168,67.5845844242474,184,"14.5-12.5","9.8-8.2",-0.346747751858244,142,2014-11-23
148,"Southern Miss","CUSA","1-1",0.5343453276185,101.137916605555,152,99.9350078335301,169,67.5288529953644,178,"14.5-12.5","9.8-8.2",-0.34663431433739,140,2014-11-24
166,"Southern Miss","CUSA","2-1",0.498704999877291,101.366649527409,150,101.412318983382,198,67.0009458785089,207,"13.9-13.1","9.3-8.7",-0.310387615454914,128,2014-11-25
167,"Southern Miss","CUSA","2-1",0.497481529467039,101.364660997807,145,101.453495056363,200,67.0048597261315,212,"13.9-13.1","9.4-8.6",-0.319195608676468,118,2014-11-26
164,"Southern Miss","CUSA","2-1",0.497350174900757,101.355508010055,145,101.448969120827,201,66.9946870352649,206,"13.9-13.1","9.3-8.7",-0.314470900432419,115,2014-11-27
161,"Southern Miss","CUSA","2-1",0.497258146976431,101.379624592429,148,101.476356212854,199,66.906158634471,200,"14-13","9.4-8.6",-0.324490669480394,114,2014-11-28
158,"Southern Miss","CUSA","2-1",0.496627041321653,101.413990986957,151,101.533041814966,196,66.8506060402769,191,"14.1-12.9","9.5-8.5",-0.323041449001,115,2014-11-29
206,"Southern Miss","CUSA","2-2",0.412537416518767,99.3200869232023,193,102.420380205944,211,65.6200259306839,258,"12.2-14.8","8.4-9.6",-1.15399260037615,181,2014-11-30
206,"Southern Miss","CUSA","2-2",0.412728237364956,99.3219508079548,192,102.415290396544,213,65.6072074604004,259,"12.3-14.7","8.4-9.6",-1.15384255423701,179,2014-12-01
204,"Southern Miss","CUSA","2-2",0.416040103347786,99.4165148418766,193,102.391214249914,211,65.5371582687279,260,"12.3-14.7","8.4-9.6",-1.15431697679549,172,2014-12-02
177,"Southern Miss","CUSA","3-2",0.462684565108727,101.597210763685,145,102.926952890839,221,64.8380619412964,286,"13.5-13.5","9.1-8.9",-1.04718737782947,152,2014-12-03
178,"Southern Miss","CUSA","3-2",0.462256171410207,101.58134188463,146,102.92629874214,219,64.8304281663412,283,"13.4-13.6","9-9",-1.04106151613368,152,2014-12-04
177,"Southern Miss","CUSA","3-2",0.461982976069991,101.574327214833,147,102.929027965722,218,64.8221041890749,283,"13.4-13.6","9-9",-1.034241405257,152,2014-12-05
217,"Southern Miss","CUSA","3-3",0.381273089497532,99.4698715104372,190,103.746936909442,243,64.4060896239423,293,"11.9-15.1","8-10",-1.7464989852192,202,2014-12-06
223,"Southern Miss","CUSA","3-3",0.37635760854879,99.3663854505006,193,103.827427711638,243,64.4065973459171,292,"11.8-15.2","7.9-10.1",-1.73305200655149,197,2014-12-07
222,"Southern Miss","CUSA","3-3",0.376060736690749,99.3658741818403,193,103.838315343249,242,64.391091125083,295,"11.7-15.3","7.9-10.1",-1.74236573995976,194,2014-12-08
223,"Southern Miss","CUSA","3-3",0.375964183249408,99.3475351208245,196,103.822865999802,240,64.3612764134176,293,"11.7-15.3","7.9-10.1",-1.73392804259618,192,2014-12-09
224,"Southern Miss","CUSA","3-3",0.374369522221827,99.3448000765222,193,103.881439378162,241,64.3940065860469,290,"11.7-15.3","7.9-10.1",-1.74528125319861,186,2014-12-10
224,"Southern Miss","CUSA","3-3",0.374241682969634,99.35507793695,193,103.897117991747,242,64.3960464159312,289,"11.7-15.3","7.9-10.1",-1.75537318733503,182,2014-12-11
224,"Southern Miss","CUSA","3-3",0.374128138135944,99.3601375424967,192,103.906789885798,242,64.4036505219963,289,"11.7-15.3","7.9-10.1",-1.75448316644921,182,2014-12-12
223,"Southern Miss","CUSA","3-3",0.377058362490175,99.5498848736797,190,103.992173732588,244,64.5250333548672,272,"11.7-15.3","7.9-10.1",-1.75988872770981,176,2014-12-13
222,"Southern Miss","CUSA","3-3",0.37624974225184,99.5481346343986,187,104.021493606031,246,64.5232751296013,268,"11.5-15.5","7.7-10.3",-1.76458307877656,174,2014-12-14
