"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
290,"Southern","SWAC","0-0",0.2546225346401,91.8143373888016,326,100.803110241179,174,68.3782851,135,"14.8-17.2","11.5-6.5",0,229,2014-11-13
284,"Southern","SWAC","0-1",0.274754476614186,93.2366322205827,315,101.447711519362,194,68.4605505811268,131,"15.4-16.6","12-6",-0.775565887771646,326,2014-11-14
284,"Southern","SWAC","0-1",0.274538468752932,93.259056651273,314,101.481678671941,192,68.4587189604003,134,"15.4-16.6","12-6",-0.775339905182726,316,2014-11-15
282,"Southern","SWAC","0-1",0.274205189653599,93.2057121154998,311,101.438395558927,194,68.4543376282895,141,"15.3-16.7","12-6",-0.772334908149055,302,2014-11-16
283,"Southern","SWAC","0-1",0.273015542734334,93.1974695588053,311,101.482232448896,195,68.3558587949655,146,"15.3-16.7","11.9-6.1",-0.77022586719015,277,2014-11-17
282,"Southern","SWAC","0-1",0.272585012501365,93.1906268862222,311,101.493933161143,196,68.3357900502983,149,"15.3-16.7","11.9-6.1",-0.776762473208433,268,2014-11-18
282,"Southern","SWAC","0-1",0.272055021673086,93.1685391470799,308,101.49347882639,199,68.31190843994,143,"15.2-16.8","11.9-6.1",-0.782355400212103,251,2014-11-19
289,"Southern","SWAC","0-2",0.247975083322043,91.5406672477822,324,100.811906731955,183,68.1731266253305,152,"14.5-17.5","11.5-6.5",-1.15843124736035,299,2014-11-20
291,"Southern","SWAC","0-2",0.247726724515402,91.5513478727082,324,100.835349954493,182,68.1906652531367,142,"14.5-17.5","11.6-6.4",-1.15162722286858,287,2014-11-21
296,"Southern","SWAC","0-3",0.221998417628192,90.2707866056922,335,100.671469856005,183,68.3648695162298,129,"13.8-18.2","11.2-6.8",-1.84300539274982,320,2014-11-22
294,"Southern","SWAC","0-3",0.220773572985394,90.1925820508419,333,100.646424132388,183,68.3722765571639,128,"13.9-18.1","11.2-6.8",-1.83889132218104,307,2014-11-23
296,"Southern","SWAC","0-3",0.220222523365335,90.1967632867041,332,100.6791540326,182,68.3743524254138,129,"14-18","11.4-6.6",-1.83863636563441,293,2014-11-24
304,"Southern","SWAC","0-4",0.207153190685631,89.6595466518611,337,100.758870695079,182,68.5983769923922,111,"13.4-18.6","11-7",-2.63215538958854,329,2014-11-25
303,"Southern","SWAC","0-4",0.206585047599364,89.6615803791965,337,100.791500554783,181,68.5892034987518,114,"13.5-18.5","11.1-6.9",-2.65427148533144,319,2014-11-26
304,"Southern","SWAC","0-4",0.206513869419106,89.6517025980591,337,100.784202800087,182,68.5770040574597,116,"13.5-18.5","11.1-6.9",-2.64242649741511,317,2014-11-27
304,"Southern","SWAC","0-5",0.201691473605142,89.8630947832551,336,101.282971510781,190,67.7696611547722,150,"13.1-18.9","11-7",-3.51538243542127,339,2014-11-28
323,"Southern","SWAC","0-6",0.157678844276087,88.5665891919622,344,102.458631970699,220,66.9216290580269,187,"11.4-20.6","10-8",-4.42474704136319,349,2014-11-29
322,"Southern","SWAC","0-6",0.156990897643875,88.5346167220085,344,102.467868450798,215,66.9266884254003,182,"11.4-20.6","9.9-8.1",-4.43694651521509,346,2014-11-30
321,"Southern","SWAC","0-6",0.157119832353182,88.5368499234883,344,102.461775488547,216,66.8998391668664,180,"11.4-20.6","9.9-8.1",-4.43663055582975,344,2014-12-01
322,"Southern","SWAC","0-6",0.156639476550326,88.5011174362577,343,102.45277232281,212,66.9700427912249,176,"11.5-20.5","10-8",-4.43769069616733,342,2014-12-02
323,"Southern","SWAC","0-6",0.156947185811511,88.5405115595111,343,102.477634512767,208,66.9101179339395,177,"11.6-20.4","10.1-7.9",-4.42856339719945,336,2014-12-03
323,"Southern","SWAC","0-6",0.154035139613464,88.3836941232995,343,102.493592602946,207,66.9672193748036,173,"11.5-20.5","10-8",-4.41755744008136,333,2014-12-04
323,"Southern","SWAC","0-6",0.153748779707987,88.3802496376933,343,102.509199940714,206,66.9611832379508,175,"11.5-20.5","10-8",-4.40529163758908,333,2014-12-05
321,"Southern","SWAC","0-6",0.15316995704781,88.4860200611985,343,102.6716510269,204,67.1120992410824,160,"11.4-20.6","10-8",-4.42572762269012,325,2014-12-06
321,"Southern","SWAC","0-6",0.154857789382772,88.5649283160091,343,102.647516967486,211,67.1141953920529,157,"11.4-20.6","10-8",-4.4083352223135,324,2014-12-07
321,"Southern","SWAC","0-6",0.154751544221024,88.5662111296751,343,102.656252128177,208,67.1120268092101,156,"11.4-20.6","10-8",-4.42041257314494,325,2014-12-08
