"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
267,"St. Francis PA","NEC","0-0",0.303434014676549,96.3723114610144,270,103.594025719563,243,65.4065924,333,"12.6-18.4","8.8-9.2",0,57,2014-11-13
275,"St. Francis PA","NEC","0-1",0.285822994303206,94.4751987778861,300,102.306017587911,214,65.3337414883046,332,"12.1-18.9","8.5-9.5",-0.302349375953844,273,2014-11-14
275,"St. Francis PA","NEC","0-1",0.285505523204476,94.4839879973787,300,102.329377968682,212,65.3320263320579,330,"12-19","8.5-9.5",-0.302075693003163,256,2014-11-15
276,"St. Francis PA","NEC","0-1",0.285367633202364,94.4554208390244,298,102.304452802874,212,65.3279235947629,330,"12.1-18.9","8.5-9.5",-0.298468090526972,231,2014-11-16
272,"St. Francis PA","NEC","0-2",0.29831873826173,93.8887134313083,305,101.137962583308,187,64.8189577860734,339,"12.4-18.6","8.8-9.2",-1.06974220279102,328,2014-11-17
272,"St. Francis PA","NEC","0-2",0.29785225680474,93.8829399848931,305,101.151351716975,187,64.7790273810321,338,"12.5-18.5","8.9-9.1",-1.08404007067678,323,2014-11-18
270,"St. Francis PA","NEC","0-2",0.297268668620854,93.8518195660152,301,101.142374982271,192,64.7474206611111,336,"12.6-18.4","9-9",-1.09649761106912,309,2014-11-19
268,"St. Francis PA","NEC","0-2",0.297070824184559,93.8434624491807,299,101.141699406834,192,64.7241537617112,338,"12.7-18.3","9-9",-1.1091680553457,295,2014-11-20
269,"St. Francis PA","NEC","0-2",0.297653769106447,93.9266233263165,298,101.206770767979,192,64.7667673052857,336,"12.8-18.2","9.1-8.9",-1.10267806229806,282,2014-11-21
269,"St. Francis PA","NEC","1-2",0.286571274292827,93.4811894775536,300,101.197379781775,195,64.3405897900975,336,"12.6-18.4","8.9-9.1",-1.04172315831226,245,2014-11-22
271,"St. Francis PA","NEC","1-2",0.284635773176577,93.5466532113618,299,101.351816301186,198,64.3443574313738,335,"12.8-18.2","9.1-8.9",-1.03880011343992,235,2014-11-23
269,"St. Francis PA","NEC","1-2",0.286188470649021,93.5878006786351,300,101.329294166525,198,64.4026518867603,334,"12.8-18.2","9.1-8.9",-1.03861899621195,228,2014-11-24
269,"St. Francis PA","NEC","1-3",0.279463312774142,93.3375244070391,301,101.350108193194,197,64.2866956563399,330,"12.6-18.4","8.9-9.1",-1.23726966631957,233,2014-11-25
269,"St. Francis PA","NEC","1-3",0.278212124689295,93.2791330642167,301,101.341520657518,197,64.384881907618,325,"13-18","9.3-8.7",-1.25422232149351,222,2014-11-26
270,"St. Francis PA","NEC","1-3",0.278096274771643,93.2717557261464,301,101.338589982,198,64.3749843685732,323,"12.9-18.1","9.3-8.7",-1.24512282337165,215,2014-11-27
