"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
88,"Stephen F. Austin","Slnd","0-0",0.709800741854448,103.684509168699,114,95.9260301247512,69,65.00009875,338,"23.1-7.9","15.2-2.8",0,317,2014-11-13
88,"Stephen F. Austin","Slnd","0-0",0.708978223891592,103.666546694336,111,95.9426921210582,72,65.00009875,338,"23.3-7.7","15.3-2.7",0,219,2014-11-14
88,"Stephen F. Austin","Slnd","0-0",0.708717107693698,103.660850922928,111,95.9479761238333,73,65.00009875,338,"23.3-7.7","15.3-2.7",0,203,2014-11-15
86,"Stephen F. Austin","Slnd","0-0",0.70850001109257,103.656117766449,109,95.9523673238552,74,65.00009875,337,"23.2-7.8","15.3-2.7",0,186,2014-11-16
88,"Stephen F. Austin","Slnd","0-0",0.70806081925338,103.646549140786,107,95.9612452579516,79,65.00009875,335,"23.2-7.8","15.3-2.7",0,165,2014-11-17
87,"Stephen F. Austin","Slnd","0-1",0.706975873702631,104.46546915212,89,96.7635479530269,95,64.680399244733,340,"22.6-8.4","15.3-2.7",-0.406183863101424,206,2014-11-18
87,"Stephen F. Austin","Slnd","0-1",0.706450123670097,104.441719886585,93,96.7628902472297,95,64.6583953533039,339,"22.6-8.4","15.3-2.7",-0.414057594848003,189,2014-11-19
88,"Stephen F. Austin","Slnd","0-1",0.70526749178095,104.365728607058,94,96.7403908193373,95,64.729950846239,336,"22.6-8.4","15.3-2.7",-0.422121689958856,181,2014-11-20
93,"Stephen F. Austin","Slnd","0-2",0.688726138964783,104.11619730441,97,97.1687583244039,105,64.9894508667232,333,"22.1-8.9","15.2-2.8",-0.617254895175735,208,2014-11-21
93,"Stephen F. Austin","Slnd","0-2",0.690040613547531,104.244999111562,95,97.2370475893696,105,65.0635279096282,324,"22-9","15.1-2.9",-0.612148018410789,190,2014-11-22
93,"Stephen F. Austin","Slnd","0-2",0.689583890490759,104.211582815603,91,97.2239217144257,110,65.055547824648,322,"22-9","15.1-2.9",-0.609459707360449,187,2014-11-23
100,"Stephen F. Austin","Slnd","0-3",0.670491808121141,103.116818506934,113,96.9395607970316,102,65.0521911378028,320,"21.5-9.5","14.9-3.1",-0.755066644168287,189,2014-11-24
97,"Stephen F. Austin","Slnd","0-3",0.673549424236163,103.152069093642,112,96.8557912322537,101,65.0891577077789,313,"21.7-9.3","15-3",-0.75706663550754,174,2014-11-25
99,"Stephen F. Austin","Slnd","0-3",0.676373830327813,103.268459552526,106,96.8565873078648,102,65.1791167916739,305,"21.8-9.2","15-3",-0.772148961118316,168,2014-11-26
101,"Stephen F. Austin","Slnd","1-3",0.672562415607913,102.241766496351,128,96.0385030626123,84,66.4000130841014,246,"21.8-9.2","15-3",-0.706186683077567,154,2014-11-27
92,"Stephen F. Austin","Slnd","2-3",0.699774119673412,103.310337702259,106,95.9812522163025,82,66.2931200905946,243,"22.4-8.6","15.3-2.7",-0.684087622756999,141,2014-11-28
94,"Stephen F. Austin","Slnd","2-3",0.698708108637155,103.319041614404,110,96.0316578564808,84,66.2203885945791,232,"22.5-8.5","15.4-2.6",-0.681128716726006,138,2014-11-29
92,"Stephen F. Austin","Slnd","2-3",0.700150074725608,103.509538953125,106,96.1513532031274,91,66.2398757750376,222,"22.5-8.5","15.4-2.6",-0.689004872392443,135,2014-11-30
91,"Stephen F. Austin","Slnd","2-3",0.702111701559231,103.564967144167,104,96.124561181793,91,66.2744604023087,221,"22.5-8.5","15.4-2.6",-0.688799050507722,136,2014-12-01
80,"Stephen F. Austin","Slnd","3-3",0.732263456354238,103.687576994945,101,95.0014490187302,68,66.0152897791593,233,"23.7-7.3","15.7-2.3",-0.139015189732734,95,2014-12-02
83,"Stephen F. Austin","Slnd","3-3",0.730401834229245,103.698961864297,107,95.0901910136358,72,65.93667593994,225,"23.7-7.3","15.6-2.4",-0.130789466174727,90,2014-12-03
85,"Stephen F. Austin","Slnd","3-3",0.730665476462047,103.669652241746,105,95.0522442689827,70,65.9405111667531,225,"23.7-7.3","15.6-2.4",-0.120963298443304,90,2014-12-04
65,"Stephen F. Austin","Slnd","4-3",0.782380060740436,104.916307795293,86,93.8684398073886,51,65.2080583069303,265,"24.7-6.3","16.1-1.9",0.03188170971335,79,2014-12-05
65,"Stephen F. Austin","Slnd","4-3",0.781359688753139,104.886484471731,88,93.8905907060043,51,65.3507409220802,250,"24.7-6.3","16.1-1.9",0.0111841154025792,73,2014-12-06
69,"Stephen F. Austin","Slnd","4-3",0.780848514633218,104.855090229059,87,93.8868923960721,52,65.3191708980724,249,"24.7-6.3","16.1-1.9",0.0288288423251149,73,2014-12-07
68,"Stephen F. Austin","Slnd","4-3",0.781414661437074,104.879034301765,86,93.8812943879264,52,65.3169292027034,249,"24.7-6.3","16.1-1.9",0.016608703777075,72,2014-12-08
66,"Stephen F. Austin","Slnd","4-3",0.782680346749472,104.939107805215,87,93.8744337829692,51,65.3010683078804,249,"24.8-6.2","16.2-1.8",0.0276887829912728,72,2014-12-09
63,"Stephen F. Austin","Slnd","4-3",0.7869130533792,104.997113454341,86,93.7218486565432,51,65.4162577767787,243,"24.8-6.2","16.2-1.8",0.0127784484401446,69,2014-12-10
63,"Stephen F. Austin","Slnd","4-3",0.787209668172855,105.02032965063,87,93.7281460980782,51,65.4186246021161,247,"24.8-6.2","16.2-1.8",-0.00054471428613026,70,2014-12-11
63,"Stephen F. Austin","Slnd","4-3",0.787081413504938,105.020174145221,87,93.7342464052978,51,65.4154638142554,247,"24.8-6.2","16.2-1.8",0.00063342786504694,70,2014-12-12
61,"Stephen F. Austin","Slnd","4-3",0.783887456142724,105.018026209393,86,93.8869574951312,52,65.4872939289024,229,"24.7-6.3","16.1-1.9",-0.00656444082017954,64,2014-12-13
57,"Stephen F. Austin","Slnd","5-3",0.789861728387104,103.889727345954,105,92.5909657305112,38,65.6253604952694,219,"24.9-6.1","16.2-1.8",0.0500428644364051,60,2014-12-14
56,"Stephen F. Austin","Slnd","5-3",0.795066295775574,104.070852796172,101,92.497498314956,38,65.6142519403443,219,"25-6","16.2-1.8",0.0671513658518437,60,2014-12-15
57,"Stephen F. Austin","Slnd","5-3",0.795878357088688,104.140295725708,100,92.5190544840695,38,65.5605339096476,223,"24.8-6.2","16.1-1.9",0.0885215717923163,57,2014-12-16
61,"Stephen F. Austin","Slnd","6-3",0.781137846767025,103.975278230116,103,93.0854184308308,42,65.5498591479052,218,"24.7-6.3","16-2",0.116559572758624,56,2014-12-17
60,"Stephen F. Austin","Slnd","6-3",0.780145805013692,103.923773210145,104,93.0861894479605,43,65.5439872633144,218,"24.7-6.3","16-2",0.11682320606698,56,2014-12-18
63,"Stephen F. Austin","Slnd","6-3",0.779438557172495,103.919851396281,103,93.1160199573007,44,65.5304795522624,216,"24.7-6.3","16-2",0.144468981386481,56,2014-12-19
61,"Stephen F. Austin","Slnd","6-3",0.781118768063002,104.136080009716,106,93.2302832999173,48,65.6006481213909,208,"24.7-6.3","16-2",0.107154761707976,54,2014-12-20
