"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
19,"Syracuse","ACC","0-0",0.880381407982202,108.232706631627,43,90.9867871739297,10,64.65444025,342,"21-10","10.9-7.1",0,297,2014-11-13
18,"Syracuse","ACC","1-0",0.888001809045147,108.185131470893,45,90.3599590943972,11,65.3345664008737,331,"21.1-9.9","10.9-7.1",0.010329861519161,107,2014-11-14
18,"Syracuse","ACC","1-0",0.887894539226241,108.191460077465,45,90.3737171412152,11,65.3326892265317,329,"21-10","10.8-7.2",0.0103431376986675,124,2014-11-15
19,"Syracuse","ACC","2-0",0.886701740741873,107.577521974604,46,89.9541408966781,9,64.838404473916,339,"21-10","10.8-7.2",0.0601197070473225,90,2014-11-16
20,"Syracuse","ACC","2-0",0.886513653394586,107.543224036555,45,89.9400923452154,9,64.8367713959266,338,"20.9-10.1","10.8-7.2",0.0608115152078786,103,2014-11-17
20,"Syracuse","ACC","2-0",0.8862925455929,107.535798651244,45,89.9510564555312,11,64.7974360367681,337,"20.9-10.1","10.8-7.2",0.0586773249448979,100,2014-11-18
20,"Syracuse","ACC","2-0",0.885673690996507,107.497194167949,47,89.9666788308124,12,64.736779347195,338,"20.9-10.1","10.8-7.2",0.0568743199082198,99,2014-11-19
22,"Syracuse","ACC","2-1",0.864103405604245,106.065740510113,60,90.306286818207,14,65.0598455364484,332,"19.3-11.7","10-8",-0.651425284332126,220,2014-11-20
22,"Syracuse","ACC","3-1",0.871107205359423,105.663986617891,65,89.4883981700291,13,65.203970810911,326,"20.1-10.9","10.2-7.8",0.0741303330952875,91,2014-11-21
22,"Syracuse","ACC","3-1",0.870975987165792,105.656155110512,69,89.4908555590691,13,65.1124026968103,319,"20.1-10.9","10.3-7.7",0.0800152509576191,89,2014-11-22
23,"Syracuse","ACC","3-1",0.870566614405337,105.608958914675,68,89.4791819832846,13,65.0870478155723,321,"20.1-10.9","10.3-7.7",0.0831339446395979,90,2014-11-23
24,"Syracuse","ACC","3-1",0.868937289843456,105.604273257822,69,89.5871873195613,14,65.0928152307137,317,"19.9-11.1","10.2-7.8",0.0833373200775749,85,2014-11-24
23,"Syracuse","ACC","4-1",0.878275591123959,105.198574320297,74,88.5888668170051,7,65.1837291830255,308,"20.4-10.6","10.6-7.4",0.109457775137989,79,2014-11-25
22,"Syracuse","ACC","4-1",0.879893082825977,105.215476951373,75,88.4859355602424,7,65.2286804717129,304,"20.4-10.6","10.5-7.5",0.0953372174398549,77,2014-11-26
24,"Syracuse","ACC","4-1",0.879689477908904,105.204221046487,75,88.491282237888,8,65.2050830801689,302,"20.3-10.7","10.5-7.5",0.102791092445493,75,2014-11-27
17,"Syracuse","ACC","5-1",0.894028764378624,105.050895462082,80,87.2697642445912,5,65.4979061279978,282,"21-10","10.9-7.1",0.14001371657274,71,2014-11-28
17,"Syracuse","ACC","5-1",0.895260572316574,105.088309042464,83,87.2016902222796,5,65.450878299616,277,"21-10","10.9-7.1",0.142582638819203,69,2014-11-29
17,"Syracuse","ACC","5-1",0.895445134654393,105.215626567703,85,87.2923842834993,5,65.349001286666,274,"21-10","10.9-7.1",0.135981458747378,68,2014-11-30
17,"Syracuse","ACC","5-1",0.895460989719559,105.220564467281,83,87.2951954121081,5,65.3234233360309,274,"21-10","10.9-7.1",0.13614497019989,70,2014-12-01
17,"Syracuse","ACC","5-2",0.895140230469569,105.56302463713,81,87.6053777104455,6,65.4155901521435,267,"20.7-10.3","10.9-7.1",-0.21121526980611,102,2014-12-02
17,"Syracuse","ACC","5-2",0.896534600106904,105.770331413524,77,87.663434446567,5,65.5132992745671,251,"20.6-10.4","10.8-7.2",-0.20411796064357,99,2014-12-03
18,"Syracuse","ACC","5-2",0.896311308009803,105.736370538495,79,87.6536157171943,5,65.5143149754353,251,"20.6-10.4","10.8-7.2",-0.195497248320394,96,2014-12-04
18,"Syracuse","ACC","5-2",0.896299365958005,105.721368229971,78,87.64215828179,6,65.5099821740093,247,"20.6-10.4","10.8-7.2",-0.18592011365365,96,2014-12-05
24,"Syracuse","ACC","5-3",0.875594281507526,105.277460258065,85,88.8470478078047,9,65.165100708046,256,"18.9-12.1","10.1-7.9",-0.797446901207823,125,2014-12-06
25,"Syracuse","ACC","5-3",0.874115063320032,105.218125014406,83,88.9013587183344,9,65.2135297080265,252,"18.9-12.1","10.1-7.9",-0.77963301493127,123,2014-12-07
