"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
111,"Temple","Amer","0-0",0.636176312533655,106.084627107364,68,101.05301561467,178,69.09725964,90,"17.7-19.3","8.4-9.6",0,227,2014-11-13
100,"Temple","Amer","1-0",0.660216795863192,104.083395792529,102,98.2416912288737,116,68.1650016882229,159,"18.8-18.2","8.7-9.3",0.0725449678618463,52,2014-11-14
101,"Temple","Amer","1-0",0.659991745763858,104.098317540731,101,98.2643458720908,116,68.1634000902655,163,"18.9-18.1","8.8-9.2",0.0726323360274294,67,2014-11-15
101,"Temple","Amer","1-0",0.65961142504158,104.056849558296,100,98.2396749724662,119,68.1595690196406,167,"18.9-18.1","8.9-9.1",0.0737973964648899,78,2014-11-16
96,"Temple","Amer","2-0",0.670205419399607,103.575770944872,112,97.3819932805517,105,69.0400830794478,102,"19.9-17.1","9.2-8.8",0.304392886730199,19,2014-11-17
97,"Temple","Amer","2-0",0.669707527481392,103.568868581567,110,97.3945719640925,107,68.9988010469608,100,"20-17","9.2-8.8",0.295320450935785,31,2014-11-18
99,"Temple","Amer","2-0",0.669079149002403,103.537388241447,110,97.3890112398551,108,68.9498181700388,99,"20-17","9.2-8.8",0.287580617652335,35,2014-11-19
100,"Temple","Amer","2-0",0.668650661275325,103.515016324674,112,97.3843491850685,109,68.9231216242317,101,"20-17","9.1-8.9",0.279863848167037,42,2014-11-20
106,"Temple","Amer","2-1",0.658740719962603,101.987528111525,135,96.3184912429865,90,68.9401181941657,95,"19.7-17.3","8.9-9.1",0.185464012262452,64,2014-11-21
110,"Temple","Amer","2-2",0.648471995025534,100.329779992917,174,95.1273501732957,70,68.7881511451584,101,"18.8-18.2","8.8-9.2",-0.476990799380457,169,2014-11-22
109,"Temple","Amer","2-2",0.648537485968457,100.371287908543,171,95.1643282126792,72,68.8796200965997,94,"18.9-18.1","8.9-9.1",-0.473329298690439,159,2014-11-23
110,"Temple","Amer","2-2",0.648236605470014,100.384512342447,167,95.18778988988,73,68.8796949417602,97,"18.9-18.1","8.9-9.1",-0.473094616939813,157,2014-11-24
114,"Temple","Amer","3-2",0.639284124798081,100.145765769464,170,95.2843122434429,80,68.6526163798437,105,"18.9-18.1","8.7-9.3",-0.438543502233432,150,2014-11-25
