"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
321,"Tennessee Martin","OVC","0-0",0.176054660246133,97.5688898263924,249,111.581976077768,347,68.74126088,103,"8.4-23.6","4.7-11.3",0,94,2014-11-13
317,"Tennessee Martin","OVC","0-1",0.179622678541468,97.757498657775,241,111.560683317388,347,68.5752002375951,126,"8.6-23.4","4.8-11.2",-0.461058367845285,296,2014-11-14
316,"Tennessee Martin","OVC","0-1",0.179437309271533,97.772686515483,242,111.590226430929,346,68.5734194641898,129,"8.6-23.4","4.8-11.2",-0.460735899000658,281,2014-11-15
313,"Tennessee Martin","OVC","0-1",0.179250505945495,97.731702878808,241,111.555762247196,346,68.5691597708246,134,"8.6-23.4","4.8-11.2",-0.456472766532809,256,2014-11-16
310,"Tennessee Martin","OVC","1-1",0.190848586278041,98.5301083426148,228,111.717276214206,346,68.3265448125702,149,"9.8-22.2","5.1-10.9",-0.357272113854716,215,2014-11-17
309,"Tennessee Martin","OVC","1-1",0.190253520956872,98.5082330196701,223,111.729949966445,345,68.2819806690113,153,"9.8-22.2","5.1-10.9",-0.369730874143874,200,2014-11-18
309,"Tennessee Martin","OVC","1-1",0.189820061072658,98.4753341317318,220,111.719989731362,346,68.2317390014105,150,"9.8-22.2","5.1-10.9",-0.38054202208624,183,2014-11-19
308,"Tennessee Martin","OVC","1-1",0.189669318138581,98.465302558237,219,111.718133671865,347,68.2066926185091,145,"9.8-22.2","5.1-10.9",-0.391494734036575,172,2014-11-20
307,"Tennessee Martin","OVC","1-1",0.189148713100872,98.4782752344357,217,111.765802226757,347,68.1766316359875,144,"9.9-22.1","5.2-10.8",-0.385890103855848,165,2014-11-21
309,"Tennessee Martin","OVC","1-1",0.186746977796557,98.3978650126268,218,111.827461653325,347,68.1218307528496,148,"9.9-22.1","5.2-10.8",-0.381687425134729,156,2014-11-22
309,"Tennessee Martin","OVC","1-1",0.186373026430394,98.3677982131282,218,111.817248434314,347,68.1144535355656,147,"10-22","5.2-10.8",-0.379464280948217,150,2014-11-23
310,"Tennessee Martin","OVC","1-1",0.184425793734419,98.3322560171939,220,111.902237460962,346,68.2092202859707,134,"9.9-22.1","5.1-10.9",-0.379326522888928,147,2014-11-24
302,"Tennessee Martin","OVC","2-1",0.209031368516519,98.849312705093,203,110.976234333483,344,68.125052594374,135,"11.2-20.8","5.7-10.3",-0.335057225099248,132,2014-11-25
302,"Tennessee Martin","OVC","2-1",0.208207802699629,98.848535129591,207,111.023509703787,345,68.1253232324469,138,"11.2-20.8","5.6-10.4",-0.345710334787259,122,2014-11-26
303,"Tennessee Martin","OVC","2-1",0.208468371066983,98.8065118589129,206,110.961065915471,344,68.1334793703493,136,"11.1-20.9","5.6-10.4",-0.340003706506323,119,2014-11-27
296,"Tennessee Martin","OVC","2-2",0.224406462259004,99.1291367652053,198,110.417015562435,341,67.9988490967856,141,"11.7-20.3","6.1-9.9",-0.915323596198157,164,2014-11-28
295,"Tennessee Martin","OVC","2-2",0.224549878570721,99.1678702576369,197,110.45224699145,341,67.9442006691366,136,"11.6-20.4","5.9-10.1",-0.912424898341785,155,2014-11-29
293,"Tennessee Martin","OVC","2-2",0.224603397859216,99.066247805778,199,110.336112141343,342,68.0962634333279,124,"11.6-20.4","6-10",-0.920189191776763,151,2014-11-30
291,"Tennessee Martin","OVC","2-2",0.227096503467719,99.2048621632351,196,110.353578544937,342,68.1319444777658,120,"11.7-20.3","6-10",-0.919984529774925,152,2014-12-01
291,"Tennessee Martin","OVC","2-2",0.226439885675097,99.2120959506338,200,110.397568078011,342,68.1090180816836,109,"11.6-20.4","6-10",-0.920631647065774,147,2014-12-02
272,"Tennessee Martin","OVC","3-2",0.278612248428366,100.163754380296,182,108.802354927627,326,67.6492002388341,134,"13.7-18.3","6.9-9.1",-0.743761342474915,136,2014-12-03
271,"Tennessee Martin","OVC","3-2",0.278142548611778,100.13367315712,181,108.791796575653,326,67.6416448298332,133,"13.8-18.2","7-9",-0.735230846328536,133,2014-12-04
271,"Tennessee Martin","OVC","3-2",0.277784941811806,100.12410874294,182,108.798260958617,326,67.6362334105296,128,"13.7-18.3","7-9",-0.725738852579763,132,2014-12-05
257,"Tennessee Martin","OVC","4-2",0.307817713531281,101.503372364935,149,108.913774302549,328,67.0809603735014,162,"15-17","7.7-8.3",-0.657048271203505,116,2014-12-06
257,"Tennessee Martin","OVC","4-2",0.306035464485981,101.599975810813,150,109.096883711617,330,67.1366673725641,156,"15-17","7.7-8.3",-0.64214608276829,112,2014-12-07
259,"Tennessee Martin","OVC","4-2",0.302485807753227,101.537819271991,150,109.189238153061,330,67.1151166231379,155,"14.9-17.1","7.6-8.4",-0.652467323552205,113,2014-12-08
257,"Tennessee Martin","OVC","4-2",0.302417890388616,101.5315477407,150,109.185550438474,330,67.0877552267385,152,"15-17","7.6-8.4",-0.643116803197956,110,2014-12-09
259,"Tennessee Martin","OVC","4-2",0.296197786883109,101.388431151271,154,109.313210123669,330,67.1001659901228,152,"14.9-17.1","7.5-8.5",-0.655698600633991,107,2014-12-10
258,"Tennessee Martin","OVC","4-2",0.296190714432717,101.393416565929,153,109.318907716694,330,67.0975701336781,150,"14.8-17.2","7.5-8.5",-0.666884884840938,106,2014-12-11
257,"Tennessee Martin","OVC","4-2",0.296043863106509,101.396089713547,153,109.328487672069,330,67.1037669889072,151,"14.8-17.2","7.5-8.5",-0.665898269639344,106,2014-12-12
262,"Tennessee Martin","OVC","4-2",0.298100146104531,101.518202854746,148,109.366465954095,329,67.2523078790001,137,"14.8-17.2","7.5-8.5",-0.671890736784574,104,2014-12-13
261,"Tennessee Martin","OVC","4-2",0.296724617788078,101.561863536736,149,109.476150105438,330,67.2540058888836,133,"14.7-17.3","7.4-8.6",-0.677095228921106,106,2014-12-14
251,"Tennessee Martin","OVC","5-2",0.323720184361622,102.626012817713,127,109.415732789161,330,67.6011517127451,118,"15.8-16.2","7.8-8.2",-0.54679526219426,95,2014-12-15
251,"Tennessee Martin","OVC","5-2",0.322799269141748,102.507169573694,130,109.329040203789,329,67.5003876220319,121,"15.8-16.2","7.9-8.1",-0.52773342480334,97,2014-12-16
241,"Tennessee Martin","OVC","5-3",0.351561620859018,102.665704922429,129,108.279012171369,319,66.6776768251194,165,"16.3-15.7","8.3-7.7",-0.94608877249353,120,2014-12-17
238,"Tennessee Martin","OVC","5-3",0.350611302907146,102.658913749421,132,108.311129073556,321,66.6828970377,159,"16.3-15.7","8.3-7.7",-0.945718809875091,120,2014-12-18
237,"Tennessee Martin","OVC","5-3",0.353637783759606,102.726311365314,129,108.257280100747,321,66.6145979961879,160,"16.4-15.6","8.4-7.6",-0.916503893543753,121,2014-12-19
209,"Tennessee Martin","OVC","6-3",0.389927898942578,105.207416352145,87,109.383150977571,325,65.1268458845605,228,"17.1-14.9","8.8-7.2",-0.939039656595482,112,2014-12-20
211,"Tennessee Martin","OVC","6-3",0.389960729761292,105.143657153007,86,109.315549257384,325,65.1244328839675,228,"17.1-14.9","8.9-7.1",-0.95790023418886,109,2014-12-21
216,"Tennessee Martin","OVC","6-4",0.372173581560489,103.920228741854,107,108.75454161307,321,64.5033152684964,255,"16.7-15.3","8.6-7.4",-1.14429097359185,118,2014-12-22
219,"Tennessee Martin","OVC","6-4",0.370209718668136,103.942020857774,103,108.856962494113,322,64.6895329732247,245,"16.6-15.4","8.5-7.5",-1.15139976299002,113,2014-12-23
219,"Tennessee Martin","OVC","6-4",0.37020971866785,103.942020857769,103,108.85696249412,322,64.6893795949321,245,"16.6-15.4","8.5-7.5",-1.15139976298671,113,2014-12-24
219,"Tennessee Martin","OVC","6-4",0.370378467583491,104.006618475803,103,108.917760213259,322,64.646869744232,249,"16.6-15.4","8.5-7.5",-1.14614515506114,113,2014-12-25
219,"Tennessee Martin","OVC","6-4",0.370319358218835,104.004037985843,103,108.917458586207,322,64.6471405942547,249,"16.6-15.4","8.5-7.5",-1.14575234544085,113,2014-12-26
221,"Tennessee Martin","OVC","6-4",0.366784903850311,103.923408789757,105,108.976846495506,324,64.5592130825826,254,"16.5-15.5","8.5-7.5",-1.20598128467032,112,2014-12-27
220,"Tennessee Martin","OVC","6-4",0.368714230921526,103.86680931161,106,108.838933520332,321,64.6219021824768,247,"16.6-15.4","8.5-7.5",-1.21329242181782,109,2014-12-28
217,"Tennessee Martin","OVC","6-4",0.368295952463652,103.862089538217,104,108.850999710809,322,64.6064792926299,247,"16.5-15.5","8.5-7.5",-1.2527426499305,109,2014-12-29
213,"Tennessee Martin","OVC","6-5",0.369459020153725,104.081457694673,101,109.033528163766,323,64.406469289209,260,"15.8-16.2","8.5-7.5",-2.22049781536948,155,2014-12-30
