"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
122,"Texas Tech","B12","0-0",0.603705444605743,102.493012256518,135,98.8093397781272,127,65.42512937,331,"14-18","4.4-13.6",0,280,2014-11-13
124,"Texas Tech","B12","1-0",0.598927524170546,102.673081275889,130,99.1546291380489,134,65.258305882027,334,"14.1-17.9","4.4-13.6",0.0288483777523825,86,2014-11-14
124,"Texas Tech","B12","1-0",0.598586939102484,102.693943028811,125,99.1870023672751,138,65.2566131566656,333,"14.1-17.9","4.4-13.6",0.02888475971657,103,2014-11-15
124,"Texas Tech","B12","1-0",0.599129516973079,102.613192109769,125,99.0895459087645,136,65.2521524947675,333,"14-18","4.3-13.7",0.02937031063013,115,2014-11-16
125,"Texas Tech","B12","1-0",0.598574240847434,102.586750112157,124,99.0839253599165,136,65.2483516676198,331,"13.9-18.1","4.2-13.8",0.0297130619960102,124,2014-11-17
121,"Texas Tech","B12","1-1",0.610816692221526,101.41153465785,143,97.5135649531058,109,65.4491383134457,325,"14-18","4.4-13.6",-0.259882064525904,178,2014-11-18
122,"Texas Tech","B12","1-1",0.609939948958518,101.609698119047,140,97.7354383007465,116,65.4107159181096,323,"14-18","4.4-13.6",-0.267501413170455,161,2014-11-19
123,"Texas Tech","B12","1-1",0.609555619357448,101.587605810546,141,97.7279129097972,115,65.3864727987678,320,"14-18","4.3-13.7",-0.275326058914493,149,2014-11-20
125,"Texas Tech","B12","1-1",0.608218017249961,101.640510805917,142,97.8265763027528,117,65.3343562283336,318,"14-18","4.3-13.7",-0.271308659673218,140,2014-11-21
121,"Texas Tech","B12","2-1",0.623385873408407,102.479184113748,128,98.085390243553,119,65.7699796171398,299,"14.5-17.5","4.5-13.5",-0.222720548805487,124,2014-11-22
120,"Texas Tech","B12","2-1",0.622542021977934,102.41222236941,127,98.0519269298479,124,65.760715061702,295,"14.5-17.5","4.4-13.6",-0.22085024991122,121,2014-11-23
122,"Texas Tech","B12","2-1",0.621506433427969,102.41582522264,129,98.0929404830352,126,65.7674493698717,296,"14.4-17.6","4.2-13.8",-0.220734451399647,118,2014-11-24
112,"Texas Tech","B12","3-1",0.640480451452353,102.31187291626,126,97.3013319702475,112,65.4674884448377,301,"14.9-17.1","4.5-13.5",-0.16485104902936,110,2014-11-25
111,"Texas Tech","B12","3-1",0.639865934880064,102.304897572539,129,97.3172709772084,114,65.4766769179031,295,"15-17","4.4-13.6",-0.174323106025567,105,2014-11-26
115,"Texas Tech","B12","3-1",0.637863669779896,102.258126003997,126,97.3462142883468,114,65.4767471870267,294,"14.7-17.3","4.2-13.8",-0.169243505365955,104,2014-11-27
