"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
216,"UAB","CUSA","0-0",0.417982420985517,97.0214730921778,254,99.8551127703491,150,69.55902506,69,"14.1-20.9","7.9-10.1",0,11,2014-11-13
211,"UAB","CUSA","0-0",0.417012132249991,97.0046649331099,253,99.8724572337661,150,69.55902506,67,"14.1-20.9","7.9-10.1",0,118,2014-11-14
236,"UAB","CUSA","0-1",0.36846503204148,96.1253539345001,274,100.736272235375,173,69.9467999183907,51,"12-23","7.2-10.8",-0.891178448630195,331,2014-11-15
237,"UAB","CUSA","0-1",0.368433175808579,96.0822525183379,273,100.692302023805,179,69.942165712077,56,"11.9-23.1","7.1-10.9",-0.889502061503762,323,2014-11-16
237,"UAB","CUSA","0-1",0.3679849647295,96.0584169050228,271,100.684189926375,180,69.9373723635722,57,"12-23","7.1-10.9",-0.888321483165598,305,2014-11-17
238,"UAB","CUSA","0-1",0.367474096181916,96.0512754576181,267,100.695942157281,180,69.913393307053,57,"12.2-22.8","7.3-10.7",-0.891969717158247,296,2014-11-18
237,"UAB","CUSA","0-1",0.366950849688774,96.0309832875349,266,100.694383698297,183,69.8848737945534,55,"12.2-22.8","7.3-10.7",-0.895066198975422,278,2014-11-19
242,"UAB","CUSA","0-2",0.354791191280257,95.4309070787055,275,100.524992254434,179,69.8633004901393,53,"11.3-23.7","7.1-10.9",-1.85527545442538,345,2014-11-20
238,"UAB","CUSA","0-2",0.358207687594284,95.5748380890496,272,100.546312034668,180,69.8843481380175,51,"11.3-23.7","7.1-10.9",-1.85300889254915,335,2014-11-21
237,"UAB","CUSA","0-2",0.357764015190414,95.6137557987032,272,100.604140373015,181,69.8555142521658,49,"11.1-23.9","7-11",-1.85129240526624,321,2014-11-22
240,"UAB","CUSA","1-2",0.350487266144205,94.2491285114559,287,99.4430272613189,155,69.5741641039392,57,"11.1-23.9","6.9-11.1",-1.82856853827123,305,2014-11-23
240,"UAB","CUSA","1-2",0.349791761556507,94.2557005098758,287,99.4763978935028,157,69.5782934852882,56,"11.1-23.9","7-11",-1.82850290612185,292,2014-11-24
243,"UAB","CUSA","1-2",0.351167239804962,94.2242437890034,287,99.3909638001961,158,69.5290344504137,52,"11.2-23.8","7-11",-1.82910362685057,281,2014-11-25
250,"UAB","CUSA","1-3",0.331775251493468,93.2995359771841,300,99.1564793957259,151,69.266995564172,64,"10.7-24.3","6.8-11.2",-1.93518033897218,281,2014-11-26
239,"UAB","CUSA","1-4",0.355374991060109,92.9681638739004,305,97.9090810613774,127,68.5179465816886,120,"11.2-23.8","7.2-10.8",-2.3236298770255,300,2014-11-27
248,"UAB","CUSA","1-5",0.341593999187322,93.5698096703741,301,99.0642427532193,151,68.3603486359853,118,"10.9-24.1","7-11",-2.80429193399326,312,2014-11-28
242,"UAB","CUSA","1-5",0.340513347326126,93.5919893537682,301,99.1291654392072,148,68.2744181509006,116,"11.1-23.9","7.1-10.9",-2.80079516954076,304,2014-11-29
242,"UAB","CUSA","1-5",0.339964503721512,93.6211263169321,299,99.1811107132132,145,68.2414785664622,116,"11.2-23.8","7.3-10.7",-2.80977256142493,300,2014-11-30
244,"UAB","CUSA","1-5",0.340351943744394,93.628166557263,298,99.1736817951291,146,68.2180631998527,116,"11.3-23.7","7.3-10.7",-2.80955050158827,297,2014-12-01
245,"UAB","CUSA","1-5",0.339269266356391,93.6608856336372,298,99.2499811544238,142,68.0924548482202,110,"11.2-23.8","7.2-10.8",-2.81042534315827,292,2014-12-02
242,"UAB","CUSA","1-5",0.338783362085451,93.7623217961599,299,99.3762063900248,144,68.0765627689722,108,"11-24","7.1-10.9",-2.80366316426244,281,2014-12-03
225,"UAB","CUSA","2-5",0.36552507830378,93.3066036375666,307,97.889978246144,120,67.3830725558303,145,"12.2-22.8","7.5-10.5",-2.67666607196967,276,2014-12-04
226,"UAB","CUSA","2-5",0.365600723508437,93.2960034071506,308,97.8760813395129,117,67.3523987012851,147,"12.2-22.8","7.5-10.5",-2.66616510301141,275,2014-12-05
230,"UAB","CUSA","2-5",0.364946206872425,93.5030872850548,303,98.1174143782626,124,67.6290030838002,123,"12.5-22.5","7.8-10.2",-2.6836039414057,258,2014-12-06
230,"UAB","CUSA","2-6",0.365107148072357,95.014570043018,277,99.6974681355263,158,66.98428370987,163,"12.2-22.8","7.8-10.2",-3.36224714735345,294,2014-12-07
228,"UAB","CUSA","2-6",0.371019401137981,95.0645308469144,275,99.5296500424239,154,67.0236340472398,161,"12.3-22.7","7.9-10.1",-3.37517429483774,290,2014-12-08
227,"UAB","CUSA","2-6",0.374231154598145,95.0694720047298,276,99.4159832599433,152,67.0901237571204,151,"12.4-22.6","7.9-10.1",-3.36342108002925,287,2014-12-09
225,"UAB","CUSA","2-6",0.373834164732446,95.0432254531128,276,99.4031918318493,150,67.1028473950024,150,"12.5-22.5","8-10",-3.37917529483697,287,2014-12-10
223,"UAB","CUSA","2-6",0.374524410509485,95.0710597491556,276,99.4068201242914,150,67.0798147511993,152,"12.5-22.5","8-10",-3.3931438215204,285,2014-12-11
223,"UAB","CUSA","2-6",0.375595112057611,95.0951759169043,276,99.3925475033856,150,67.1229027892296,149,"12.5-22.5","8-10",-3.39191012911841,285,2014-12-12
225,"UAB","CUSA","2-6",0.375803238908095,95.08424680651,273,99.3734564833443,147,67.2680721280725,136,"12.3-22.7","7.9-10.1",-3.39961894140285,278,2014-12-13
210,"UAB","CUSA","3-6",0.398697224564813,95.5377602970253,266,99.0130518402524,143,67.0563966503686,142,"13-22","8.1-9.9",-3.35819370756116,269,2014-12-14
210,"UAB","CUSA","3-6",0.394791243518008,95.4648531221677,266,99.0779976580424,143,67.0257607775119,146,"12.9-22.1","8-10",-3.34023054190242,266,2014-12-15
210,"UAB","CUSA","3-6",0.393226897801307,95.5588238249264,265,99.2320435322347,141,67.0137679144279,147,"12.9-22.1","8-10",-3.31803647262094,263,2014-12-16
209,"UAB","CUSA","3-6",0.39136480544343,95.6648030115395,261,99.4095926257099,145,67.0737629873944,140,"12.9-22.1","8-10",-3.3487999160152,256,2014-12-17
202,"UAB","CUSA","3-7",0.409860270200887,96.6339215209689,247,99.7462268489726,150,66.5663250494036,165,"13.3-21.7","8.6-9.4",-3.96571205162176,289,2014-12-18
203,"UAB","CUSA","3-7",0.403474809311844,96.5944874591459,250,99.9352342666356,153,66.514040923586,168,"13.2-21.8","8.5-9.5",-3.93206555423778,283,2014-12-19
206,"UAB","CUSA","3-7",0.393705102773163,96.5910983818309,247,100.286522368839,161,66.4243832436546,170,"13-22","8.3-9.7",-3.97669854342847,275,2014-12-20
209,"UAB","CUSA","3-7",0.390603294067447,96.5697912620278,247,100.377917127824,159,66.5249756851577,162,"12.9-22.1","8.3-9.7",-3.99845651644805,268,2014-12-21
227,"UAB","CUSA","3-8",0.353979201274884,96.4937510009845,244,101.675943533813,194,66.923652031879,137,"11.8-23.2","7.6-10.4",-4.72265065883104,287,2014-12-22
228,"UAB","CUSA","3-8",0.354766265167293,96.4384009595087,244,101.587227877557,194,66.9723672541047,132,"11.8-23.2","7.7-10.3",-4.73084966747549,285,2014-12-23
228,"UAB","CUSA","3-8",0.354766265166657,96.4384009594988,244,101.587227877571,194,66.9722155901571,132,"11.8-23.2","7.7-10.3",-4.73084966747176,285,2014-12-24
228,"UAB","CUSA","3-8",0.354558872498739,96.4358163243637,246,101.592509817975,194,66.9667151982754,132,"11.8-23.2","7.7-10.3",-4.72492392369655,285,2014-12-25
228,"UAB","CUSA","3-8",0.354954571924061,96.4409170156238,246,101.582612326683,193,66.9669828107874,132,"11.8-23.2","7.7-10.3",-4.72448085064279,285,2014-12-26
235,"UAB","CUSA","3-9",0.347398789942316,96.0517587173196,258,101.464873657305,189,67.2745204535903,118,"11.7-23.3","7.6-10.4",-4.91277109118383,287,2014-12-27
236,"UAB","CUSA","3-9",0.345008774806718,96.0184904848034,260,101.522904514426,191,67.3761185001016,114,"11.6-23.4","7.5-10.5",-4.9205083959119,283,2014-12-28
230,"UAB","CUSA","3-9",0.352512651175038,96.0651664322125,258,101.280860187168,184,67.36062966723,113,"11.8-23.2","7.6-10.4",-4.96856519707989,282,2014-12-29
232,"UAB","CUSA","3-9",0.350656974537534,96.1423750236006,255,101.43403217157,188,67.310944888418,113,"11.7-23.3","7.6-10.4",-4.98812478439683,278,2014-12-30
229,"UAB","CUSA","3-9",0.349362848102676,96.1476477499467,253,101.489783939275,194,67.2775990319749,114,"11.7-23.3","7.5-10.5",-5.00158719356579,278,2014-12-31
229,"UAB","CUSA","3-9",0.349857943459838,96.1568070853758,254,101.480236505343,193,67.2906068199096,112,"11.7-23.3","7.6-10.4",-5.02030462230191,274,2015-01-01
229,"UAB","CUSA","3-9",0.349480196500596,96.2980897045539,255,101.644022022974,196,67.2713943959307,113,"11.7-23.3","7.5-10.5",-5.00426763946972,273,2015-01-02
227,"UAB","CUSA","3-9",0.357293473433775,96.4871245732456,250,101.541178891306,192,67.3368912443368,96,"11.9-23.1","7.7-10.3",-5.0234552076184,264,2015-01-03
219,"UAB","CUSA","4-9",0.364437886793509,95.9740228844085,253,100.729504488197,175,67.2732760033258,107,"12.7-22.3","8.5-9.5",-4.78852719717957,249,2015-01-04
217,"UAB","CUSA","4-9",0.365953773611742,95.9151069718379,253,100.610446343693,170,67.3489729478747,103,"12.7-22.3","8.5-9.5",-4.74719976637735,245,2015-01-05
216,"UAB","CUSA","4-9",0.365406070260705,95.947883885055,255,100.665494628308,172,67.4149627181487,100,"12.7-22.3","8.5-9.5",-4.74965618900421,243,2015-01-06
216,"UAB","CUSA","4-9",0.368452559847957,95.9830180024655,254,100.58757757785,171,67.4269301063351,97,"12.8-22.2","8.6-9.4",-4.80852178673896,239,2015-01-07
203,"UAB","CUSA","5-9",0.396419188479476,96.7280215276083,243,100.329556466912,164,67.0847255022779,101,"13.7-21.3","9.4-8.6",-4.82378179750506,223,2015-01-08
203,"UAB","CUSA","5-9",0.396766493214326,96.7639979541618,242,100.354206978616,164,67.2564228812859,100,"13.7-21.3","9.4-8.6",-4.815704796041,223,2015-01-09
194,"UAB","CUSA","6-9",0.408112756903016,96.1936670717873,259,99.3542335908596,141,67.2107518501329,91,"14-21","9.8-8.2",-4.78462765536859,208,2015-01-10
191,"UAB","CUSA","6-9",0.411244688986087,96.278067747211,257,99.3294875224753,140,67.3226013077158,85,"14-21","9.9-8.1",-4.75921268674698,205,2015-01-11
194,"UAB","CUSA","6-9",0.410465690226082,96.2522122032575,258,99.3306064830972,140,67.5184654383753,85,"13.9-21.1","9.8-8.2",-4.76989873320755,206,2015-01-12
