"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
28,"UCLA","P12","0-0",0.844950067090812,109.598653202614,29,94.5744795024438,47,70.50449069,30,"23.2-12.8","11.3-6.7",0,79,2014-11-13
27,"UCLA","P12","1-0",0.84902935294656,110.306965588541,23,94.9255061327062,51,71.5764020866419,13,"23.2-12.8","11.3-6.7",0.0269703538050431,89,2014-11-14
27,"UCLA","P12","1-0",0.848872553356399,110.318588876664,23,94.9456034559811,51,71.5742761780253,13,"23.3-12.7","11.3-6.7",0.0270044331690408,107,2014-11-15
27,"UCLA","P12","2-0",0.846173590139059,110.778250135515,19,95.5145223791691,67,71.6188696205824,12,"23.2-12.8","11.3-6.7",0.156530494443959,34,2014-11-16
28,"UCLA","P12","2-0",0.84480198589113,110.738035374176,19,95.5670600596884,72,71.648127579982,13,"23.2-12.8","11.2-6.8",0.158201504878142,45,2014-11-17
30,"UCLA","P12","2-0",0.844511510053599,110.731342910716,19,95.5796821504164,73,71.6011159312576,16,"23.1-12.9","11.2-6.8",0.153037851294101,57,2014-11-18
31,"UCLA","P12","2-0",0.843926403801401,110.703075527521,18,95.5922575104633,74,71.5619981174962,15,"22.9-13.1","11.2-6.8",0.148655386113039,61,2014-11-19
27,"UCLA","P12","3-0",0.847945860472477,111.26510516268,17,95.8202400120163,81,72.2209697171342,10,"23.1-12.9","11.2-6.8",0.1614333383998,64,2014-11-20
31,"UCLA","P12","3-0",0.847501748629459,111.281439850917,15,95.8629816601663,82,72.1623612818371,10,"22.8-13.2","11-7",0.163935491668563,67,2014-11-21
31,"UCLA","P12","3-0",0.847316437461076,111.336323590532,15,95.9222139771561,82,72.1155157132287,10,"23-13","11.1-6.9",0.165829936737209,72,2014-11-22
27,"UCLA","P12","4-0",0.8520009495326,111.142861607927,17,95.4506446268399,82,71.7683795264638,11,"23.3-12.7","11.2-6.8",0.311832458247473,43,2014-11-23
30,"UCLA","P12","4-0",0.850953272009103,111.144659949132,21,95.5209762073041,83,71.7679299181298,11,"23.3-12.7","11.2-6.8",0.311946618907134,49,2014-11-24
30,"UCLA","P12","4-0",0.850780918333674,111.13539345857,21,95.5242940447297,83,71.6968921840138,12,"23.2-12.8","11.1-6.9",0.310901583805374,48,2014-11-25
31,"UCLA","P12","4-1",0.847317386086366,110.378914656918,24,95.0972941972759,73,71.699401826027,13,"22.6-13.4","11-7",0.0619315636033239,83,2014-11-26
39,"UCLA","P12","4-2",0.830434160424503,108.992246216039,40,94.9289082912913,71,71.4957131603639,16,"21.7-14.3","10.5-7.5",-0.120414362138105,96,2014-11-27
37,"UCLA","P12","5-2",0.837059052556714,110.44841044509,26,95.7981718223951,80,71.5238873237833,16,"22-14","10.7-7.3",0.0832638777486452,77,2014-11-28
37,"UCLA","P12","5-2",0.836619662074674,110.455459248244,25,95.8310983909231,81,71.3837823093379,16,"21.9-14.1","10.6-7.4",0.0869737947019835,75,2014-11-29
39,"UCLA","P12","5-2",0.836230491304369,110.456080354279,26,95.8553434322203,87,71.4471548726879,15,"21.9-14.1","10.6-7.4",0.0773854039120453,75,2014-11-30
39,"UCLA","P12","5-2",0.836413040937829,110.457257120483,27,95.845249514988,86,71.4354467473913,15,"21.9-14.1","10.6-7.4",0.0776250615225877,77,2014-12-01
39,"UCLA","P12","5-2",0.835454925224593,110.534725144451,25,95.9707519775779,88,71.4761988457407,12,"21.9-14.1","10.6-7.4",0.0767144808106522,76,2014-12-02
36,"UCLA","P12","6-2",0.848567858170581,109.791036911926,33,94.5110674402976,56,71.5163017009571,11,"22.4-13.6","10.9-7.1",0.119585049804132,66,2014-12-03
35,"UCLA","P12","6-2",0.849479980871624,109.91988317956,30,94.5634507316524,57,71.5988933408422,11,"22.4-13.6","10.9-7.1",0.128774282704264,65,2014-12-04
36,"UCLA","P12","6-2",0.847747616283927,109.943772692139,30,94.6949768000206,59,71.7494755912222,11,"22.4-13.6","10.9-7.1",0.138998881967193,66,2014-12-05
36,"UCLA","P12","6-2",0.84728870336474,109.973246955501,31,94.7496164678565,63,71.7546804685358,12,"22.3-13.7","10.8-7.2",0.122015788997523,60,2014-12-06
39,"UCLA","P12","7-2",0.844878679746375,109.913452528306,31,94.8506183528027,65,71.5587932587984,12,"22.5-13.5","10.9-7.1",0.333312687911026,51,2014-12-07
37,"UCLA","P12","7-2",0.845542466417836,109.962170628218,31,94.850803594822,63,71.547711730545,12,"22.5-13.5","10.9-7.1",0.321326841500494,49,2014-12-08
37,"UCLA","P12","7-2",0.845319959035375,109.927543391759,31,94.8349754606682,66,71.4769875356879,12,"22.5-13.5","10.9-7.1",0.332221933499777,49,2014-12-09
44,"UCLA","P12","8-2",0.828613023246481,109.626384621027,35,95.5882068246376,81,71.3767249668149,13,"21.9-14.1","10.4-7.6",0.383335110279859,48,2014-12-10
42,"UCLA","P12","8-2",0.830469791239748,109.72134934145,35,95.5618319250812,80,71.4108573398869,12,"22-14","10.5-7.5",0.369584266682223,48,2014-12-11
42,"UCLA","P12","8-2",0.830324492106462,109.723484665468,36,95.5722651946586,80,71.4061277250501,12,"22-14","10.5-7.5",0.370797699450108,47,2014-12-12
46,"UCLA","P12","8-3",0.823653873022915,110.011599816103,31,96.2125281231807,89,71.1395575529536,14,"21.4-14.6","10.3-7.7",0.0415023707926503,63,2014-12-13
43,"UCLA","P12","8-3",0.82807610855722,110.189671243351,30,96.110914920627,90,71.3077892018247,14,"21.5-14.5","10.4-7.6",0.0336444726182984,62,2014-12-14
43,"UCLA","P12","8-3",0.828694077177077,110.172996038147,30,96.060053561237,90,71.3618010837,14,"21.5-14.5","10.4-7.6",0.0540559459145235,62,2014-12-15
43,"UCLA","P12","8-3",0.830789389408388,110.378022989007,28,96.114773299618,88,71.3921530984471,14,"21.5-14.5","10.5-7.5",0.0793696777736462,59,2014-12-16
44,"UCLA","P12","8-3",0.830159558292569,110.339932630081,29,96.1189894130282,87,71.3950063363424,14,"21.6-14.4","10.5-7.5",0.0443232967865036,58,2014-12-17
43,"UCLA","P12","8-3",0.832134703267699,110.346422054892,29,96.0070747812182,84,71.5774566448151,13,"21.6-14.4","10.4-7.6",0.0442288451462433,58,2014-12-18
