"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
286,"UNC Greensboro","SC","0-0",0.263699261536643,95.6495414824335,281,104.58293690772,261,71.59395059,12,"13.1-16.9","8.4-9.6",0,324,2014-11-13
289,"UNC Greensboro","SC","0-0",0.262925327659926,95.6329709990473,282,104.601102576687,265,71.59395059,12,"13.3-16.7","8.6-9.4",0,223,2014-11-14
289,"UNC Greensboro","SC","0-0",0.262680210196701,95.6277166179642,284,104.606863437718,266,71.59395059,12,"13.3-16.7","8.7-9.3",0,206,2014-11-15
288,"UNC Greensboro","SC","0-0",0.262476625696851,95.623350254554,285,104.611650924433,269,71.59395059,13,"13.3-16.7","8.7-9.3",0,189,2014-11-16
289,"UNC Greensboro","SC","0-0",0.262065352363073,95.6145231436903,279,104.621330053448,271,71.59395059,15,"13.2-16.8","8.6-9.4",0,167,2014-11-17
293,"UNC Greensboro","SC","0-1",0.238564829210372,95.5763697663816,279,105.725299365929,297,71.7455976701127,11,"11.9-18.1","8.1-9.9",-0.882731438540492,293,2014-11-18
292,"UNC Greensboro","SC","0-1",0.238128705496102,95.5556005983021,277,105.72440866674,295,71.719787890042,10,"11.7-18.3","7.9-10.1",-0.886058892463551,276,2014-11-19
292,"UNC Greensboro","SC","0-1",0.237968002645435,95.548767189841,272,105.724993118985,295,71.7064637482018,13,"11.7-18.3","7.9-10.1",-0.889362758428413,262,2014-11-20
298,"UNC Greensboro","SC","0-2",0.22095027675676,94.7692666946352,289,105.744130475392,294,71.6554118468601,13,"10.4-19.6","7.5-10.5",-1.84026412574886,332,2014-11-21
298,"UNC Greensboro","SC","0-3",0.21856879271057,95.4021592333359,276,106.578958894123,308,70.6226794376526,29,"10.2-19.8","7.4-10.6",-2.48686015240265,342,2014-11-22
301,"UNC Greensboro","SC","0-4",0.211129240399248,95.6380945462983,267,107.253093050508,320,69.9241728680986,42,"9.4-20.6","7.2-10.8",-3.40171061854439,349,2014-11-23
302,"UNC Greensboro","SC","0-4",0.210652532490284,95.6497959834394,265,107.292938081946,320,69.908538869813,40,"9.3-20.7","7-11",-3.40151993778562,349,2014-11-24
301,"UNC Greensboro","SC","0-4",0.210403464987545,95.6355582913127,264,107.290947290509,319,69.8527744857552,41,"9.3-20.7","7-11",-3.40319955641608,345,2014-11-25
301,"UNC Greensboro","SC","0-4",0.210459390534821,95.7063524845856,263,107.367226775223,322,69.8341691363017,43,"9.3-20.7","6.9-11.1",-3.415990166926,343,2014-11-26
300,"UNC Greensboro","SC","0-4",0.210344458183122,95.6961655822952,264,107.362257133704,322,69.8209395741858,43,"9.2-20.8","6.9-11.1",-3.40918655597714,342,2014-11-27
298,"UNC Greensboro","SC","0-5",0.219758769842762,96.7279428208689,244,107.994744001051,326,69.3369764189104,61,"9.3-20.7","7-11",-3.72901598375369,346,2014-11-28
298,"UNC Greensboro","SC","0-5",0.218495881024128,96.8763422448368,240,108.229867209423,326,69.3033402124524,58,"9.4-20.6","7.1-10.9",-3.72594261118013,339,2014-11-29
297,"UNC Greensboro","SC","0-5",0.2182278370796,96.9027411717212,241,108.274144967893,325,69.2842192163802,57,"9.4-20.6","7.1-10.9",-3.73409391440901,336,2014-11-30
303,"UNC Greensboro","SC","0-6",0.209652925340415,96.7919581558743,243,108.63100340661,329,69.0710318845249,66,"8.8-21.2","6.9-11.1",-4.63666860598883,345,2014-12-01
302,"UNC Greensboro","SC","0-6",0.211764117910663,96.7162962171024,245,108.426333511078,326,69.0585414206467,70,"8.9-21.1","7-11",-4.63746502188614,345,2014-12-02
299,"UNC Greensboro","SC","0-6",0.213529579296141,96.7088063336866,243,108.318571215472,324,69.0908715696352,65,"8.9-21.1","7-11",-4.63053795760608,342,2014-12-03
298,"UNC Greensboro","SC","0-6",0.213318314514222,96.6871804321894,243,108.306200698382,324,69.1016958762832,64,"8.9-21.1","7-11",-4.62220536072491,340,2014-12-04
298,"UNC Greensboro","SC","0-6",0.214760915056454,96.6313127315387,246,108.162933871,323,69.1189343613001,63,"8.9-21.1","7-11",-4.61292662258681,340,2014-12-05
294,"UNC Greensboro","SC","1-6",0.223938889451769,96.9688860488767,237,108.036029641696,322,67.4145323353652,140,"9.7-20.3","7.2-10.8",-4.56801858798014,334,2014-12-06
293,"UNC Greensboro","SC","1-6",0.223083280916526,96.9303899005226,235,108.039445399124,321,67.3863676128526,137,"9.7-20.3","7.2-10.8",-4.55382887218036,332,2014-12-07
293,"UNC Greensboro","SC","1-6",0.222873367983269,96.9335972079113,238,108.054403513199,322,67.3769629167132,136,"9.7-20.3","7.2-10.8",-4.56367412552838,332,2014-12-08
292,"UNC Greensboro","SC","1-6",0.225085681188986,97.075499253765,236,108.092881727642,320,67.335461298318,134,"9.8-20.2","7.3-10.7",-4.55474662182602,331,2014-12-09
294,"UNC Greensboro","SC","1-6",0.222140584593437,97.0393311127041,235,108.212118357792,321,67.3263827690075,136,"9.7-20.3","7.2-10.8",-4.56674520117013,327,2014-12-10
295,"UNC Greensboro","SC","1-6",0.222243494310309,97.0567538390759,236,108.225943051231,321,67.3254087588233,135,"9.7-20.3","7.2-10.8",-4.57739425798545,325,2014-12-11
295,"UNC Greensboro","SC","1-6",0.22211099424923,97.0587525251061,236,108.235387682524,321,67.3263468910265,135,"9.8-20.2","7.2-10.8",-4.57645508443135,325,2014-12-12
282,"UNC Greensboro","SC","2-6",0.249942722529051,98.2396829332117,209,108.090442343057,318,66.7292651046887,167,"11.2-18.8","8.6-9.4",-4.3652136746816,313,2014-12-13
281,"UNC Greensboro","SC","2-6",0.251590861908562,98.3627448222008,208,108.143320864924,320,66.7653257486902,162,"11.2-18.8","8.6-9.4",-4.37124835706059,309,2014-12-14
280,"UNC Greensboro","SC","2-6",0.251758778674641,98.3637122568608,208,108.136000457084,320,66.7721732796086,160,"11.2-18.8","8.6-9.4",-4.35562401315095,308,2014-12-15
282,"UNC Greensboro","SC","2-7",0.241827093562289,97.8023499656131,224,108.019613950974,315,66.1177604201256,191,"10.8-19.2","8.3-9.7",-4.64716720285274,311,2014-12-16
289,"UNC Greensboro","SC","2-7",0.236160556822684,97.6405102108727,227,108.133439065795,316,66.1216016122974,187,"10.7-19.3","8.2-9.8",-4.68028282066089,304,2014-12-17
289,"UNC Greensboro","SC","2-7",0.235428949646864,97.5964091116903,225,108.122764652216,317,66.1036689860037,189,"10.7-19.3","8.2-9.8",-4.68001990714002,304,2014-12-18
288,"UNC Greensboro","SC","2-7",0.234773632464641,97.5762565904538,227,108.134698869109,317,66.0449025334219,192,"10.6-19.4","8.1-9.9",-4.65052610222306,303,2014-12-19
291,"UNC Greensboro","SC","2-8",0.225307122054663,96.7640940291778,244,107.734244137289,309,65.8074042344298,202,"9.8-20.2","7.9-10.1",-5.65204134461975,325,2014-12-20
291,"UNC Greensboro","SC","2-8",0.225730947130429,96.7138634933724,241,107.655600580758,311,65.7878232920273,201,"9.6-20.4","7.8-10.2",-5.67145629124352,323,2014-12-21
292,"UNC Greensboro","SC","2-8",0.222604322371403,96.5836318516332,239,107.678838130266,311,65.9446770090643,194,"9.6-20.4","7.6-10.4",-5.66157488868028,316,2014-12-22
292,"UNC Greensboro","SC","2-8",0.222179809461862,96.5189170749518,240,107.629661135792,310,65.908592907572,191,"9.6-20.4","7.6-10.4",-5.66801852449444,312,2014-12-23
292,"UNC Greensboro","SC","2-8",0.222179809461764,96.5189170749506,240,107.629661135796,310,65.9084449541687,191,"9.6-20.4","7.6-10.4",-5.66801852449146,312,2014-12-24
292,"UNC Greensboro","SC","2-8",0.222383206597032,96.5226940675867,239,107.622861377088,309,65.9027388906353,193,"9.6-20.4","7.6-10.4",-5.66328208561593,312,2014-12-25
292,"UNC Greensboro","SC","2-8",0.222389620109193,96.5232764418554,239,107.623163642461,309,65.9029999881758,193,"9.6-20.4","7.6-10.4",-5.66292792783179,312,2014-12-26
292,"UNC Greensboro","SC","2-8",0.223218155359485,96.3550039040306,248,107.3908495023,306,65.8116669940607,194,"9.6-20.4","7.7-10.3",-5.7171847637636,311,2014-12-27
309,"UNC Greensboro","SC","2-9",0.185822058808478,94.8432645276949,276,107.844926068112,307,65.7385365993674,202,"8.4-21.6","6.8-11.2",-6.52683082481453,329,2014-12-28
309,"UNC Greensboro","SC","2-9",0.186207416450582,94.840671146998,276,107.818113231571,306,65.7467777846982,198,"8.3-21.7","6.7-11.3",-6.56692576493334,326,2014-12-29
