"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
131,"USC","P12","0-0",0.580583331991042,100.693847388668,185,97.8865523672644,106,70.26707655,33,"13.9-18.1","5.9-12.1",0,332,2014-11-13
130,"USC","P12","0-0",0.579611482830793,100.676403021457,182,97.9035548990272,110,70.26707655,41,"13.7-18.3","5.8-12.2",0,229,2014-11-14
157,"USC","P12","0-1",0.534597072418494,99.716051728823,203,98.5213858079413,120,70.3472880526743,39,"11.8-20.2","5.2-12.8",-0.946504234533623,342,2014-11-15
158,"USC","P12","0-1",0.534538116985133,99.6715855054711,202,98.4794814414905,124,70.3427871167049,41,"11.8-20.2","5.2-12.8",-0.945628137443932,331,2014-11-16
150,"USC","P12","1-1",0.544620591966199,99.0004172536482,218,97.4717370908886,107,70.3726493418854,44,"12.2-19.8","5.4-12.6",-0.894403230205234,310,2014-11-17
148,"USC","P12","1-1",0.544042955253953,98.9943086002784,215,97.4854624575961,108,70.3257007373027,44,"12.2-19.8","5.3-12.7",-0.898073147381542,301,2014-11-18
150,"USC","P12","1-1",0.543418145374014,98.9617913833206,209,97.4747855430711,109,70.2698707567163,45,"12.2-19.8","5.3-12.7",-0.90117563183502,283,2014-11-19
174,"USC","P12","1-2",0.484914975967465,96.876356695791,246,97.38615452851,110,69.8409261405899,55,"10.4-21.6","4.6-13.4",-1.59480044961821,330,2014-11-20
184,"USC","P12","2-2",0.467749593313852,97.5265456159015,235,98.6282499960397,136,69.5960122288373,56,"10.4-21.6","4.2-13.8",-1.48732166375587,308,2014-11-21
183,"USC","P12","2-2",0.465712442268363,97.58955546849,236,98.7622383113605,137,69.5442186209749,59,"10.5-21.5","4.2-13.8",-1.48223394044769,287,2014-11-22
181,"USC","P12","2-3",0.466040321542868,97.4324840925637,235,98.5919823080557,136,68.8646818480595,98,"10.2-21.8","4.3-13.7",-2.06017129995898,320,2014-11-23
178,"USC","P12","2-3",0.467117333434477,97.3960111814815,235,98.5179966210299,135,68.9246187763461,92,"10.2-21.8","4.3-13.7",-2.05988818873069,309,2014-11-24
175,"USC","P12","3-3",0.468322213088591,95.5702350833464,265,96.6305130721735,96,68.1504316858904,132,"10.5-21.5","4.2-13.8",-2.02494167124356,296,2014-11-25
173,"USC","P12","3-3",0.469261742984237,95.6681454810597,264,96.6977807495187,98,68.190732471398,133,"10.4-21.6","4.2-13.8",-2.04446414628019,288,2014-11-26
171,"USC","P12","3-3",0.469689397210614,95.6837028951886,265,96.6990667956624,98,68.180766633421,132,"10.5-21.5","4.3-13.7",-2.03417619524596,285,2014-11-27
173,"USC","P12","3-3",0.466432773488063,95.6619726088738,260,96.7871274382776,99,68.0417279161929,137,"10.4-21.6","4.2-13.8",-2.05605068612202,279,2014-11-28
171,"USC","P12","3-3",0.466263138608675,95.7154036132386,260,96.8469270203142,102,67.9788003662638,132,"10.4-21.6","4.2-13.8",-2.05285708700685,263,2014-11-29
150,"USC","P12","4-3",0.520017384324229,96.3655214594742,253,95.6965439624392,85,67.6107876302142,150,"12.2-19.8","4.8-13.2",-1.71942549405719,221,2014-11-30
