"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
295,"UTSA","CUSA","0-0",0.228297373322063,96.8120111220583,260,107.627886676001,322,69.1204304,88,"8.5-19.5","4.7-13.3",0,84,2014-11-13
294,"UTSA","CUSA","0-0",0.227595224259281,96.7952392505253,260,107.64658124147,322,69.1204304,92,"8.5-19.5","4.7-13.3",0,144,2014-11-14
297,"UTSA","CUSA","0-0",0.227372883527846,96.7899210107096,260,107.652509830938,321,69.1204304,93,"8.6-19.4","4.7-13.3",0,150,2014-11-15
297,"UTSA","CUSA","0-0",0.227188231550883,96.7855015810241,258,107.657436706133,323,69.1204304,97,"8.5-19.5","4.7-13.3",0,157,2014-11-16
298,"UTSA","CUSA","0-1",0.221226518658447,95.5870666717421,280,106.641760407814,311,69.6152696117652,69,"7.7-20.3","4.6-13.4",-0.986719790771403,326,2014-11-17
298,"UTSA","CUSA","0-1",0.220858563868601,95.5799226067886,278,106.653607328091,313,69.5910864544279,69,"7.8-20.2","4.6-13.4",-0.987199936394147,317,2014-11-18
298,"UTSA","CUSA","0-1",0.220438317776875,95.5601087160245,276,106.654160108404,316,69.5623239638893,66,"7.8-20.2","4.6-13.4",-0.987604757517074,300,2014-11-19
299,"UTSA","CUSA","0-1",0.220284820755025,95.553592922835,271,106.655173733672,315,69.5475333241798,62,"7.7-20.3","4.7-13.3",-0.988004036811986,284,2014-11-20
299,"UTSA","CUSA","0-1",0.219711185474753,95.5525445598852,273,106.685010876609,313,69.5303211459788,61,"7.7-20.3","4.6-13.4",-0.987801063160084,270,2014-11-21
291,"UTSA","CUSA","1-1",0.229281168317516,96.3151407858748,256,107.02360387081,315,69.5562776371897,58,"8.4-19.6","4.7-13.3",-0.927080342746365,229,2014-11-22
290,"UTSA","CUSA","1-1",0.228663968975848,96.2834803523043,255,107.020952878623,315,69.5352654849365,59,"8.4-19.6","4.8-13.2",-0.92661529073057,219,2014-11-23
293,"UTSA","CUSA","1-1",0.228272042532697,96.2880591748352,255,107.046737018741,315,69.5354157559798,59,"8.4-19.6","4.8-13.2",-0.926586397928014,215,2014-11-24
299,"UTSA","CUSA","1-2",0.220685984545718,96.1044487779622,255,107.248259181062,317,68.8111849074829,94,"7.9-20.1","4.7-13.3",-1.79093060005638,279,2014-11-25
299,"UTSA","CUSA","1-2",0.219170464252169,96.0786885652043,255,107.301904952422,320,68.8361900559824,92,"7.9-20.1","4.7-13.3",-1.79619816779595,268,2014-11-26
297,"UTSA","CUSA","1-2",0.219268741550461,96.0703605091497,253,107.287247265801,319,68.82461971159,92,"7.9-20.1","4.7-13.3",-1.79338661260723,269,2014-11-27
299,"UTSA","CUSA","1-2",0.217912118442233,96.0706475046942,256,107.361690600104,318,68.6753021394662,98,"7.9-20.1","4.7-13.3",-1.79931094211362,259,2014-11-28
296,"UTSA","CUSA","1-2",0.222694353558148,96.1804552759939,253,107.224495760484,316,68.675902853024,97,"8.1-19.9","4.8-13.2",-1.79846298375939,241,2014-11-29
