"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
27,"Utah","P12","0-0",0.849247823964439,109.139562964397,36,93.9069614655161,40,66.67655244,273,"21.5-12.5","11.2-6.8",0,337,2014-11-13
31,"Utah","P12","1-0",0.838818070072842,109.719068717649,29,95.058440334022,57,66.8014296328425,268,"20.9-13.1","10.8-7.2",0.048791690911998,70,2014-11-14
31,"Utah","P12","1-0",0.838604813972829,109.734705895693,29,95.0850218422983,56,66.7996327558008,270,"20.9-13.1","10.9-7.1",0.0488519590762024,87,2014-11-15
31,"Utah","P12","1-0",0.838508064833362,109.691069142915,28,95.0531173934027,54,66.7953345306743,267,"21-13","10.9-7.1",0.0496559946597224,99,2014-11-16
32,"Utah","P12","1-0",0.838222438131832,109.665981234489,28,95.0487970612371,58,66.7908887152384,266,"21-13","10.9-7.1",0.0502232305450953,110,2014-11-17
35,"Utah","P12","1-1",0.834161787277889,108.358235908136,39,94.1577808905434,47,66.3044749240956,292,"20.5-13.5","10.8-7.2",-0.205257448001404,164,2014-11-18
35,"Utah","P12","1-1",0.833839121031925,108.324465240769,41,94.1475145455883,47,66.2536874734533,287,"20.5-13.5","10.8-7.2",-0.212948910951555,150,2014-11-19
36,"Utah","P12","1-1",0.834409604728006,108.470408903099,39,94.2405631899249,51,66.2212104514824,286,"20.5-13.5","10.8-7.2",-0.220838377995375,139,2014-11-20
27,"Utah","P12","2-1",0.85447561682855,109.068153770202,33,93.5080340599016,41,66.040108895196,294,"21.3-12.7","11.2-6.8",-0.149557622645536,125,2014-11-21
27,"Utah","P12","2-1",0.854260283253052,109.154665583769,35,93.5962881248715,40,66.0200093625476,287,"21.4-12.6","11.4-6.6",-0.145737045885068,114,2014-11-22
26,"Utah","P12","2-1",0.853904767127735,109.127523024654,35,93.596228816457,42,65.9897718048447,285,"21.4-12.6","11.4-6.6",-0.143718991656975,114,2014-11-23
28,"Utah","P12","2-1",0.855155292927697,109.20643755703,37,93.5820130056323,40,66.0853509841946,278,"21.4-12.6","11.4-6.6",-0.143594008226758,108,2014-11-24
28,"Utah","P12","2-1",0.856652422029624,109.211270605524,37,93.4874198713578,41,66.054988456274,274,"21.5-12.5","11.4-6.6",-0.144739581625316,104,2014-11-25
26,"Utah","P12","3-1",0.864837456036899,109.744641417544,30,93.3876771165006,44,65.6985350003633,282,"21.9-12.1","11.6-6.4",-0.141268614454804,99,2014-11-26
28,"Utah","P12","3-1",0.864759018783315,109.735197089249,30,93.3850878621071,44,65.6832955332354,280,"21.9-12.1","11.7-6.3",-0.13648257808468,98,2014-11-27
28,"Utah","P12","4-1",0.872330767583965,110.274596578643,28,93.3043741912638,42,65.3815188285401,290,"22.3-11.7","11.9-6.1",-0.12074191863573,94,2014-11-28
22,"Utah","P12","5-1",0.880547116602358,110.812523160447,24,93.1427797482866,36,65.5235750798828,272,"22.7-11.3","12.2-5.8",-0.0872663080811786,89,2014-11-29
22,"Utah","P12","5-1",0.880388590192198,110.834924865998,20,93.173812487602,37,65.4940730379943,265,"22.7-11.3","12.1-5.9",-0.0919050908630304,86,2014-11-30
23,"Utah","P12","5-1",0.880614014540001,110.839223583283,20,93.1600690007298,38,65.4832446352404,263,"22.7-11.3","12.1-5.9",-0.0917827943040009,89,2014-12-01
23,"Utah","P12","5-1",0.880230365041582,110.863101290417,19,93.209669799033,37,65.5196349394988,262,"22.7-11.3","12.2-5.8",-0.0921694859445247,88,2014-12-02
22,"Utah","P12","6-1",0.885672751739744,111.710885100324,20,93.4932814403706,41,64.431103108379,300,"23.4-10.6","12.2-5.8",0.503351302155813,44,2014-12-03
23,"Utah","P12","6-1",0.885248558799633,111.76520677001,19,93.5727705655238,44,64.4744080063527,297,"23.4-10.6","12.2-5.8",0.510201544840639,44,2014-12-04
24,"Utah","P12","6-1",0.885090501093828,111.751556809691,19,93.5739944865439,45,64.4701060223486,297,"23.4-10.6","12.3-5.7",0.517801265752005,44,2014-12-05
20,"Utah","P12","6-1",0.891786879863705,112.088440305079,16,93.3061544124038,46,64.4989238242511,288,"23.6-10.4","12.4-5.6",0.505095648446609,40,2014-12-06
20,"Utah","P12","6-1",0.890049532101247,112.137559771825,17,93.4922693646247,47,64.6215961964712,282,"23.5-10.5","12.4-5.6",0.515933647210044,42,2014-12-07
21,"Utah","P12","6-1",0.889622403768908,112.120316156323,17,93.5133172670887,47,64.625321417295,284,"23.5-10.5","12.4-5.6",0.508433452065276,41,2014-12-08
21,"Utah","P12","6-1",0.890214903119345,112.11409611317,17,93.4589637895255,47,64.6184815950842,280,"23.5-10.5","12.4-5.6",0.515229427976344,41,2014-12-09
18,"Utah","P12","7-1",0.899677575889139,111.475983776919,22,92.1167914545335,33,64.1808616451027,296,"24.6-9.4","12.8-5.2",1.23974692851403,21,2014-12-10
18,"Utah","P12","7-1",0.899877582553446,111.503054963267,22,92.1213929614952,34,64.1751935197624,295,"24.6-9.4","12.8-5.2",1.22895096319572,21,2014-12-11
19,"Utah","P12","7-1",0.899832491986999,111.504445671519,22,92.1265502466841,34,64.1780636452472,295,"24.6-9.4","12.8-5.2",1.2299056364465,22,2014-12-12
20,"Utah","P12","7-2",0.897784127269617,111.022690577128,25,91.90833844387,32,63.6837878415649,303,"24.2-9.8","12.6-5.4",1.06863922003597,28,2014-12-13
20,"Utah","P12","7-2",0.897792330463193,111.015504053099,25,91.901674806129,32,63.6633801277864,308,"24.2-9.8","12.7-5.3",1.06275762408656,28,2014-12-14
20,"Utah","P12","7-2",0.897978818663536,111.006596133107,25,91.8780490016836,33,63.6769550382159,308,"24.2-9.8","12.6-5.4",1.07791463229517,29,2014-12-15
20,"Utah","P12","7-2",0.897308567058277,111.043404734425,26,91.9668346213927,35,63.8013322590232,299,"24.1-9.9","12.6-5.4",1.0968502490254,29,2014-12-16
20,"Utah","P12","7-2",0.895635615180485,110.892037777712,27,91.985543420212,35,63.8493778131504,294,"24.1-9.9","12.6-5.4",1.07070929694672,29,2014-12-17
20,"Utah","P12","7-2",0.894986670539071,110.838003748957,27,91.9960919957844,36,63.8283250533236,292,"24-10","12.5-5.5",1.07100503051916,28,2014-12-18
20,"Utah","P12","7-2",0.895194365742967,110.828253868663,29,91.9703091951556,36,63.7926584910753,290,"24.1-9.9","12.5-5.5",1.09423094836999,28,2014-12-19
19,"Utah","P12","8-2",0.901569081616391,109.171211328438,39,90.0466331895308,19,63.8403825165036,287,"24.7-9.3","12.8-5.2",1.53493400174154,21,2014-12-20
20,"Utah","P12","8-2",0.901123661762911,109.097034264117,38,90.0246548118536,20,63.8198715746162,286,"24.7-9.3","12.8-5.2",1.51599334470407,22,2014-12-21
21,"Utah","P12","8-2",0.898762079609375,109.046800235366,37,90.1886579363534,21,64.0331877991549,280,"24.5-9.5","12.7-5.3",1.52560473179436,22,2014-12-22
21,"Utah","P12","9-2",0.901467179294162,109.144867359187,38,90.033889599163,22,64.8265269985811,237,"24.7-9.3","12.8-5.2",1.70272860934287,21,2014-12-23
21,"Utah","P12","9-2",0.901467179293659,109.144867359157,38,90.0338895991824,22,64.8263820168538,237,"24.7-9.3","12.8-5.2",1.70272860934618,21,2014-12-24
21,"Utah","P12","9-2",0.901321232145132,109.146081412084,38,90.0477475670326,22,64.8260890267357,237,"24.7-9.3","12.8-5.2",1.7079779617621,20,2014-12-25
21,"Utah","P12","9-2",0.90133707735534,109.134235826484,38,90.0365797937966,22,64.8263450449932,237,"24.7-9.3","12.8-5.2",1.70837020339604,20,2014-12-26
21,"Utah","P12","9-2",0.902189724162415,109.189798441446,39,90.0070549884377,22,64.7942888270008,237,"24.7-9.3","12.8-5.2",1.64794184348355,20,2014-12-27
21,"Utah","P12","9-2",0.903213873279847,109.160489164431,40,89.8917022271435,22,64.7880034934185,239,"24.8-9.2","12.9-5.1",1.64056689960797,19,2014-12-28
20,"Utah","P12","9-2",0.903168202296272,109.037921490145,40,89.7948483402059,22,64.7454840721257,242,"24.8-9.2","12.9-5.1",1.60062240568698,19,2014-12-29
23,"Utah","P12","9-2",0.901236115107647,108.86567387698,40,89.8238773706005,21,64.6652013428758,243,"24.7-9.3","12.8-5.2",1.58457892366473,19,2014-12-30
22,"Utah","P12","9-2",0.900325658172158,108.762865502987,43,89.8185799635304,25,64.5546770399238,244,"24.6-9.4","12.7-5.3",1.57309039976772,18,2014-12-31
22,"Utah","P12","9-2",0.902762925356952,109.011960935521,41,89.8095847578643,25,64.579860985754,243,"24.7-9.3","12.8-5.2",1.55728474118085,17,2015-01-01
17,"Utah","P12","10-2",0.915782887625805,110.458483687298,32,89.7590026362552,24,64.1183275774747,267,"25.5-8.5","13.4-4.6",1.67333508858116,16,2015-01-02
20,"Utah","P12","10-2",0.911733427125481,110.355907234355,30,90.0773176540858,25,64.0372045323915,262,"25.3-8.7","13.3-4.7",1.65560551166861,17,2015-01-03
13,"Utah","P12","11-2",0.932236571896804,110.570778413555,29,88.0314167980165,17,63.4315420555782,287,"26.4-7.6","14.1-3.9",1.97095140246795,13,2015-01-04
13,"Utah","P12","11-2",0.932752806762968,110.564850791245,30,87.9639456176853,17,63.4335498412752,284,"26.4-7.6","14.2-3.8",2.00922598699097,15,2015-01-05
13,"Utah","P12","11-2",0.93320172185296,110.666255535849,31,87.9896751606601,15,63.4154294386974,285,"26.5-7.5","14.2-3.8",2.0073004859956,15,2015-01-06
10,"Utah","P12","12-2",0.948093113089629,111.549094748941,26,86.6481791497096,7,63.7378528035249,274,"27.5-6.5","14.9-3.1",2.12375616050012,14,2015-01-07
10,"Utah","P12","12-2",0.947974599575311,111.567412567429,26,86.6805380899928,7,63.6401081516716,269,"27.5-6.5","14.9-3.1",2.08118553283387,14,2015-01-08
10,"Utah","P12","12-2",0.947740380255406,111.539624979264,26,86.6946674854852,7,63.8012651419029,269,"27.5-6.5","14.9-3.1",2.08938050521873,14,2015-01-09
11,"Utah","P12","12-2",0.947837604841138,111.523801641094,26,86.6675606606024,8,63.6121418454768,268,"27.5-6.5","14.9-3.1",2.08801023374889,14,2015-01-10
10,"Utah","P12","12-2",0.948369166326622,111.475926927269,28,86.5490112214391,7,63.6645603803574,268,"27.6-6.4","14.9-3.1",2.11365562878591,14,2015-01-11
10,"Utah","P12","12-2",0.947246902301033,111.34002126319,29,86.6142015609179,6,63.8836845819978,264,"27.5-6.5","14.9-3.1",2.10319916247231,14,2015-01-12
9,"Utah","P12","12-2",0.947266148162848,111.397569454681,30,86.6560669971553,7,63.6888940881291,269,"27.6-6.4","14.9-3.1",2.06366302491435,15,2015-01-13
9,"Utah","P12","12-2",0.947877477051776,111.472874486389,30,86.6219071829189,6,63.6931706699699,269,"27.6-6.4","14.9-3.1",2.07785703816586,16,2015-01-14
7,"Utah","P12","13-2",0.957450095037906,113.262745512933,25,86.3978529018611,6,63.5176887520569,281,"28.4-5.6","15.5-2.5",2.66703955701151,13,2015-01-15
7,"Utah","P12","13-2",0.957265353485255,113.222746290601,25,86.4013339970098,6,63.4761208616291,281,"28.4-5.6","15.5-2.5",2.6655496775689,13,2015-01-16
7,"Utah","P12","13-3",0.955142843541124,113.725413483258,24,87.1683230183192,7,62.9621232287701,297,"27.7-6.3","14.9-3.1",2.48177056207527,13,2015-01-17
7,"Utah","P12","13-3",0.954972907871488,113.739578196838,23,87.2091986669992,7,62.9649815294743,298,"27.7-6.3","14.9-3.1",2.48902402932705,13,2015-01-18
7,"Utah","P12","13-3",0.955509507579402,113.696314076853,24,87.0809380207153,7,62.892632241215,299,"27.7-6.3","15-3",2.56339771505008,13,2015-01-19
7,"Utah","P12","13-3",0.956043511561736,113.705331169125,24,86.9922215127564,7,62.9646263216565,300,"27.7-6.3","15-3",2.58938554866869,14,2015-01-20
7,"Utah","P12","14-3",0.956942716516194,114.005971113408,21,87.0584911903073,7,63.0978785962924,298,"27.8-6.2","15-3",2.68933500185867,14,2015-01-21
7,"Utah","P12","14-3",0.958421733270368,114.267168390332,23,86.9814531989737,7,63.1120392471574,291,"27.8-6.2","15-3",2.65687659772284,14,2015-01-22
7,"Utah","P12","14-3",0.958643401649564,114.283276363278,23,86.9515377916851,7,62.9310207490894,291,"27.8-6.2","15-3",2.65720921869469,14,2015-01-23
6,"Utah","P12","14-3",0.958158412564969,114.027916146647,24,86.8490702278676,6,62.9531900494473,292,"27.7-6.3","15-3",2.6248074130064,13,2015-01-24
5,"Utah","P12","15-3",0.962485528316064,115.976759658765,14,87.4645855209255,6,62.6447846487131,301,"28.1-5.9","15.3-2.7",2.79556226496006,14,2015-01-25
5,"Utah","P12","15-3",0.962582587008403,116.012652460788,13,87.4711804312405,6,62.6846321625634,300,"28.1-5.9","15.3-2.7",2.7793224492439,14,2015-01-26
5,"Utah","P12","15-3",0.962677306211739,116.025716985268,13,87.4610035582446,6,62.6500241850301,301,"28.1-5.9","15.3-2.7",2.79625576176133,15,2015-01-27
5,"Utah","P12","15-3",0.963446401016822,116.132163659096,13,87.3768170888042,6,62.6921467259432,301,"28.2-5.8","15.3-2.7",2.88642217471373,16,2015-01-28
9,"Utah","P12","15-4",0.95341603979465,115.505181430368,15,88.8377319672984,9,62.3560969341667,306,"26.8-7.2","14.2-3.8",2.5269688700587,18,2015-01-29
8,"Utah","P12","15-4",0.953599362731211,115.624137731609,15,88.8972512341928,10,62.3044273479997,306,"26.8-7.2","14.2-3.8",2.53288483437428,18,2015-01-30
8,"Utah","P12","15-4",0.954506109888968,115.615016395049,16,88.7304911017586,9,62.4130374095472,302,"26.9-7.1","14.2-3.8",2.56998229339971,20,2015-01-31
6,"Utah","P12","16-4",0.960920766400103,114.915834163834,17,86.9852922369275,7,62.3077187311014,307,"27.3-6.7","14.5-3.5",2.87957071578853,17,2015-02-01
6,"Utah","P12","16-4",0.960978152370749,114.930681562,17,86.9849630720875,7,62.3555496856518,307,"27.3-6.7","14.5-3.5",2.87751076239162,16,2015-02-02
6,"Utah","P12","16-4",0.961220782413925,114.995114075076,17,86.9846277602098,7,62.3207834917054,307,"27.3-6.7","14.5-3.5",2.92850472879676,17,2015-02-03
