"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
8,"Virginia","ACC","0-0",0.926355912049446,110.440662609397,22,88.61518223795,2,63.78100864,347,"25.7-8.3","12.7-5.3",0,164,2014-11-13
8,"Virginia","ACC","1-0",0.934774597077055,110.753738542749,19,87.8640923426651,2,64.2269232455037,343,"26.2-7.8","12.9-5.1",0.215083390806243,11,2014-11-14
8,"Virginia","ACC","1-0",0.934710244598051,110.776028540903,19,87.8898380132703,2,64.2251254894835,343,"26.2-7.8","12.9-5.1",0.215302571894892,14,2014-11-15
8,"Virginia","ACC","2-0",0.93676568291235,110.657348172666,20,87.5350853047449,2,63.7372632713789,345,"26.3-7.7","13-5",0.284641560209804,15,2014-11-16
7,"Virginia","ACC","2-0",0.936807186613975,110.596123978994,20,87.4813224209295,2,63.7365977533463,346,"26.2-7.8","12.9-5.1",0.287433284762644,20,2014-11-17
7,"Virginia","ACC","3-0",0.935282314301862,110.574193078973,22,87.6579262825225,3,63.4600333299235,347,"26.1-7.9","12.8-5.2",0.292633060795268,32,2014-11-18
7,"Virginia","ACC","3-0",0.935356625430725,110.513064999289,22,87.6001095717378,3,63.4507732375869,347,"26.1-7.9","12.9-5.1",0.284826940473256,36,2014-11-19
8,"Virginia","ACC","3-0",0.935280195827479,110.496284360445,22,87.5964305674322,4,63.414099727294,345,"26.1-7.9","12.8-5.2",0.277051938659849,44,2014-11-20
7,"Virginia","ACC","4-0",0.937983516910367,109.790324785259,29,86.6926938632231,2,62.7591822201788,348,"26.4-7.6","13-5",0.567859181212896,24,2014-11-21
7,"Virginia","ACC","4-0",0.938328641286557,109.857200603188,29,86.7006422295551,2,62.7085718840803,347,"26.5-7.5","13-5",0.573458884682566,21,2014-11-22
7,"Virginia","ACC","4-0",0.938083786323368,109.805165605866,29,86.6914076394132,3,62.6909944278345,347,"26.5-7.5","13-5",0.576432500122739,21,2014-11-23
7,"Virginia","ACC","4-0",0.938224432720576,109.726933183795,29,86.6113844126538,3,62.7237809216872,347,"26.4-7.6","12.9-5.1",0.57661702284505,26,2014-11-24
6,"Virginia","ACC","5-0",0.941429127066779,109.954302152393,29,86.364139388256,3,61.8786159377368,349,"26.6-7.4","13.1-4.9",0.587824626274555,26,2014-11-25
6,"Virginia","ACC","5-0",0.941380595697532,109.954914654814,26,86.3712280119043,3,61.7944999605165,349,"26.6-7.4","13-5",0.574925562298126,28,2014-11-26
6,"Virginia","ACC","5-0",0.941343653251614,109.944749560762,26,86.3682693171744,3,61.7825501060021,349,"26.4-7.6","13-5",0.581820464252451,33,2014-11-27
6,"Virginia","ACC","6-0",0.945544818231754,110.669690094546,25,86.3442971022676,3,61.3944536681144,349,"26.8-7.2","13.1-4.9",0.874529225359828,22,2014-11-28
6,"Virginia","ACC","7-0",0.949737729699632,108.158113228552,46,83.766648221364,2,60.5380293674054,350,"27.2-6.8","13.3-4.7",1.0299525853086,21,2014-11-29
6,"Virginia","ACC","7-0",0.949666551362395,108.196519112462,44,83.8072513548744,2,60.4908796831665,350,"27.2-6.8","13.3-4.7",1.0202129539633,21,2014-11-30
6,"Virginia","ACC","7-0",0.950030640520499,108.181431303039,44,83.7398907732013,2,60.5402965238375,350,"27.3-6.7","13.3-4.7",1.02046045964212,21,2014-12-01
5,"Virginia","ACC","7-0",0.949677455904756,108.166479635085,44,83.7823210687385,2,60.6481795243919,349,"27.2-6.8","13.3-4.7",1.01957713430932,22,2014-12-02
5,"Virginia","ACC","8-0",0.955591637968286,110.071888056427,28,84.2907861082521,3,60.2278156808804,350,"28-6","13.6-4.4",1.74585416761369,6,2014-12-03
5,"Virginia","ACC","8-0",0.95559500517818,110.053410109487,27,84.2760545675663,3,60.2077309791415,350,"28.1-5.9","13.6-4.4",1.75699946002371,7,2014-12-04
5,"Virginia","ACC","8-0",0.955518219688777,110.044123082469,27,84.2821929139174,3,60.1941639863839,349,"28-6","13.6-4.4",1.76941863936817,8,2014-12-05
5,"Virginia","ACC","9-0",0.961796052921392,111.315661208416,22,84.0876815850505,3,59.4664415010295,350,"29-5","14.1-3.9",2.4279254662921,3,2014-12-06
5,"Virginia","ACC","9-0",0.962293029715457,111.479994511738,21,84.1122114767594,3,59.4657927267052,350,"29-5","14.1-3.9",2.44935610510478,3,2014-12-07
5,"Virginia","ACC","9-0",0.962767284151121,111.514638942697,21,84.0421965878545,3,59.3425110938901,350,"29-5","14.1-3.9",2.43446889099674,3,2014-12-08
5,"Virginia","ACC","9-0",0.962635624938032,111.597233669715,21,84.1312634864673,3,59.3017632153717,350,"29-5","14.1-3.9",2.44798106892864,3,2014-12-09
5,"Virginia","ACC","9-0",0.963214172761128,111.647444495668,20,84.0505883066216,3,59.2587023862526,349,"29.1-4.9","14.1-3.9",2.42983461657241,5,2014-12-10
5,"Virginia","ACC","9-0",0.963554630616048,111.733509184855,19,84.0448135732895,3,59.319050440855,348,"29.1-4.9","14.2-3.8",2.413718452057,5,2014-12-11
5,"Virginia","ACC","9-0",0.963571291797315,111.745154993226,19,84.0501050097772,3,59.3163468072463,348,"29-5","14.1-3.9",2.41514108255198,5,2014-12-12
5,"Virginia","ACC","9-0",0.963784122749879,111.858839025548,21,84.0911402832329,3,59.302458348025,349,"29.1-4.9","14.1-3.9",2.40637429853372,7,2014-12-13
4,"Virginia","ACC","9-0",0.963568347136109,111.879771461413,21,84.151971815674,3,59.4492181627944,348,"29.1-4.9","14.2-3.8",2.39880621090594,8,2014-12-14
4,"Virginia","ACC","9-0",0.963472264568894,111.863028429397,21,84.1593808770802,3,59.4553705282974,348,"29.1-4.9","14.2-3.8",2.41843211268085,8,2014-12-15
4,"Virginia","ACC","9-0",0.963436401629359,111.944765884849,21,84.2283351673235,3,59.5269459174094,348,"29.1-4.9","14.2-3.8",2.44289965437652,8,2014-12-16
4,"Virginia","ACC","9-0",0.963856971835006,112.067622999322,19,84.2327925502837,3,59.3898264217211,348,"29.1-4.9","14.2-3.8",2.40907620707894,8,2014-12-17
4,"Virginia","ACC","10-0",0.965723545582686,113.594414575528,13,84.9732955890548,3,58.8045985425641,349,"29.3-4.7","14.3-3.7",2.57372118598761,7,2014-12-18
4,"Virginia","ACC","10-0",0.966546622163248,113.608507505124,13,84.7981271242611,3,58.6944491246617,349,"29.4-4.6","14.4-3.6",2.60745530609328,7,2014-12-19
4,"Virginia","ACC","10-0",0.967341102492468,113.751640759553,15,84.7216401363275,3,58.7132032667261,349,"29.5-4.5","14.5-3.5",2.56233335830745,8,2014-12-20
