"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
126,"Wake Forest","ACC","0-0",0.589713661397156,101.333500047519,166,98.1867045607109,112,68.47166858,127,"12.6-19.4","4.6-13.4",0,19,2014-11-13
125,"Wake Forest","ACC","1-0",0.59770312954246,100.848895432705,176,97.4361105078497,100,69.0606933170292,96,"12.7-19.3","4.4-13.6",0.0531109333710107,66,2014-11-14
125,"Wake Forest","ACC","1-0",0.597401941642292,100.867524857345,172,97.4647234807316,100,69.0587368103943,97,"12.7-19.3","4.4-13.6",0.0531762384649046,82,2014-11-15
123,"Wake Forest","ACC","1-0",0.599436711308783,100.882190445559,169,97.4071495170924,101,68.9935871923525,101,"12.8-19.2","4.4-13.6",0.0540474014874748,95,2014-11-16
105,"Wake Forest","ACC","2-0",0.649726197617562,100.391944288589,180,95.1407246006605,60,69.5215033462552,74,"14.4-17.6","5-13",0.27527966803709,22,2014-11-17
107,"Wake Forest","ACC","2-0",0.649218230917081,100.385663040449,180,95.1532320833806,62,69.4754374247854,75,"14.4-17.6","5-13",0.267034787233601,34,2014-11-18
124,"Wake Forest","ACC","2-1",0.60339789793146,98.9076700142077,211,95.3635151745399,67,69.1616926129649,86,"13.3-18.7","4.5-13.5",0.0009539512533791,125,2014-11-19
125,"Wake Forest","ACC","2-1",0.604902433449192,98.9315915808767,207,95.334412287875,73,69.0535820657344,93,"13.3-18.7","4.4-13.6",-0.012468187224206,120,2014-11-20
129,"Wake Forest","ACC","2-2",0.59124005587559,98.4497981761392,219,95.3402067641911,73,69.5431082874893,59,"12.5-19.5","4.3-13.7",-0.837608820766063,242,2014-11-21
129,"Wake Forest","ACC","2-2",0.589431911087455,98.444903789194,215,95.3974688018207,76,69.4886287045462,62,"12.6-19.4","4.3-13.7",-0.830677061574133,217,2014-11-22
131,"Wake Forest","ACC","2-2",0.590125161476999,98.4062253899795,214,95.3362304199986,80,69.5566930936855,58,"12.6-19.4","4.3-13.7",-0.827006863648422,207,2014-11-23
119,"Wake Forest","ACC","3-2",0.628916229799219,98.28238981358,222,93.8754769835826,48,69.5273538625824,60,"13.4-18.6","4.7-13.3",-0.809021914382589,199,2014-11-24
119,"Wake Forest","ACC","3-2",0.632521376061016,98.3604642051365,218,93.8236818899377,47,69.3949697373353,57,"13.6-18.4","4.9-13.1",-0.811172620015957,182,2014-11-25
94,"Wake Forest","ACC","4-2",0.695579329697615,99.6501727824342,181,92.7409945873889,36,68.5547096261019,115,"14.8-17.2","5.7-12.3",-0.772578472415288,169,2014-11-26
94,"Wake Forest","ACC","4-2",0.695305668214068,99.6313942245216,179,92.7339363947105,35,68.5330836123161,119,"14.9-17.1","5.6-12.4",-0.763194776232479,161,2014-11-27
108,"Wake Forest","ACC","4-3",0.662443623384335,98.5308331905101,213,92.9203974941539,37,68.7625211666895,93,"13.2-18.8","5.1-12.9",-1.74924501519995,255,2014-11-28
108,"Wake Forest","ACC","4-3",0.661444536568417,98.5623202210338,210,92.9861851998545,35,68.6367994952629,100,"13.2-18.8","5-13",-1.74623131662944,235,2014-11-29
110,"Wake Forest","ACC","4-3",0.661975349616195,98.7192033203785,206,93.1149904689655,36,68.6771652707489,91,"13.1-18.9","5-13",-1.75429866811132,224,2014-11-30
111,"Wake Forest","ACC","4-3",0.662540456380335,98.7232977182826,204,93.0983969213381,37,68.6565039798163,89,"13.1-18.9","5-13",-1.75408622037152,219,2014-12-01
112,"Wake Forest","ACC","4-4",0.645099894728238,98.4358396463734,212,93.4514878713785,42,69.2924534244887,59,"12.4-19.6","4.8-13.2",-2.42049748228857,268,2014-12-02
111,"Wake Forest","ACC","4-4",0.646420063916745,98.5380694209656,210,93.501606768916,42,69.1675458821384,60,"12.4-19.6","4.7-13.3",-2.41237558706817,257,2014-12-03
112,"Wake Forest","ACC","4-4",0.643564639218656,98.4028515374713,210,93.4746073786934,43,69.2205566082593,60,"12.3-19.7","4.7-13.3",-2.40265244209952,257,2014-12-04
113,"Wake Forest","ACC","4-4",0.643075319201519,98.3950041396231,210,93.4844865921016,44,69.1778352609733,61,"12.3-19.7","4.7-13.3",-2.39182496741306,257,2014-12-05
115,"Wake Forest","ACC","4-5",0.647129048320439,98.3115538960644,212,93.2614981858066,43,69.5166394245122,49,"12.2-19.8","4.6-13.4",-2.67914333300817,257,2014-12-06
115,"Wake Forest","ACC","4-5",0.64813225596572,98.2543252901004,213,93.1715859879954,43,69.5684548771925,48,"12.3-19.7","4.6-13.4",-2.66024956134627,254,2014-12-07
115,"Wake Forest","ACC","4-5",0.64920818362142,98.2887063887871,212,93.1659331284727,41,69.4930500832129,48,"12.3-19.7","4.6-13.4",-2.67333052453391,254,2014-12-08
114,"Wake Forest","ACC","4-5",0.646205226803352,98.1736553455065,214,93.1634319411951,41,69.5113838658795,47,"12.2-19.8","4.6-13.4",-2.66147891558696,252,2014-12-09
116,"Wake Forest","ACC","4-5",0.642259568466882,98.1868145041248,212,93.3155064825368,45,69.3754245298865,55,"12.2-19.8","4.5-13.5",-2.67743027163167,252,2014-12-10
116,"Wake Forest","ACC","4-5",0.642206906508721,98.2019347784608,212,93.3317366791067,45,69.3724687526356,56,"12.2-19.8","4.5-13.5",-2.69163991160505,249,2014-12-11
115,"Wake Forest","ACC","4-5",0.646267302639938,98.3137492928729,211,93.2941734687897,45,69.3949202122924,55,"12.2-19.8","4.5-13.5",-2.69038558033324,248,2014-12-12
114,"Wake Forest","ACC","4-5",0.644190705604244,98.3180357712203,207,93.3718682619555,43,69.3673449182973,53,"12.2-19.8","4.6-13.4",-2.69800729060413,236,2014-12-13
115,"Wake Forest","ACC","5-5",0.640428397985312,98.9865047530959,202,94.1406682365476,57,69.4292355523033,51,"12.3-19.7","4.5-13.5",-2.66984799397974,229,2014-12-14
114,"Wake Forest","ACC","5-5",0.640405756494845,98.9856375618486,201,94.1406483585887,57,69.4511556754651,49,"12.3-19.7","4.5-13.5",-2.65219498919413,226,2014-12-15
112,"Wake Forest","ACC","5-5",0.639375572103839,98.9950603836175,201,94.1862183159461,57,69.4713355104472,46,"12.2-19.8","4.5-13.5",-2.62998192491274,221,2014-12-16
111,"Wake Forest","ACC","5-5",0.644916509579296,98.9432668212918,202,93.9397632969069,53,69.5060611848403,45,"12.3-19.7","4.6-13.4",-2.66060091834852,217,2014-12-17
113,"Wake Forest","ACC","5-5",0.644090406392868,98.9679189242564,199,93.9926334360218,53,69.4928034584627,46,"12.3-19.7","4.5-13.5",-2.66025640990226,211,2014-12-18
113,"Wake Forest","ACC","5-5",0.648025655522413,99.1107252498001,197,93.9875038788669,54,69.3609635464857,49,"12.4-19.6","4.7-13.3",-2.63306519688992,208,2014-12-19
114,"Wake Forest","ACC","5-6",0.645711053223436,97.7326904362949,225,92.762399621354,44,69.8321173984783,40,"12.3-19.7","4.7-13.3",-3.0746708897875,226,2014-12-20
114,"Wake Forest","ACC","5-6",0.650258088951965,97.892855539733,222,92.7534973578563,45,69.8610449311755,38,"12.3-19.7","4.7-13.3",-3.09612261286935,220,2014-12-21
112,"Wake Forest","ACC","6-6",0.65886568232848,97.1884691813974,231,91.7817538510358,36,69.1744431407228,54,"12.5-19.5","4.8-13.2",-3.01862926469996,211,2014-12-22
111,"Wake Forest","ACC","6-6",0.660437207288455,97.1514925210833,229,91.6910072194874,34,69.221888593278,54,"12.6-19.4","4.8-13.2",-3.02606590807757,205,2014-12-23
111,"Wake Forest","ACC","6-6",0.660437207288854,97.1514925210887,229,91.6910072194783,34,69.221725519822,54,"12.6-19.4","4.8-13.2",-3.02606590807415,205,2014-12-24
111,"Wake Forest","ACC","6-6",0.660613683490506,97.1583381120897,228,91.6911927548576,34,69.2183176235806,54,"12.6-19.4","4.8-13.2",-3.02062445124337,205,2014-12-25
111,"Wake Forest","ACC","6-6",0.6605629077018,97.1624405482417,227,91.6968700690599,34,69.2186053077136,54,"12.6-19.4","4.8-13.2",-3.0202176499142,205,2014-12-26
111,"Wake Forest","ACC","6-6",0.660093580247705,97.026794902398,231,91.5855174764643,30,69.213315114564,52,"12.6-19.4","4.8-13.2",-3.08275308531531,203,2014-12-27
102,"Wake Forest","ACC","7-6",0.683922171741632,97.3497261050193,226,91.0302651719678,28,69.3476837885716,49,"13.6-18.4","5.1-12.9",-2.48820598921683,179,2014-12-28
105,"Wake Forest","ACC","7-6",0.677881736534952,97.2472283695366,227,91.1545234793616,31,69.3265868789851,50,"13.5-18.5","5-13",-2.53641607083419,172,2014-12-29
111,"Wake Forest","ACC","7-6",0.668619553740603,97.0359916118967,234,91.2901586378303,33,69.2642754215349,50,"13.4-18.6","4.9-13.1",-2.55585428461688,170,2014-12-30
101,"Wake Forest","ACC","8-6",0.687309278827647,97.5739185431457,221,91.1153148361002,33,69.5699314100865,37,"13.8-18.2","5.1-12.9",-2.47041906149382,159,2014-12-31
102,"Wake Forest","ACC","8-6",0.687136711692008,97.5755005596213,223,91.1231533694277,33,69.5762234602178,37,"13.8-18.2","5.1-12.9",-2.49035780240217,162,2015-01-01
102,"Wake Forest","ACC","8-6",0.687766500602901,97.6519843882077,224,91.1713387478919,32,69.6016668521911,33,"13.8-18.2","5.1-12.9",-2.47329625416789,158,2015-01-02
103,"Wake Forest","ACC","8-6",0.683803215393562,97.6297518983741,227,91.2964811427886,34,69.5316901034338,35,"13.7-18.3","5-13",-2.49403832879917,153,2015-01-03
93,"Wake Forest","ACC","8-7",0.698975609977837,100.083040641003,180,93.013620410644,50,69.5675038136319,35,"13.8-18.2","5.1-12.9",-2.96555701599849,168,2015-01-04
94,"Wake Forest","ACC","8-7",0.698929336115875,100.040421479678,182,92.9757896326898,50,69.5418109058803,37,"13.8-18.2","5.1-12.9",-2.92078383366893,163,2015-01-05
90,"Wake Forest","ACC","8-7",0.700654967493324,100.134660351909,179,92.9969252949512,51,69.5780472007214,35,"13.8-18.2","5.1-12.9",-2.92319133865966,161,2015-01-06
85,"Wake Forest","ACC","8-8",0.717701884436678,100.075047973241,180,92.2758139188549,47,69.6178319021388,33,"13.8-18.2","5.1-12.9",-3.19044114233085,167,2015-01-07
87,"Wake Forest","ACC","8-8",0.723250972547957,100.187418130326,180,92.1583455891418,44,69.4076191787051,31,"13.9-18.1","5.2-12.8",-3.23974631651497,164,2015-01-08
86,"Wake Forest","ACC","8-8",0.723301640340498,100.216015246138,179,92.1826216584051,44,69.5860726015667,31,"13.9-18.1","5.2-12.8",-3.23024751466989,164,2015-01-09
81,"Wake Forest","ACC","9-8",0.73565411580225,101.350131931157,160,92.7197063245671,50,69.3363533070123,33,"14.5-17.5","5.7-12.3",-3.01683032810551,149,2015-01-10
84,"Wake Forest","ACC","9-8",0.736920264792247,101.530355953595,158,92.8319296576283,52,69.3706860923564,32,"14.5-17.5","5.7-12.3",-2.98483480272478,146,2015-01-11
83,"Wake Forest","ACC","9-8",0.739054554546814,101.490237052423,159,92.706224585722,50,69.5250160107319,32,"14.5-17.5","5.7-12.3",-2.99801052436313,145,2015-01-12
79,"Wake Forest","ACC","9-9",0.750055199643578,102.977322165958,135,93.5926341829467,59,69.3074426006081,33,"14.4-17.6","5.7-12.3",-3.38218608495953,162,2015-01-13
80,"Wake Forest","ACC","9-9",0.748789628750333,102.976053712543,134,93.6463448950179,58,69.3387953176844,34,"14.4-17.6","5.6-12.4",-3.36249560350704,157,2015-01-14
76,"Wake Forest","ACC","9-9",0.753399502387486,103.220510170464,127,93.6675928449641,58,69.3226256988025,34,"14.4-17.6","5.6-12.4",-3.29179217033788,151,2015-01-15
76,"Wake Forest","ACC","9-9",0.753302054287807,103.274582239488,127,93.7209345266557,59,69.26157896789,34,"14.4-17.6","5.6-12.4",-3.29361213641405,151,2015-01-16
79,"Wake Forest","ACC","9-9",0.74651746754988,102.955149097163,137,93.7254358466277,63,69.4432961745219,31,"14.3-17.7","5.5-12.5",-3.41211517408379,149,2015-01-17
80,"Wake Forest","ACC","9-9",0.74656416372334,102.969817673882,136,93.7367778397392,62,69.464811659426,31,"14.3-17.7","5.5-12.5",-3.4037071202455,149,2015-01-18
80,"Wake Forest","ACC","9-9",0.745130495021769,102.865950286072,138,93.7038297996732,62,69.4355463594767,30,"14.2-17.8","5.5-12.5",-3.31699583812022,147,2015-01-19
83,"Wake Forest","ACC","9-9",0.740833880341334,102.871948000793,137,93.8928213202556,62,69.5503449725918,28,"14.2-17.8","5.5-12.5",-3.2866275019901,145,2015-01-20
84,"Wake Forest","ACC","9-10",0.738034263393024,103.328285698716,126,94.4285661617476,65,69.5192034124681,29,"14-18","5.3-12.7",-3.6236042387164,154,2015-01-21
81,"Wake Forest","ACC","9-10",0.737731617273113,103.471554667076,126,94.5723626523909,66,69.5438801407905,30,"14-18","5.3-12.7",-3.66360131263624,153,2015-01-22
81,"Wake Forest","ACC","9-10",0.737973780535864,103.495480687355,126,94.5839332784518,66,69.3435279732653,30,"14.1-17.9","5.3-12.7",-3.66319252604419,153,2015-01-23
80,"Wake Forest","ACC","9-11",0.746041625372846,103.270512338639,134,94.0330741004966,58,69.4514885443472,28,"13.7-18.3","4.9-13.1",-4.1367658721336,158,2015-01-24
80,"Wake Forest","ACC","9-11",0.746073181068181,103.198045281488,136,93.9657281869952,58,69.5063230615612,28,"13.7-18.3","4.9-13.1",-4.09762768746861,158,2015-01-25
80,"Wake Forest","ACC","9-11",0.745681201230552,103.180596540806,134,93.9667366881598,58,69.4893339618031,28,"13.7-18.3","4.9-13.1",-4.11827113920031,156,2015-01-26
80,"Wake Forest","ACC","9-11",0.745551878789507,103.269449750795,134,94.0532315757192,60,69.4226710569971,28,"13.7-18.3","4.9-13.1",-4.09671363637873,155,2015-01-27
84,"Wake Forest","ACC","9-12",0.746132077049348,104.045473974915,120,94.7347828861964,67,68.7641839048848,40,"13.2-18.8","4.5-13.5",-4.51564953085876,167,2015-01-28
82,"Wake Forest","ACC","9-12",0.748236881131571,104.10963152211,122,94.7013974225337,66,68.7614858030799,40,"13.3-18.7","4.5-13.5",-4.53494858412591,162,2015-01-29
84,"Wake Forest","ACC","9-12",0.74887157737144,104.063357660182,122,94.6315528770024,66,68.6901133194497,40,"13.3-18.7","4.5-13.5",-4.52771622377033,161,2015-01-30
85,"Wake Forest","ACC","10-12",0.745396625867616,105.151908274139,101,95.7745054080346,79,68.4511636489772,42,"13.4-18.6","4.7-13.3",-4.38373939516007,154,2015-01-31
