"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
146,"Washington St.","P12","0-0",0.546742821567429,101.688653584766,154,100.043965360954,154,66.60178531,281,"12.5-18.5","5.3-12.7",0,69,2014-11-13
162,"Washington St.","P12","0-1",0.526061058315153,99.7681275652042,206,98.8670314960246,127,67.437593732102,221,"11.7-19.3","5-13",-0.507427945085827,302,2014-11-14
164,"Washington St.","P12","0-1",0.525665819668831,99.7824240802107,202,98.8948299208583,129,67.4356276653482,223,"11.7-19.3","5-13",-0.507103560353655,287,2014-11-15
163,"Washington St.","P12","0-1",0.525488088135654,99.7426870957325,200,98.8615738423107,131,67.4309247004011,224,"11.7-19.3","5-13",-0.502811426426223,264,2014-11-16
193,"Washington St.","P12","0-2",0.453187519005399,98.1269739000864,232,99.7425854556105,157,67.8665927067664,193,"10-21","4.1-13.9",-0.821342153769659,291,2014-11-17
193,"Washington St.","P12","0-2",0.452600990339609,98.1205417442019,228,99.7565788756802,155,67.8206420813421,192,"10-21","4.1-13.9",-0.838861805845515,287,2014-11-18
193,"Washington St.","P12","0-2",0.45205065405861,98.0918925077833,226,99.746718917105,162,67.7656261471886,192,"10-21","4.1-13.9",-0.854225283738743,269,2014-11-19
193,"Washington St.","P12","0-2",0.452999091332445,97.9937369846505,228,99.6137413027855,153,67.8204278102641,181,"9.9-21.1","4.1-13.9",-0.869941549019808,258,2014-11-20
198,"Washington St.","P12","1-2",0.442154177543221,98.1762388589446,223,100.180644390625,175,68.2292103590471,139,"9.7-21.3","3.8-14.2",-0.837511761528114,241,2014-11-21
199,"Washington St.","P12","1-2",0.44092108325017,98.1796758607596,225,100.227725871727,174,68.1764741952401,143,"9.8-21.2","3.8-14.2",-0.831189264846508,218,2014-11-22
199,"Washington St.","P12","1-2",0.440149515744969,98.135914371667,224,100.21032722337,174,68.1522810401859,143,"9.8-21.2","3.8-14.2",-0.827852617112041,208,2014-11-23
196,"Washington St.","P12","1-2",0.443243351393123,98.1966949478254,224,100.163059633756,172,68.1418739291645,141,"9.9-21.1","3.9-14.1",-0.827646038903035,203,2014-11-24
199,"Washington St.","P12","1-2",0.442855266780679,98.1876419361143,220,100.167523333697,173,68.0949059540664,139,"9.8-21.2","3.8-14.2",-0.829539797747095,186,2014-11-25
195,"Washington St.","P12","1-2",0.443340565808429,98.2091009818966,217,100.172282702377,172,68.2404451271605,128,"9.8-21.2","3.8-14.2",-0.843740963903947,178,2014-11-26
233,"Washington St.","P12","1-3",0.368691219671248,95.8685137586712,260,100.458621625151,176,68.081256566871,138,"8.3-22.7","3-15",-1.51684242304485,242,2014-11-27
231,"Washington St.","P12","2-3",0.36665246262756,96.5634424792653,250,101.264011928926,189,68.4270343334628,116,"8.6-22.4","3-15",-1.41238286532099,222,2014-11-28
232,"Washington St.","P12","3-3",0.366764784179039,97.9505579721347,220,102.714330238291,225,68.2049509635963,122,"9.2-21.8","3-15",-1.32793226768141,198,2014-11-29
229,"Washington St.","P12","3-3",0.365710474315544,97.9692378743825,220,102.774505059021,223,68.1885748979606,120,"9.2-21.8","2.9-15.1",-1.33907818966229,191,2014-11-30
229,"Washington St.","P12","3-3",0.365830310105249,97.961385760295,220,102.76165171647,223,68.176203231472,118,"9.2-21.8","2.9-15.1",-1.3387945581856,187,2014-12-01
229,"Washington St.","P12","3-3",0.364902890668153,98.0009399340419,221,102.838905028587,223,68.1645420448075,106,"9.2-21.8","2.9-15.1",-1.33980937559451,183,2014-12-02
252,"Washington St.","P12","3-4",0.322055016264661,96.9210823410106,239,103.401824480602,235,68.5402462239096,84,"7.9-23.1","2.5-15.5",-2.27563667630329,243,2014-12-03
242,"Washington St.","P12","3-4",0.332751590544828,97.0117418034996,234,103.062275966003,223,68.7602770238721,72,"8-23","2.6-15.4",-2.26490036724636,243,2014-12-04
244,"Washington St.","P12","3-4",0.332252637994933,97.0031448910193,234,103.073290357453,224,68.760873266331,73,"8-23","2.6-15.4",-2.25294834895779,242,2014-12-05
231,"Washington St.","P12","4-4",0.358576624077152,98.1737300915744,216,103.265981134068,234,68.8352575195816,70,"8.5-22.5","2.8-15.2",-2.20759515206919,227,2014-12-06
232,"Washington St.","P12","4-4",0.358780599286322,98.1479191584227,216,103.230871180179,230,68.7867402646518,70,"8.6-22.4","2.8-15.2",-2.18960533462493,223,2014-12-07
233,"Washington St.","P12","4-4",0.360360545377074,98.1725781013368,216,103.195221647773,231,68.7661246185927,69,"8.6-22.4","2.8-15.2",-2.20212100804452,222,2014-12-08
233,"Washington St.","P12","4-4",0.364926122002817,98.1379374615847,215,102.981767979989,220,68.8979564590623,67,"8.6-22.4","2.9-15.1",-2.19075375818422,220,2014-12-09
220,"Washington St.","P12","4-5",0.380555737693324,98.9341830653481,205,103.215513431288,230,68.7133650399577,69,"8.8-22.2","3-15",-2.31972494898362,222,2014-12-10
221,"Washington St.","P12","4-5",0.377618393239917,98.8736856669718,206,103.264394422011,233,68.6148937674625,70,"8.8-22.2","3-15",-2.33459847735373,220,2014-12-11
220,"Washington St.","P12","4-5",0.377393993070486,98.8746044333936,205,103.273929082599,233,68.6205678224855,70,"8.8-22.2","3-15",-2.33328528125086,220,2014-12-12
231,"Washington St.","P12","4-6",0.360034154279842,99.0987120716128,201,104.181567647096,248,68.6222076974783,67,"8.3-22.7","2.7-15.3",-3.0356358334789,256,2014-12-13
232,"Washington St.","P12","4-6",0.358971602654447,99.0781294440531,199,104.201733594495,252,68.5875734750899,72,"8.3-22.7","2.8-15.2",-3.04396570938889,252,2014-12-14
233,"Washington St.","P12","4-6",0.359841662735385,99.0756651764979,198,104.164906459863,255,68.591396353708,74,"8.3-22.7","2.7-15.3",-3.02235788208134,248,2014-12-15
237,"Washington St.","P12","4-6",0.359247514999451,99.1235727430839,198,104.238659783694,252,68.5555775520705,73,"8.3-22.7","2.7-15.3",-2.99543294765457,244,2014-12-16
235,"Washington St.","P12","4-6",0.360279618879072,99.0714775259986,199,104.143289553395,247,68.5699483504711,74,"8.3-22.7","2.7-15.3",-3.03265955495559,239,2014-12-17
233,"Washington St.","P12","4-6",0.361227507969556,99.0983754050025,195,104.134337902524,245,68.562532584599,75,"8.2-22.8","2.6-15.4",-3.03261730145754,235,2014-12-18
230,"Washington St.","P12","4-6",0.361503387821094,99.2448196331472,195,104.277383942508,252,68.4858654342109,80,"8.2-22.8","2.6-15.4",-2.99925954553058,232,2014-12-19
