"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
283,"Western Carolina","SC","0-0",0.269213741310645,96.4760308322648,268,105.2281355052,277,68.68194498,110,"11.3-18.7","8.6-9.4",0,156,2014-11-13
286,"Western Carolina","SC","0-1",0.272030613715006,96.5425207952924,264,105.170064857379,278,67.8805104053906,191,"11.4-18.6","8.8-9.2",-0.623443568480321,317,2014-11-14
286,"Western Carolina","SC","0-1",0.271769965050968,96.5618489218046,264,105.203163978766,282,67.8788873932973,191,"11.5-18.5","8.8-9.2",-0.623138842930595,304,2014-11-15
284,"Western Carolina","SC","0-1",0.271526054765091,96.513580281903,262,105.161848258547,283,67.8750050948482,189,"11.4-18.6","8.8-9.2",-0.619098173286603,283,2014-11-16
268,"Western Carolina","SC","0-2",0.30434473222114,97.9510990973867,235,105.251711040895,284,68.1352701973803,169,"12.3-17.7","9.5-8.5",-0.985134170951087,325,2014-11-17
266,"Western Carolina","SC","0-2",0.303853621667791,97.9451011260161,231,105.266506548619,285,68.0957453935721,171,"12.3-17.7","9.5-8.5",-1.00264624318389,318,2014-11-18
267,"Western Carolina","SC","0-2",0.303225745304541,97.9102763112206,230,105.256259010986,287,68.0487154599403,171,"12.1-17.9","9.3-8.7",-1.01792151541562,303,2014-11-19
265,"Western Carolina","SC","0-2",0.303698371838396,97.8271080662073,233,105.146404870271,284,68.0391365122328,165,"12.1-17.9","9.3-8.7",-1.03347007312854,289,2014-11-20
265,"Western Carolina","SC","0-2",0.303217400549629,97.8341254358347,232,105.174755930618,286,68.0070078668693,162,"12.1-17.9","9.3-8.7",-1.02550457810421,274,2014-11-21
265,"Western Carolina","SC","0-2",0.303337331490268,97.8346265501293,233,105.170103817813,282,68.0128060111791,159,"12-18","9.2-8.8",-1.01954411277567,239,2014-11-22
263,"Western Carolina","SC","0-2",0.302712046874897,97.8101740342337,229,105.170890137168,284,67.992229930868,154,"11.9-18.1","9.1-8.9",-1.01639550546221,231,2014-11-23
252,"Western Carolina","SC","1-2",0.332855399209954,98.2297472609756,223,104.352004993606,270,67.1410624162795,206,"13.3-16.7","9.6-8.4",-0.71943655993342,183,2014-11-24
246,"Western Carolina","SC","1-3",0.3456987203761,99.5739452371822,181,105.254246748706,289,66.740312376619,233,"13.4-16.6","9.8-8.2",-1.2777136408586,235,2014-11-25
236,"Western Carolina","SC","2-3",0.362263307647521,99.4742335056037,185,104.488526872137,275,66.4736887315029,247,"13.9-16.1","10-8",-1.27963775215368,224,2014-11-26
236,"Western Carolina","SC","2-3",0.362105598439217,99.4515441296902,182,104.47089555648,275,66.463821199368,242,"13.9-16.1","10-8",-1.26518774639392,217,2014-11-27
230,"Western Carolina","SC","2-3",0.367998855129007,99.6442165702073,182,104.442124342716,266,66.4527605233417,232,"14-16","10-8",-1.29586784485475,210,2014-11-28
234,"Western Carolina","SC","2-3",0.362771256143336,99.6734969079663,179,104.677825940367,270,66.5021344339669,212,"14-16","10-8",-1.29141390624184,194,2014-11-29
232,"Western Carolina","SC","2-3",0.36167358418884,99.6822958482931,182,104.730329304747,271,66.4685532625509,208,"13.9-16.1","10-8",-1.30316244393442,188,2014-11-30
