"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
256,"Western Illinois","Sum","0-0",0.333900092093045,93.4603442336204,312,99.2447684455328,139,66.28952869,297,"10.5-15.5","6.6-9.4",0,107,2014-11-13
258,"Western Illinois","Sum","0-1",0.32963041952764,93.5000007549072,312,99.4532960542206,141,66.124256490453,305,"9.9-16.1","6.6-9.4",-0.926088056319019,342,2014-11-14
258,"Western Illinois","Sum","0-1",0.329318016656073,93.5186503946226,312,99.4853655777007,142,66.1225404837922,305,"9.9-16.1","6.6-9.4",-0.925999173218024,336,2014-11-15
258,"Western Illinois","Sum","0-1",0.327266773889752,93.4462976159208,310,99.4888376022209,146,66.1843963983472,303,"9.7-16.3","6.5-9.5",-0.924813941172685,328,2014-11-16
259,"Western Illinois","Sum","0-2",0.322005298111699,93.4200531644898,308,99.6686684961065,153,66.3003813993991,296,"9.3-16.7","6.5-9.5",-1.79416722550608,349,2014-11-17
260,"Western Illinois","Sum","0-2",0.321709305917637,93.4195933625268,308,99.6799317883114,152,66.2570726258989,294,"9.3-16.7","6.5-9.5",-1.80090373641904,346,2014-11-18
260,"Western Illinois","Sum","0-2",0.321198151949633,93.3884382716965,304,99.6669967104417,156,66.2081358787142,290,"9.2-16.8","6.4-9.6",-1.80662048951789,344,2014-11-19
260,"Western Illinois","Sum","0-2",0.320983768779742,93.3785379737103,303,99.6649535075044,154,66.1835970901016,289,"9.4-16.6","6.6-9.4",-1.81229253043458,340,2014-11-20
259,"Western Illinois","Sum","0-2",0.319045295226483,93.3740525881524,304,99.7373957123623,159,66.1805718042005,282,"9.5-16.5","6.6-9.4",-1.80940496483605,328,2014-11-21
262,"Western Illinois","Sum","1-2",0.310997913761227,92.4963978564073,312,99.1208656654662,147,66.222177520142,274,"9.5-16.5","6.4-9.6",-1.78031919932548,314,2014-11-22
260,"Western Illinois","Sum","1-2",0.309388392190315,92.4689827178104,312,99.1563234140983,151,66.171438178351,272,"9.5-16.5","6.4-9.6",-1.77897964700326,300,2014-11-23
263,"Western Illinois","Sum","1-2",0.306949194975415,92.4322384945137,312,99.2155783839597,154,66.1577019854148,275,"9.4-16.6","6.4-9.6",-1.77889644717995,287,2014-11-24
286,"Western Illinois","Sum","1-3",0.241341138339181,90.5564902470114,331,100.039860097341,169,66.6733321272176,236,"7.9-18.1","5.4-10.6",-2.37761522018645,318,2014-11-25
286,"Western Illinois","Sum","1-3",0.241210595163219,90.5515856723894,330,100.040645182501,168,66.6650818651246,234,"8-18","5.4-10.6",-2.39008235365659,307,2014-11-26
284,"Western Illinois","Sum","1-3",0.241307070676671,90.5380259210764,330,100.021080488698,169,66.6273505842124,233,"8.1-17.9","5.4-10.6",-2.38341420465634,305,2014-11-27
285,"Western Illinois","Sum","1-3",0.239435039077674,90.5355731482242,329,100.107579417814,168,66.6988246208478,215,"8-18","5.4-10.6",-2.39750236259907,298,2014-11-28
287,"Western Illinois","Sum","1-3",0.241393487782594,90.673168564212,330,100.166267164853,170,66.8250944797706,194,"8-18","5.3-10.7",-2.39547712673816,289,2014-11-29
285,"Western Illinois","Sum","1-3",0.241462569035837,90.709937510599,330,100.203598902392,168,66.7940106685542,194,"8-18","5.3-10.7",-2.40089574702992,282,2014-11-30
284,"Western Illinois","Sum","1-3",0.241672765821577,90.7119227719228,329,100.195795536996,168,66.7869443689573,191,"8-18","5.3-10.7",-2.40075316373522,276,2014-12-01
284,"Western Illinois","Sum","1-3",0.242350656584842,90.7084483245728,330,100.159767443313,166,66.9484449684195,177,"8-18","5.4-10.6",-2.4012039495566,265,2014-12-02
287,"Western Illinois","Sum","1-3",0.244661622476406,90.7659339029619,330,100.113969288569,161,66.9613532255059,175,"8.1-17.9","5.5-10.5",-2.3971592413447,254,2014-12-03
300,"Western Illinois","Sum","1-4",0.208694900046462,89.9216601452636,335,100.971206318054,179,66.6286842583979,186,"7.3-18.7","4.8-11.2",-2.93212970559414,285,2014-12-04
300,"Western Illinois","Sum","1-4",0.208701804177192,89.9142293575877,335,100.962495399529,178,66.6192175802222,186,"7.3-18.7","4.9-11.1",-2.9236264501845,283,2014-12-05
298,"Western Illinois","Sum","1-4",0.207996848191546,89.9518817499163,334,101.042320157527,181,66.6698156845083,176,"7.1-18.9","4.8-11.2",-2.9378246865404,269,2014-12-06
307,"Western Illinois","Sum","1-5",0.181013375458623,89.4344137674057,339,101.97892182536,197,67.0496509106378,159,"6.5-19.5","4.4-11.6",-3.50098474309949,297,2014-12-07
307,"Western Illinois","Sum","1-5",0.181093959405677,89.4513629811391,338,101.993428159555,198,67.0261589545557,159,"6.6-19.4","4.5-11.5",-3.51236953636244,293,2014-12-08
307,"Western Illinois","Sum","1-5",0.181437005033636,89.456938161255,337,101.979285150111,199,66.9981705486986,160,"6.5-19.5","4.4-11.6",-3.50205520840005,289,2014-12-09
309,"Western Illinois","Sum","1-5",0.180594836135583,89.4178687678072,337,101.985112963465,198,66.9583948752557,161,"6.5-19.5","4.4-11.6",-3.51593513412998,289,2014-12-10
310,"Western Illinois","Sum","2-5",0.179308764137949,89.3399162884408,338,101.973454197907,197,67.5114727694119,119,"7.1-18.9","4.4-11.6",-3.47294084766027,287,2014-12-11
310,"Western Illinois","Sum","2-5",0.179280138409586,89.3426450452848,338,101.978293904937,198,67.5084344376291,120,"7.1-18.9","4.4-11.6",-3.47178948397265,287,2014-12-12
300,"Western Illinois","Sum","3-5",0.196592690922294,89.5030177612957,336,101.157980166874,179,67.8967636779227,100,"8-18","4.7-11.3",-3.44747070197982,281,2014-12-13
302,"Western Illinois","Sum","3-5",0.197136104577577,89.4739658923522,334,101.094926825842,177,67.8637700257096,97,"8-18","4.7-11.3",-3.45373454022469,272,2014-12-14
303,"Western Illinois","Sum","3-5",0.196598547289519,89.4284852306891,333,101.073416228756,178,67.8367674565364,104,"8-18","4.7-11.3",-3.43755102823768,270,2014-12-15
306,"Western Illinois","Sum","3-5",0.192363256501845,89.3836414171442,333,101.260513630685,179,67.8701335295812,103,"7.9-18.1","4.6-11.4",-3.4171422030793,267,2014-12-16
305,"Western Illinois","Sum","3-5",0.193273679125091,89.4767143694005,332,101.314406164802,179,67.7836256207881,112,"7.9-18.1","4.6-11.4",-3.44526124070458,261,2014-12-17
306,"Western Illinois","Sum","3-5",0.193422541198337,89.377770149591,332,101.193972609087,179,67.8194754241778,105,"7.9-18.1","4.7-11.3",-3.44494538818881,260,2014-12-18
306,"Western Illinois","Sum","3-5",0.194674144783344,89.3506800911954,332,101.092925337634,176,67.731506015308,107,"7.9-18.1","4.7-11.3",-3.41997795004776,253,2014-12-19
304,"Western Illinois","Sum","3-5",0.195057781194037,89.3510568019713,332,101.071858688221,178,67.6970065535404,104,"7.9-18.1","4.6-11.4",-3.45375928781777,249,2014-12-20
304,"Western Illinois","Sum","3-5",0.196920782457802,89.3091727795428,331,100.92067330801,176,67.8172145818429,103,"8-18","4.7-11.3",-3.46961409649836,240,2014-12-21
303,"Western Illinois","Sum","3-5",0.194381863493252,89.2167598779957,332,100.957780432516,176,67.8679566019684,96,"8.1-17.9","4.8-11.2",-3.46158356517054,232,2014-12-22
314,"Western Illinois","Sum","3-6",0.175489287354033,88.3869827750561,333,101.115647922647,183,68.1623529843056,82,"7.6-18.4","4.4-11.6",-3.92257812091338,252,2014-12-23
314,"Western Illinois","Sum","3-6",0.175489287353564,88.386982775043,333,101.11564792266,183,68.1622173780839,82,"7.6-18.4","4.4-11.6",-3.92257812091032,252,2014-12-24
314,"Western Illinois","Sum","3-6",0.175489131176237,88.3855128985291,333,101.113975858703,182,68.156573556062,83,"7.6-18.4","4.4-11.6",-3.91771018198281,250,2014-12-25
314,"Western Illinois","Sum","3-6",0.17554879027894,88.386115229251,334,101.111040160876,182,68.1568129119934,83,"7.6-18.4","4.4-11.6",-3.91734620941889,250,2014-12-26
313,"Western Illinois","Sum","3-6",0.174869583746913,88.2985991069238,332,101.052215886572,177,68.2426627634715,79,"7.5-18.5","4.3-11.7",-3.97303941664987,249,2014-12-27
314,"Western Illinois","Sum","3-6",0.173916408565068,88.2764068857039,332,101.084993101786,180,68.2542449486842,77,"7.4-18.6","4.2-11.8",-3.9797838256208,241,2014-12-28
314,"Western Illinois","Sum","3-6",0.172546454902578,88.2669394989312,334,101.158256681512,182,68.3675042796673,75,"7.5-18.5","4.3-11.7",-4.01611279376947,237,2014-12-29
313,"Western Illinois","Sum","3-6",0.172684385089933,88.2951766950542,332,101.182120293625,184,68.3848316080774,75,"7.5-18.5","4.3-11.7",-4.03060851678944,230,2014-12-30
314,"Western Illinois","Sum","3-6",0.171665848977217,88.2751869015253,331,101.222092732914,185,68.3857355754009,70,"7.5-18.5","4.3-11.7",-4.04095491322723,228,2014-12-31
312,"Western Illinois","Sum","3-6",0.17436235480659,88.1942283291511,331,100.963663423263,179,68.4932532979436,69,"7.5-18.5","4.3-11.7",-4.05514305149857,226,2015-01-01
309,"Western Illinois","Sum","4-6",0.184662032963738,88.2068403508225,332,100.3657994969,166,68.8520794016093,52,"8.3-17.7","5.1-10.9",-3.97661067233141,219,2015-01-02
300,"Western Illinois","Sum","4-6",0.189379312471866,88.2707532085588,333,100.167903549657,164,68.775250843248,52,"8.5-17.5","5.3-10.7",-3.99226267681792,210,2015-01-03
303,"Western Illinois","Sum","5-6",0.185426242656154,88.7166213632529,332,100.901378556371,181,68.3234970962783,68,"9-17","5.8-10.2",-3.9741920851663,204,2015-01-04
303,"Western Illinois","Sum","5-6",0.18895061588352,88.8968017859267,332,100.902851610335,179,68.2370748622786,69,"9.1-16.9","5.8-10.2",-3.94420146069476,201,2015-01-05
301,"Western Illinois","Sum","5-6",0.194516258022841,89.0330053753176,332,100.742327186273,177,68.2840416846975,68,"9.2-16.8","5.9-10.1",-3.94571479941383,200,2015-01-06
313,"Western Illinois","Sum","5-7",0.162955180253215,87.3846088340118,336,100.747262539311,176,68.105024804078,71,"8.4-17.6","5.2-10.8",-4.57443865542598,223,2015-01-07
311,"Western Illinois","Sum","5-7",0.164609198725235,87.3990452721257,337,100.658142894022,171,68.0155233215735,68,"8.5-17.5","5.3-10.7",-4.61060994368597,213,2015-01-08
312,"Western Illinois","Sum","5-7",0.164077973387162,87.359208245365,337,100.646109640893,171,68.18584389769,68,"8.5-17.5","5.3-10.7",-4.60366073409022,212,2015-01-09
314,"Western Illinois","Sum","5-8",0.154931061960113,86.7477949877158,339,100.536550109724,170,67.9870089235432,65,"8-18","4.8-11.2",-5.54386443739363,246,2015-01-10
314,"Western Illinois","Sum","5-8",0.156196322561228,86.8302502149216,339,100.547862970561,170,68.0166867352853,63,"8-18","4.8-11.2",-5.52125634290684,244,2015-01-11
314,"Western Illinois","Sum","5-8",0.155279937994065,86.7500160676798,339,100.515852508964,170,68.2143655431983,60,"8-18","4.8-11.2",-5.53048328411931,243,2015-01-12
314,"Western Illinois","Sum","5-8",0.155530028371962,86.7998624563242,339,100.556946463402,169,68.0493730992543,61,"8-18","4.8-11.2",-5.5652597361995,241,2015-01-13
316,"Western Illinois","Sum","5-9",0.151429548439937,86.7312346752213,341,100.753585340607,174,67.9036710949725,63,"7.8-18.2","4.6-11.4",-6.3733198904026,267,2015-01-14
314,"Western Illinois","Sum","5-9",0.155838897720745,86.8869236935543,340,100.63724114333,168,67.901738535279,63,"7.8-18.2","4.7-11.3",-6.32399880850651,263,2015-01-15
318,"Western Illinois","Sum","5-10",0.137316412105321,85.8585960529221,343,100.736373471392,169,67.5507422644913,76,"7.5-18.5","4.3-11.7",-7.06584466647744,281,2015-01-16
321,"Western Illinois","Sum","5-10",0.138042408675687,86.1072661529561,343,100.974427221955,167,67.4786021812985,77,"7.5-18.5","4.3-11.7",-7.15755846642253,269,2015-01-17
321,"Western Illinois","Sum","5-10",0.137886047107564,86.0703045506875,343,100.942623465903,166,67.4767504969926,77,"7.4-18.6","4.3-11.7",-7.15105076318066,270,2015-01-18
319,"Western Illinois","Sum","5-10",0.138269937318522,86.146694943711,343,101.00387903286,168,67.4065683925614,74,"7.4-18.6","4.3-11.7",-7.08390667544705,270,2015-01-19
317,"Western Illinois","Sum","5-10",0.139318812724655,86.1944293533855,343,100.982762283636,166,67.4605499253734,77,"7.4-18.6","4.3-11.7",-7.06026645754393,269,2015-01-20
320,"Western Illinois","Sum","5-10",0.136322931295284,86.0370069675795,343,101.019568449044,167,67.4508861864138,78,"7.3-18.7","4.2-11.8",-7.04965446249306,265,2015-01-21
321,"Western Illinois","Sum","5-11",0.134802747581478,86.0227280633,344,101.116803436808,170,67.2869234709201,84,"7-19","3.9-12.1",-8.02844382520663,283,2015-01-22
323,"Western Illinois","Sum","5-11",0.134552826854562,86.0119010364657,344,101.122932212769,169,67.0719073139569,87,"7-19","3.9-12.1",-8.0281453289881,283,2015-01-23
321,"Western Illinois","Sum","5-11",0.135681147394511,86.2518399326801,343,101.319921500375,170,67.0915916794475,83,"7-19","3.9-12.1",-8.05715847023898,275,2015-01-24
322,"Western Illinois","Sum","5-11",0.135432687055068,86.2433776674346,343,101.328661604862,170,67.1299114436862,81,"7-19","3.9-12.1",-8.03100880769794,273,2015-01-25
323,"Western Illinois","Sum","5-11",0.134133150956494,86.3247870350122,341,101.522640702924,176,67.1658303620615,80,"7-19","3.9-12.1",-8.04480187701005,269,2015-01-26
323,"Western Illinois","Sum","5-11",0.134246536819886,86.3318272054444,341,101.522304465307,176,67.1245283039457,80,"7-19","3.8-12.2",-8.03041921175604,269,2015-01-27
323,"Western Illinois","Sum","5-11",0.135867423650041,86.4342439254152,341,101.520176090763,176,67.1695311784656,81,"7-19","3.9-12.1",-7.95335750793439,265,2015-01-28
