"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
12,"Wichita St.","MVC","0-0",0.911504732810834,112.70756228132,13,92.0195510970506,23,67.12190371,242,"27.8-6.2","15.5-2.5",0,349,2014-11-13
10,"Wichita St.","MVC","1-0",0.921293701602617,112.40149342486,12,90.7546160462794,14,67.1129724596683,245,"28.5-5.5","15.8-2.2",0.193736250756745,16,2014-11-14
10,"Wichita St.","MVC","1-0",0.921223241199161,112.422918273001,12,90.7795818953345,14,67.1111962937818,246,"28.5-5.5","15.9-2.1",0.193939052996614,19,2014-11-15
11,"Wichita St.","MVC","1-0",0.921092329506182,112.368649126427,12,90.7499837884942,14,67.1069476159405,249,"28.5-5.5","15.9-2.1",0.196637347531504,24,2014-11-16
11,"Wichita St.","MVC","1-0",0.920907943639307,112.33927126684,13,90.7462531067891,15,67.1025530566956,246,"28.5-5.5","15.9-2.1",0.198532840633469,33,2014-11-17
9,"Wichita St.","MVC","2-0",0.929803965369193,111.909954286048,13,89.3915869972852,10,67.1641615695309,239,"29.5-4.5","16.1-1.9",0.764545233084463,4,2014-11-18
9,"Wichita St.","MVC","2-0",0.929963233566279,111.885171730039,13,89.3528093470172,10,67.1186070057907,237,"29.5-4.5","16.1-1.9",0.75154661125371,5,2014-11-19
9,"Wichita St.","MVC","2-0",0.929932978462252,111.877166013694,12,89.3500242337142,10,67.0992934405131,232,"29.5-4.5","16.1-1.9",0.738378111385234,7,2014-11-20
9,"Wichita St.","MVC","2-0",0.929727111193156,111.890547602387,13,89.3852325281643,11,67.0704181283323,233,"29.5-4.5","16.1-1.9",0.745116531955883,9,2014-11-21
9,"Wichita St.","MVC","2-0",0.929857992193871,111.889500436833,12,89.3688136172489,11,67.0380794599796,226,"29.5-4.5","16.1-1.9",0.750169468366853,11,2014-11-22
9,"Wichita St.","MVC","2-0",0.929648362760009,111.854615578686,12,89.3658888182968,12,67.0298348099952,220,"29.4-4.6","16-2",0.752842406112108,13,2014-11-23
10,"Wichita St.","MVC","2-0",0.929706337470876,111.879509371737,15,89.3788853222285,11,66.9880425373042,221,"29.4-4.6","16.1-1.9",0.753008036261567,18,2014-11-24
10,"Wichita St.","MVC","2-0",0.929606524242444,111.86986285351,15,89.3830411848812,12,66.9613042869001,212,"29.3-4.7","16-2",0.751490286273278,21,2014-11-25
10,"Wichita St.","MVC","2-0",0.929856411975484,111.973301139438,13,89.4359356598181,10,66.9419875730597,215,"29.2-4.8","15.9-2.1",0.740153309550062,25,2014-11-26
11,"Wichita St.","MVC","2-0",0.929036124224646,111.89641034468,13,89.4717909489058,13,67.0466614743097,201,"29.2-4.8","15.9-2.1",0.746229682274526,25,2014-11-27
11,"Wichita St.","MVC","2-0",0.929129863925885,111.969955951691,15,89.5195220808106,14,67.0165738138652,191,"29.3-4.7","16-2",0.733357135450485,29,2014-11-28
9,"Wichita St.","MVC","3-0",0.937785271946889,113.763103885698,10,89.8562669088425,16,66.1503884874905,239,"29.8-4.2","16.2-1.8",0.95780126231171,24,2014-11-29
10,"Wichita St.","MVC","3-0",0.937706952310492,113.778065620332,10,89.8785690998113,17,66.1400343962941,233,"29.8-4.2","16.1-1.9",0.950649895894605,23,2014-11-30
10,"Wichita St.","MVC","3-0",0.937809710346938,113.785458880762,10,89.8706500575442,17,66.1216419706064,231,"29.8-4.2","16.1-1.9",0.950838302422645,23,2014-12-01
9,"Wichita St.","MVC","3-0",0.93708690933996,113.803460273902,10,89.9812638838627,15,66.1720616147613,223,"29.6-4.4","16.1-1.9",0.950242601347449,24,2014-12-02
8,"Wichita St.","MVC","3-1",0.937642139053352,114.31053962419,9,90.307903701503,15,65.2655627379071,266,"29.2-4.8","16.1-1.9",0.844552893377216,27,2014-12-03
8,"Wichita St.","MVC","3-1",0.93757100955128,114.28981223458,11,90.3010754983017,15,65.2593861444332,266,"29.2-4.8","16.1-1.9",0.852045792214351,28,2014-12-04
7,"Wichita St.","MVC","3-1",0.937558769026372,114.282776137076,9,90.2971581175423,14,65.2442223994875,264,"29.2-4.8","16.1-1.9",0.860367921818915,28,2014-12-05
7,"Wichita St.","MVC","4-1",0.945457315392925,115.217433930234,6,89.9057136744066,15,65.1090160098123,260,"29.5-4.5","16.3-1.7",0.885601334421714,27,2014-12-06
7,"Wichita St.","MVC","4-1",0.945254110388659,115.10390713385,6,89.8478549161683,15,65.1063036677089,259,"29.5-4.5","16.3-1.7",0.898136634715604,27,2014-12-07
7,"Wichita St.","MVC","4-1",0.945273952778718,115.106907015471,6,89.8472002877337,15,65.1133310446249,260,"29.5-4.5","16.3-1.7",0.889458576062349,26,2014-12-08
7,"Wichita St.","MVC","5-1",0.949374382591027,115.910945784736,6,89.8303218982958,15,65.1523261574149,256,"29.9-4.1","16.4-1.6",1.13998392378895,23,2014-12-09
6,"Wichita St.","MVC","5-1",0.949673274952573,116.030808885876,6,89.8744645158742,16,65.182824786027,253,"29.8-4.2","16.3-1.7",1.12665555554088,24,2014-12-10
6,"Wichita St.","MVC","5-1",0.949698234364069,116.044388472418,6,89.8809002554556,16,65.1838113500984,253,"29.8-4.2","16.3-1.7",1.11478983699191,25,2014-12-11
6,"Wichita St.","MVC","5-1",0.94966324678225,116.043894170335,6,89.8862398704981,16,65.1859991385669,254,"29.8-4.2","16.3-1.7",1.11583697960157,26,2014-12-12
7,"Wichita St.","MVC","6-1",0.944583021868208,115.967576018,7,90.6235691469693,23,65.0362910594744,248,"29.6-4.4","16.2-1.8",1.34333281859385,19,2014-12-13
7,"Wichita St.","MVC","6-1",0.944921832719719,115.974662828237,7,90.5779655350164,21,65.0207873533172,244,"29.7-4.3","16.2-1.8",1.33668297265293,20,2014-12-14
7,"Wichita St.","MVC","6-1",0.946146844638848,116.126981677169,6,90.5095143599482,21,64.9801486240747,245,"29.7-4.3","16.3-1.7",1.3538592890495,20,2014-12-15
10,"Wichita St.","MVC","7-1",0.941000140814698,115.052590009321,8,90.4295614495756,20,63.5435179659002,304,"29.6-4.4","16.1-1.9",1.67479620816907,14,2014-12-16
12,"Wichita St.","MVC","7-1",0.938736082505979,114.616958491481,9,90.4015642258508,22,63.6647076771631,303,"29.5-4.5","16.1-1.9",1.63914677941863,14,2014-12-17
12,"Wichita St.","MVC","7-1",0.938944793624224,114.59355697698,9,90.3545433571426,20,63.6122616157394,301,"29.5-4.5","16.1-1.9",1.63954739857677,14,2014-12-18
12,"Wichita St.","MVC","7-1",0.939004828223099,114.563613456833,9,90.3227043418287,21,63.5638330820103,298,"29.5-4.5","16.1-1.9",1.67120246594586,15,2014-12-19
11,"Wichita St.","MVC","7-1",0.937944958278458,114.721404601919,11,90.5915956987145,25,63.4715733548553,299,"29.4-4.6","16-2",1.6283664756451,19,2014-12-20
12,"Wichita St.","MVC","7-1",0.935821606007047,114.611731121174,12,90.7880535327127,27,63.5533818987923,291,"29.3-4.7","16-2",1.60824517226623,20,2014-12-21
10,"Wichita St.","MVC","8-1",0.942195068475525,116.077464059615,7,91.0628646950018,26,62.3281184452484,326,"29.6-4.4","16.1-1.9",1.70087581130046,21,2014-12-22
11,"Wichita St.","MVC","9-1",0.932764921618558,115.687175249077,9,92.0376538815356,39,61.9639929357225,329,"29.2-4.8","15.8-2.2",1.98933483345021,15,2014-12-23
11,"Wichita St.","MVC","9-1",0.932764921618231,115.687175249051,9,92.0376538815569,39,61.9638424659825,329,"29.2-4.8","15.8-2.2",1.98933483345402,15,2014-12-24
11,"Wichita St.","MVC","9-2",0.929893696401483,115.212292229694,11,92.0184252900965,39,61.8902983842641,329,"28.4-5.6","15.7-2.3",1.41452166049063,23,2014-12-25
11,"Wichita St.","MVC","9-2",0.929825127692159,115.219822233661,11,92.032852661346,39,61.890564828792,329,"28.4-5.6","15.7-2.3",1.41504471891134,23,2014-12-26
12,"Wichita St.","MVC","9-2",0.930350544657513,115.467155333674,11,92.1656303613511,38,62.0234628257324,327,"28.4-5.6","15.7-2.3",1.33475604248959,23,2014-12-27
12,"Wichita St.","MVC","9-2",0.930607554596117,115.697873588081,11,92.3178891337928,39,61.9880075929962,325,"28.5-5.5","15.8-2.2",1.32602932359957,22,2014-12-28
12,"Wichita St.","MVC","9-2",0.92919523147839,115.648283193523,10,92.4523451977658,42,61.9662376944765,325,"28.4-5.6","15.8-2.2",1.27356233285496,22,2014-12-29
