"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
181,"Wright St.","Horz","0-0",0.474681006597751,94.9503503449623,295,95.7909556977827,65,66.59508426,283,"13.3-15.7","7.7-8.3",0,254,2014-11-13
178,"Wright St.","Horz","1-0",0.485671052722032,94.9389115996692,293,95.4133967469741,63,67.1070194694873,246,"14.1-14.9","7.8-8.2",0.130598874201485,27,2014-11-14
178,"Wright St.","Horz","1-0",0.485364365655356,94.9577031614274,294,95.4424714376646,62,67.105131238444,248,"14.1-14.9","7.8-8.2",0.130746302195398,35,2014-11-15
177,"Wright St.","Horz","1-0",0.485019799829915,94.9106217971625,294,95.4065934536011,63,67.1006144743049,251,"14.1-14.9","7.9-8.1",0.132710142313488,43,2014-11-16
172,"Wright St.","Horz","1-0",0.48832528351541,94.983521776128,290,95.3700826992969,65,67.0918515387288,248,"14.1-14.9","7.9-8.1",0.134092263753798,55,2014-11-17
177,"Wright St.","Horz","1-0",0.48778974312624,94.9764215453195,291,95.3807290965611,66,67.0708832719663,248,"14.2-14.8","8-8",0.129818836270934,65,2014-11-18
186,"Wright St.","Horz","1-1",0.466937731939209,94.4882642506768,292,95.5827498959009,73,67.2690051329442,227,"13.5-15.5","7.8-8.2",-0.46817715689422,203,2014-11-19
184,"Wright St.","Horz","1-1",0.466576155286077,94.4768604326008,291,95.5832877039279,78,67.2396988912998,223,"13.5-15.5","7.7-8.3",-0.479752853079209,195,2014-11-20
185,"Wright St.","Horz","1-1",0.465683278228795,94.4887034025748,292,95.6250995261504,81,67.2095465289951,221,"13.5-15.5","7.7-8.3",-0.473839294727383,184,2014-11-21
164,"Wright St.","Horz","2-1",0.502658585065228,97.084424577755,244,96.994688811103,100,67.08215727011,221,"15.1-13.9","8.2-7.8",-0.243168572290723,132,2014-11-22
167,"Wright St.","Horz","2-1",0.501679054632751,97.0350970224404,243,96.9784430140087,104,67.0679008396707,216,"15-14","8.2-7.8",-0.239634301953824,125,2014-11-23
168,"Wright St.","Horz","2-1",0.500617001905264,97.0451829659915,241,97.0243583856285,106,67.0579949266396,214,"15-14","8.2-7.8",-0.239415092352805,122,2014-11-24
163,"Wright St.","Horz","2-1",0.501668898421486,97.1281783714288,239,97.0718129360479,107,67.0720779748737,201,"15-14","8.2-7.8",-0.241422915856366,117,2014-11-25
164,"Wright St.","Horz","2-1",0.504557053999453,97.2441705389598,233,97.0901503074846,106,67.0313068905066,208,"15-14","8.2-7.8",-0.25635650362023,111,2014-11-26
165,"Wright St.","Horz","2-2",0.495542014549829,97.018692339912,240,97.169250564403,107,66.9925396878411,208,"14.2-14.8","8.1-7.9",-1.18061893501482,206,2014-11-27
174,"Wright St.","Horz","2-3",0.463254260761829,96.3917107111085,253,97.633866032465,122,66.2059180907185,251,"12.7-16.3","7.5-8.5",-2.12687565781345,283,2014-11-28
166,"Wright St.","Horz","3-3",0.480674602137266,96.3296087351686,251,96.9796306161912,108,65.4762624858776,273,"13.5-15.5","7.6-8.4",-1.85819202395383,244,2014-11-29
168,"Wright St.","Horz","3-3",0.481675642137444,96.3925260251063,252,97.0091412064816,107,65.4652354041908,267,"13.5-15.5","7.5-8.5",-1.86870784270315,234,2014-11-30
167,"Wright St.","Horz","3-3",0.484310659570144,96.4416062363343,251,96.9695161380616,105,65.4701256137867,264,"13.5-15.5","7.5-8.5",-1.86843443440425,229,2014-12-01
162,"Wright St.","Horz","3-4",0.493342619052635,98.660655487122,207,98.8893934125128,132,65.5857767933762,259,"13.5-15.5","7.6-8.4",-2.46957556229623,274,2014-12-02
167,"Wright St.","Horz","3-4",0.4888284471249,98.8375448409442,207,99.222414898507,141,65.5216243765323,248,"13.4-15.6","7.5-8.5",-2.45945369456465,262,2014-12-03
167,"Wright St.","Horz","3-4",0.487533277716674,98.7965302553594,206,99.2259562102823,144,65.5294949664868,249,"13.5-15.5","7.6-8.4",-2.44727811265721,262,2014-12-04
167,"Wright St.","Horz","3-4",0.488006785913724,98.8116434443838,206,99.2247817849116,144,65.5100515797959,246,"13.4-15.6","7.6-8.4",-2.43370221134462,262,2014-12-05
165,"Wright St.","Horz","3-4",0.491754754129973,98.9148514462452,203,99.1989634614577,147,65.6014966914406,237,"13.5-15.5","7.6-8.4",-2.45633542479352,244,2014-12-06
165,"Wright St.","Horz","3-4",0.491194856710473,98.9063330131151,205,99.2097450922741,145,65.6011066348158,236,"13.5-15.5","7.6-8.4",-2.43705994059298,239,2014-12-07
165,"Wright St.","Horz","3-4",0.490835410564116,98.9135857540992,205,99.2294294484532,145,65.5959296371258,234,"13.5-15.5","7.6-8.4",-2.45043242361091,240,2014-12-08
164,"Wright St.","Horz","3-4",0.494814999800609,99.2352988472805,199,99.414435465744,151,65.6467357862082,227,"13.6-15.4","7.7-8.3",-2.43830915241373,239,2014-12-09
162,"Wright St.","Horz","3-4",0.493203913626383,99.210143721496,198,99.4449541084219,152,65.622288579285,230,"13.6-15.4","7.7-8.3",-2.45460381753255,238,2014-12-10
145,"Wright St.","Horz","4-4",0.525666370187992,101.173792587974,157,100.273802542784,163,65.258526922289,250,"14.9-14.1","8.1-7.9",-2.13746000923644,208,2014-12-11
146,"Wright St.","Horz","4-4",0.519700201635183,101.112911148223,158,100.422072773744,164,65.2854179629757,250,"14.8-14.2","8-8",-2.1359238427029,208,2014-12-12
148,"Wright St.","Horz","4-4",0.5260903070176,101.187150605102,155,100.272215154407,162,65.1593908254641,243,"14.9-14.1","8.1-7.9",-2.14529789944619,195,2014-12-13
139,"Wright St.","Horz","5-4",0.548621050241649,101.451345966033,151,99.744713173178,157,65.4008117921835,230,"15.3-13.7","8.3-7.7",-2.09952212667684,190,2014-12-14
138,"Wright St.","Horz","5-4",0.548531205518992,101.44422303081,153,99.7408566468486,157,65.4139178357216,229,"15.4-13.6","8.3-7.7",-2.07767995493372,188,2014-12-15
144,"Wright St.","Horz","5-4",0.537692388121712,101.409266950793,156,100.085934430407,158,65.6026658926045,221,"15.2-13.8","8.2-7.8",-2.05017124897718,183,2014-12-16
142,"Wright St.","Horz","5-4",0.541686821479791,101.648690288167,151,100.182062324337,154,65.5097254018931,224,"15.4-13.6","8.3-7.7",-2.08809444828827,183,2014-12-17
136,"Wright St.","Horz","6-4",0.56592828603558,101.771076991237,149,99.4505035736599,143,65.3160923817771,226,"16.2-12.8","8.7-7.3",-1.88513420834851,172,2014-12-18
137,"Wright St.","Horz","6-4",0.564308430757955,101.790255556832,147,99.5262719703795,147,65.2711374898573,226,"16.2-12.8","8.7-7.3",-1.84732917594461,172,2014-12-19
137,"Wright St.","Horz","6-4",0.567994897394998,101.92019613978,147,99.5233497113778,148,65.3370876418143,221,"16.3-12.7","8.7-7.3",-1.89825323410876,162,2014-12-20
138,"Wright St.","Horz","6-4",0.567140481294902,101.768554645849,147,99.4053614297863,145,65.3749336850887,215,"16.2-12.8","8.6-7.4",-1.9222419521879,160,2014-12-21
141,"Wright St.","Horz","6-4",0.558087578583905,101.610947591402,147,99.5694375470156,144,65.2477449369664,222,"16.3-12.7","8.7-7.3",-1.91004750572478,153,2014-12-22
152,"Wright St.","Horz","6-5",0.519000846095868,101.395411836254,151,100.727179387883,175,64.8989428866212,233,"15.2-13.8","8.4-7.6",-2.84254485696375,193,2014-12-23
152,"Wright St.","Horz","6-5",0.519000846095264,101.395411836243,151,100.727179387893,175,64.8987885614351,233,"15.2-13.8","8.4-7.6",-2.84254485695989,193,2014-12-24
152,"Wright St.","Horz","6-5",0.51819344019741,101.374558120048,151,100.734788358466,175,64.9057938505469,232,"15.2-13.8","8.4-7.6",-2.83641762345347,193,2014-12-25
152,"Wright St.","Horz","6-5",0.518109841723495,101.370404660687,151,100.733594038388,174,64.9060673858157,232,"15.2-13.8","8.4-7.6",-2.83595927482904,193,2014-12-26
166,"Wright St.","Horz","6-6",0.467285645440009,101.05850316964,156,102.216669753085,210,65.2780348042731,222,"14.5-14.5","7.8-8.2",-3.11132254705669,205,2014-12-27
168,"Wright St.","Horz","6-6",0.46635277009375,100.830945587959,158,102.019748501902,206,65.4170835217927,218,"14.6-14.4","7.9-8.1",-3.12040886438769,204,2014-12-28
170,"Wright St.","Horz","6-6",0.466177734968835,100.780561989641,161,101.975007498303,204,65.3913327183271,220,"14.5-14.5","7.7-8.3",-3.17053500292068,201,2014-12-29
169,"Wright St.","Horz","6-6",0.459304126373468,100.48743888923,166,101.923160622595,207,65.4402848239764,212,"14.4-14.6","7.7-8.3",-3.19055429554518,198,2014-12-30
168,"Wright St.","Horz","6-6",0.456215137636109,100.532163598556,161,102.078930096894,208,65.4260350168343,210,"14.5-14.5","7.7-8.3",-3.20472678779237,193,2014-12-31
169,"Wright St.","Horz","6-6",0.454110172107688,100.436852024553,166,102.057452739444,206,65.4531330641799,209,"14.4-14.6","7.7-8.3",-3.22418576640969,191,2015-01-01
164,"Wright St.","Horz","7-6",0.472950454517914,101.303033698272,154,102.261585167083,208,65.0688071437811,220,"15-14","8.2-7.8",-3.13792093028629,185,2015-01-02
159,"Wright St.","Horz","7-6",0.486620508819628,101.319928163445,156,101.79265634254,200,65.2318740951937,210,"15.2-13.8","8.4-7.6",-3.15904719473191,180,2015-01-03
159,"Wright St.","Horz","7-6",0.488851894273123,101.192711488819,160,101.58592358233,196,65.3801489889891,205,"15.2-13.8","8.4-7.6",-3.1881062392519,176,2015-01-04
168,"Wright St.","Horz","7-7",0.471944949627205,101.422533546248,159,102.418138363339,208,65.4536636999904,200,"14.8-14.2","8.1-7.9",-3.63494615541617,188,2015-01-05
167,"Wright St.","Horz","7-7",0.473400952684835,101.426542697956,159,102.370174373064,207,65.5221171977409,194,"14.9-14.1","8.2-7.8",-3.63729945272997,185,2015-01-06
167,"Wright St.","Horz","7-7",0.466745854914614,101.088180431418,163,102.265970000371,205,65.5210810926044,196,"14.8-14.2","8.1-7.9",-3.70261185187034,185,2015-01-07
165,"Wright St.","Horz","8-7",0.466466359180379,100.794454547129,170,101.978779777439,203,65.0348793470683,208,"15.3-13.7","8.6-7.4",-3.63001342921163,175,2015-01-08
165,"Wright St.","Horz","8-7",0.467988745644848,100.776760037697,170,101.906667871667,202,65.2055950621007,208,"15.3-13.7","8.6-7.4",-3.62075707837486,175,2015-01-09
171,"Wright St.","Horz","8-7",0.462411633592315,100.956297094494,166,102.287415448159,204,64.8487177380324,215,"15.3-13.7","8.6-7.4",-3.6223773638861,171,2015-01-10
171,"Wright St.","Horz","8-7",0.462567875877704,100.968405958637,165,102.294093164306,203,64.8493537963614,213,"15.3-13.7","8.6-7.4",-3.59340573959626,171,2015-01-11
171,"Wright St.","Horz","8-7",0.462233907356166,100.945750461558,166,102.28308858538,202,65.0134165971273,213,"15.3-13.7","8.6-7.4",-3.60528959149875,170,2015-01-12
172,"Wright St.","Horz","8-7",0.463289281654271,101.059674849567,164,102.360730415681,203,64.8587259041618,211,"15.3-13.7","8.6-7.4",-3.65001184125286,168,2015-01-13
177,"Wright St.","Horz","8-8",0.446307169156405,100.227241796561,183,102.124032724954,197,64.5124976031449,229,"14.6-14.4","7.9-8.1",-4.49345985696999,191,2015-01-14
186,"Wright St.","Horz","8-9",0.431791799583805,99.5363623396211,192,101.941228083437,191,64.7019340637524,220,"14.1-14.9","7.4-8.6",-5.18931774007691,213,2015-01-15
185,"Wright St.","Horz","8-9",0.431402726888836,99.5194263804715,193,101.937940307685,192,64.6632915497346,220,"14.1-14.9","7.4-8.6",-5.19103806414243,213,2015-01-16
192,"Wright St.","Horz","8-9",0.421628365190938,99.5335778270852,194,102.307332260438,194,64.658012712837,221,"14-15","7.4-8.6",-5.30263293734624,202,2015-01-17
191,"Wright St.","Horz","8-9",0.421479191266936,99.5565253264293,196,102.336362991725,196,64.6620891841788,220,"14-15","7.3-8.7",-5.29474578002699,202,2015-01-18
190,"Wright St.","Horz","8-9",0.423626982939826,99.4903375759752,196,102.190078515426,191,64.6007198152726,219,"14-15","7.3-8.7",-5.21311190875221,199,2015-01-19
