"rank","team","conf","record","barthag","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_tempo","adj_tempo_rk","proj_record","proj_conf_record","wab","wab_rk","date"
54,"Xavier","BE","0-0",0.770618381754755,106.482751536625,62,95.833140677289,66,67.38635319,221,"20.2-16.8","9.2-8.8",0,16,2014-11-13
47,"Xavier","BE","1-0",0.805441868996054,107.541944158567,48,95.0445086548637,56,68.033002656068,179,"22-15","10-8",0.0930673428090516,42,2014-11-14
47,"Xavier","BE","1-0",0.805308544278081,107.56222758384,48,95.0694663397009,55,68.0310610824478,183,"21.9-15.1","10-8",0.0931769436393214,55,2014-11-15
46,"Xavier","BE","1-0",0.804607180511323,107.580008356467,45,95.1221257653539,55,67.9941767483276,183,"21.8-15.2","10-8",0.0946379200593915,66,2014-11-16
45,"Xavier","BE","1-0",0.804184635680669,107.552654137811,44,95.1201492237037,59,67.9898981144112,184,"21.8-15.2","9.9-8.1",0.0956672720401994,79,2014-11-17
38,"Xavier","BE","2-0",0.824298636650065,109.753084178058,27,95.9493414793144,77,67.9209154601341,184,"23-14","10.4-7.6",0.241151337343673,38,2014-11-18
40,"Xavier","BE","2-0",0.823835894924243,109.713990554254,26,95.9417890603738,78,67.8708672184703,183,"23-14","10.4-7.6",0.23438314605867,43,2014-11-19
40,"Xavier","BE","2-0",0.831248015183716,109.976348488762,26,95.737810946603,80,67.9321393814212,174,"23.3-13.7","10.6-7.4",0.227659027627885,52,2014-11-20
30,"Xavier","BE","3-0",0.848026117754561,110.846804035743,17,95.4548358326796,77,68.2852244127875,134,"24.3-12.7","11-7",0.538068055376995,26,2014-11-21
30,"Xavier","BE","3-0",0.848049461714358,110.925517256635,17,95.521114464824,79,68.2325011057589,137,"24.1-12.9","10.9-7.1",0.543367960558925,23,2014-11-22
29,"Xavier","BE","3-0",0.849287451730358,110.969694224945,19,95.4790912410961,83,68.1930988454323,136,"24.2-12.8","10.9-7.1",0.546182519779898,23,2014-11-23
20,"Xavier","BE","4-0",0.878983219964563,112.492043303583,13,94.6761309759524,61,68.3569382754802,130,"25.9-11.1","11.7-6.3",0.842582938303955,11,2014-11-24
24,"Xavier","BE","4-0",0.878109517541191,112.438074456062,14,94.6981123830171,65,68.335672930746,126,"25.9-11.1","11.6-6.4",0.840190109853784,17,2014-11-25
25,"Xavier","BE","4-0",0.877033356527904,112.413607844078,12,94.7600057445241,68,68.3122134106623,127,"25.8-11.2","11.5-6.5",0.822417948164386,21,2014-11-26
19,"Xavier","BE","5-0",0.885639170027275,114.555717436898,5,95.8769484163546,83,67.7558502824884,155,"26.4-10.6","11.8-6.2",1.1525470818974,14,2014-11-27
22,"Xavier","BE","5-1",0.882679524850907,114.890741554719,6,96.3992809258092,87,68.2857932631313,125,"25.4-11.6","11.6-6.4",0.444265685334034,45,2014-11-28
23,"Xavier","BE","5-1",0.87963539372631,114.929636132479,6,96.6759947510108,99,68.2595982793668,117,"25.2-11.8","11.5-6.5",0.449223044336027,46,2014-11-29
25,"Xavier","BE","5-2",0.876694127038131,114.486875063749,5,96.5340532944274,98,68.70544004307,89,"24.1-12.9","11.3-6.7",-0.329949015905014,113,2014-11-30
25,"Xavier","BE","5-2",0.876925183722346,114.490463094115,5,96.5191233852432,97,68.6889687357298,86,"24.1-12.9","11.3-6.7",-0.329565738611387,113,2014-12-01
25,"Xavier","BE","5-2",0.877760303770749,114.650425291182,6,96.5887742909426,96,68.6918723458351,81,"24.1-12.9","11.3-6.7",-0.33095839693639,111,2014-12-02
25,"Xavier","BE","5-2",0.876015020122995,114.777142474472,6,96.8315607566349,102,68.6245364426062,81,"23.9-13.1","11.1-6.9",-0.319588915359956,105,2014-12-03
25,"Xavier","BE","5-2",0.875189233652573,114.826326100218,6,96.9369392733209,101,68.6444536601303,78,"23.8-13.2","11.1-6.9",-0.305737297878871,103,2014-12-04
25,"Xavier","BE","5-2",0.872982294996074,114.748045248421,6,97.0399158540476,103,68.9173813327722,68,"23.7-13.3","11-7",-0.290275329329339,102,2014-12-05
22,"Xavier","BE","6-2",0.885739479026389,116.822788569782,3,97.7659412521882,111,69.4222496901064,52,"24.4-12.6","11.3-6.7",-0.0192462323206265,75,2014-12-06
22,"Xavier","BE","6-2",0.886490476350813,116.779058900566,3,97.6661228150655,111,69.3338625662248,55,"24.2-12.8","11.1-6.9",0.00627794376215041,74,2014-12-07
22,"Xavier","BE","6-2",0.887189704074722,116.854269821176,3,97.6698303661961,112,69.2929746937581,55,"24.2-12.8","11.2-6.8",-0.0114941286072781,73,2014-12-08
22,"Xavier","BE","7-2",0.888853017705283,116.083322266658,5,96.8844278627258,99,68.9920884106826,64,"24.4-12.6","11.3-6.7",0.043196353659224,70,2014-12-09
22,"Xavier","BE","7-2",0.890192452258563,116.099362629065,5,96.7830382722911,98,69.008098906688,63,"24.4-12.6","11.3-6.7",0.020998595738294,68,2014-12-10
22,"Xavier","BE","7-2",0.892389920623702,116.179162007547,5,96.6587411781389,97,68.9702455203844,64,"24.5-12.5","11.4-6.6",0.00138085780020081,69,2014-12-11
21,"Xavier","BE","7-2",0.892435105497155,116.192884470444,5,96.6662020378657,97,68.9757266370444,64,"24.5-12.5","11.4-6.6",0.00310996624347248,69,2014-12-12
19,"Xavier","BE","8-2",0.900711292743957,116.556371922114,5,96.2185922827936,90,68.956889566835,60,"25.1-11.9","11.6-6.4",0.230792843078186,50,2014-12-13
18,"Xavier","BE","8-2",0.900970080642751,116.688926531313,5,96.303753578963,93,68.9475389058923,59,"25-12","11.5-6.5",0.220449454819332,49,2014-12-14
18,"Xavier","BE","8-2",0.900879312812365,116.74563997043,5,96.3590796425243,96,68.9817944240801,60,"25.1-11.9","11.5-6.5",0.247342935351068,49,2014-12-15
18,"Xavier","BE","8-2",0.90453107208062,116.988064781025,5,96.21065480463,90,69.139185182615,57,"25.2-11.8","11.6-6.4",0.280933293846057,47,2014-12-16
18,"Xavier","BE","8-2",0.904279936606633,116.888730004721,5,96.1532463459848,88,69.1344662705472,57,"25.2-11.8","11.6-6.4",0.234504058359084,49,2014-12-17
18,"Xavier","BE","8-2",0.903369731624993,116.843077488022,5,96.2032490072099,91,69.0942989358533,58,"25.2-11.8","11.6-6.4",0.234446970065383,50,2014-12-18
18,"Xavier","BE","8-2",0.900433943161476,116.717901093921,5,96.3778916104483,90,68.9891657596184,59,"25-12","11.5-6.5",0.276124038474587,50,2014-12-19
20,"Xavier","BE","8-3",0.899580887773663,117.044721004943,5,96.7274541819799,93,68.6274746076125,70,"24.2-12.8","11.4-6.6",-0.401865130121256,81,2014-12-20
21,"Xavier","BE","8-3",0.896642872366364,116.822632624074,5,96.8138530317613,98,68.5834538861112,67,"24.2-12.8","11.4-6.6",-0.432260096323972,80,2014-12-21
23,"Xavier","BE","8-3",0.896074723135739,116.593342885099,5,96.6752334238911,94,68.508757880985,70,"23.8-13.2","11.2-6.8",-0.416631859133234,78,2014-12-22
23,"Xavier","BE","8-3",0.895279229835539,116.615388224498,5,96.7651215853487,97,68.5196446921368,72,"23.8-13.2","11.2-6.8",-0.426665433598936,78,2014-12-23
23,"Xavier","BE","8-3",0.895279229834756,116.615388224453,5,96.7651215853817,97,68.5194799861321,72,"23.8-13.2","11.2-6.8",-0.426665433594358,78,2014-12-24
23,"Xavier","BE","8-3",0.895020347376621,116.597040507083,5,96.773105274184,97,68.5124209369642,72,"23.8-13.2","11.2-6.8",-0.419389390591359,78,2014-12-25
23,"Xavier","BE","8-3",0.894875091234246,116.586496446056,5,96.7773549657557,97,68.5127117057055,72,"23.8-13.2","11.2-6.8",-0.418845101558845,78,2014-12-26
23,"Xavier","BE","8-3",0.895513585138087,116.728561215409,6,96.8379581640856,99,68.4877119340106,71,"23.8-13.2","11.1-6.9",-0.502185532490631,79,2014-12-27
19,"Xavier","BE","9-3",0.908172868107434,117.036315247907,6,95.8918564888866,83,68.4391121143109,72,"24.5-12.5","11.5-6.5",-0.439212377514843,74,2014-12-28
19,"Xavier","BE","9-3",0.907226065786625,117.320596907715,6,96.2192859222591,91,68.4886890206164,71,"24.4-12.6","11.5-6.5",-0.495345522482494,76,2014-12-29
20,"Xavier","BE","9-3",0.907226801032727,117.404450641455,6,96.2879845610693,92,68.6667614663684,65,"24.4-12.6","11.4-6.6",-0.517971714681394,76,2014-12-30
14,"Xavier","BE","10-3",0.923683740654982,117.926348399268,6,94.9390960210421,75,68.1439009386684,75,"25.5-11.5","12.3-5.7",-0.0766586349803117,56,2014-12-31
14,"Xavier","BE","10-3",0.922968531650415,117.833784664319,6,94.9479495880987,75,68.2064637164043,75,"25.5-11.5","12.2-5.8",-0.101166495060778,57,2015-01-01
14,"Xavier","BE","10-3",0.923208232743489,117.598929561876,6,94.7308924873209,73,68.2370026893935,73,"25.5-11.5","12.2-5.8",-0.0801848318468664,58,2015-01-02
16,"Xavier","BE","10-4",0.914669573962786,117.028484695996,10,95.2165460653107,79,67.5666323348972,85,"23.9-13.1","10.9-7.1",-0.760849569661026,84,2015-01-03
19,"Xavier","BE","10-4",0.914682561281096,116.950101656403,10,95.1513952722647,76,67.6763548301726,86,"23.9-13.1","10.9-7.1",-0.800178379944773,84,2015-01-04
19,"Xavier","BE","10-4",0.914009849487369,116.970732788043,9,95.2392907798367,78,67.5821570543187,90,"23.8-13.2","10.9-7.1",-0.747006680214207,83,2015-01-05
19,"Xavier","BE","10-4",0.913916456743483,117.136679883767,8,95.3842578039131,78,67.6308710680766,88,"23.7-13.3","10.8-7.2",-0.750052559113803,81,2015-01-06
18,"Xavier","BE","11-4",0.919040328402725,117.708962812885,7,95.2938071421167,79,66.9507460898283,119,"24.3-12.7","11.3-6.7",-0.617072941311418,68,2015-01-07
18,"Xavier","BE","11-4",0.918930137895374,117.730387384659,6,95.3234190594719,79,66.793471311567,114,"24.3-12.7","11.3-6.7",-0.673985957521655,68,2015-01-08
18,"Xavier","BE","11-4",0.918678783851325,117.722483857678,6,95.3449495243083,79,66.9611994740797,114,"24.3-12.7","11.3-6.7",-0.663056658482403,68,2015-01-09
20,"Xavier","BE","11-5",0.912391467950705,119.004410986431,5,97.0673281447138,101,67.0091900879139,97,"23.5-13.5","10.7-7.3",-0.888399654650832,73,2015-01-10
21,"Xavier","BE","11-5",0.913341624092397,119.029663516517,5,96.9871284491527,100,67.0224274109997,96,"23.5-13.5","10.7-7.3",-0.8519552053153,75,2015-01-11
21,"Xavier","BE","11-5",0.913349825741093,119.041247708775,5,96.9956933776825,101,67.184768227165,96,"23.5-13.5","10.7-7.3",-0.86712847226341,75,2015-01-12
22,"Xavier","BE","11-5",0.912616039361945,118.65263396228,7,96.7567288353653,98,67.0772018564916,95,"23.5-13.5","10.7-7.3",-0.924072141219377,74,2015-01-13
25,"Xavier","BE","11-6",0.903543429492811,118.950793561581,7,97.9216877387942,110,67.0789621253293,99,"22.8-14.2","10.2-7.8",-0.997637997664491,75,2015-01-14
26,"Xavier","BE","11-6",0.901443169149739,118.719816102384,8,97.9345918346585,108,67.2486431233087,95,"22.7-14.3","10.1-7.9",-0.921125321419277,73,2015-01-15
26,"Xavier","BE","11-6",0.901232121375072,118.69661204948,8,97.9356590821802,109,67.206156446587,95,"22.7-14.3","10.1-7.9",-0.923115843838395,73,2015-01-16
28,"Xavier","BE","12-6",0.893552305598042,117.662701298313,9,97.7895402243702,112,67.0383015625955,102,"22.5-14.5","10.1-7.9",-0.858400613866177,69,2015-01-17
28,"Xavier","BE","12-6",0.894012806994755,117.666807597341,8,97.751712657098,110,67.0470357270407,101,"22.5-14.5","10.1-7.9",-0.848947677759074,67,2015-01-18
28,"Xavier","BE","12-6",0.893449033114378,117.608916230261,8,97.7540642741517,111,66.9723601920204,100,"22.5-14.5","10.1-7.9",-0.750375050851279,67,2015-01-19
29,"Xavier","BE","12-6",0.893722917938896,117.608777005089,8,97.7294683478386,112,67.0453855926647,99,"22.5-14.5","10.1-7.9",-0.715544415820817,67,2015-01-20
30,"Xavier","BE","12-6",0.892131922301448,117.5282482963,9,97.8039763390753,111,67.0376734324768,98,"22.5-14.5","10.1-7.9",-0.699794525981686,67,2015-01-21
32,"Xavier","BE","12-7",0.888545337460003,116.482330123487,10,97.2437440052644,103,66.8623700367859,107,"21.9-15.1","9.6-8.4",-1.02221885906683,70,2015-01-22
32,"Xavier","BE","12-7",0.888091021188679,116.437879849306,10,97.2453514424487,103,66.6662244937839,108,"21.9-15.1","9.6-8.4",-1.02175996832026,70,2015-01-23
28,"Xavier","BE","13-7",0.881003809288744,116.809052775877,11,98.146001920654,117,66.6478432228651,108,"21.7-15.3","9.6-8.4",-0.944860841834516,63,2015-01-24
27,"Xavier","BE","13-7",0.881310011872519,116.803688089903,11,98.1165437433761,115,66.6898470614107,108,"21.7-15.3","9.5-8.5",-0.903277953756343,62,2015-01-25
27,"Xavier","BE","13-7",0.880630934236761,116.785426481105,11,98.156462787584,116,66.6992865992299,109,"21.7-15.3","9.5-8.5",-0.925259449799669,63,2015-01-26
25,"Xavier","BE","14-7",0.892971095695687,116.338225287783,11,96.7400332955067,95,66.6572909342533,108,"22.9-14.1","10.5-7.5",-0.15813087895541,49,2015-01-27
25,"Xavier","BE","14-7",0.892922684431451,116.348849434304,11,96.7531283936395,95,66.6775314857885,111,"22.9-14.1","10.5-7.5",-0.0279143127580339,47,2015-01-28
25,"Xavier","BE","14-7",0.892316561779763,116.110017533634,12,96.6076296121516,96,66.673591414526,113,"22.9-14.1","10.5-7.5",-0.0482032276254591,49,2015-01-29
25,"Xavier","BE","14-7",0.891796388473732,116.048311309454,12,96.601655330942,97,66.6258783735945,111,"22.8-14.2","10.5-7.5",-0.0408205656820665,49,2015-01-30
25,"Xavier","BE","14-8",0.891206848247783,116.450942741244,11,96.9882058580855,96,67.1195515641272,85,"22.4-14.6","10.1-7.9",-0.491124478043899,56,2015-01-31
25,"Xavier","BE","14-8",0.891002936686344,116.441086440227,11,96.9977195198254,95,67.0772820634886,86,"22.4-14.6","10.1-7.9",-0.469944730456867,55,2015-02-01
25,"Xavier","BE","14-8",0.890849441901132,116.425216440055,11,96.9978213853851,93,67.1232927165059,85,"22.4-14.6","10.1-7.9",-0.472809911152739,55,2015-02-02
25,"Xavier","BE","14-8",0.891536435657833,116.435464568854,11,96.946615511717,93,67.1319604232973,81,"22.4-14.6","10.1-7.9",-0.405446472109323,56,2015-02-03
29,"Xavier","BE","14-9",0.878553032683173,115.812284159779,14,97.5047600513777,103,67.0250005681899,88,"21-16","9-9",-1.16536292231435,74,2015-02-04
29,"Xavier","BE","14-9",0.877958760376934,115.735405872521,14,97.4871390627287,103,67.0318134997627,88,"21-16","9-9",-1.16109922188285,72,2015-02-05
29,"Xavier","BE","14-9",0.877857154285376,115.73961395553,14,97.4987201411401,103,67.0303909185049,88,"21-16","9-9",-1.16770617116572,73,2015-02-06
28,"Xavier","BE","15-9",0.878882962751015,116.084720007522,13,97.7078227427495,102,66.8733402918442,93,"21.3-15.7","9.2-8.8",-0.805772503304449,69,2015-02-07
28,"Xavier","BE","15-9",0.878985301037555,116.102709711408,14,97.7147923370645,105,66.8747125659487,94,"21.3-15.7","9.2-8.8",-0.784620882772801,68,2015-02-08
28,"Xavier","BE","15-9",0.878681088011935,116.117562838285,15,97.7515737061946,105,66.9780256683087,94,"21.3-15.7","9.2-8.8",-0.777155139163593,68,2015-02-09
26,"Xavier","BE","16-9",0.887212384407135,115.467596191313,17,96.5089106336222,85,66.7269333839809,98,"22-15","9.8-8.2",-0.198477681222501,55,2015-02-10
26,"Xavier","BE","16-9",0.886896167158298,115.394831368635,17,96.4745672066932,83,66.7509893520136,97,"22-15","9.8-8.2",-0.19371186973269,56,2015-02-11
26,"Xavier","BE","16-9",0.885646664844597,115.394439600129,17,96.578292094946,86,66.7623969578839,96,"22-15","9.8-8.2",-0.20565616971934,55,2015-02-12
26,"Xavier","BE","16-9",0.885711233119545,115.40149022377,18,96.5788373901511,86,66.8093202364116,96,"22-15","9.8-8.2",-0.210171923525359,56,2015-02-13
28,"Xavier","BE","16-10",0.877968447102317,115.074310784577,17,96.9295183249406,88,66.8253150591194,92,"21.1-15.9","9-9",-0.910855442141528,67,2015-02-14
28,"Xavier","BE","16-10",0.878212754817829,115.094576160683,16,96.9273506121851,88,66.6569325156674,93,"21.1-15.9","9-9",-0.834486535772683,66,2015-02-15
28,"Xavier","BE","16-10",0.877813186262161,115.032998072248,17,96.9069237723078,88,66.862746267052,89,"21.1-15.9","9-9",-0.82103349536024,66,2015-02-16
28,"Xavier","BE","16-10",0.878354554992698,115.091116152479,16,96.9132577385085,89,66.8420195351924,89,"21.1-15.9","9-9",-0.786055938442986,67,2015-02-17
29,"Xavier","BE","17-10",0.882837450173644,115.51106580412,16,96.906905882055,88,66.3387689518853,103,"21.7-15.3","9.1-8.9",-0.132706297153227,54,2015-02-18
