"","team","conf","barthag","barthag_rk","adj_o","adj_o_rk","adj_d","adj_d_rk","adj_t","adj_t_rk","wab","nc_elite_sos","nc_fut_sos","nc_cur_sos","ov_elite_sos","ov_fut_sos","ov_cur_sos","seed","year"
"1","Tennessee","SEC",0.959282,1,111.252,56,84.5261,1,66.6024,211,3.4385810843255,22,0.5641,0.5641,26,0.6562,0.6169,NA,2023
"2","Houston","Amer",0.958648,2,121.359,2,92.3341,11,62.7775,347,5.6276184170728,21,0.5273,0.5273,22,0.6012,0.5975,NA,2023
"3","UCLA","P12",0.947844,3,114.606,28,89.0614,3,66.1176,242,4.0328761189655,19,0.5383,0.5383,25,0.6638,0.6573,NA,2023
"4","Alabama","SEC",0.94439,4,116.141,18,90.7879,6,73.5347,1,5.9034863396687,29,0.6658,0.6658,30,0.7051,0.6837,NA,2023
"5","Purdue","B10",0.941317,5,120.742,7,94.8541,21,63.4842,333,6.6821916977173,20,0.5396,0.5396,27,0.6841,0.6455,NA,2023
"6","Saint Mary's","WCC",0.940076,6,113.311,38,89.1889,4,62.1419,355,2.9256400999145,18,0.5811,0.5811,20,0.6097,0.6034,NA,2023
"7","Arizona","P12",0.921304,7,119.15,9,96.2027,34,72.3448,9,5.5740340770248,25,0.611,0.611,27,0.67,0.6507,NA,2023
"8","Connecticut","BE",0.920885,8,118.28,12,95.5479,26,67.3935,164,2.6931643924489,22,0.5191,0.5191,28,0.6592,0.6282,NA,2023
"9","San Diego St.","MWC",0.912327,9,115.981,20,94.6082,18,67.1837,179,2.8186366310259,24,0.6171,0.6171,25,0.67,0.6606,NA,2023
"10","Marquette","BE",0.90886,10,121.167,3,99.2048,69,69.2093,79,3.3300167805289,18,0.5028,0.5028,27,0.6543,0.6359,NA,2023
"11","Baylor","B12",0.907112,11,121.033,5,99.2755,72,67.6227,150,3.7881477991319,24,0.5522,0.5522,36,0.736,0.6867,NA,2023
"12","Iowa St.","B12",0.90567,12,111.394,55,91.5042,7,64.2039,318,3.0223512336625,20,0.4968,0.4968,35,0.7201,0.6635,NA,2023
"13","Creighton","BE",0.90396,13,114.378,30,94.1181,16,68.066,129,0.50491979754876,24,0.6048,0.6048,29,0.6907,0.6674,NA,2023
"14","Texas","B12",0.903956,14,117.531,14,96.7127,37,68.5955,109,5.1442318583867,19,0.5114,0.5114,34,0.7191,0.6667,NA,2023
"15","Kansas","B12",0.900357,15,114.813,26,94.8121,20,68.7025,104,5.5598709446343,26,0.6392,0.6392,37,0.7729,0.7397,NA,2023
"16","Rutgers","B10",0.899787,16,106.72,137,88.1772,2,66.4386,220,0.58494192507158,12,0.4193,0.4193,26,0.645,0.6117,NA,2023
"17","TCU","B12",0.897469,17,113.507,37,93.9934,14,70.0679,42,2.3607750687011,13,0.4121,0.4121,32,0.6779,0.61,NA,2023
"18","West Virginia","B12",0.893216,18,117.045,15,97.3061,40,68.3577,120,0.59549820915465,21,0.5674,0.5674,35,0.7433,0.6968,NA,2023
"19","Xavier","BE",0.887289,19,121.402,1,101.462,105,71.2246,24,4.2508943876044,23,0.5944,0.5944,29,0.6882,0.6819,NA,2023
"20","Virginia","ACC",0.884729,20,114.687,27,96.0614,32,61.8887,358,3.2155419241193,23,0.5426,0.5426,23,0.6088,0.6187,NA,2023
"21","Gonzaga","WCC",0.883955,21,121.095,4,101.496,106,70.0204,45,3.671031531402,26,0.6007,0.6286,25,0.6222,0.6355,NA,2023
"22","Oklahoma St.","B12",0.883883,22,107.518,119,90.122,5,67.6632,149,0.16366334750747,17,0.5416,0.5416,34,0.7331,0.6866,NA,2023
"23","Kansas St.","B12",0.883507,23,113.665,35,95.3043,23,69.3115,71,3.5128569795957,11,0.488,0.488,31,0.7107,0.6593,NA,2023
