date,type,neutral,home,home_conf,away,away_conf,game_id,year
2022-11-07,nond1,FALSE,UC Santa Barbara,BW,San Francisco St.,NA,San Francisco St.UC Santa Barbara11-7,2023
2022-11-07,nc,FALSE,TCU,B12,Arkansas Pine Bluff,SWAC,Arkansas Pine BluffTCU11-7,2023
2022-11-07,nc,FALSE,Toledo,MAC,Valparaiso,MVC,ValparaisoToledo11-7,2023
2022-11-07,nc,FALSE,Indiana,B10,Morehead St.,OVC,Morehead St.Indiana11-7,2023
2022-11-07,nc,FALSE,North Carolina St.,ACC,Austin Peay,ASun,Austin PeayNorth Carolina St.11-7,2023
2022-11-07,nc,FALSE,Vermont,AE,Brown,Ivy,BrownVermont11-7,2023
2022-11-07,nond1,FALSE,UC Irvine,BW,Chapman,NA,ChapmanUC Irvine11-7,2023
2022-11-07,nond1,FALSE,Furman,SC,North Greenville,NA,North GreenvilleFurman11-7,2023
2022-11-07,nc,FALSE,UAB,CUSA,Alabama St.,SWAC,Alabama St.UAB11-7,2023
2022-11-07,nc,FALSE,Tulane,Amer,UMBC,AE,UMBCTulane11-7,2023
2022-11-07,nc,FALSE,FIU,CUSA,Houston Christian,Slnd,Houston ChristianFIU11-7,2023
2022-11-07,nc,FALSE,BYU,WCC,Idaho St.,BSky,Idaho St.BYU11-7,2023
2022-11-07,nond1,FALSE,Illinois Chicago,MVC,Trinity Christian,NA,Trinity ChristianIllinois Chicago11-7,2023
2022-11-07,nc,FALSE,Xavier,BE,Morgan St.,MEAC,Morgan St.Xavier11-7,2023
2022-11-07,nc,FALSE,Charlotte,CUSA,Coppin St.,MEAC,Coppin St.Charlotte11-7,2023
2022-11-07,nc,FALSE,Canisius,MAAC,Youngstown St.,Horz,Youngstown St.Canisius11-7,2023
2022-11-07,nc,FALSE,Wake Forest,ACC,Fairfield,MAAC,FairfieldWake Forest11-7,2023
2022-11-07,nond1,FALSE,Florida Atlantic,CUSA,Lynn,NA,LynnFlorida Atlantic11-7,2023
2022-11-07,nc,FALSE,Boston University,Pat,Northeastern,CAA,NortheasternBoston University11-7,2023
2022-11-07,nc,FALSE,Ohio St.,B10,Robert Morris,Horz,Robert MorrisOhio St.11-7,2023
2022-11-07,nc,FALSE,UC San Diego,BW,Seattle,WAC,SeattleUC San Diego11-7,2023
2022-11-07,nc,FALSE,Villanova,BE,La Salle,A10,La SalleVillanova11-7,2023
2022-11-07,nc,FALSE,Kentucky,SEC,Howard,MEAC,HowardKentucky11-7,2023
2022-11-07,nc,FALSE,Utah St.,MWC,Utah Valley,WAC,Utah ValleyUtah St.11-7,2023
2022-11-07,nc,FALSE,Denver,Sum,Idaho,BSky,IdahoDenver11-7,2023
2022-11-07,nond1,FALSE,Cal St. Northridge,BW,La Sierra,NA,La SierraCal St. Northridge11-7,2023
2022-11-07,nc,FALSE,Maryland,B10,Niagara,MAAC,NiagaraMaryland11-7,2023
2022-11-07,nc,FALSE,Pepperdine,WCC,Rice,CUSA,RicePepperdine11-7,2023
2022-11-07,nc,FALSE,Abilene Christian,WAC,Jackson St.,SWAC,Jackson St.Abilene Christian11-7,2023
2022-11-07,nc,FALSE,Boston College,ACC,Cornell,Ivy,CornellBoston College11-7,2023
2022-11-07,nc,FALSE,Arizona,P12,Nicholls St.,Slnd,Nicholls St.Arizona11-7,2023
2022-11-07,nc,FALSE,Penn St.,B10,Winthrop,BSth,WinthropPenn St.11-7,2023
2022-11-07,nond1,FALSE,San Diego,WCC,Sonoma St.,NA,Sonoma St.San Diego11-7,2023
2022-11-07,nc,FALSE,California,P12,UC Davis,BW,UC DavisCalifornia11-7,2023
2022-11-07,nond1,FALSE,St. Francis NY,NEC,Mt. St. Mary (NY),NA,Mt. St. Mary (NY)St. Francis NY11-7,2023
2022-11-07,nond1,FALSE,Fresno St.,MWC,Fresno Pacific,NA,Fresno PacificFresno St.11-7,2023
2022-11-07,nond1,FALSE,UMKC,Sum,Lincoln (MO),NA,Lincoln (MO)UMKC11-7,2023
2022-11-07,nc,FALSE,Baylor,B12,Mississippi Valley St.,SWAC,Mississippi Valley St.Baylor11-7,2023
2022-11-07,nc,FALSE,Saint Mary's,WCC,Oral Roberts,Sum,Oral RobertsSaint Mary's11-7,2023
2022-11-07,nc,FALSE,Belmont,MVC,Ohio,MAC,OhioBelmont11-7,2023
2022-11-07,nond1,FALSE,Northern Illinois,MAC,Ill. Springfield,NA,Ill. SpringfieldNorthern Illinois11-7,2023
2022-11-07,nond1,FALSE,Georgia Tech,ACC,Clayton St.,NA,Clayton St.Georgia Tech11-7,2023
2022-11-07,nc,FALSE,Northern Kentucky,Horz,Kent St.,MAC,Kent St.Northern Kentucky11-7,2023
2022-11-07,nc,FALSE,Marquette,BE,Radford,BSth,RadfordMarquette11-7,2023
2022-11-07,nc,FALSE,Washington,P12,Weber St.,BSky,Weber St.Washington11-7,2023
2022-11-07,nc,FALSE,Nebraska,B10,Maine,AE,MaineNebraska11-7,2023
2022-11-07,nc,FALSE,Oklahoma,B12,Sam Houston St.,WAC,Sam Houston St.Oklahoma11-7,2023
2022-11-07,nc,FALSE,Incarnate Word,Slnd,North Dakota,Sum,North DakotaIncarnate Word11-7,2023
2022-11-07,nc,FALSE,St. Bonaventure,A10,St. Francis PA,NEC,St. Francis PASt. Bonaventure11-7,2023
2022-11-07,nc,FALSE,SMU,Amer,Texas A&M Commerce,Slnd,Texas A&M CommerceSMU11-7,2023
2022-11-07,nc,FALSE,Richmond,A10,VMI,SC,VMIRichmond11-7,2023
2022-11-07,nond1,FALSE,Davidson,A10,Guilford,NA,GuilfordDavidson11-7,2023
2022-11-07,nc,FALSE,Gonzaga,WCC,North Florida,ASun,North FloridaGonzaga11-7,2023
2022-11-07,nc,FALSE,Vanderbilt,SEC,Memphis,Amer,MemphisVanderbilt11-7,2023
2022-11-07,nc,FALSE,Nevada,MWC,Utah Tech,WAC,Utah TechNevada11-7,2023
2022-11-07,nc,FALSE,Akron,MAC,South Dakota St.,Sum,South Dakota St.Akron11-7,2023
2022-11-07,nc,FALSE,Wichita St.,Amer,Central Arkansas,ASun,Central ArkansasWichita St.11-7,2023
2022-11-07,nc,FALSE,Saint Louis,A10,Murray St.,MVC,Murray St.Saint Louis11-7,2023
2022-11-07,nc,FALSE,Creighton,BE,St. Thomas,Sum,St. ThomasCreighton11-7,2023
2022-11-07,nc,FALSE,Duke,ACC,Jacksonville,ASun,JacksonvilleDuke11-7,2023
2022-11-07,nc,FALSE,Bowling Green,MAC,Air Force,MWC,Air ForceBowling Green11-7,2023
2022-11-07,nc,FALSE,UCLA,P12,Sacramento St.,BSky,Sacramento St.UCLA11-7,2023
2022-11-07,nc,FALSE,Stanford,P12,Pacific,WCC,PacificStanford11-7,2023
2022-11-07,nc,FALSE,Texas A&M,SEC,Louisiana Monroe,SB,Louisiana MonroeTexas A&M11-7,2023
2022-11-07,nond1,FALSE,North Texas,CUSA,Southern Nazarene,NA,Southern NazareneNorth Texas11-7,2023
2022-11-07,nond1,FALSE,UTSA,CUSA,Trinity (TX),NA,Trinity (TX)UTSA11-7,2023
2022-11-07,nc,FALSE,Colorado St.,MWC,Gardner Webb,BSth,Gardner WebbColorado St.11-7,2023
2022-11-07,nond1,FALSE,Norfolk St.,MEAC,Virginia-Lynchburg,NA,Virginia-LynchburgNorfolk St.11-7,2023
2022-11-07,nc,FALSE,College of Charleston,CAA,Chattanooga,SC,ChattanoogaCollege of Charleston11-7,2023
2022-11-07,nc,FALSE,Michigan St.,B10,Northern Arizona,BSky,Northern ArizonaMichigan St.11-7,2023
2022-11-07,nond1,FALSE,Yale,Ivy,Sarah Lawrence,NA,Sarah LawrenceYale11-7,2023
2022-11-07,nc,FALSE,Pittsburgh,ACC,Tennessee Martin,OVC,Tennessee MartinPittsburgh11-7,2023
2022-11-07,nc,FALSE,Tennessee,SEC,Tennessee Tech,OVC,Tennessee TechTennessee11-7,2023
2022-11-07,nc,FALSE,Washington St.,P12,Texas St.,SB,Texas St.Washington St.11-7,2023
2022-11-07,nc,FALSE,Mississippi,SEC,Alcorn St.,SWAC,Alcorn St.Mississippi11-7,2023
2022-11-07,nond1,FALSE,Wyoming,MWC,Colorado Christian,NA,Colorado ChristianWyoming11-7,2023
2022-11-07,nc,FALSE,Minnesota,B10,Western Michigan,MAC,Western MichiganMinnesota11-7,2023
2022-11-07,nc,FALSE,Illinois,B10,Eastern Illinois,OVC,Eastern IllinoisIllinois11-7,2023
2022-11-07,nc,FALSE,Texas,B12,UTEP,CUSA,UTEPTexas11-7,2023
2022-11-07,nc,FALSE,Loyola Chicago,A10,Fairleigh Dickinson,NEC,Fairleigh DickinsonLoyola Chicago11-7,2023
2022-11-07,nc,FALSE,Old Dominion,SB,Maryland Eastern Shore,MEAC,Maryland Eastern ShoreOld Dominion11-7,2023
2022-11-07,nc,FALSE,Illinois St.,MVC,Western Illinois,Sum,Western IllinoisIllinois St.11-7,2023
2022-11-07,nc,FALSE,Michigan,B10,Fort Wayne,Horz,Fort WayneMichigan11-7,2023
2022-11-07,nc,FALSE,West Virginia,B12,Mount St. Mary's,MAAC,Mount St. Mary'sWest Virginia11-7,2023
2022-11-07,nond1,FALSE,Cleveland St.,Horz,Notre Dame OH,NA,Notre Dame OHCleveland St.11-7,2023
2022-11-07,nc,FALSE,Queens,ASun,Marshall,SB,MarshallQueens11-7,2023
2022-11-07,nc,FALSE,Southern Illinois,MVC,Little Rock,OVC,Little RockSouthern Illinois11-7,2023
2022-11-07,nc,FALSE,San Diego St.,MWC,Cal St. Fullerton,BW,Cal St. FullertonSan Diego St.11-7,2023
2022-11-07,nc,FALSE,Kansas,B12,Nebraska Omaha,Sum,Nebraska OmahaKansas11-7,2023
2022-11-07,nc,FALSE,DePaul,BE,Loyola MD,Pat,Loyola MDDePaul11-7,2023
2022-11-07,nc,FALSE,Kansas St.,B12,UT Rio Grande Valley,WAC,UT Rio Grande ValleyKansas St.11-7,2023
2022-11-07,nc,FALSE,Northwestern,B10,Chicago St.,ind,Chicago St.Northwestern11-7,2023
2022-11-07,nc,FALSE,Wisconsin,B10,South Dakota,Sum,South DakotaWisconsin11-7,2023
2022-11-07,nc,FALSE,Grand Canyon,WAC,Montana St.,BSky,Montana St.Grand Canyon11-7,2023
2022-11-07,nc,FALSE,Oklahoma St.,B12,UT Arlington,WAC,UT ArlingtonOklahoma St.11-7,2023
2022-11-07,nc,FALSE,Temple,Amer,Wagner,NEC,WagnerTemple11-7,2023
2022-11-07,nc,FALSE,Iowa,B10,Bethune Cookman,SWAC,Bethune CookmanIowa11-7,2023
2022-11-07,nond1,FALSE,Wofford,SC,Bob Jones,NA,Bob Jo
