"date","type","team","conf","opp","opp_conf","loc","result","points","opp_points","lead_diff","adj_o","adj_d","ppp","efg","to","or","ftr","def_ppp","def_efg","def_to","def_or","def_ftr","game_score","year","poss","coach","opp_coach","game_id"
2023-01-31,"conf","Akron","MAC","Buffalo","MAC","A","W",81,64,1,124.1,90.9,119.7,66.1,22.2,25.9,17.9,94.6,45.6,26.6,44.4,28.1,97.3,2023,67.7,"John Groce","Jim Whitesell","AkronBuffalo1-31"
2023-01-28,"conf","Akron","MAC","Ohio","MAC","H","W",83,77,0,125.4,113.5,129.7,65,15.6,32,50,120.3,60.7,10.9,19.4,26.8,75.9,2023,64,"John Groce","Jeff Boals","OhioAkron1-28"
2023-01-24,"conf","Akron","MAC","Miami OH","MAC","H","W",73,68,3,109.1,118.4,123.1,54.7,15.2,35.5,32.1,114.7,58.7,18.6,26.9,43.5,28.1,2023,59.3,"John Groce","Travis Steele","Miami OHAkron1-24"
2023-01-21,"conf","Akron","MAC","Western Michigan","MAC","A","W",63,55,0,87.2,87.2,98.1,42.9,4.7,16.7,19,85.7,42.7,23.4,33.3,21.8,50.3,2023,64.2,"John Groce","Dwayne Stephens","AkronWestern Michigan1-21"
2023-01-17,"conf","Akron","MAC","Central Michigan","MAC","A","W",69,51,0,100.9,85.8,104.5,49.1,15.1,26.5,40,77.2,42.6,27.3,20,34,86.6,2023,66,"John Groce","Tony Barbee","AkronCentral Michigan1-17"
2023-01-13,"conf","Akron","MAC","Eastern Michigan","MAC","H","W",104,67,5,118.8,93.8,135.5,61.9,10.4,31.2,50.8,87.3,39.5,13,5.6,45.6,93.8,2023,76.8,"John Groce","Stan Heath","Eastern MichiganAkron1-13"
2023-01-10,"conf","Akron","MAC","Bowling Green","MAC","A","W",74,70,1,101.4,101.9,107.4,49.2,13.1,21.1,22.6,101.6,58.5,17.4,10,24.5,48.5,2023,68.9,"John Groce","Michael Huger","AkronBowling Green1-10"
2023-01-03,"conf","Akron","MAC","Northern Illinois","MAC","H","W",76,51,1,102.7,87.1,113,50.9,16.4,37.5,40.4,75.9,37.3,28.3,30.6,35.3,86.9,2023,67.2,"John Groce","Rashon Burno","Northern IllinoisAkron1-3"
2022-12-22,"nc","Akron","MAC","Bradley","MVC","A","L",55,74,0,84.1,107.3,80.4,35.1,21.9,28.6,31.6,108.2,53.1,11.7,20.5,14.1,5.7,2023,68.4,"John Groce","Brian Wardle","AkronBradley12-22"
2022-12-19,"nc","Akron","MAC","Maine","AE","H","W",87,55,0,110.7,82.8,121.4,64,22.3,34.6,28.1,76.8,52.2,32.1,10.7,26.1,96.6,2023,71.7,"John Groce","Chris Markwood","MaineAkron12-19"
2022-12-14,"nc","Akron","MAC","Wright St.","Horz","H","W",66,54,3,91.1,80.9,94.7,45.2,17.2,28.2,22.6,77.4,38.9,20.1,26.2,12.7,79.6,2023,69.7,"John Groce","Scott Nagy","Wright St.Akron12-14"
2022-12-11,"nc","Akron","MAC","Jackson St.","SWAC","H","W",85,72,2,122,109.6,124.7,64.4,14.7,20,40.4,105.6,53.2,19.1,31.2,11.1,77.5,2023,68.2,"John Groce","Mo Williams","Jackson St.Akron12-11"
2022-11-30,"nc","Akron","MAC","Marshall","SB","A","L",57,68,2,81.9,90.5,80.1,37.3,14,30,15.5,95.5,47.5,15.5,21.1,24.6,24,2023,71.2,"John Groce","Dan D'Antoni","AkronMarshall11-30"
2022-11-23,"nc","Akron","MAC","Nevada","MWC","N","L",58,62,1,100.1,90.3,91.8,50,22.2,20.7,21.6,98.1,44.7,14.2,27,22.8,76.6,2023,63.2,"John Groce","Steve Alford","AkronNevada11-23"
2022-11-22,"nc","Akron","MAC","LSU","SEC","N","L",58,73,0,99.4,112.3,92.9,33.3,22.4,45.2,55.6,116.9,56.7,16,32,30.8,19.8,2023,62.4,"John Groce","Matt McMahon","AkronLSU11-22"
2022-11-21,"nc","Akron","MAC","Western Kentucky","CUSA","N","W",72,53,2,117.6,94.2,122.8,65.6,22.2,50,31.2,90.4,42.6,8.5,15.4,24.1,92.8,2023,58.7,"John Groce","Rick Stansbury","AkronWestern Kentucky11-21"
2022-11-15,"nc","Akron","MAC","Morgan St.","MEAC","H","W",65,59,2,97.6,98.5,99.9,41,16.9,43.5,44.3,90.7,42.2,23.1,42.5,10.9,47.4,2023,65.1,"John Groce","Kevin Broadus","Morgan St.Akron11-15"
2022-11-11,"nc","Akron","MAC","Mississippi St.","SEC","N","L",54,73,4,99.7,110.7,84.7,38.8,14.1,15.8,49,114.4,59.1,21.9,36.7,23.6,23.1,2023,63.8,"John Groce","Chris Jans","AkronMississippi St.11-11"
2022-11-07,"nc","Akron","MAC","South Dakota St.","Sum","H","W",81,80,4,107.8,114,108.2,51.4,12,22.5,17.4,106.8,55.9,17.4,17.9,28.8,34.5,2023,66.6,"John Groce","Eric Henderson","South Dakota St.Akron11-7"
